playerId,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts
8480831,2020,Alec Regula,2020020280,CHI,CAR,AWAY,20210506,D,all,856.0,17.0,-0.275,0.1533,0.5204,0.3333,0.4554,0.2941,0.4545,5.0,0.798,0.019,0.039,0.169,0.02,0.433,0.32,0.019,0.019,0.019,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.019,0.0,0.0,0.0,0.0,0.0,0.975,1.0,0.964,1.0,0.009,0.0,0.0,0.028,0.028,0.028,17.0,1.0,2.0,2.0,12.0,2.0,4.0,1.0,10.0,0.0,0.0,2866.0,0.0,0.0,0.0,1.0,3.548,0.162,0.162,0.164,0.164,4.0,1.0,3.0,8.0,0.0,0.0,0.0,5.0,0.0,0.0,0.162,0.0,0.0,0.0,0.0,0.0,7.857,5.0,4.888,0.042,0.0,0.0,0.204,0.206,0.206,9.357,0.895,0.877,0.886,0.868,7.0,5.0,4.0,16.0,0.0,1.0,0.0,8.0,4.0,0.0,0.321,0.574,0.0,0.0,0.0,0.0,16.36,12.0,12.395,0.126,0.192,0.192,0.829,0.819,0.817,3.031,2.793,46.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0
8480831,2020,Alec Regula,2020020843,CHI,DAL,HOME,20210509,D,all,666.0,14.0,-0.55,0.1051,0.4619,0.3182,0.4125,0.1875,0.4068,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.174,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,2.0,0.0,1.0,11.0,2.0,2.0,2.0,8.0,0.0,0.0,2934.0,0.0,0.0,0.0,0.0,1.874,0.147,0.146,0.147,0.145,2.0,1.0,4.0,7.0,0.0,0.0,0.0,3.0,0.0,0.0,0.147,0.0,0.0,0.0,0.0,0.0,7.326,3.0,3.115,0.026,0.0,0.0,0.173,0.173,0.171,9.427,1.252,1.054,1.271,1.068,11.0,2.0,2.0,15.0,1.0,3.0,1.0,9.0,2.0,2.0,0.266,0.361,0.625,0.0,0.0,1.0,14.91,13.0,12.867,0.139,0.822,0.822,0.569,0.574,0.494,1.811,2.11,33.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0
8480831,2020,Alec Regula,2020020860,CHI,DAL,HOME,20210510,D,all,706.0,12.0,-0.8,0.0428,0.3833,0.1538,0.4059,0.1429,0.3919,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,2.0,1.0,8.0,1.0,2.0,1.0,8.0,0.0,0.0,3164.0,0.0,0.0,0.0,2.0,2.222,0.059,0.059,0.059,0.059,2.0,1.0,1.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.059,0.0,0.0,0.0,0.0,0.0,4.2,3.0,3.127,0.022,0.0,0.0,0.081,0.081,0.081,13.673,1.32,1.058,1.307,1.048,15.0,3.0,4.0,22.0,0.0,4.0,0.0,12.0,3.0,3.0,0.267,0.274,0.778,0.0,0.0,0.0,21.06,18.0,17.267,0.219,0.86,0.86,0.679,0.675,0.647,1.579,2.541,41.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0
8480831,2021,Alec Regula,2021020516,CHI,DAL,HOME,20220218,D,all,714.0,18.0,0.1,0.7487,0.5507,0.5625,0.5474,0.5714,0.5441,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,1.0,17.0,2.0,2.0,0.0,14.0,0.0,0.0,3186.0,0.0,0.0,0.0,0.0,5.776,0.441,0.427,0.421,0.408,6.0,2.0,1.0,9.0,0.0,1.0,0.0,6.0,2.0,0.0,0.188,0.253,0.0,0.0,0.0,0.0,8.73,8.0,7.77,0.083,0.164,0.164,0.361,0.345,0.337,4.434,0.148,0.148,0.155,0.155,5.0,1.0,1.0,7.0,0.0,0.0,0.0,6.0,0.0,0.0,0.148,0.0,0.0,0.0,0.0,0.0,7.224,6.0,6.183,0.042,0.0,0.0,0.19,0.199,0.199,1.374,1.121,52.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0
8480831,2021,Alec Regula,2021020498,CHI,FLA,HOME,20220220,D,all,1100.0,22.0,0.075,0.3904,0.2731,0.4483,0.5313,0.4783,0.5111,4.0,0.755,0.025,0.065,0.187,0.03,0.461,0.232,0.025,0.025,0.025,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,0.0,0.0,0.025,0.0,0.0,0.0,0.0,0.0,1.882,1.0,1.0,0.0,0.014,0.0,0.0,0.04,0.04,0.04,22.0,0.0,1.0,7.0,14.0,6.0,5.0,1.0,10.0,0.0,0.0,2500.0,0.0,2.0,1.0,2.0,7.757,0.278,0.278,0.264,0.264,8.0,3.0,2.0,13.0,0.0,0.0,0.0,11.0,0.0,0.0,0.278,0.0,0.0,0.0,0.0,0.0,12.239,11.0,10.428,0.096,0.0,0.0,0.374,0.355,0.355,8.245,0.434,0.434,0.468,0.467,9.0,3.0,4.0,16.0,0.0,0.0,0.0,11.0,1.0,0.0,0.303,0.131,0.0,0.0,0.0,0.0,17.232,12.0,12.967,0.099,0.0,0.0,0.533,0.574,0.573,0.846,2.252,34.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0
8480831,2021,Alec Regula,2021020824,CHI,NJD,HOME,20220225,D,all,919.0,24.0,-0.25,0.7482,0.586,0.4688,0.4889,0.5,0.4923,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,1.0,4.0,5.0,14.0,4.0,2.0,7.0,11.0,0.0,0.0,2681.0,0.0,0.0,0.0,0.0,8.617,0.633,0.628,0.622,0.617,10.0,2.0,3.0,15.0,1.0,0.0,0.0,9.0,3.0,0.0,0.267,0.365,0.0,0.0,1.0,0.0,14.964,12.0,12.031,0.142,0.0,0.0,0.774,0.76,0.754,8.217,0.213,0.202,0.217,0.206,6.0,6.0,5.0,17.0,2.0,0.0,0.0,12.0,0.0,0.0,0.213,0.0,0.0,2.0,0.0,0.0,16.864,12.0,11.918,0.091,0.0,0.0,0.303,0.309,0.295,3.103,2.192,44.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0
8480831,2021,Alec Regula,2021020842,CHI,STL,HOME,20220227,D,all,1125.0,21.0,0.2,0.4074,0.4197,0.5313,0.4658,0.4091,0.4833,4.0,0.645,0.008,0.027,0.225,0.024,0.442,0.275,0.008,0.008,0.008,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,1.852,1.0,0.971,0.0,0.006,0.0,0.0,0.014,0.013,0.013,21.0,0.0,2.0,4.0,15.0,1.0,2.0,2.0,16.0,0.0,0.0,2475.0,0.0,0.0,0.0,0.0,6.712,0.504,0.481,0.476,0.455,6.0,3.0,8.0,17.0,0.0,0.0,0.0,6.0,2.0,1.0,0.089,0.201,0.214,0.0,0.0,0.0,15.668,9.0,8.407,0.096,0.0,0.0,0.599,0.566,0.539,9.823,0.733,0.71,0.806,0.781,11.0,2.0,2.0,15.0,0.0,1.0,0.0,11.0,1.0,1.0,0.389,0.093,0.251,0.0,0.0,0.0,16.834,13.0,14.213,0.134,0.251,0.251,0.617,0.673,0.656,1.319,1.824,34.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0
8480831,2021,Alec Regula,2021020907,CHI,ANA,HOME,20220308,D,all,1156.0,23.0,-0.2,0.6388,0.5801,0.4375,0.4872,0.5,0.5091,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,3.0,0.0,4.0,16.0,6.0,0.0,4.0,13.0,0.0,0.0,2444.0,0.0,0.0,0.0,1.0,8.877,0.865,0.849,0.876,0.86,10.0,2.0,2.0,14.0,4.0,0.0,0.0,6.0,6.0,0.0,0.114,0.752,0.0,0.0,4.0,0.0,15.098,12.0,12.441,0.135,0.0,0.0,1.0,1.013,0.993,8.591,0.489,0.475,0.473,0.459,11.0,1.0,6.0,18.0,2.0,0.0,0.0,11.0,1.0,0.0,0.381,0.107,0.0,2.0,0.0,0.0,16.425,12.0,11.452,0.115,0.0,0.0,0.604,0.584,0.568,1.847,1.337,38.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0
8480831,2021,Alec Regula,2021020915,CHI,BOS,AWAY,20220310,D,all,766.0,18.0,0.325,0.4095,0.4335,0.5625,0.3837,0.5833,0.3582,5.0,0.669,0.013,0.048,0.148,0.018,0.307,0.465,0.013,0.013,0.013,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.013,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.013,0.0,0.0,0.026,0.026,0.025,18.0,2.0,0.0,2.0,14.0,5.0,2.0,1.0,10.0,0.0,0.0,2834.0,2.0,4.0,2.0,2.0,4.369,0.224,0.224,0.234,0.234,4.0,3.0,2.0,9.0,0.0,0.0,0.0,7.0,0.0,0.0,0.224,0.0,0.0,0.0,0.0,0.0,9.192,7.0,7.152,0.067,0.0,0.0,0.291,0.303,0.302,3.485,0.323,0.323,0.309,0.309,2.0,3.0,2.0,7.0,0.0,0.0,0.0,4.0,1.0,0.0,0.154,0.169,0.0,0.0,0.0,0.0,6.766,5.0,4.897,0.047,0.0,0.0,0.371,0.355,0.355,1.806,2.36,33.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0
8480831,2021,Alec Regula,2021021187,CHI,LAK,HOME,20220412,D,all,1042.0,22.0,-0.7,0.4942,0.5207,0.3333,0.4933,0.2857,0.4528,4.0,1.394,0.065,0.111,0.313,0.047,0.987,0.477,0.064,0.065,0.064,0.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,4.0,0.0,1.0,2.0,1.0,2.0,0.0,0.0,0.065,0.0,0.0,0.0,0.0,0.0,2.882,2.0,2.0,1.0,0.026,0.0,0.0,0.091,0.091,0.09,22.0,1.0,3.0,2.0,16.0,4.0,3.0,2.0,13.0,0.0,0.0,2558.0,4.0,2.0,1.0,1.0,4.751,0.471,0.433,0.433,0.398,6.0,0.0,4.0,10.0,0.0,1.0,0.0,4.0,2.0,0.0,0.087,0.384,0.0,0.0,0.0,0.0,9.177,6.0,5.578,0.092,0.19,0.19,0.373,0.346,0.34,10.635,0.482,0.479,0.533,0.53,11.0,4.0,5.0,20.0,1.0,0.0,0.0,14.0,1.0,0.0,0.334,0.148,0.0,1.0,0.0,0.0,22.479,15.0,16.812,0.142,0.0,0.0,0.623,0.689,0.686,1.395,1.284,37.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0
