playerId,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts
8481532,2021,Alex Turcotte,2021020539,LAK,VGK,HOME,20211228,C,all,728.0,20.0,-0.075,0.4541,0.4512,0.4783,0.5625,0.5333,0.5,9.0,2.985,0.351,0.255,0.777,0.122,1.567,0.929,0.346,0.31,0.306,0.0,0.0,3.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,1.0,2.0,5.0,0.0,1.0,0.0,3.0,1.0,0.0,0.156,0.194,0.0,0.0,0.0,0.0,3.4,4.0,3.513,0.0,0.053,0.072,0.072,0.332,0.294,0.293,20.0,2.0,3.0,4.0,11.0,1.0,6.0,1.0,12.0,5.0,5.0,2872.0,2.0,0.0,0.0,1.0,5.701,0.564,0.536,0.5,0.476,6.0,2.0,3.0,11.0,0.0,1.0,0.0,6.0,2.0,0.0,0.289,0.275,0.0,0.0,0.0,0.0,9.382,8.0,7.035,0.087,0.072,0.072,0.579,0.514,0.489,5.086,0.678,0.657,0.776,0.753,5.0,2.0,5.0,12.0,1.0,1.0,0.0,3.0,4.0,0.0,0.117,0.561,0.0,0.0,1.0,0.0,14.266,7.0,8.096,0.077,0.03,0.03,0.724,0.831,0.807,2.808,3.416,45.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0
8481532,2021,Alex Turcotte,2021020556,LAK,VAN,HOME,20211230,C,all,590.0,12.0,0.4,0.8509,0.662,0.6471,0.6563,0.7,0.6849,10.0,3.287,0.475,0.256,0.83,0.107,1.361,0.972,0.447,0.453,0.427,0.0,0.0,2.0,2.0,1.0,5.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,2.0,4.0,0.0,0.0,4.0,1.0,0.0,1.0,1.0,2.0,1.0,0.017,0.189,0.268,0.0,0.0,0.0,4.906,4.0,3.885,1.0,0.056,0.268,0.268,0.262,0.25,0.246,12.0,2.0,1.0,2.0,7.0,1.0,0.0,0.0,11.0,4.0,4.0,3310.0,0.0,0.0,0.0,1.0,5.521,0.725,0.672,0.692,0.642,3.0,4.0,4.0,11.0,0.0,1.0,0.0,1.0,5.0,1.0,0.017,0.439,0.268,0.0,0.0,0.0,10.756,7.0,6.798,0.086,0.268,0.268,0.542,0.518,0.486,2.26,0.127,0.127,0.134,0.134,2.0,1.0,3.0,6.0,0.0,0.0,0.0,2.0,1.0,0.0,0.032,0.096,0.0,0.0,0.0,0.0,6.192,3.0,3.091,0.02,0.0,0.0,0.148,0.155,0.155,3.887,1.985,63.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0
8481532,2021,Alex Turcotte,2021020573,LAK,PHI,HOME,20220101,C,all,559.0,15.0,-0.305,0.2575,0.6319,0.3333,0.5495,0.3571,0.5349,12.0,0.93,0.047,0.088,0.154,0.016,0.44,0.255,0.047,0.048,0.048,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,0.0,0.0,0.047,0.0,0.0,0.0,0.0,0.0,1.074,1.0,1.05,0.0,0.018,0.0,0.0,0.065,0.066,0.066,15.0,4.0,2.0,3.0,6.0,1.0,5.0,0.0,9.0,3.0,6.0,3041.0,0.0,0.0,0.0,0.0,3.747,0.222,0.205,0.225,0.206,3.0,2.0,2.0,7.0,0.0,0.0,0.0,4.0,1.0,0.0,0.138,0.084,0.0,0.0,0.0,0.0,7.32,5.0,5.082,0.055,0.0,0.0,0.278,0.28,0.258,6.762,0.64,0.59,0.624,0.575,6.0,3.0,5.0,14.0,0.0,1.0,0.0,7.0,1.0,1.0,0.282,0.096,0.262,0.0,0.0,0.0,12.854,9.0,8.599,0.102,0.262,0.262,0.48,0.47,0.456,5.303,3.089,61.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
8481532,2021,Alex Turcotte,2021020636,LAK,NYR,HOME,20220110,C,all,557.0,15.0,0.625,0.5319,0.779,0.6316,0.6111,0.6111,0.6406,12.0,4.256,0.257,0.318,0.808,0.123,1.902,1.592,0.256,0.26,0.259,0.0,0.0,5.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,5.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,1.0,0.0,0.118,0.139,0.0,0.0,0.0,0.0,6.34,5.0,5.172,0.0,0.065,0.0,0.0,0.322,0.326,0.324,15.0,1.0,1.0,2.0,11.0,3.0,4.0,0.0,8.0,0.0,0.0,3043.0,0.0,0.0,0.0,0.0,8.633,0.484,0.481,0.486,0.483,8.0,3.0,1.0,12.0,0.0,0.0,0.0,9.0,2.0,0.0,0.217,0.267,0.0,0.0,0.0,0.0,12.528,11.0,11.304,0.116,0.0,0.0,0.6,0.602,0.598,4.892,0.426,0.422,0.422,0.418,5.0,2.0,0.0,7.0,0.0,1.0,0.0,4.0,3.0,0.0,0.05,0.376,0.0,0.0,0.0,0.0,6.591,7.0,6.69,0.077,0.13,0.13,0.374,0.371,0.368,4.254,1.207,55.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0
8481532,2021,Alex Turcotte,2021020659,LAK,PIT,HOME,20220113,C,all,671.0,17.0,-0.1,0.4927,0.6406,0.4286,0.6095,0.3846,0.6548,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,1.0,1.0,5.0,10.0,0.0,2.0,1.0,14.0,0.0,0.0,2929.0,0.0,0.0,0.0,0.0,3.885,0.509,0.49,0.524,0.504,5.0,0.0,1.0,6.0,1.0,1.0,0.0,4.0,0.0,1.0,0.087,0.0,0.422,1.0,0.0,0.0,6.468,5.0,5.093,0.038,0.422,0.422,0.125,0.125,0.11,5.922,0.524,0.52,0.53,0.525,5.0,3.0,0.0,8.0,1.0,1.0,0.0,5.0,3.0,0.0,0.163,0.362,0.0,0.0,1.0,0.0,7.772,8.0,7.883,0.083,0.095,0.095,0.513,0.518,0.517,5.658,3.175,64.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0
8481532,2021,Alex Turcotte,2021020679,LAK,SEA,AWAY,20220115,C,all,639.0,17.0,0.165,0.7484,0.6101,0.5833,0.5075,0.75,0.5192,11.0,0.729,0.04,0.052,0.382,0.039,0.278,0.209,0.038,0.044,0.042,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,1.103,1.0,1.1,0.0,0.011,0.05,0.04,0.011,0.012,0.011,17.0,2.0,0.0,4.0,11.0,2.0,2.0,1.0,12.0,0.0,1.0,2961.0,0.0,0.0,0.0,0.0,4.323,0.342,0.33,0.375,0.361,5.0,1.0,1.0,7.0,0.0,2.0,0.0,5.0,1.0,0.0,0.172,0.17,0.0,0.0,0.0,0.0,7.721,6.0,6.602,0.062,0.09,0.09,0.314,0.344,0.334,1.571,0.115,0.115,0.106,0.106,1.0,1.0,3.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.115,0.0,0.0,0.0,0.0,0.0,4.575,2.0,1.833,0.028,0.0,0.0,0.143,0.131,0.131,3.5,2.237,34.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0
8481532,2021,Alex Turcotte,2021020689,LAK,SJS,AWAY,20220117,C,all,999.0,24.0,0.35,0.3959,0.693,0.6522,0.6316,0.5882,0.6618,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,5.0,4.0,3.0,12.0,4.0,2.0,1.0,17.0,0.0,0.0,2601.0,0.0,0.0,0.0,0.0,6.629,0.325,0.316,0.317,0.308,6.0,4.0,5.0,15.0,0.0,0.0,0.0,9.0,1.0,0.0,0.209,0.117,0.0,0.0,0.0,0.0,13.843,10.0,9.639,0.083,0.0,0.0,0.408,0.398,0.386,4.761,0.496,0.493,0.513,0.51,3.0,4.0,1.0,8.0,0.0,0.0,0.0,4.0,3.0,0.0,0.149,0.347,0.0,0.0,0.0,0.0,8.95,7.0,7.352,0.07,0.0,0.0,0.566,0.586,0.582,2.718,1.204,60.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0
8481532,2021,Alex Turcotte,2021020700,LAK,TBL,HOME,20220118,C,all,657.0,15.0,0.415,0.6766,0.5249,0.6154,0.5889,0.6,0.625,11.0,0.749,0.031,0.027,0.241,0.027,0.348,0.326,0.031,0.028,0.028,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.031,0.0,0.0,0.0,0.0,0.0,0.85,1.0,0.878,0.0,0.005,0.0,0.0,0.037,0.032,0.032,15.0,2.0,0.0,4.0,9.0,1.0,4.0,2.0,8.0,0.0,1.0,2943.0,0.0,0.0,0.0,0.0,4.422,0.228,0.228,0.215,0.215,4.0,2.0,2.0,8.0,1.0,0.0,0.0,5.0,1.0,0.0,0.087,0.141,0.0,0.0,1.0,0.0,7.64,6.0,5.734,0.045,0.0,0.0,0.272,0.257,0.257,3.378,0.109,0.109,0.115,0.115,3.0,1.0,1.0,5.0,0.0,0.0,0.0,4.0,0.0,0.0,0.109,0.0,0.0,0.0,0.0,0.0,5.199,4.0,4.161,0.035,0.0,0.0,0.145,0.152,0.152,3.887,3.518,53.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0
8481532,2022,Alex Turcotte,2022020747,LAK,CHI,AWAY,20230122,C,all,490.0,11.0,0.325,0.7907,0.6372,0.7273,0.5,0.8,0.541,11.0,1.235,0.254,0.097,0.231,0.052,0.778,0.588,0.244,0.284,0.272,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.051,0.0,0.204,0.0,0.0,0.0,2.308,2.0,2.292,0.0,0.021,0.0,0.0,0.276,0.307,0.294,11.0,1.0,0.0,3.0,7.0,0.0,1.0,0.0,10.0,3.0,3.0,3110.0,0.0,0.0,0.0,0.0,5.586,0.359,0.348,0.398,0.386,5.0,3.0,0.0,8.0,0.0,0.0,0.0,7.0,0.0,1.0,0.155,0.0,0.204,0.0,0.0,0.0,8.906,8.0,8.87,0.065,0.0,0.0,0.424,0.469,0.456,1.466,0.095,0.095,0.087,0.087,2.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.008,0.087,0.0,0.0,0.0,0.0,2.712,2.0,1.833,0.017,0.0,0.0,0.112,0.103,0.103,3.816,2.173,40.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0
8481532,2022,Alex Turcotte,2022020757,LAK,PHI,AWAY,20230124,C,all,416.0,13.0,-0.36,0.4,0.5869,0.3636,0.6154,0.1667,0.6071,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,1.0,2.0,9.0,4.0,1.0,1.0,7.0,1.0,2.0,3253.0,0.0,0.0,0.0,0.0,0.838,0.152,0.143,0.16,0.15,1.0,0.0,3.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.152,0.0,0.0,0.0,0.0,4.039,1.0,1.03,0.016,0.0,0.0,0.169,0.177,0.167,3.838,0.228,0.219,0.225,0.215,5.0,0.0,2.0,7.0,1.0,0.0,0.0,4.0,1.0,0.0,0.13,0.098,0.0,0.0,1.0,0.0,6.902,5.0,4.991,0.056,0.0,0.0,0.284,0.28,0.268,3.16,2.224,64.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0
