playerId,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts
8481568,2021,Alex Vlasic,2021020988,CHI,MIN,AWAY,20220319,D,all,370.0,10.0,-0.2,0.0,0.1637,0.0,0.3762,0.0,0.3472,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,2.0,4.0,4.0,1.0,1.0,0.0,8.0,0.0,0.0,3230.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.586,0.085,0.085,0.083,0.083,2.0,2.0,1.0,5.0,0.0,0.0,0.0,4.0,0.0,0.0,0.085,0.0,0.0,0.0,0.0,0.0,5.018,4.0,4.087,0.025,0.0,0.0,0.11,0.108,0.108,0.877,4.48,38.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0
8481568,2021,Alex Vlasic,2021020997,CHI,WPG,HOME,20220320,D,all,474.0,12.0,-0.5,0.5643,0.4533,0.2,0.5463,0.3,0.5455,6.0,0.688,0.013,0.038,0.206,0.023,0.432,0.289,0.013,0.012,0.012,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.013,0.0,0.0,0.0,0.0,0.0,0.97,1.0,0.971,0.0,0.007,0.0,0.0,0.02,0.019,0.019,12.0,4.0,3.0,0.0,5.0,2.0,1.0,3.0,6.0,0.0,0.0,3126.0,0.0,0.0,0.0,2.0,2.358,0.373,0.347,0.371,0.346,1.0,2.0,0.0,3.0,1.0,0.0,0.0,2.0,0.0,1.0,0.02,0.0,0.353,0.0,0.0,1.0,2.878,3.0,2.897,0.031,0.0,0.0,0.403,0.401,0.374,5.091,0.288,0.288,0.31,0.31,7.0,0.0,5.0,12.0,2.0,0.0,0.0,6.0,1.0,0.0,0.165,0.122,0.0,1.0,1.0,0.0,12.992,7.0,7.484,0.058,0.0,0.0,0.346,0.373,0.373,3.209,3.87,59.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0
8481568,2021,Alex Vlasic,2021021085,CHI,TBL,AWAY,20220401,D,all,420.0,11.0,-0.4,0.2003,0.2547,0.1538,0.383,0.1667,0.3867,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,1.0,3.0,7.0,1.0,5.0,0.0,5.0,0.0,0.0,3180.0,0.0,0.0,0.0,1.0,1.411,0.132,0.132,0.132,0.132,2.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.012,0.119,0.0,0.0,0.0,0.0,1.911,2.0,1.919,0.019,0.0,0.0,0.151,0.151,0.151,7.305,0.527,0.512,0.527,0.512,9.0,1.0,1.0,11.0,0.0,0.0,0.0,8.0,2.0,0.0,0.342,0.185,0.0,0.0,0.0,0.0,11.31,10.0,10.298,0.113,0.0,0.0,0.64,0.64,0.621,2.053,6.006,36.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0
8481568,2021,Alex Vlasic,2021021132,CHI,SEA,HOME,20220407,D,all,616.0,13.0,0.1,0.7773,0.4413,0.5833,0.5269,0.6,0.5294,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,1.0,0.0,12.0,0.0,2.0,0.0,11.0,0.0,0.0,2984.0,0.0,0.0,0.0,0.0,3.971,0.391,0.391,0.365,0.365,4.0,2.0,1.0,7.0,0.0,0.0,0.0,4.0,2.0,0.0,0.18,0.211,0.0,0.0,0.0,0.0,6.57,6.0,5.608,0.057,0.0,0.0,0.448,0.419,0.419,2.973,0.112,0.112,0.119,0.119,4.0,0.0,1.0,5.0,0.0,0.0,0.0,4.0,0.0,0.0,0.112,0.0,0.0,0.0,0.0,0.0,5.302,4.0,4.192,0.031,0.0,0.0,0.143,0.152,0.152,1.575,1.994,49.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0
8481568,2021,Alex Vlasic,2021021160,CHI,DAL,HOME,20220410,D,all,895.0,20.0,0.475,0.5147,0.2815,0.5484,0.5169,0.5417,0.5522,6.0,2.764,0.054,0.142,0.794,0.087,1.703,1.22,0.054,0.05,0.05,0.0,0.0,3.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,3.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.054,0.0,0.0,0.0,0.0,0.0,3.682,4.0,3.691,0.0,0.028,0.037,0.0,0.082,0.076,0.076,20.0,2.0,0.0,4.0,14.0,4.0,2.0,3.0,11.0,0.0,0.0,2705.0,0.0,0.0,0.0,1.0,9.4,0.596,0.595,0.543,0.542,12.0,1.0,4.0,17.0,1.0,2.0,0.0,10.0,3.0,0.0,0.237,0.358,0.0,1.0,0.0,0.0,15.502,13.0,11.78,0.13,0.073,0.036,0.69,0.629,0.628,7.65,0.562,0.56,0.591,0.589,8.0,3.0,3.0,14.0,1.0,0.0,0.0,9.0,1.0,1.0,0.209,0.096,0.257,1.0,0.0,0.0,15.432,11.0,12.092,0.104,0.0,0.0,0.666,0.702,0.699,1.47,3.752,46.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0
8481568,2021,Alex Vlasic,2021021187,CHI,LAK,HOME,20220412,D,all,837.0,20.0,0.05,0.4188,0.5306,0.5238,0.4286,0.4375,0.3966,6.0,2.082,0.052,0.114,0.705,0.075,1.21,0.844,0.052,0.047,0.047,0.0,0.0,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.052,0.0,0.0,0.0,0.0,0.0,2.679,3.0,2.691,0.0,0.023,0.0,0.0,0.075,0.068,0.068,20.0,2.0,1.0,5.0,12.0,4.0,3.0,2.0,11.0,0.0,0.0,2763.0,0.0,0.0,0.0,0.0,4.854,0.227,0.227,0.208,0.208,3.0,4.0,4.0,11.0,1.0,0.0,0.0,6.0,1.0,0.0,0.139,0.088,0.0,0.0,1.0,0.0,9.944,7.0,6.352,0.054,0.0,0.0,0.281,0.257,0.257,6.491,0.315,0.315,0.348,0.348,9.0,0.0,1.0,10.0,1.0,0.0,0.0,9.0,0.0,0.0,0.315,0.0,0.0,1.0,0.0,0.0,11.143,9.0,10.061,0.079,0.0,0.0,0.394,0.435,0.434,1.639,1.45,36.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
8481568,2021,Alex Vlasic,2021021171,CHI,SJS,HOME,20220414,D,all,1006.0,22.0,-0.35,0.5759,0.5338,0.2778,0.5089,0.3846,0.519,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,2.0,1.0,6.0,13.0,1.0,6.0,1.0,14.0,0.0,0.0,2894.0,0.0,0.0,0.0,2.0,3.699,0.277,0.277,0.268,0.268,4.0,1.0,0.0,5.0,0.0,0.0,0.0,4.0,1.0,0.0,0.133,0.145,0.0,0.0,0.0,0.0,4.936,5.0,4.952,0.053,0.0,0.0,0.331,0.32,0.32,5.452,0.204,0.202,0.21,0.209,7.0,1.0,5.0,13.0,0.0,0.0,0.0,8.0,0.0,0.0,0.204,0.0,0.0,0.0,0.0,0.0,13.206,8.0,8.035,0.052,0.0,0.0,0.256,0.264,0.262,2.567,2.242,57.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0
8481568,2021,Alex Vlasic,2021021203,CHI,NSH,AWAY,20220416,D,all,936.0,22.0,-0.45,0.2964,0.4112,0.3077,0.4875,0.2174,0.4915,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,4.0,5.0,4.0,9.0,4.0,5.0,2.0,11.0,0.0,0.0,2664.0,0.0,0.0,0.0,0.0,3.389,0.447,0.429,0.464,0.446,4.0,1.0,3.0,8.0,0.0,1.0,0.0,4.0,0.0,1.0,0.144,0.0,0.303,0.0,0.0,0.0,8.103,5.0,5.01,0.049,0.303,0.303,0.192,0.197,0.195,12.507,1.061,1.048,1.041,1.029,14.0,4.0,0.0,18.0,1.0,0.0,0.0,13.0,5.0,0.0,0.486,0.575,0.0,0.0,1.0,0.0,18.122,18.0,18.04,0.172,0.0,0.0,1.233,1.211,1.196,1.894,2.712,39.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0
8481568,2021,Alex Vlasic,2021020436,CHI,CGY,HOME,20220418,D,all,1013.0,23.0,-0.075,0.2054,0.2686,0.4074,0.4507,0.4118,0.4259,5.0,0.727,0.068,0.052,0.12,0.02,0.438,0.302,0.068,0.063,0.063,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,0.0,0.0,0.068,0.0,0.0,0.0,0.0,0.0,1.797,1.0,0.916,2.0,0.011,0.0,0.0,0.079,0.073,0.073,23.0,2.0,3.0,4.0,14.0,3.0,5.0,3.0,12.0,0.0,0.0,2587.0,0.0,0.0,0.0,2.0,4.842,0.236,0.236,0.215,0.215,6.0,1.0,4.0,11.0,0.0,0.0,0.0,7.0,0.0,0.0,0.236,0.0,0.0,0.0,0.0,0.0,9.802,7.0,6.318,0.063,0.0,0.0,0.299,0.272,0.271,6.534,0.913,0.813,0.94,0.84,10.0,0.0,6.0,16.0,2.0,0.0,0.0,7.0,1.0,2.0,0.154,0.1,0.659,2.0,0.0,0.0,17.543,10.0,10.885,0.133,0.0,0.0,1.046,1.081,0.975,0.833,2.268,32.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0
8481568,2021,Alex Vlasic,2021021230,CHI,ARI,AWAY,20220420,D,all,844.0,19.0,1.8,0.7369,0.5553,0.6923,0.537,0.6818,0.5238,6.0,2.249,0.094,0.105,0.617,0.068,1.036,1.08,0.09,0.105,0.101,0.0,0.0,2.0,1.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,0.094,0.0,0.0,1.0,0.0,0.0,3.411,3.0,3.392,0.0,0.021,0.0,0.0,0.115,0.128,0.123,19.0,1.0,3.0,6.0,9.0,3.0,2.0,5.0,9.0,0.0,0.0,3019.0,0.0,0.0,0.0,0.0,11.545,1.322,1.229,1.447,1.344,11.0,4.0,3.0,18.0,2.0,3.0,1.0,11.0,2.0,2.0,0.45,0.249,0.623,1.0,0.0,1.0,20.049,15.0,16.524,0.161,0.778,0.778,0.705,0.765,0.753,5.135,0.472,0.437,0.464,0.429,6.0,1.0,1.0,8.0,1.0,0.0,0.0,5.0,1.0,1.0,0.098,0.174,0.2,0.0,1.0,0.0,7.424,7.0,6.553,0.075,0.0,0.0,0.547,0.536,0.498,2.065,1.654,58.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
