playerId,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts
8482125,2021,Alexander Holtz,2021020161,NJD,LAK,AWAY,20211105,R,all,925.0,19.0,-0.025,0.202,0.5055,0.4815,0.4868,0.2941,0.5091,7.0,0.801,0.086,0.037,0.221,0.025,0.346,0.286,0.086,0.09,0.09,0.0,0.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.086,0.0,0.0,0.0,0.0,3.007,1.0,1.03,0.0,0.007,0.0,0.0,0.094,0.098,0.098,19.0,6.0,2.0,2.0,9.0,1.0,4.0,2.0,12.0,0.0,0.0,2717.0,0.0,0.0,0.0,1.0,3.766,0.16,0.16,0.167,0.167,4.0,1.0,8.0,13.0,0.0,0.0,0.0,4.0,1.0,0.0,0.073,0.086,0.0,0.0,0.0,0.0,13.174,5.0,5.122,0.044,0.0,0.0,0.204,0.213,0.213,8.909,0.632,0.626,0.617,0.611,6.0,6.0,2.0,14.0,0.0,0.0,0.0,10.0,1.0,1.0,0.249,0.175,0.208,0.0,0.0,0.0,13.752,12.0,11.847,0.113,0.0,0.0,0.745,0.726,0.719,2.029,1.985,37.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0
8482125,2021,Alexander Holtz,2021020173,NJD,SJS,AWAY,20211106,R,all,701.0,15.0,-0.225,0.3125,0.504,0.375,0.5408,0.4286,0.5373,10.0,2.082,0.038,0.118,0.563,0.061,1.262,0.958,0.038,0.04,0.04,0.0,0.0,3.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.038,0.0,0.0,0.0,0.0,0.0,4.007,3.0,2.995,0.0,0.024,0.0,0.0,0.063,0.064,0.064,15.0,4.0,0.0,0.0,11.0,1.0,3.0,2.0,9.0,0.0,0.0,3199.0,0.0,0.0,0.0,0.0,4.126,0.11,0.11,0.114,0.114,5.0,1.0,3.0,9.0,0.0,0.0,0.0,6.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,9.071,6.0,6.025,0.071,0.0,0.0,0.181,0.185,0.185,5.34,0.242,0.242,0.235,0.235,4.0,4.0,7.0,15.0,0.0,0.0,0.0,8.0,0.0,0.0,0.242,0.0,0.0,0.0,0.0,0.0,14.778,8.0,7.894,0.062,0.0,0.0,0.305,0.295,0.295,1.521,1.497,53.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0
8482125,2021,Alexander Holtz,2021020186,NJD,FLA,HOME,20211109,R,all,903.0,21.0,0.775,0.6207,0.4348,0.5588,0.4419,0.6538,0.4286,5.0,5.163,0.381,0.42,1.021,0.14,3.196,1.842,0.372,0.381,0.372,0.0,1.0,3.0,4.0,0.0,7.0,1.0,0.0,0.0,0.0,2.0,0.0,4.0,1.0,3.0,7.0,1.0,2.0,0.0,1.0,0.0,0.0,6.0,1.0,0.0,0.29,0.091,0.0,0.0,0.0,0.0,7.204,7.0,7.043,0.0,0.092,0.0,0.0,0.472,0.473,0.462,21.0,5.0,3.0,3.0,10.0,1.0,5.0,3.0,12.0,0.0,0.0,2697.0,2.0,2.0,1.0,1.0,12.348,1.286,1.216,1.284,1.214,11.0,6.0,2.0,19.0,2.0,1.0,1.0,14.0,2.0,1.0,0.693,0.273,0.32,1.0,0.0,1.0,19.69,17.0,17.036,0.219,0.32,0.32,1.185,1.182,1.162,6.905,0.786,0.775,0.84,0.828,7.0,2.0,6.0,15.0,1.0,0.0,0.0,5.0,4.0,0.0,0.181,0.605,0.0,0.0,1.0,0.0,15.888,9.0,9.454,0.075,0.0,0.0,0.861,0.92,0.906,2.61,3.393,38.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
8482125,2021,Alexander Holtz,2021020199,NJD,NYI,HOME,20211111,R,all,745.0,19.0,-0.5,0.1651,0.5364,0.24,0.4587,0.2353,0.5,11.0,1.678,0.197,0.132,0.329,0.044,0.765,0.534,0.197,0.189,0.189,0.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,1.0,0.0,0.027,0.17,0.0,0.0,0.0,0.0,3.07,2.0,2.01,0.0,0.027,0.0,0.0,0.224,0.215,0.215,19.0,0.0,2.0,2.0,15.0,1.0,4.0,1.0,13.0,0.0,0.0,2855.0,0.0,0.0,0.0,0.0,3.093,0.23,0.23,0.222,0.222,3.0,1.0,2.0,6.0,0.0,0.0,0.0,3.0,1.0,0.0,0.061,0.17,0.0,0.0,0.0,0.0,6.066,4.0,3.981,0.045,0.0,0.0,0.275,0.266,0.266,9.737,1.163,1.128,1.169,1.134,10.0,3.0,6.0,19.0,0.0,2.0,0.0,10.0,1.0,2.0,0.288,0.118,0.757,0.0,0.0,0.0,18.458,13.0,12.74,0.121,0.81,0.422,0.863,0.869,0.862,2.613,2.258,50.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0
8482125,2021,Alexander Holtz,2021020215,NJD,BOS,HOME,20211113,R,all,614.0,15.0,0.125,0.4147,0.3445,0.5294,0.5607,0.4615,0.4872,12.0,0.661,0.048,0.087,0.132,0.018,0.547,0.168,0.046,0.048,0.046,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.048,0.0,0.0,0.0,0.0,0.0,1.915,1.0,1.0,0.0,0.02,0.0,0.0,0.068,0.068,0.064,15.0,3.0,1.0,3.0,8.0,3.0,4.0,1.0,7.0,0.0,0.0,2986.0,0.0,2.0,1.0,0.0,4.432,0.695,0.688,0.666,0.658,5.0,1.0,3.0,9.0,0.0,0.0,0.0,4.0,1.0,1.0,0.229,0.162,0.304,0.0,0.0,0.0,8.504,6.0,5.801,0.074,0.0,0.0,0.77,0.738,0.728,5.371,0.981,0.867,1.065,0.937,7.0,0.0,1.0,8.0,1.0,1.0,1.0,4.0,1.0,2.0,0.073,0.172,0.736,0.0,0.0,1.0,8.527,7.0,7.408,0.068,0.515,0.515,0.534,0.563,0.559,2.001,3.808,60.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0
8482125,2021,Alexander Holtz,2021020264,NJD,TBL,AWAY,20211120,R,all,435.0,13.0,0.675,0.5431,0.5278,0.5556,0.4556,0.5556,0.4359,11.0,1.523,0.143,0.125,0.275,0.043,0.828,0.587,0.135,0.144,0.136,1.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.024,0.119,0.0,0.0,0.0,0.0,2.007,2.0,1.995,0.0,0.026,0.0,0.0,0.169,0.171,0.162,13.0,2.0,0.0,2.0,9.0,2.0,2.0,5.0,4.0,0.0,0.0,3165.0,0.0,0.0,0.0,0.0,3.745,0.353,0.331,0.358,0.336,4.0,1.0,0.0,5.0,1.0,0.0,0.0,3.0,2.0,0.0,0.146,0.207,0.0,1.0,0.0,0.0,4.989,5.0,4.954,0.057,0.0,0.0,0.41,0.416,0.391,3.08,0.297,0.297,0.301,0.301,4.0,0.0,0.0,4.0,2.0,0.0,0.0,3.0,0.0,1.0,0.091,0.0,0.207,2.0,0.0,0.0,4.2,4.0,4.178,0.043,0.0,0.0,0.34,0.344,0.344,3.816,3.414,41.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0
8482125,2021,Alexander Holtz,2021020586,NJD,BOS,AWAY,20220104,R,all,590.0,15.0,-0.6,0.0,0.4288,0.0833,0.4457,0.0,0.4521,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,0.0,1.0,13.0,0.0,6.0,3.0,6.0,0.0,0.0,3010.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.554,0.369,0.366,0.362,0.36,7.0,2.0,2.0,11.0,1.0,0.0,0.0,8.0,1.0,0.0,0.25,0.119,0.0,1.0,0.0,0.0,11.092,9.0,9.173,0.071,0.0,0.0,0.44,0.432,0.43,1.945,2.591,41.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0
8482125,2021,Alexander Holtz,2021021294,NJD,CAR,AWAY,20220428,R,all,963.0,22.0,-0.375,0.2824,0.4513,0.4571,0.4691,0.4615,0.4242,3.0,0.732,0.043,0.034,0.176,0.025,0.373,0.349,0.043,0.042,0.042,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.043,0.0,0.0,0.0,0.0,0.0,0.936,1.0,0.954,0.0,0.007,0.0,0.0,0.049,0.049,0.049,22.0,4.0,0.0,5.0,13.0,2.0,4.0,3.0,13.0,0.0,0.0,2637.0,0.0,0.0,0.0,0.0,8.923,0.723,0.723,0.722,0.721,8.0,4.0,4.0,16.0,0.0,1.0,0.0,9.0,3.0,0.0,0.346,0.377,0.0,0.0,0.0,0.0,15.027,12.0,11.604,0.112,0.034,0.034,0.8,0.8,0.8,10.932,1.837,1.736,1.839,1.737,13.0,1.0,5.0,19.0,2.0,3.0,1.0,6.0,5.0,3.0,0.212,0.833,0.792,1.0,0.0,1.0,20.262,14.0,14.405,0.193,0.761,0.761,1.269,1.272,1.264,1.762,2.142,38.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0
8482125,2021,Alexander Holtz,2021021301,NJD,DET,HOME,20220429,R,all,750.0,17.0,-0.3,0.1391,0.3634,0.3684,0.4773,0.2308,0.4242,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,8.0,0.0,2.0,7.0,1.0,2.0,1.0,13.0,0.0,0.0,2850.0,0.0,0.0,0.0,0.0,2.091,0.136,0.124,0.128,0.118,2.0,1.0,4.0,7.0,0.0,0.0,0.0,2.0,1.0,0.0,0.054,0.081,0.0,0.0,0.0,0.0,6.685,3.0,2.859,0.031,0.0,0.0,0.167,0.158,0.145,7.465,0.842,0.828,0.899,0.883,10.0,0.0,2.0,12.0,0.0,0.0,0.0,5.0,4.0,1.0,0.083,0.509,0.25,0.0,0.0,0.0,12.778,10.0,10.624,0.089,0.0,0.0,0.932,0.994,0.976,2.38,4.169,42.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0
8482125,2022,Alexander Holtz,2022020012,NJD,PHI,AWAY,20221013,R,all,876.0,18.0,1.2,0.476,0.5268,0.6774,0.6458,0.6364,0.6029,8.0,4.777,0.468,0.512,1.219,0.195,1.997,1.609,0.465,0.469,0.466,0.0,0.0,4.0,2.0,1.0,7.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,1.0,0.153,0.0,0.315,0.0,0.0,1.0,6.863,6.0,5.985,0.0,0.154,0.038,0.052,0.57,0.571,0.566,18.0,4.0,0.0,2.0,12.0,2.0,3.0,4.0,9.0,0.0,0.0,2724.0,0.0,0.0,0.0,1.0,10.768,1.16,1.104,1.157,1.101,8.0,6.0,7.0,21.0,1.0,2.0,0.0,9.0,3.0,2.0,0.246,0.39,0.524,0.0,0.0,1.0,20.703,14.0,13.878,0.307,0.052,0.052,1.414,1.412,1.347,5.583,1.277,1.277,1.266,1.266,6.0,2.0,2.0,10.0,2.0,0.0,0.0,6.0,1.0,1.0,0.251,0.127,0.899,1.0,0.0,1.0,10.024,8.0,7.974,0.075,0.0,0.0,1.352,1.339,1.339,2.32,2.084,62.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0
