playerId,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts
8482100,2025,Alexander Nikishin,2025020014,CAR,NJD,HOME,20251009,D,all,934.0,19.0,1.925,0.7978,0.6643,0.7027,0.5802,0.7778,0.5593,6.0,2.134,0.102,0.126,0.641,0.067,1.185,0.879,0.098,0.098,0.094,0.0,1.0,1.0,2.0,1.0,4.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.0,3.0,1.0,1.0,3.0,0.0,0.0,0.102,0.0,0.0,0.0,0.0,0.0,3.992,3.0,2.981,1.0,0.026,0.142,0.0,0.128,0.123,0.118,19.0,2.0,0.0,4.0,13.0,1.0,2.0,2.0,14.0,0.0,0.0,2666.0,0.0,0.0,0.0,2.0,15.179,1.527,1.462,1.51,1.446,12.0,9.0,5.0,26.0,3.0,2.0,0.0,15.0,5.0,1.0,0.585,0.66,0.282,1.0,2.0,0.0,26.27,21.0,21.282,0.224,0.424,0.424,1.327,1.314,1.293,4.139,0.387,0.376,0.392,0.38,3.0,3.0,5.0,11.0,0.0,0.0,0.0,4.0,2.0,0.0,0.147,0.24,0.0,0.0,0.0,0.0,10.8,6.0,5.852,0.056,0.0,0.0,0.443,0.448,0.435,2.628,1.328,47.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0
8482100,2025,Alexander Nikishin,2025020030,CAR,PHI,HOME,20251011,D,all,1008.0,23.0,0.55,0.5275,0.679,0.4146,0.7143,0.4,0.7465,6.0,1.58,0.172,0.132,0.355,0.044,0.769,0.527,0.172,0.171,0.171,0.0,1.0,2.0,0.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,4.0,0.0,1.0,1.0,1.0,0.0,0.023,0.149,0.0,0.0,0.0,0.0,3.881,2.0,2.01,1.0,0.029,0.0,0.0,0.202,0.2,0.2,23.0,5.0,2.0,3.0,13.0,3.0,3.0,5.0,12.0,0.0,0.0,2875.0,0.0,0.0,0.0,1.0,8.876,1.602,1.458,1.558,1.418,8.0,4.0,5.0,17.0,2.0,3.0,1.0,5.0,5.0,2.0,0.201,0.71,0.691,0.0,1.0,1.0,16.747,12.0,12.071,0.162,0.701,0.701,1.063,1.033,1.011,13.98,1.435,1.383,1.507,1.452,13.0,5.0,6.0,24.0,2.0,3.0,0.0,11.0,5.0,2.0,0.32,0.587,0.529,2.0,0.0,0.0,25.009,18.0,18.671,0.272,0.555,0.555,1.153,1.209,1.187,4.256,2.012,70.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0
8482100,2025,Alexander Nikishin,2025020055,CAR,SJS,AWAY,20251014,D,all,1034.0,23.0,1.875,0.6646,0.5454,0.6667,0.7143,0.75,0.6866,6.0,2.902,0.12,0.153,0.92,0.085,1.548,1.175,0.118,0.127,0.126,1.0,0.0,3.0,1.0,1.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,3.0,4.0,1.0,2.0,0.0,1.0,0.0,1.0,4.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,5.413,4.0,4.252,1.0,0.032,0.0,0.0,0.152,0.162,0.16,23.0,4.0,1.0,3.0,15.0,4.0,1.0,4.0,14.0,0.0,0.0,2566.0,2.0,0.0,0.0,1.0,13.732,1.094,1.077,1.203,1.185,13.0,5.0,6.0,24.0,2.0,0.0,0.0,14.0,3.0,1.0,0.516,0.358,0.22,0.0,2.0,0.0,26.337,18.0,19.481,0.184,0.0,0.0,1.278,1.403,1.382,4.922,0.552,0.541,0.523,0.512,4.0,2.0,6.0,12.0,0.0,0.0,0.0,4.0,2.0,0.0,0.192,0.361,0.0,0.0,0.0,0.0,11.379,6.0,5.734,0.074,0.0,0.0,0.626,0.593,0.579,2.392,1.994,60.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
8482100,2025,Alexander Nikishin,2025020070,CAR,ANA,AWAY,20251016,D,all,997.0,21.0,1.3,0.7551,0.6428,0.5429,0.5375,0.5,0.5714,6.0,1.382,0.098,0.086,0.327,0.041,0.865,0.583,0.058,0.107,0.064,0.0,0.0,2.0,0.0,3.0,5.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,0.098,0.0,0.0,1.0,0.0,0.0,5.535,2.0,2.176,2.0,0.017,0.0,0.0,0.115,0.126,0.077,21.0,2.0,0.0,5.0,14.0,3.0,6.0,1.0,11.0,0.0,0.0,2603.0,0.0,0.0,0.0,1.0,9.467,1.175,0.969,1.288,1.062,11.0,1.0,7.0,19.0,1.0,2.0,0.0,7.0,4.0,1.0,0.337,0.621,0.217,1.0,0.0,0.0,20.744,12.0,13.226,0.144,0.401,0.401,0.918,1.007,0.89,8.113,0.381,0.374,0.35,0.344,7.0,5.0,4.0,16.0,0.0,0.0,0.0,11.0,1.0,0.0,0.3,0.081,0.0,0.0,0.0,0.0,14.813,12.0,11.044,0.105,0.0,0.0,0.486,0.447,0.439,3.722,2.068,43.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0
8482100,2025,Alexander Nikishin,2025020086,CAR,LAK,AWAY,20251018,D,all,1223.0,25.0,-0.75,0.2589,0.7376,0.3333,0.6667,0.3125,0.7077,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.34,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,4.0,3.0,4.0,14.0,3.0,4.0,6.0,12.0,0.0,0.0,2482.0,0.0,0.0,0.0,0.0,7.877,0.547,0.542,0.605,0.601,8.0,2.0,5.0,15.0,0.0,0.0,0.0,7.0,3.0,0.0,0.153,0.394,0.0,0.0,0.0,0.0,16.922,10.0,11.277,0.075,0.0,0.0,0.622,0.689,0.683,16.959,1.566,1.435,1.438,1.32,13.0,9.0,8.0,30.0,0.0,2.0,0.0,15.0,5.0,2.0,0.247,0.641,0.678,0.0,0.0,0.0,27.012,22.0,20.04,0.229,0.556,0.556,1.238,1.144,1.126,3.381,1.203,62.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0
8482100,2025,Alexander Nikishin,2025020097,CAR,VGK,AWAY,20251020,D,all,1268.0,26.0,-0.125,0.2794,0.359,0.449,0.5882,0.3462,0.5833,3.0,0.821,0.023,0.041,0.479,0.025,0.268,0.164,0.023,0.024,0.024,0.0,0.0,1.0,0.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.023,0.0,0.0,0.0,0.0,0.0,4.95,1.0,1.03,0.0,0.01,0.0,0.0,0.032,0.034,0.034,26.0,3.0,1.0,5.0,17.0,2.0,6.0,1.0,17.0,0.0,0.0,2332.0,2.0,0.0,0.0,5.0,6.554,0.318,0.318,0.322,0.322,6.0,3.0,13.0,22.0,0.0,0.0,0.0,9.0,0.0,0.0,0.318,0.0,0.0,0.0,0.0,0.0,21.558,9.0,8.857,0.082,0.0,0.0,0.4,0.405,0.405,11.704,0.82,0.817,0.82,0.816,14.0,3.0,10.0,27.0,1.0,2.0,0.0,14.0,3.0,0.0,0.451,0.37,0.0,0.0,1.0,0.0,27.77,17.0,17.54,0.175,0.102,0.102,0.893,0.891,0.89,1.125,2.009,40.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0
8482100,2025,Alexander Nikishin,2025020121,CAR,COL,AWAY,20251023,D,all,882.0,23.0,0.25,0.6591,0.2949,0.5161,0.3654,0.5357,0.3171,5.0,1.418,0.382,0.083,0.284,0.038,0.74,0.473,0.382,0.384,0.384,0.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,1.0,2.0,0.0,1.0,0.0,2.0,1.0,0.0,1.0,0.013,0.0,0.37,0.0,0.0,0.0,3.257,2.0,2.146,0.0,0.03,0.885,0.0,0.413,0.415,0.415,23.0,3.0,1.0,3.0,16.0,1.0,4.0,7.0,11.0,0.0,0.0,3018.0,2.0,0.0,0.0,1.0,12.087,2.798,2.445,2.926,2.57,14.0,1.0,1.0,16.0,4.0,3.0,1.0,8.0,0.0,7.0,0.175,0.0,2.622,1.0,0.0,3.0,17.845,15.0,16.489,0.192,1.358,1.358,1.632,1.714,1.688,10.578,1.447,1.39,1.359,1.305,9.0,4.0,2.0,15.0,1.0,2.0,0.0,7.0,3.0,3.0,0.166,0.423,0.859,0.0,0.0,1.0,13.696,13.0,11.976,0.174,0.573,0.573,1.048,0.974,0.959,1.785,4.267,38.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0
8482100,2025,Alexander Nikishin,2025020138,CAR,DAL,AWAY,20251025,D,all,1349.0,29.0,0.375,0.178,0.4496,0.5385,0.6667,0.4688,0.6,2.0,1.35,0.026,0.066,0.382,0.04,0.859,0.627,0.026,0.028,0.028,0.0,0.0,1.0,1.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,3.0,1.0,0.0,2.0,0.0,0.0,0.026,0.0,0.0,0.0,0.0,0.0,4.167,2.0,2.131,0.0,0.013,0.0,0.0,0.039,0.041,0.041,29.0,4.0,7.0,5.0,13.0,2.0,4.0,3.0,20.0,0.0,0.0,2251.0,0.0,0.0,0.0,1.0,11.143,0.68,0.677,0.72,0.717,8.0,7.0,13.0,28.0,0.0,1.0,0.0,12.0,3.0,0.0,0.336,0.344,0.0,0.0,0.0,0.0,29.195,15.0,15.71,0.123,0.028,0.028,0.775,0.819,0.816,14.178,3.141,2.768,3.08,2.714,15.0,2.0,7.0,24.0,0.0,4.0,0.0,6.0,5.0,6.0,0.24,0.533,2.368,0.0,0.0,0.0,23.325,17.0,16.545,0.252,1.156,1.156,2.237,2.193,2.096,1.756,2.15,54.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0
8482100,2025,Alexander Nikishin,2025020155,CAR,VGK,HOME,20251028,D,all,1653.0,33.0,0.5,0.258,0.2751,0.4776,0.434,0.4694,0.4054,1.0,3.38,0.094,0.194,0.703,0.11,2.324,1.575,0.093,0.092,0.092,0.0,0.0,4.0,1.0,2.0,7.0,0.0,0.0,1.0,0.0,3.0,0.0,1.0,0.0,4.0,5.0,0.0,0.0,0.0,3.0,0.0,3.0,5.0,0.0,0.0,0.094,0.0,0.0,0.0,0.0,0.0,6.8,5.0,4.888,2.0,0.045,0.01,0.0,0.139,0.137,0.136,33.0,3.0,10.0,3.0,17.0,5.0,4.0,5.0,19.0,0.0,0.0,1947.0,0.0,0.0,0.0,3.0,16.343,1.338,1.32,1.29,1.273,15.0,8.0,9.0,32.0,1.0,1.0,0.0,17.0,5.0,1.0,0.53,0.536,0.272,0.0,1.0,0.0,31.231,23.0,22.506,0.23,0.01,0.01,1.558,1.503,1.483,20.179,3.849,3.575,3.948,3.661,19.0,7.0,9.0,35.0,2.0,2.0,0.0,16.0,4.0,6.0,0.49,0.376,2.983,0.0,0.0,2.0,36.201,26.0,26.893,0.25,0.779,0.779,3.32,3.393,3.293,0.671,1.768,23.0,30.0,0.0,0.0,0.0,0.0,0.0,0.0
8482100,2025,Alexander Nikishin,2025020171,CAR,NYI,HOME,20251030,D,all,1228.0,29.0,1.425,0.6774,0.6876,0.5,0.6173,0.4857,0.625,3.0,1.514,0.142,0.101,0.291,0.044,0.607,0.815,0.142,0.142,0.142,1.0,0.0,1.0,1.0,1.0,3.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,4.0,0.0,1.0,1.0,1.0,0.0,0.015,0.126,0.0,0.0,0.0,0.0,3.148,2.0,2.05,1.0,0.021,0.161,0.0,0.163,0.163,0.163,29.0,3.0,7.0,4.0,15.0,6.0,4.0,6.0,13.0,0.0,0.0,2372.0,2.0,2.0,1.0,1.0,13.409,2.058,1.943,2.1,1.982,11.0,6.0,6.0,23.0,3.0,4.0,1.0,6.0,7.0,4.0,0.167,0.928,0.963,0.0,1.0,2.0,24.838,17.0,17.692,0.261,0.75,0.75,1.569,1.602,1.57,14.067,0.98,0.955,0.965,0.94,12.0,6.0,5.0,23.0,0.0,3.0,0.0,15.0,2.0,1.0,0.555,0.205,0.22,0.0,0.0,0.0,22.02,18.0,17.462,0.241,0.172,0.172,1.049,1.033,1.001,3.777,1.716,50.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0
