gameId,teamAbbrev,homeRoadFlag,gameDate,goals,assists,commonName,opponentCommonName,points,plusMinus,powerPlayGoals,powerPlayPoints,gameWinningGoals,otGoals,shots,shifts,shorthandedGoals,shorthandedPoints,pim,toi,opponentAbbrev,season
2025021305,SJS,R,2026-04-15,0,0,{'default': 'Sharks'},{'default': 'Blackhawks'},0,0,0,0,0,0,0,22,0,0,0,19:52,CHI,2025
2025021287,SJS,R,2026-04-13,0,1,{'default': 'Sharks'},{'default': 'Predators'},1,0,0,0,0,0,0,22,0,0,0,20:54,NSH,2025
2025021275,SJS,H,2026-04-11,0,0,{'default': 'Sharks'},{'default': 'Canucks'},0,0,0,0,0,0,1,24,0,0,0,21:35,VAN,2025
2025021258,SJS,R,2026-04-09,0,0,{'default': 'Sharks'},{'default': 'Ducks'},0,-1,0,0,0,0,2,19,0,0,0,15:40,ANA,2025
2025021246,SJS,H,2026-04-08,0,1,{'default': 'Sharks'},{'default': 'Oilers'},1,1,0,0,0,0,0,22,0,0,0,20:52,EDM,2025
2025021231,SJS,H,2026-04-06,0,1,{'default': 'Sharks'},{'default': 'Blackhawks'},1,1,0,0,0,0,1,21,0,0,0,19:14,CHI,2025
2025021220,SJS,H,2026-04-04,1,0,{'default': 'Sharks'},{'default': 'Predators'},1,-1,0,0,0,0,2,23,0,0,0,20:31,NSH,2025
2025021202,SJS,H,2026-04-02,0,1,{'default': 'Sharks'},{'default': 'Maple Leafs'},1,1,0,0,0,0,1,19,0,0,0,18:21,TOR,2025
2025021190,SJS,H,2026-04-01,1,0,{'default': 'Sharks'},{'default': 'Ducks'},1,0,0,0,1,0,2,23,0,0,0,20:48,ANA,2025
2025021177,SJS,H,2026-03-30,2,1,{'default': 'Sharks'},{'default': 'Blues'},3,-2,2,3,0,0,2,21,0,0,0,19:57,STL,2025
2025021158,SJS,R,2026-03-28,0,1,{'default': 'Sharks'},{'default': 'Blue Jackets'},1,-1,0,1,0,0,0,18,0,0,0,16:47,CBJ,2025
2025021143,SJS,R,2026-03-26,1,0,{'default': 'Sharks'},{'default': 'Blues'},1,1,0,0,0,0,2,21,0,0,0,22:37,STL,2025
2025021129,SJS,R,2026-03-24,0,0,{'default': 'Sharks'},{'default': 'Predators'},0,0,0,0,0,0,1,19,0,0,0,18:54,NSH,2025
2025021103,SJS,H,2026-03-21,0,0,{'default': 'Sharks'},{'default': 'Flyers'},0,-3,0,0,0,0,1,24,0,0,0,24:24,PHI,2025
2025021092,SJS,H,2026-03-19,0,0,{'default': 'Sharks'},{'default': 'Sabres'},0,-2,0,0,0,0,0,21,0,0,2,17:42,BUF,2025
2025021073,SJS,R,2026-03-17,0,1,{'default': 'Sharks'},{'default': 'Oilers'},1,0,0,0,0,0,2,23,0,0,0,19:19,EDM,2025
2025021048,SJS,R,2026-03-14,0,1,{'default': 'Sharks'},{'default': 'Canadiens'},1,0,0,0,0,0,0,18,0,0,0,16:45,MTL,2025
2025021027,SJS,R,2026-03-12,0,1,{'default': 'Sharks'},{'default': 'Bruins'},1,0,0,0,0,0,0,24,0,1,0,18:32,BOS,2025
2025021013,SJS,R,2026-03-10,1,1,{'default': 'Sharks'},{'default': 'Sabres'},2,-4,1,1,0,0,4,21,0,0,0,17:12,BUF,2025
2025020999,SJS,H,2026-03-07,0,0,{'default': 'Sharks'},{'default': 'Islanders'},0,0,0,0,0,0,1,23,0,0,0,21:39,NYI,2025
2025020989,SJS,H,2026-03-06,0,0,{'default': 'Sharks'},{'default': 'Blues'},0,0,0,0,0,0,0,24,0,0,0,20:22,STL,2025
2025020969,SJS,H,2026-03-03,1,0,{'default': 'Sharks'},{'default': 'Canadiens'},1,2,0,0,0,0,3,24,0,0,2,18:54,MTL,2025
2025020950,SJS,H,2026-03-01,0,0,{'default': 'Sharks'},{'default': 'Jets'},0,0,0,0,0,0,0,22,0,0,0,20:57,WPG,2025
2025020936,SJS,H,2026-02-28,1,0,{'default': 'Sharks'},{'default': 'Oilers'},1,0,0,0,0,0,1,23,0,0,0,18:30,EDM,2025
2025020928,SJS,H,2026-02-26,0,0,{'default': 'Sharks'},{'default': 'Flames'},0,-1,0,0,0,0,3,23,0,0,0,21:56,CGY,2025
2025020897,SJS,R,2026-02-04,0,1,{'default': 'Sharks'},{'default': 'Avalanche'},1,0,0,0,0,0,1,24,0,0,2,20:12,COL,2025
2025020881,SJS,R,2026-02-02,0,0,{'default': 'Sharks'},{'default': 'Blackhawks'},0,-1,0,0,0,0,1,23,0,0,2,21:27,CHI,2025
2025020863,SJS,R,2026-01-31,0,1,{'default': 'Sharks'},{'default': 'Flames'},1,-1,0,1,0,0,2,24,0,0,0,24:30,CGY,2025
2025020854,SJS,R,2026-01-29,0,0,{'default': 'Sharks'},{'default': 'Oilers'},0,-1,0,0,0,0,0,23,0,0,0,21:10,EDM,2025
2025020838,SJS,R,2026-01-27,0,1,{'default': 'Sharks'},{'default': 'Canucks'},1,0,0,0,0,0,2,23,0,0,0,20:06,VAN,2025
2025020808,SJS,H,2026-01-23,0,0,{'default': 'Sharks'},{'default': 'Rangers'},0,0,0,0,0,0,0,24,0,0,0,24:28,NYR,2025
2025020781,SJS,R,2026-01-20,0,1,{'default': 'Sharks'},{'default': 'Lightning'},1,-2,0,0,0,0,0,21,0,0,0,21:11,TBL,2025
2025020773,SJS,R,2026-01-19,0,1,{'default': 'Sharks'},{'default': 'Panthers'},1,2,0,0,0,0,1,27,0,0,0,20:03,FLA,2025
2025020749,SJS,R,2026-01-16,0,0,{'default': 'Sharks'},{'default': 'Red Wings'},0,-1,0,0,0,0,0,21,0,0,0,20:00,DET,2025
2025020742,SJS,R,2026-01-15,0,0,{'default': 'Sharks'},{'default': 'Capitals'},0,0,0,0,0,0,2,22,0,0,0,20:06,WSH,2025
2025020715,SJS,H,2026-01-11,1,0,{'default': 'Sharks'},{'default': 'Golden Knights'},1,-1,0,0,0,0,1,22,0,0,0,21:06,VGK,2025
2025020700,SJS,H,2026-01-10,1,0,{'default': 'Sharks'},{'default': 'Stars'},1,-1,1,1,0,0,4,23,0,0,0,23:59,DAL,2025
