gameId,teamAbbrev,homeRoadFlag,gameDate,goals,assists,commonName,opponentCommonName,points,plusMinus,powerPlayGoals,powerPlayPoints,gameWinningGoals,otGoals,shots,shifts,shorthandedGoals,shorthandedPoints,toi,opponentAbbrev,pim,season
2025020771,WSH,R,2026-01-19,0,0,{'default': 'Capitals'},{'default': 'Avalanche'},0,-1,0,0,0,0,1,21,0,0,12:46,COL,2,2025
2025020761,WSH,H,2026-01-17,0,0,{'default': 'Capitals'},{'default': 'Panthers'},0,-2,0,0,0,0,2,23,0,0,18:03,FLA,0,2025
2025020742,WSH,H,2026-01-15,0,0,{'default': 'Capitals'},{'default': 'Sharks'},0,1,0,0,0,0,3,19,0,0,15:24,SJS,0,2025
2025020727,WSH,H,2026-01-13,0,1,{'default': 'Capitals'},{'default': 'Canadiens'},1,0,0,0,0,0,1,24,0,0,19:31,MTL,0,2025
2025020713,WSH,R,2026-01-11,0,0,{'default': 'Capitals'},{'default': 'Predators'},0,-1,0,0,0,0,4,27,0,0,19:23,NSH,2,2025
2025020694,WSH,R,2026-01-09,1,0,{'default': 'Capitals'},{'default': 'Blackhawks'},1,2,0,0,0,0,3,21,0,0,17:54,CHI,0,2025
2025020677,WSH,H,2026-01-07,0,0,{'default': 'Capitals'},{'default': 'Stars'},0,-1,0,0,0,0,3,17,0,0,17:45,DAL,0,2025
2025020663,WSH,H,2026-01-05,0,0,{'default': 'Capitals'},{'default': 'Ducks'},0,1,0,0,0,0,0,32,0,0,20:58,ANA,0,2025
2025020652,WSH,H,2026-01-03,0,1,{'default': 'Capitals'},{'default': 'Blackhawks'},1,1,0,0,0,0,3,25,0,0,20:07,CHI,0,2025
2025020632,WSH,R,2026-01-01,0,0,{'default': 'Capitals'},"{'default': 'Senators', 'fr': 'Sénateurs'}",0,-1,0,0,0,0,2,19,0,0,15:27,OTT,2,2025
2025020622,WSH,H,2025-12-31,1,0,{'default': 'Capitals'},{'default': 'Rangers'},1,1,0,0,0,0,2,20,0,0,15:10,NYR,0,2025
2025020607,WSH,R,2025-12-29,0,0,{'default': 'Capitals'},{'default': 'Panthers'},0,0,0,0,0,0,0,20,0,0,14:17,FLA,2,2025
2025020592,WSH,R,2025-12-27,1,0,{'default': 'Capitals'},{'default': 'Devils'},1,1,0,0,0,0,3,21,0,0,17:14,NJD,2,2025
2025020576,WSH,H,2025-12-23,0,0,{'default': 'Capitals'},{'default': 'Rangers'},0,-2,0,0,0,0,2,21,0,0,16:22,NYR,0,2025
2025020562,WSH,R,2025-12-21,0,0,{'default': 'Capitals'},{'default': 'Red Wings'},0,1,0,0,0,0,5,20,0,0,15:41,DET,0,2025
2025020550,WSH,H,2025-12-20,0,0,{'default': 'Capitals'},{'default': 'Red Wings'},0,-2,0,0,0,0,0,18,0,0,13:52,DET,0,2025
2025020539,WSH,H,2025-12-18,0,0,{'default': 'Capitals'},{'default': 'Maple Leafs'},0,0,0,0,0,0,2,18,0,0,13:53,TOR,0,2025
2025020526,WSH,R,2025-12-16,0,0,{'default': 'Capitals'},{'default': 'Wild'},0,-3,0,0,0,0,3,18,0,0,12:35,MIN,0,2025
2025020503,WSH,R,2025-12-13,0,0,{'default': 'Capitals'},{'default': 'Jets'},0,-1,0,0,0,0,2,22,0,0,17:12,WPG,0,2025
2025020485,WSH,H,2025-12-11,0,0,{'default': 'Capitals'},{'default': 'Hurricanes'},0,0,0,0,0,0,3,20,0,0,18:52,CAR,0,2025
2025020459,WSH,H,2025-12-07,0,1,{'default': 'Capitals'},{'default': 'Blue Jackets'},1,2,0,0,0,0,1,20,0,0,17:00,CBJ,0,2025
2025020440,WSH,R,2025-12-05,0,0,{'default': 'Capitals'},{'default': 'Ducks'},0,-1,0,0,0,0,1,21,0,0,15:31,ANA,0,2025
2025020425,WSH,R,2025-12-03,0,0,{'default': 'Capitals'},{'default': 'Sharks'},0,1,0,0,0,0,1,19,0,0,16:14,SJS,4,2025
2025020420,WSH,R,2025-12-02,1,0,{'default': 'Capitals'},{'default': 'Kings'},1,0,0,0,1,0,2,21,0,0,16:24,LAK,0,2025
2025020402,WSH,R,2025-11-30,0,1,{'default': 'Capitals'},{'default': 'Islanders'},1,1,0,0,0,0,2,22,0,0,16:55,NYI,2,2025
2025020386,WSH,H,2025-11-28,1,0,{'default': 'Capitals'},{'default': 'Maple Leafs'},1,0,0,0,0,0,4,22,0,0,18:18,TOR,0,2025
2025020367,WSH,H,2025-11-26,0,1,{'default': 'Capitals'},{'default': 'Jets'},1,0,0,0,0,0,2,26,0,0,19:54,WPG,0,2025
2025020356,WSH,H,2025-11-24,0,0,{'default': 'Capitals'},{'default': 'Blue Jackets'},0,0,0,0,0,0,2,19,0,0,15:11,CBJ,0,2025
