gameId,teamAbbrev,homeRoadFlag,gameDate,goals,assists,commonName,opponentCommonName,points,plusMinus,powerPlayGoals,powerPlayPoints,gameWinningGoals,otGoals,shots,shifts,shorthandedGoals,shorthandedPoints,toi,opponentAbbrev,pim,season
2025021217,LAK,H,2026-04-04,1,2,{'default': 'Kings'},{'default': 'Maple Leafs'},3,1,0,0,0,0,5,25,0,0,22:19,TOR,0,2025
2025021204,LAK,H,2026-04-02,0,1,{'default': 'Kings'},{'default': 'Predators'},1,1,0,0,0,0,2,24,0,0,20:53,NSH,2,2025
2025021189,LAK,H,2026-04-01,0,1,{'default': 'Kings'},{'default': 'Blues'},1,0,0,1,0,0,0,22,0,0,21:01,STL,0,2025
2025021164,LAK,H,2026-03-28,0,0,{'default': 'Kings'},{'default': 'Mammoth'},0,0,0,0,0,0,3,23,0,0,21:59,UTA,0,2025
2025021149,LAK,R,2026-03-26,1,0,{'default': 'Kings'},{'default': 'Canucks'},1,1,0,0,0,0,4,21,0,0,20:22,VAN,0,2025
2025021133,LAK,R,2026-03-24,0,0,{'default': 'Kings'},{'default': 'Flames'},0,0,0,0,0,0,3,23,0,0,22:05,CGY,0,2025
2025021118,LAK,R,2026-03-22,1,0,{'default': 'Kings'},{'default': 'Mammoth'},1,0,0,0,0,0,4,27,0,0,20:58,UTA,0,2025
2025021102,LAK,H,2026-03-21,1,0,{'default': 'Kings'},{'default': 'Sabres'},1,-2,1,1,0,0,3,23,0,0,22:06,BUF,0,2025
2025021093,LAK,H,2026-03-19,1,1,{'default': 'Kings'},{'default': 'Flyers'},2,1,1,1,0,0,4,26,0,0,26:25,PHI,2,2025
2025021065,LAK,R,2026-03-16,0,1,{'default': 'Kings'},{'default': 'Rangers'},1,1,0,0,0,0,2,22,0,0,15:42,NYR,0,2025
2025021050,LAK,R,2026-03-14,1,2,{'default': 'Kings'},{'default': 'Devils'},3,-2,0,2,0,0,2,23,0,0,20:20,NJD,0,2025
2025021041,LAK,R,2026-03-13,0,1,{'default': 'Kings'},{'default': 'Islanders'},1,1,0,0,0,0,4,19,0,0,19:49,NYI,0,2025
2025021012,LAK,R,2026-03-10,0,0,{'default': 'Kings'},{'default': 'Bruins'},0,-1,0,0,0,0,2,23,0,0,17:57,BOS,0,2025
2025020828,LAK,R,2026-03-09,1,1,{'default': 'Kings'},{'default': 'Blue Jackets'},2,3,0,0,0,0,2,23,0,0,21:19,CBJ,0,2025
2025020997,LAK,H,2026-03-07,0,1,{'default': 'Kings'},{'default': 'Canadiens'},1,2,0,0,0,0,5,25,0,0,23:46,MTL,0,2025
2025020982,LAK,H,2026-03-05,1,1,{'default': 'Kings'},{'default': 'Islanders'},2,3,0,0,0,0,2,22,0,0,23:36,NYI,0,2025
2025020958,LAK,H,2026-03-02,0,0,{'default': 'Kings'},{'default': 'Avalanche'},0,-1,0,0,0,0,1,24,0,0,22:24,COL,0,2025
