gameId,teamAbbrev,homeRoadFlag,gameDate,goals,assists,commonName,opponentCommonName,points,plusMinus,powerPlayGoals,powerPlayPoints,gameWinningGoals,otGoals,shots,shifts,shorthandedGoals,shorthandedPoints,opponentAbbrev,toi,pim,season
2025021029,TOR,H,2026-03-12,1,0,{'default': 'Maple Leafs'},{'default': 'Ducks'},1,0,1,1,0,0,2,14,0,0,ANA,13:18,0,2025
2025021014,TOR,R,2026-03-10,0,0,{'default': 'Maple Leafs'},{'default': 'Canadiens'},0,0,0,0,0,0,2,25,0,0,MTL,22:28,0,2025
2025020994,TOR,H,2026-03-07,0,0,{'default': 'Maple Leafs'},{'default': 'Lightning'},0,-2,0,0,0,0,6,21,0,0,TBL,19:17,0,2025
2025020975,TOR,R,2026-03-05,0,0,{'default': 'Maple Leafs'},{'default': 'Rangers'},0,0,0,0,0,0,4,23,0,0,NYR,20:46,0,2025
2025020971,TOR,R,2026-03-04,0,1,{'default': 'Maple Leafs'},{'default': 'Devils'},1,-1,0,1,0,0,6,28,0,0,NJD,24:57,0,2025
2025020954,TOR,H,2026-03-02,0,0,{'default': 'Maple Leafs'},{'default': 'Flyers'},0,-1,0,0,0,0,8,27,0,0,PHI,26:06,0,2025
2025020939,TOR,H,2026-02-28,0,1,{'default': 'Maple Leafs'},"{'default': 'Senators', 'fr': 'Sénateurs'}",1,-1,0,0,0,0,2,24,0,0,OTT,17:55,0,2025
2025020921,TOR,R,2026-02-26,0,1,{'default': 'Maple Leafs'},{'default': 'Panthers'},1,-4,0,1,0,0,2,25,0,0,FLA,18:34,0,2025
2025020912,TOR,R,2026-02-25,0,1,{'default': 'Maple Leafs'},{'default': 'Lightning'},1,1,0,0,0,0,2,20,0,0,TBL,22:54,2,2025
2025020891,TOR,R,2026-02-03,0,1,{'default': 'Maple Leafs'},{'default': 'Oilers'},1,0,0,0,0,0,0,25,0,0,EDM,21:11,0,2025
2025020885,TOR,R,2026-02-02,0,1,{'default': 'Maple Leafs'},{'default': 'Flames'},1,2,0,0,0,0,2,21,0,0,CGY,16:35,0,2025
2025020869,TOR,R,2026-01-31,0,1,{'default': 'Maple Leafs'},{'default': 'Canucks'},1,1,0,0,0,0,7,25,0,0,VAN,22:30,0,2025
