playerId,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts
8480849,2019,Barrett Hayton,2019020057,ARI,VGK,HOME,20191010,C,all,684.0,20.0,1.125,0.6434,0.4785,0.6429,0.3684,0.6,0.377,12.0,0.935,0.185,0.097,0.173,0.017,0.335,0.192,0.185,0.185,0.185,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.185,0.0,0.0,0.0,0.0,1.026,1.0,1.038,0.0,0.022,0.0,0.0,0.207,0.206,0.206,20.0,3.0,1.0,3.0,13.0,3.0,9.0,3.0,5.0,0.0,0.0,2916.0,2.0,2.0,1.0,0.0,9.359,0.967,0.948,0.962,0.943,12.0,0.0,6.0,18.0,1.0,1.0,0.0,7.0,5.0,0.0,0.242,0.725,0.0,1.0,0.0,0.0,18.936,12.0,12.386,0.171,0.189,0.189,0.949,0.944,0.935,5.949,0.536,0.526,0.528,0.518,7.0,1.0,2.0,10.0,0.0,1.0,0.0,6.0,1.0,1.0,0.181,0.122,0.234,0.0,0.0,0.0,9.443,8.0,7.787,0.081,0.234,0.234,0.384,0.378,0.376,1.401,1.527,28.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
8480849,2019,Barrett Hayton,2019020072,ARI,COL,AWAY,20191012,C,all,691.0,15.0,0.45,0.5356,0.3281,0.7143,0.4767,0.6471,0.4769,11.0,1.454,0.023,0.091,0.431,0.05,0.899,0.506,0.023,0.023,0.023,0.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.023,0.0,0.0,0.0,0.0,0.0,3.0,2.0,2.0,0.0,0.022,0.05,0.0,0.045,0.045,0.045,15.0,3.0,1.0,3.0,8.0,4.0,1.0,2.0,8.0,0.0,0.0,3118.0,0.0,4.0,2.0,0.0,8.2,0.399,0.398,0.414,0.414,9.0,2.0,4.0,15.0,0.0,1.0,0.0,10.0,1.0,0.0,0.2,0.199,0.0,0.0,0.0,0.0,15.224,11.0,11.152,0.156,0.05,0.05,0.504,0.521,0.521,4.708,0.346,0.337,0.343,0.333,6.0,0.0,0.0,6.0,1.0,0.0,0.0,4.0,2.0,0.0,0.093,0.253,0.0,0.0,1.0,0.0,6.096,6.0,6.098,0.067,0.0,0.0,0.414,0.409,0.398,1.063,2.177,41.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0
8480849,2019,Barrett Hayton,2019020157,ARI,N.J,AWAY,20191025,C,all,774.0,18.0,1.025,0.3963,0.3597,0.4211,0.3529,0.4375,0.3333,9.0,0.758,0.18,0.063,0.118,0.029,0.361,0.25,0.18,0.197,0.197,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.18,0.0,0.0,1.0,0.0,1.103,1.0,1.1,0.0,0.014,0.0,0.0,0.194,0.213,0.213,18.0,4.0,1.0,1.0,12.0,2.0,3.0,5.0,8.0,2.0,2.0,2826.0,0.0,0.0,0.0,0.0,5.099,0.346,0.346,0.368,0.368,5.0,2.0,1.0,8.0,2.0,0.0,0.0,5.0,2.0,0.0,0.081,0.265,0.0,0.0,2.0,0.0,8.341,7.0,7.287,0.058,0.0,0.0,0.404,0.428,0.428,5.841,0.527,0.52,0.503,0.496,7.0,2.0,2.0,11.0,0.0,0.0,0.0,6.0,3.0,0.0,0.171,0.356,0.0,0.0,0.0,0.0,10.535,9.0,8.605,0.081,0.0,0.0,0.608,0.58,0.571,1.339,2.384,24.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0
8480849,2019,Barrett Hayton,2019020177,ARI,BUF,AWAY,20191028,C,all,806.0,15.0,1.125,0.5134,0.5928,0.52,0.5714,0.5652,0.5641,9.0,2.783,0.171,0.18,0.609,0.089,1.744,1.208,0.169,0.171,0.169,1.0,0.0,3.0,1.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.171,0.0,0.0,0.0,0.0,0.0,3.9,4.0,3.857,0.0,0.036,0.0,0.0,0.207,0.207,0.206,15.0,1.0,1.0,2.0,11.0,5.0,1.0,1.0,8.0,0.0,0.0,3094.0,0.0,0.0,0.0,0.0,9.443,0.538,0.536,0.546,0.544,10.0,3.0,0.0,13.0,1.0,0.0,0.0,12.0,1.0,0.0,0.397,0.141,0.0,1.0,0.0,0.0,12.789,13.0,12.668,0.1,0.0,0.0,0.638,0.647,0.644,7.192,0.51,0.507,0.513,0.509,8.0,2.0,2.0,12.0,0.0,0.0,0.0,8.0,1.0,1.0,0.199,0.105,0.206,0.0,0.0,0.0,12.304,10.0,10.397,0.083,0.0,0.0,0.594,0.596,0.592,3.281,2.254,52.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0
8480849,2019,Barrett Hayton,2019020192,ARI,MTL,HOME,20191030,C,all,821.0,20.0,-0.235,0.2379,0.6383,0.4444,0.5313,0.3913,0.507,9.0,2.005,0.192,0.13,0.621,0.074,1.137,0.846,0.167,0.175,0.153,0.0,0.0,1.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,2.0,0.0,1.0,1.0,2.0,1.0,0.0,0.032,0.159,0.0,0.0,0.0,0.0,3.497,3.0,2.673,0.0,0.027,0.0,0.0,0.219,0.2,0.175,20.0,5.0,2.0,2.0,11.0,1.0,3.0,1.0,15.0,2.0,3.0,2779.0,0.0,0.0,0.0,0.0,6.102,0.343,0.316,0.312,0.287,6.0,3.0,3.0,12.0,0.0,0.0,0.0,8.0,1.0,0.0,0.184,0.159,0.0,0.0,0.0,0.0,10.64,9.0,8.016,0.072,0.0,0.0,0.415,0.377,0.348,10.513,1.099,1.03,1.23,1.151,13.0,1.0,1.0,15.0,1.0,1.0,1.0,9.0,4.0,1.0,0.162,0.549,0.387,0.0,0.0,1.0,16.97,14.0,15.654,0.129,0.387,0.387,0.841,0.926,0.922,3.2,1.813,51.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0
8480849,2019,Barrett Hayton,2019020214,ARI,COL,HOME,20191102,C,all,862.0,22.0,0.64,0.388,0.6693,0.3571,0.4819,0.3333,0.5152,6.0,1.568,0.076,0.118,0.376,0.058,0.783,0.589,0.075,0.078,0.077,1.0,0.0,2.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.076,0.0,0.0,0.0,0.0,0.0,3.128,2.0,2.089,1.0,0.025,0.0,0.0,0.1,0.103,0.102,22.0,7.0,0.0,1.0,14.0,3.0,6.0,3.0,10.0,0.0,1.0,2738.0,2.0,2.0,1.0,0.0,5.083,0.485,0.474,0.484,0.473,6.0,1.0,3.0,10.0,1.0,0.0,0.0,4.0,3.0,0.0,0.122,0.363,0.0,1.0,0.0,0.0,10.506,7.0,7.249,0.084,0.0,0.0,0.569,0.568,0.555,9.968,0.765,0.761,0.758,0.754,11.0,3.0,4.0,18.0,0.0,0.0,0.0,11.0,2.0,1.0,0.328,0.218,0.219,0.0,0.0,0.0,16.713,14.0,13.522,0.137,0.0,0.0,0.902,0.893,0.889,2.117,1.046,40.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0
8480849,2019,Barrett Hayton,2019020223,ARI,EDM,AWAY,20191104,C,all,748.0,16.0,-0.65,0.1771,0.3666,0.3478,0.48,0.3125,0.4828,10.0,0.896,0.039,0.086,0.122,0.019,0.455,0.279,0.039,0.043,0.043,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.039,0.0,0.0,0.0,0.0,0.0,1.103,1.0,1.1,0.0,0.017,0.0,0.0,0.057,0.062,0.062,16.0,3.0,1.0,1.0,11.0,1.0,3.0,1.0,11.0,0.0,0.0,2973.0,0.0,0.0,0.0,0.0,3.924,0.198,0.198,0.21,0.21,2.0,3.0,3.0,8.0,0.0,0.0,0.0,4.0,1.0,0.0,0.111,0.088,0.0,0.0,0.0,0.0,8.398,5.0,5.222,0.046,0.0,0.0,0.244,0.259,0.259,7.356,0.92,0.897,0.882,0.86,9.0,2.0,4.0,15.0,2.0,2.0,0.0,7.0,2.0,2.0,0.184,0.205,0.532,1.0,0.0,1.0,14.278,11.0,10.367,0.122,0.36,0.36,0.682,0.657,0.654,0.941,1.626,36.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0
8480849,2019,Barrett Hayton,2019020231,ARI,CGY,AWAY,20191105,C,all,581.0,18.0,0.0,0.5324,0.3985,0.5,0.3846,0.4375,0.3854,12.0,1.511,0.077,0.111,0.325,0.041,0.863,0.583,0.077,0.084,0.084,0.0,0.0,2.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,2.0,4.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.077,0.0,0.0,0.0,0.0,0.0,4.443,2.0,2.131,0.0,0.023,0.0,0.0,0.1,0.109,0.109,18.0,2.0,3.0,2.0,11.0,6.0,5.0,2.0,5.0,0.0,0.0,3285.0,4.0,0.0,0.0,0.0,4.837,0.362,0.362,0.395,0.395,6.0,1.0,3.0,10.0,1.0,0.0,0.0,5.0,2.0,0.0,0.169,0.194,0.0,0.0,1.0,0.0,11.194,7.0,7.7,0.059,0.0,0.0,0.421,0.459,0.459,6.309,0.318,0.316,0.293,0.292,7.0,2.0,1.0,10.0,0.0,1.0,0.0,9.0,0.0,0.0,0.318,0.0,0.0,0.0,0.0,0.0,9.106,9.0,8.244,0.075,0.066,0.066,0.327,0.302,0.301,2.417,3.649,45.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0
8480849,2019,Barrett Hayton,2019020246,ARI,CBJ,HOME,20191107,C,all,444.0,12.0,-0.375,0.3939,0.7167,0.4211,0.5682,0.4,0.5735,12.0,0.711,0.032,0.036,0.197,0.021,0.414,0.301,0.032,0.03,0.03,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.032,0.0,0.0,0.0,0.0,0.0,1.94,1.0,0.971,0.0,0.007,0.0,0.0,0.039,0.037,0.037,12.0,2.0,0.0,3.0,7.0,2.0,3.0,1.0,6.0,0.0,0.0,3156.0,2.0,0.0,0.0,0.0,3.58,0.312,0.31,0.297,0.295,4.0,2.0,2.0,8.0,0.0,1.0,0.0,5.0,1.0,0.0,0.204,0.108,0.0,0.0,0.0,0.0,7.761,6.0,5.84,0.041,0.108,0.108,0.18,0.171,0.167,6.347,0.48,0.476,0.526,0.522,9.0,0.0,2.0,11.0,1.0,0.0,0.0,8.0,0.0,1.0,0.229,0.0,0.252,1.0,0.0,0.0,12.133,9.0,9.904,0.085,0.0,0.0,0.565,0.619,0.614,2.591,1.024,50.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0
8480849,2019,Barrett Hayton,2019020343,ARI,TOR,HOME,20191121,C,all,695.0,17.0,0.1,0.7436,0.4483,0.5,0.4234,0.5,0.4375,12.0,1.869,0.41,0.212,0.379,0.067,0.585,0.347,0.369,0.391,0.352,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.178,0.232,0.0,0.0,0.0,1.94,2.0,1.942,0.0,0.047,0.232,0.232,0.226,0.215,0.211,17.0,4.0,2.0,2.0,9.0,4.0,0.0,3.0,10.0,1.0,1.0,2905.0,0.0,0.0,0.0,0.0,4.453,0.493,0.451,0.472,0.433,4.0,2.0,1.0,7.0,0.0,1.0,0.0,4.0,1.0,1.0,0.083,0.178,0.232,0.0,0.0,0.0,6.765,6.0,5.856,0.081,0.232,0.232,0.342,0.329,0.324,4.057,0.17,0.17,0.189,0.188,2.0,4.0,1.0,7.0,0.0,0.0,0.0,5.0,1.0,0.0,0.085,0.085,0.0,0.0,0.0,0.0,7.73,6.0,6.453,0.056,0.0,0.0,0.226,0.249,0.248,1.935,2.381,47.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0
