gameId,teamAbbrev,homeRoadFlag,gameDate,goals,assists,commonName,opponentCommonName,points,plusMinus,powerPlayGoals,powerPlayPoints,gameWinningGoals,otGoals,shots,shifts,shorthandedGoals,shorthandedPoints,opponentAbbrev,pim,toi,season
2025020762,TOR,R,2026-01-17,1,0,{'default': 'Maple Leafs'},{'default': 'Jets'},1,2,0,0,0,0,2,21,0,0,WPG,0,16:51,2025
2025020748,TOR,R,2026-01-15,0,0,{'default': 'Maple Leafs'},{'default': 'Golden Knights'},0,-1,0,0,0,0,3,25,0,0,VGK,0,20:41,2025
2025020733,TOR,R,2026-01-13,0,0,{'default': 'Maple Leafs'},{'default': 'Mammoth'},0,-1,0,0,0,0,0,22,0,0,UTA,0,18:06,2025
2025020723,TOR,R,2026-01-12,1,0,{'default': 'Maple Leafs'},{'default': 'Avalanche'},1,1,0,0,0,0,6,25,0,0,COL,2,18:06,2025
2025020702,TOR,H,2026-01-10,0,0,{'default': 'Maple Leafs'},{'default': 'Canucks'},0,0,0,0,0,0,2,19,0,0,VAN,0,12:48,2025
2025020686,TOR,R,2026-01-08,0,0,{'default': 'Maple Leafs'},{'default': 'Flyers'},0,-1,0,0,0,0,2,21,0,0,PHI,0,16:47,2025
2025020672,TOR,H,2026-01-06,1,0,{'default': 'Maple Leafs'},{'default': 'Panthers'},1,0,0,0,0,0,2,23,0,0,FLA,0,19:14,2025
2025020651,TOR,R,2026-01-03,0,1,{'default': 'Maple Leafs'},{'default': 'Islanders'},1,0,0,0,0,0,0,26,0,0,NYI,0,20:17,2025
2025020634,TOR,H,2026-01-01,0,1,{'default': 'Maple Leafs'},{'default': 'Jets'},1,1,0,0,0,0,3,21,0,0,WPG,0,18:59,2025
2025020617,TOR,H,2025-12-30,1,1,{'default': 'Maple Leafs'},{'default': 'Devils'},2,1,1,1,1,0,6,17,0,0,NJD,0,14:16,2025
2025020601,TOR,R,2025-12-28,0,0,{'default': 'Maple Leafs'},{'default': 'Red Wings'},0,-1,0,0,0,0,3,20,0,0,DET,4,19:12,2025
2025020590,TOR,H,2025-12-27,1,0,{'default': 'Maple Leafs'},"{'default': 'Senators', 'fr': 'Sénateurs'}",1,2,0,0,0,0,3,25,0,0,OTT,0,17:25,2025
