playerId,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts
8479542,2019,Brandon Hagel,2019021079,CHI,S.J,HOME,20200311,L,all,708.0,15.0,0.5,0.6006,0.5634,0.5,0.5044,0.5294,0.5783,11.0,3.099,0.185,0.249,0.56,0.075,1.717,1.214,0.183,0.179,0.176,0.0,0.0,4.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,4.0,0.0,0.0,0.185,0.0,0.0,0.0,0.0,0.0,5.061,4.0,3.909,0.0,0.051,0.0,0.0,0.236,0.228,0.225,15.0,3.0,3.0,2.0,7.0,3.0,0.0,2.0,10.0,0.0,0.0,2892.0,0.0,2.0,1.0,1.0,6.631,0.4,0.395,0.39,0.385,9.0,0.0,3.0,12.0,1.0,0.0,0.0,8.0,1.0,0.0,0.307,0.093,0.0,1.0,0.0,0.0,12.062,9.0,8.868,0.096,0.0,0.0,0.497,0.483,0.476,5.497,0.266,0.261,0.264,0.259,8.0,0.0,4.0,12.0,1.0,0.0,0.0,8.0,0.0,0.0,0.266,0.0,0.0,1.0,0.0,0.0,11.621,8.0,7.78,0.075,0.0,0.0,0.341,0.339,0.333,2.869,2.223,57.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0
8479542,2020,Brandon Hagel,2020020049,CHI,FLA,AWAY,20210119,L,all,666.0,15.0,0.15,0.4126,0.5579,0.6316,0.4889,0.6923,0.4857,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,1.0,1.0,6.0,7.0,2.0,2.0,1.0,10.0,0.0,0.0,3104.0,0.0,0.0,0.0,1.0,6.235,0.333,0.332,0.337,0.336,6.0,3.0,3.0,12.0,0.0,2.0,0.0,8.0,1.0,0.0,0.231,0.102,0.0,0.0,0.0,0.0,12.021,9.0,8.923,0.069,0.068,0.037,0.365,0.37,0.369,2.942,0.474,0.474,0.47,0.47,4.0,0.0,3.0,7.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,0.474,0.0,0.0,1.0,0.0,6.958,4.0,4.087,0.042,0.0,0.0,0.516,0.511,0.511,2.85,2.258,44.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0
8479542,2020,Brandon Hagel,2020020069,CHI,DET,HOME,20210122,L,all,644.0,17.0,-0.05,0.3212,0.5821,0.375,0.4625,0.4615,0.4821,11.0,2.207,0.196,0.139,0.471,0.063,1.327,0.805,0.195,0.192,0.192,0.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.072,0.124,0.0,0.0,0.0,0.0,3.176,3.0,3.072,0.0,0.029,0.0,0.0,0.224,0.221,0.22,17.0,0.0,3.0,3.0,11.0,0.0,3.0,4.0,10.0,0.0,0.0,2956.0,0.0,0.0,0.0,0.0,4.157,0.282,0.281,0.276,0.276,4.0,2.0,0.0,6.0,0.0,0.0,0.0,5.0,1.0,0.0,0.158,0.124,0.0,0.0,0.0,0.0,6.352,6.0,6.144,0.057,0.0,0.0,0.339,0.333,0.332,5.086,0.596,0.505,0.59,0.5,7.0,0.0,3.0,10.0,0.0,2.0,0.0,4.0,2.0,1.0,0.095,0.267,0.234,0.0,0.0,0.0,9.591,7.0,6.756,0.086,0.419,0.419,0.263,0.262,0.231,2.135,1.533,37.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0
8479542,2020,Brandon Hagel,2020020084,CHI,DET,HOME,20210124,L,all,684.0,18.0,0.45,0.8404,0.4799,0.7,0.4684,0.75,0.4828,12.0,2.359,0.086,0.102,0.605,0.074,1.225,0.908,0.086,0.087,0.087,0.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,3.0,1.0,2.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,0.086,0.0,0.0,0.0,0.0,0.0,3.232,3.0,3.139,0.0,0.021,0.0,0.0,0.107,0.109,0.109,18.0,0.0,1.0,1.0,16.0,2.0,5.0,1.0,10.0,0.0,0.0,2916.0,2.0,0.0,0.0,1.0,8.54,0.616,0.6,0.629,0.613,8.0,4.0,2.0,14.0,0.0,1.0,0.0,10.0,1.0,1.0,0.29,0.11,0.216,0.0,0.0,0.0,15.04,12.0,12.477,0.114,0.216,0.216,0.514,0.52,0.518,2.657,0.117,0.115,0.117,0.115,2.0,2.0,2.0,6.0,0.0,0.0,0.0,4.0,0.0,0.0,0.117,0.0,0.0,0.0,0.0,0.0,5.772,4.0,3.837,0.035,0.0,0.0,0.152,0.152,0.15,2.315,2.509,37.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0
8479542,2020,Brandon Hagel,2020020099,CHI,NSH,AWAY,20210126,L,all,594.0,14.0,0.6,0.88,0.34,0.7143,0.25,0.6429,0.2647,11.0,2.508,0.394,0.216,0.505,0.079,1.069,0.737,0.369,0.431,0.404,0.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,0.042,0.097,0.254,0.0,0.0,0.0,3.309,3.0,3.301,0.0,0.047,0.254,0.254,0.187,0.205,0.202,14.0,0.0,2.0,3.0,9.0,2.0,3.0,2.0,7.0,0.0,0.0,3123.0,0.0,0.0,0.0,0.0,7.008,0.528,0.503,0.577,0.55,5.0,4.0,6.0,15.0,0.0,1.0,0.0,7.0,1.0,1.0,0.176,0.097,0.254,0.0,0.0,0.0,16.403,9.0,9.764,0.093,0.254,0.254,0.367,0.401,0.398,3.573,0.072,0.072,0.067,0.067,4.0,1.0,1.0,6.0,0.0,0.0,0.0,5.0,0.0,0.0,0.072,0.0,0.0,0.0,0.0,0.0,5.545,5.0,4.637,0.038,0.0,0.0,0.111,0.103,0.103,1.541,2.991,22.0,66.0,0.0,0.0,0.0,0.0,0.0,0.0
8479542,2020,Brandon Hagel,2020020107,CHI,NSH,AWAY,20210127,L,all,950.0,18.0,1.1,0.5237,0.3887,0.5625,0.4082,0.5238,0.3766,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,1.0,2.0,1.0,14.0,0.0,1.0,4.0,13.0,0.0,0.0,2950.0,0.0,0.0,0.0,1.0,7.403,1.381,1.286,1.444,1.343,10.0,1.0,7.0,18.0,1.0,2.0,1.0,7.0,2.0,2.0,0.19,0.322,0.87,0.0,0.0,1.0,18.462,11.0,11.269,0.096,0.87,0.87,0.607,0.63,0.605,7.052,1.256,1.059,1.216,1.026,8.0,2.0,4.0,14.0,1.0,2.0,0.0,4.0,4.0,2.0,0.139,0.599,0.518,1.0,0.0,0.0,13.726,10.0,9.837,0.149,0.518,0.518,0.887,0.857,0.76,1.535,2.414,40.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0
8479542,2020,Brandon Hagel,2020020123,CHI,CBJ,HOME,20210129,L,all,776.0,17.0,0.26,0.8472,0.5981,0.5417,0.6024,0.5789,0.5536,10.0,1.633,0.379,0.146,0.347,0.055,0.653,0.419,0.373,0.344,0.338,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.152,0.228,0.0,0.0,0.0,1.764,2.0,1.774,0.0,0.033,0.229,0.228,0.184,0.167,0.167,17.0,4.0,2.0,4.0,7.0,3.0,0.0,1.0,13.0,1.0,0.0,2824.0,0.0,0.0,0.0,0.0,8.305,1.059,0.978,0.966,0.892,8.0,3.0,2.0,13.0,0.0,3.0,0.0,6.0,2.0,3.0,0.156,0.245,0.658,0.0,0.0,0.0,11.785,11.0,9.989,0.116,0.658,0.658,0.517,0.473,0.467,5.706,0.191,0.187,0.212,0.207,4.0,4.0,3.0,11.0,0.0,0.0,0.0,8.0,0.0,0.0,0.191,0.0,0.0,0.0,0.0,0.0,12.195,8.0,8.87,0.061,0.0,0.0,0.252,0.279,0.273,2.067,1.389,50.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0
8479542,2020,Brandon Hagel,2020020140,CHI,CBJ,HOME,20210131,L,all,837.0,15.0,-0.05,0.3364,0.485,0.4545,0.5227,0.375,0.5469,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,2.0,2.0,4.0,7.0,3.0,0.0,1.0,11.0,0.0,0.0,2763.0,0.0,0.0,0.0,1.0,3.976,0.181,0.179,0.178,0.177,4.0,2.0,4.0,10.0,0.0,0.0,0.0,5.0,1.0,0.0,0.067,0.114,0.0,0.0,0.0,0.0,9.898,6.0,5.962,0.055,0.0,0.0,0.236,0.232,0.23,7.287,0.357,0.355,0.364,0.361,7.0,3.0,2.0,12.0,0.0,1.0,0.0,9.0,1.0,0.0,0.182,0.175,0.0,0.0,0.0,0.0,12.124,10.0,10.04,0.092,0.051,0.051,0.398,0.405,0.404,1.46,1.55,46.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0
8479542,2020,Brandon Hagel,2020020153,CHI,CAR,HOME,20210202,L,all,715.0,17.0,0.075,0.4276,0.4224,0.5278,0.4,0.5652,0.4127,9.0,0.687,0.042,0.046,0.121,0.019,0.465,0.307,0.042,0.04,0.04,0.0,0.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.042,0.0,0.0,0.0,0.0,0.0,2.855,1.0,0.971,0.0,0.01,0.0,0.0,0.052,0.049,0.049,17.0,1.0,1.0,2.0,13.0,3.0,2.0,5.0,7.0,0.0,0.0,3185.0,0.0,0.0,0.0,1.0,8.869,0.443,0.443,0.419,0.419,11.0,2.0,6.0,19.0,0.0,0.0,0.0,12.0,1.0,0.0,0.322,0.121,0.0,0.0,0.0,0.0,18.045,13.0,12.352,0.115,0.0,0.0,0.558,0.528,0.527,7.335,0.593,0.591,0.639,0.638,9.0,1.0,7.0,17.0,1.0,0.0,0.0,7.0,2.0,1.0,0.211,0.18,0.202,0.0,0.0,1.0,17.95,10.0,10.49,0.105,0.0,0.0,0.698,0.751,0.749,1.53,2.092,36.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0
8479542,2020,Brandon Hagel,2020020168,CHI,CAR,HOME,20210204,L,all,711.0,20.0,0.75,0.6286,0.5537,0.64,0.422,0.7143,0.4605,10.0,3.519,0.538,0.292,0.539,0.111,1.787,1.732,0.538,0.521,0.521,0.0,0.0,2.0,3.0,1.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,2.0,2.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,1.0,1.0,0.195,0.099,0.245,0.0,0.0,0.0,5.851,5.0,4.952,0.0,0.062,0.0,0.0,0.601,0.582,0.582,20.0,2.0,0.0,6.0,12.0,5.0,2.0,3.0,10.0,0.0,0.0,2889.0,0.0,2.0,1.0,2.0,7.42,0.968,0.95,0.932,0.914,5.0,5.0,6.0,16.0,0.0,1.0,0.0,7.0,1.0,2.0,0.317,0.099,0.552,0.0,0.0,0.0,15.663,10.0,9.808,0.106,0.307,0.307,0.767,0.74,0.739,3.251,0.572,0.57,0.599,0.597,4.0,0.0,5.0,9.0,1.0,0.0,1.0,2.0,0.0,2.0,0.042,0.0,0.53,0.0,0.0,1.0,9.16,4.0,4.091,0.061,0.0,0.296,0.337,0.352,0.352,3.199,2.578,46.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0
