gameId,teamAbbrev,homeRoadFlag,gameDate,goals,assists,commonName,opponentCommonName,points,plusMinus,powerPlayGoals,powerPlayPoints,gameWinningGoals,otGoals,shots,shifts,shorthandedGoals,shorthandedPoints,toi,pim,opponentAbbrev,season
2025021025,MTL,R,2026-03-11,0,0,{'default': 'Canadiens'},"{'default': 'Senators', 'fr': 'Sénateurs'}",0,0,0,0,0,0,1,12,0,0,8:48,0,OTT,2025
2025021014,MTL,H,2026-03-10,0,0,{'default': 'Canadiens'},{'default': 'Maple Leafs'},0,1,0,0,0,0,0,16,0,0,11:06,7,TOR,2025
2025020997,MTL,R,2026-03-07,0,0,{'default': 'Canadiens'},{'default': 'Kings'},0,-1,0,0,0,0,1,12,0,0,9:51,0,LAK,2025
2025020987,MTL,R,2026-03-06,0,0,{'default': 'Canadiens'},{'default': 'Ducks'},0,0,0,0,0,0,3,17,0,0,12:18,0,ANA,2025
2025020969,MTL,R,2026-03-03,0,1,{'default': 'Canadiens'},{'default': 'Sharks'},1,-1,0,1,0,0,3,15,0,0,11:17,0,SJS,2025
2025020940,MTL,H,2026-02-28,0,0,{'default': 'Canadiens'},{'default': 'Capitals'},0,0,0,0,0,0,0,17,0,0,13:47,2,WSH,2025
2025020919,MTL,H,2026-02-26,0,0,{'default': 'Canadiens'},{'default': 'Islanders'},0,0,0,0,0,0,1,15,0,0,11:03,0,NYI,2025
2025020895,MTL,R,2026-02-04,1,2,{'default': 'Canadiens'},{'default': 'Jets'},3,2,1,1,0,0,1,17,0,0,12:38,2,WPG,2025
2025020879,MTL,R,2026-02-02,1,0,{'default': 'Canadiens'},{'default': 'Wild'},1,1,0,0,0,0,2,16,0,0,13:03,0,MIN,2025
2025020865,MTL,R,2026-01-31,0,0,{'default': 'Canadiens'},{'default': 'Sabres'},0,0,0,0,0,0,0,14,0,0,10:18,0,BUF,2025
2025020845,MTL,H,2026-01-29,0,0,{'default': 'Canadiens'},{'default': 'Avalanche'},0,-1,0,0,0,0,0,19,0,0,13:25,0,COL,2025
2025020832,MTL,H,2026-01-27,0,0,{'default': 'Canadiens'},{'default': 'Golden Knights'},0,1,0,0,0,0,1,14,0,0,12:04,0,VGK,2025
2025020812,MTL,R,2026-01-24,0,0,{'default': 'Canadiens'},{'default': 'Bruins'},0,0,0,0,0,0,1,17,0,0,11:42,0,BOS,2025
2025020795,MTL,H,2026-01-22,0,0,{'default': 'Canadiens'},{'default': 'Sabres'},0,-1,0,0,0,0,3,17,0,0,13:09,0,BUF,2025
2025020780,MTL,H,2026-01-20,0,0,{'default': 'Canadiens'},{'default': 'Wild'},0,1,0,0,0,0,2,15,0,0,11:55,0,MIN,2025
2025020758,MTL,R,2026-01-17,0,0,{'default': 'Canadiens'},"{'default': 'Senators', 'fr': 'Sénateurs'}",0,0,0,0,0,0,0,15,0,0,12:48,0,OTT,2025
2025020740,MTL,R,2026-01-15,0,0,{'default': 'Canadiens'},{'default': 'Sabres'},0,0,0,0,0,0,3,16,0,0,10:58,2,BUF,2025
2025020727,MTL,R,2026-01-13,1,0,{'default': 'Canadiens'},{'default': 'Capitals'},1,1,0,0,0,0,2,14,0,0,8:43,0,WSH,2025
2025020720,MTL,H,2026-01-12,0,0,{'default': 'Canadiens'},{'default': 'Canucks'},0,-2,0,0,0,0,3,16,0,0,13:39,0,VAN,2025
2025020703,MTL,H,2026-01-10,0,0,{'default': 'Canadiens'},{'default': 'Red Wings'},0,-1,0,0,0,0,0,15,0,0,12:21,2,DET,2025
2025020683,MTL,H,2026-01-08,0,0,{'default': 'Canadiens'},{'default': 'Panthers'},0,-2,0,0,0,0,2,18,0,0,15:25,0,FLA,2025
2025020678,MTL,H,2026-01-07,0,0,{'default': 'Canadiens'},{'default': 'Flames'},0,1,0,0,0,0,3,19,0,0,13:24,2,CGY,2025
2025020657,MTL,R,2026-01-04,1,0,{'default': 'Canadiens'},{'default': 'Stars'},1,0,0,0,0,0,4,18,0,0,15:46,0,DAL,2025
2025020648,MTL,R,2026-01-03,0,0,{'default': 'Canadiens'},{'default': 'Blues'},0,-2,0,0,0,0,7,19,0,0,14:19,2,STL,2025
2025020636,MTL,R,2026-01-01,0,1,{'default': 'Canadiens'},{'default': 'Hurricanes'},1,1,0,0,0,0,1,19,0,0,14:21,0,CAR,2025
2025020618,MTL,R,2025-12-30,0,0,{'default': 'Canadiens'},{'default': 'Panthers'},0,0,0,0,0,0,1,15,0,0,11:38,0,FLA,2025
2025020602,MTL,R,2025-12-28,0,0,{'default': 'Canadiens'},{'default': 'Lightning'},0,0,0,0,0,0,3,15,0,0,13:42,0,TBL,2025
2025020577,MTL,R,2025-12-23,0,0,{'default': 'Canadiens'},{'default': 'Bruins'},0,1,0,0,0,0,0,21,0,0,15:24,2,BOS,2025
2025020566,MTL,R,2025-12-21,0,0,{'default': 'Canadiens'},{'default': 'Penguins'},0,1,0,0,0,0,0,16,0,0,10:40,0,PIT,2025
2025020556,MTL,H,2025-12-20,0,1,{'default': 'Canadiens'},{'default': 'Penguins'},1,1,0,0,0,0,1,15,0,0,13:58,0,PIT,2025
