gameId,teamAbbrev,homeRoadFlag,gameDate,goals,assists,commonName,opponentCommonName,points,plusMinus,powerPlayGoals,powerPlayPoints,gameWinningGoals,otGoals,shots,shifts,shorthandedGoals,shorthandedPoints,toi,opponentAbbrev,pim,season
2025021100,VGK,R,2026-03-21,0,1,{'default': 'Golden Knights'},{'default': 'Predators'},1,0,0,1,0,0,1,20,0,0,12:14,NSH,2,2025
2025021091,VGK,H,2026-03-19,0,0,{'default': 'Golden Knights'},{'default': 'Mammoth'},0,-1,0,0,0,0,0,18,0,0,11:46,UTA,0,2025
2025021075,VGK,H,2026-03-17,0,0,{'default': 'Golden Knights'},{'default': 'Sabres'},0,0,0,0,0,0,2,19,0,0,13:56,BUF,2,2025
2025021056,VGK,H,2026-03-14,0,0,{'default': 'Golden Knights'},{'default': 'Blackhawks'},0,0,0,0,0,0,1,21,0,0,16:43,CHI,0,2025
2025021039,VGK,H,2026-03-12,0,0,{'default': 'Golden Knights'},{'default': 'Penguins'},0,0,0,0,0,0,0,20,0,0,15:59,PIT,2,2025
2025021020,VGK,R,2026-03-10,0,0,{'default': 'Golden Knights'},{'default': 'Stars'},0,0,0,0,0,0,2,16,0,0,12:51,DAL,0,2025
2025021007,VGK,H,2026-03-08,0,0,{'default': 'Golden Knights'},{'default': 'Oilers'},0,1,0,0,0,0,0,20,0,0,15:29,EDM,2,2025
2025020710,VGK,H,2026-01-10,0,0,{'default': 'Golden Knights'},{'default': 'Blues'},0,0,0,0,0,0,1,22,0,0,16:31,STL,0,2025
2025020692,VGK,H,2026-01-08,1,0,{'default': 'Golden Knights'},{'default': 'Blue Jackets'},1,1,0,0,0,0,3,20,0,0,11:04,CBJ,0,2025
2025020673,VGK,R,2026-01-06,1,0,{'default': 'Golden Knights'},{'default': 'Jets'},1,1,0,0,0,0,3,26,0,0,16:08,WPG,0,2025
2025020661,VGK,R,2026-01-04,0,1,{'default': 'Golden Knights'},{'default': 'Blackhawks'},1,1,0,0,0,0,0,19,0,0,13:29,CHI,0,2025
2025020640,VGK,R,2026-01-02,0,1,{'default': 'Golden Knights'},{'default': 'Blues'},1,0,0,0,0,0,1,17,0,0,14:01,STL,0,2025
2025020623,VGK,H,2025-12-31,0,0,{'default': 'Golden Knights'},{'default': 'Predators'},0,-1,0,0,0,0,0,21,0,0,14:16,NSH,2,2025
2025020614,VGK,H,2025-12-29,0,0,{'default': 'Golden Knights'},{'default': 'Wild'},0,-4,0,0,0,0,0,21,0,0,17:07,MIN,0,2025
2025020600,VGK,H,2025-12-27,1,0,{'default': 'Golden Knights'},{'default': 'Avalanche'},1,-1,0,0,0,0,2,22,0,0,16:29,COL,0,2025
2025020586,VGK,H,2025-12-23,1,0,{'default': 'Golden Knights'},{'default': 'Sharks'},1,2,0,0,0,0,1,17,0,0,15:47,SJS,0,2025
2025020570,VGK,R,2025-12-21,0,0,{'default': 'Golden Knights'},{'default': 'Oilers'},0,-1,0,0,0,0,1,21,0,0,15:10,EDM,2,2025
2025020559,VGK,R,2025-12-20,0,0,{'default': 'Golden Knights'},{'default': 'Flames'},0,-1,0,0,0,0,1,17,0,0,13:51,CGY,0,2025
2025020533,VGK,H,2025-12-17,0,0,{'default': 'Golden Knights'},{'default': 'Devils'},0,0,0,0,0,0,0,23,0,0,18:15,NJD,0,2025
2025020502,VGK,R,2025-12-13,0,0,{'default': 'Golden Knights'},{'default': 'Blue Jackets'},0,1,0,0,0,0,0,18,0,0,13:10,CBJ,2,2025
