gameId,teamAbbrev,homeRoadFlag,gameDate,goals,assists,commonName,opponentCommonName,points,plusMinus,powerPlayGoals,powerPlayPoints,gameWinningGoals,otGoals,shots,shifts,shorthandedGoals,shorthandedPoints,toi,pim,opponentAbbrev,season
2025021072,MIN,R,2026-03-17,0,3,{'default': 'Wild'},{'default': 'Blackhawks'},3,0,0,1,0,0,5,24,0,0,21:48,0,CHI,2025
2025021060,MIN,H,2026-03-15,0,0,{'default': 'Wild'},{'default': 'Maple Leafs'},0,-1,0,0,0,0,2,27,0,0,23:30,0,TOR,2025
2025021046,MIN,H,2026-03-14,0,0,{'default': 'Wild'},{'default': 'Rangers'},0,-2,0,0,0,0,2,24,0,0,20:14,2,NYR,2025
2025021035,MIN,H,2026-03-12,0,1,{'default': 'Wild'},{'default': 'Flyers'},1,0,0,0,0,0,2,28,0,0,27:14,0,PHI,2025
2025021021,MIN,H,2026-03-10,0,0,{'default': 'Wild'},{'default': 'Mammoth'},0,2,0,0,0,0,5,23,0,0,21:47,2,UTA,2025
2025021001,MIN,R,2026-03-08,0,1,{'default': 'Wild'},{'default': 'Avalanche'},1,-1,0,0,0,0,1,28,0,1,28:14,0,COL,2025
2025020988,MIN,R,2026-03-06,0,1,{'default': 'Wild'},{'default': 'Golden Knights'},1,1,0,0,0,0,0,21,0,0,16:41,17,VGK,2025
2025020967,MIN,H,2026-03-03,1,1,{'default': 'Wild'},{'default': 'Lightning'},2,3,0,0,0,0,2,27,0,0,24:12,0,TBL,2025
2025020951,MIN,H,2026-03-01,0,0,{'default': 'Wild'},{'default': 'Blues'},0,-1,0,0,0,0,2,25,0,0,23:45,0,STL,2025
2025020932,MIN,R,2026-02-27,0,0,{'default': 'Wild'},{'default': 'Mammoth'},0,-1,0,0,0,0,0,27,0,0,23:26,0,UTA,2025
2025020927,MIN,R,2026-02-26,0,1,{'default': 'Wild'},{'default': 'Avalanche'},1,3,0,0,0,0,4,26,0,0,25:44,0,COL,2025
2025020896,MIN,R,2026-02-04,0,1,{'default': 'Wild'},{'default': 'Predators'},1,0,0,0,0,0,4,29,0,0,25:55,0,NSH,2025
2025020879,MIN,H,2026-02-02,1,0,{'default': 'Wild'},{'default': 'Canadiens'},1,1,0,0,0,0,2,31,0,0,28:21,0,MTL,2025
2025020871,MIN,R,2026-01-31,1,1,{'default': 'Wild'},{'default': 'Oilers'},2,3,0,0,0,0,1,23,0,0,25:50,2,EDM,2025
2025020853,MIN,H,2026-01-29,0,1,{'default': 'Wild'},{'default': 'Flames'},1,1,0,0,0,0,2,24,0,0,24:01,2,CGY,2025
2025020837,MIN,H,2026-01-27,0,0,{'default': 'Wild'},{'default': 'Blackhawks'},0,-2,0,0,0,0,0,28,0,0,30:01,0,CHI,2025
2025020817,MIN,H,2026-01-24,0,0,{'default': 'Wild'},{'default': 'Panthers'},0,0,0,0,0,0,1,27,0,0,27:44,0,FLA,2025
2025020801,MIN,H,2026-01-22,0,1,{'default': 'Wild'},{'default': 'Red Wings'},1,1,0,0,0,0,4,29,0,0,25:24,0,DET,2025
2025020780,MIN,R,2026-01-20,1,0,{'default': 'Wild'},{'default': 'Canadiens'},1,0,0,0,0,0,2,28,0,0,27:47,0,MTL,2025
2025020774,MIN,R,2026-01-19,0,2,{'default': 'Wild'},{'default': 'Maple Leafs'},2,4,0,1,0,0,2,31,0,0,24:25,0,TOR,2025
2025020754,MIN,R,2026-01-17,0,0,{'default': 'Wild'},{'default': 'Sabres'},0,1,0,0,0,0,2,32,0,0,28:41,0,BUF,2025
2025020744,MIN,H,2026-01-15,0,0,{'default': 'Wild'},{'default': 'Jets'},0,-1,0,0,0,0,2,23,0,0,25:38,0,WPG,2025
2025020721,MIN,H,2026-01-12,0,1,{'default': 'Wild'},{'default': 'Devils'},1,-2,0,0,0,0,4,23,0,0,26:35,0,NJD,2025
2025020708,MIN,H,2026-01-10,0,1,{'default': 'Wild'},{'default': 'Islanders'},1,1,0,0,0,0,2,26,0,0,27:13,0,NYI,2025
2025020693,MIN,R,2026-01-08,1,1,{'default': 'Wild'},{'default': 'Kraken'},2,2,0,0,0,0,3,26,0,0,29:09,0,SEA,2025
2025020666,MIN,R,2026-01-05,0,1,{'default': 'Wild'},{'default': 'Kings'},1,0,0,1,0,0,1,24,0,0,22:58,0,LAK,2025
2025020655,MIN,R,2026-01-03,1,1,{'default': 'Wild'},{'default': 'Kings'},2,0,0,0,0,0,3,24,0,0,23:20,4,LAK,2025
2025020643,MIN,R,2026-01-02,0,0,{'default': 'Wild'},{'default': 'Ducks'},0,1,0,0,0,0,5,25,0,0,21:51,0,ANA,2025
2025020625,MIN,R,2025-12-31,0,0,{'default': 'Wild'},{'default': 'Sharks'},0,1,0,0,0,0,0,24,0,0,23:35,0,SJS,2025
2025020614,MIN,R,2025-12-29,1,0,{'default': 'Wild'},{'default': 'Golden Knights'},1,1,0,0,0,0,1,22,0,0,21:33,0,VGK,2025
