gameId,teamAbbrev,homeRoadFlag,gameDate,goals,assists,commonName,opponentCommonName,points,plusMinus,powerPlayGoals,powerPlayPoints,gameWinningGoals,otGoals,shots,shifts,shorthandedGoals,shorthandedPoints,toi,pim,opponentAbbrev,season
2025020897,COL,H,2026-02-04,1,0,{'default': 'Avalanche'},{'default': 'Sharks'},1,1,0,0,0,0,5,25,0,0,21:43,2,SJS,2025
2025020883,COL,H,2026-02-02,0,0,{'default': 'Avalanche'},{'default': 'Red Wings'},0,-1,0,0,0,0,2,23,0,0,19:56,0,DET,2025
2025020860,COL,R,2026-01-31,0,1,{'default': 'Avalanche'},{'default': 'Red Wings'},1,1,0,0,0,0,1,24,0,0,19:38,2,DET,2025
2025020845,COL,R,2026-01-29,1,0,{'default': 'Avalanche'},{'default': 'Canadiens'},1,-2,0,0,0,0,1,20,0,0,17:10,0,MTL,2025
2025020841,COL,R,2026-01-28,0,1,{'default': 'Avalanche'},"{'default': 'Senators', 'fr': 'Sénateurs'}",1,-2,0,0,0,0,0,26,0,0,22:23,0,OTT,2025
2025020819,COL,R,2026-01-25,3,0,{'default': 'Avalanche'},{'default': 'Maple Leafs'},3,3,0,0,1,0,4,24,0,0,20:37,0,TOR,2025
2025020805,COL,H,2026-01-23,0,0,{'default': 'Avalanche'},{'default': 'Flyers'},0,-2,0,0,0,0,1,22,0,0,22:38,0,PHI,2025
2025020789,COL,H,2026-01-21,0,1,{'default': 'Avalanche'},{'default': 'Ducks'},1,1,0,0,0,0,4,27,0,0,21:51,0,ANA,2025
2025020771,COL,H,2026-01-19,0,1,{'default': 'Avalanche'},{'default': 'Capitals'},1,0,0,0,0,0,5,30,0,0,20:50,2,WSH,2025
2025020752,COL,H,2026-01-16,2,0,{'default': 'Avalanche'},{'default': 'Predators'},2,-3,0,0,0,0,4,21,0,0,16:13,0,NSH,2025
2025020723,COL,H,2026-01-12,1,0,{'default': 'Avalanche'},{'default': 'Maple Leafs'},1,-2,1,1,0,0,4,26,0,0,22:09,0,TOR,2025
2025020699,COL,H,2026-01-10,0,0,{'default': 'Avalanche'},{'default': 'Blue Jackets'},0,0,0,0,0,0,1,24,0,0,18:25,0,CBJ,2025
2025020691,COL,H,2026-01-08,2,1,{'default': 'Avalanche'},"{'default': 'Senators', 'fr': 'Sénateurs'}",3,1,1,1,0,0,2,23,0,0,16:09,0,OTT,2025
2025020668,COL,R,2026-01-06,1,0,{'default': 'Avalanche'},{'default': 'Lightning'},1,-1,0,0,0,0,4,26,0,0,22:14,0,TBL,2025
2025020659,COL,R,2026-01-04,0,1,{'default': 'Avalanche'},{'default': 'Panthers'},1,0,0,0,0,0,4,27,0,0,25:15,0,FLA,2025
2025020653,COL,R,2026-01-03,2,0,{'default': 'Avalanche'},{'default': 'Hurricanes'},2,-1,2,2,1,0,7,25,0,0,22:28,0,CAR,2025
2025020629,COL,H,2025-12-31,1,1,{'default': 'Avalanche'},{'default': 'Blues'},2,2,1,1,0,0,1,24,0,0,16:48,0,STL,2025
2025020611,COL,H,2025-12-29,1,1,{'default': 'Avalanche'},{'default': 'Kings'},2,1,0,0,1,0,1,24,0,0,20:21,0,LAK,2025
2025020600,COL,R,2025-12-27,0,1,{'default': 'Avalanche'},{'default': 'Golden Knights'},1,0,0,0,0,0,3,28,0,0,23:52,0,VGK,2025
