playerId,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts
8481546,2020,Cam York,2020020840,PHI,WSH,AWAY,20210507,D,all,1219.0,29.0,-0.025,0.2938,0.642,0.4706,0.6071,0.4722,0.6304,3.0,0.629,0.005,0.086,0.15,0.019,0.546,0.195,0.005,0.005,0.005,0.0,0.0,1.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.005,0.0,0.0,0.0,0.0,0.0,3.206,1.0,1.0,0.0,0.018,0.0,0.0,0.023,0.023,0.023,29.0,5.0,4.0,3.0,17.0,3.0,3.0,7.0,16.0,0.0,0.0,2381.0,0.0,2.0,1.0,1.0,12.282,0.557,0.553,0.606,0.601,12.0,5.0,7.0,24.0,1.0,0.0,0.0,14.0,3.0,0.0,0.24,0.317,0.0,1.0,0.0,0.0,25.969,17.0,18.211,0.178,0.0,0.0,0.735,0.794,0.787,14.469,1.339,1.243,1.23,1.143,16.0,3.0,8.0,27.0,1.0,2.0,0.0,13.0,3.0,3.0,0.318,0.33,0.69,0.0,1.0,0.0,24.702,19.0,17.433,0.21,0.477,0.477,1.071,0.985,0.957,1.921,1.071,34.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0
8481546,2020,Cam York,2020020856,PHI,WSH,AWAY,20210508,D,all,1234.0,27.0,0.3,0.3903,0.3446,0.4474,0.4382,0.4286,0.4348,4.0,0.668,0.026,0.04,0.164,0.021,0.398,0.351,0.026,0.028,0.028,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.026,0.0,0.0,0.0,0.0,0.0,1.032,1.0,1.03,0.0,0.008,0.0,0.0,0.034,0.036,0.036,27.0,4.0,4.0,1.0,18.0,4.0,4.0,1.0,18.0,0.0,0.0,2606.0,0.0,2.0,1.0,0.0,8.747,0.388,0.388,0.409,0.408,8.0,4.0,5.0,17.0,0.0,0.0,0.0,11.0,1.0,0.0,0.264,0.124,0.0,0.0,0.0,0.0,17.654,12.0,12.475,0.095,0.0,0.0,0.483,0.509,0.508,11.587,0.606,0.605,0.589,0.587,10.0,6.0,5.0,21.0,0.0,0.0,0.0,13.0,3.0,0.0,0.215,0.391,0.0,0.0,0.0,0.0,20.445,16.0,15.576,0.132,0.0,0.0,0.738,0.717,0.714,1.494,2.841,39.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
8481546,2020,Cam York,2020020231,PHI,N.J,HOME,20210510,D,all,1108.0,20.0,-0.65,0.3688,0.6694,0.4324,0.622,0.3478,0.629,5.0,0.661,0.023,0.041,0.198,0.024,0.431,0.283,0.023,0.022,0.022,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.023,0.0,0.0,0.0,0.0,0.0,1.97,1.0,0.971,0.0,0.008,0.0,0.0,0.031,0.03,0.03,20.0,4.0,0.0,3.0,13.0,4.0,0.0,3.0,13.0,0.0,0.0,2492.0,0.0,0.0,0.0,1.0,5.843,0.489,0.487,0.474,0.472,5.0,3.0,8.0,16.0,0.0,0.0,0.0,6.0,2.0,0.0,0.201,0.288,0.0,0.0,0.0,0.0,15.558,8.0,7.772,0.1,0.0,0.0,0.589,0.571,0.569,11.267,0.837,0.834,0.91,0.907,11.0,4.0,6.0,21.0,1.0,0.0,0.0,10.0,5.0,0.0,0.185,0.652,0.0,0.0,1.0,0.0,22.992,15.0,16.339,0.154,0.0,0.0,0.991,1.077,1.073,2.792,1.379,51.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0
8481546,2021,Cam York,2021020594,PHI,ANA,AWAY,20220104,D,all,1220.0,26.0,0.45,0.6253,0.7265,0.5676,0.475,0.6333,0.4727,4.0,1.984,0.063,0.129,0.434,0.058,1.291,1.026,0.063,0.062,0.062,0.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.063,0.0,0.0,0.0,0.0,0.0,2.847,3.0,2.873,0.0,0.025,0.0,0.0,0.087,0.087,0.087,26.0,4.0,2.0,3.0,17.0,3.0,4.0,5.0,14.0,0.0,0.0,2380.0,0.0,0.0,0.0,2.0,13.19,1.255,1.203,1.249,1.197,14.0,5.0,2.0,21.0,0.0,4.0,0.0,14.0,3.0,2.0,0.241,0.496,0.517,0.0,0.0,0.0,20.277,19.0,18.369,0.201,0.738,0.738,0.717,0.715,0.708,7.991,0.752,0.751,0.753,0.753,8.0,3.0,5.0,16.0,1.0,0.0,0.0,9.0,1.0,1.0,0.24,0.15,0.362,0.0,0.0,1.0,16.588,11.0,11.377,0.08,0.0,0.0,0.831,0.833,0.832,4.608,1.735,38.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0
8481546,2021,Cam York,2021020604,PHI,PIT,HOME,20220106,D,all,1341.0,26.0,0.05,0.2207,0.4273,0.3684,0.5224,0.3214,0.5,1.0,0.604,0.011,0.035,0.19,0.021,0.47,0.273,0.011,0.009,0.009,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0,1.732,1.0,0.878,0.0,0.007,0.0,0.0,0.018,0.016,0.016,26.0,0.0,4.0,6.0,16.0,2.0,0.0,5.0,19.0,0.0,0.0,2259.0,0.0,0.0,0.0,1.0,6.475,0.566,0.561,0.526,0.522,4.0,5.0,5.0,14.0,1.0,1.0,0.0,5.0,4.0,0.0,0.127,0.439,0.0,0.0,1.0,0.0,12.634,9.0,8.41,0.105,0.094,0.094,0.577,0.539,0.538,13.452,1.999,1.866,2.092,1.959,16.0,3.0,5.0,24.0,2.0,0.0,0.0,12.0,4.0,3.0,0.349,0.453,1.197,0.0,0.0,2.0,26.244,19.0,20.304,0.219,0.0,0.0,2.218,2.324,2.18,1.54,2.064,35.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0
8481546,2021,Cam York,2021020616,PHI,SJS,HOME,20220108,D,all,1439.0,28.0,0.5,0.518,0.4516,0.5556,0.4302,0.5,0.3846,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.94,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,3.0,5.0,9.0,11.0,3.0,3.0,4.0,18.0,0.0,0.0,2185.0,0.0,0.0,0.0,0.0,13.215,1.207,1.163,1.168,1.126,11.0,7.0,7.0,25.0,1.0,2.0,0.0,12.0,6.0,0.0,0.396,0.811,0.0,0.0,1.0,0.0,24.516,18.0,17.693,0.212,0.378,0.378,1.041,1.013,0.999,13.052,1.123,1.112,1.161,1.149,15.0,3.0,2.0,20.0,2.0,0.0,0.0,12.0,5.0,1.0,0.411,0.503,0.209,0.0,1.0,1.0,20.38,18.0,18.386,0.179,0.0,0.0,1.302,1.346,1.332,1.488,1.807,37.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0
8481546,2021,Cam York,2021020650,PHI,BOS,AWAY,20220113,D,all,1175.0,24.0,0.1,0.2955,0.5791,0.4545,0.5132,0.3913,0.4603,3.0,1.419,0.021,0.054,0.33,0.036,0.801,0.758,0.021,0.021,0.021,0.0,0.0,2.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.021,0.0,0.0,0.0,0.0,0.0,4.783,2.0,1.909,0.0,0.01,0.0,0.0,0.031,0.031,0.031,24.0,3.0,4.0,4.0,13.0,1.0,3.0,2.0,18.0,0.0,0.0,2425.0,0.0,0.0,0.0,3.0,6.483,0.302,0.302,0.301,0.301,7.0,2.0,6.0,15.0,0.0,0.0,0.0,8.0,1.0,0.0,0.208,0.094,0.0,0.0,0.0,0.0,14.516,9.0,8.7,0.101,0.0,0.0,0.403,0.401,0.401,9.818,0.72,0.708,0.724,0.711,9.0,5.0,4.0,18.0,1.0,1.0,0.0,10.0,4.0,0.0,0.284,0.436,0.0,0.0,1.0,0.0,18.644,14.0,14.494,0.157,0.041,0.041,0.837,0.84,0.824,3.666,2.665,39.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0
8481546,2021,Cam York,2021020671,PHI,NYR,HOME,20220115,D,all,1322.0,28.0,1.95,0.7675,0.341,0.6757,0.4203,0.6538,0.4043,3.0,1.413,0.059,0.071,0.424,0.047,0.803,0.595,0.059,0.057,0.057,0.0,0.0,2.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.059,0.0,0.0,1.0,0.0,0.0,2.911,2.0,1.955,0.0,0.014,0.0,0.0,0.073,0.071,0.07,28.0,4.0,2.0,3.0,19.0,1.0,2.0,2.0,23.0,0.0,0.0,2278.0,0.0,0.0,0.0,3.0,12.711,1.281,1.242,1.236,1.2,15.0,2.0,8.0,25.0,2.0,2.0,1.0,11.0,4.0,2.0,0.318,0.468,0.495,1.0,0.0,1.0,24.313,17.0,16.538,0.213,0.352,0.352,1.142,1.106,1.102,6.721,0.388,0.388,0.416,0.415,5.0,4.0,3.0,12.0,0.0,1.0,0.0,7.0,2.0,0.0,0.189,0.2,0.0,0.0,0.0,0.0,12.494,9.0,9.414,0.076,0.038,0.038,0.427,0.458,0.458,0.796,1.538,29.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0
8481546,2021,Cam York,2021020684,PHI,NYI,AWAY,20220117,D,all,1256.0,23.0,0.025,0.2794,0.4023,0.52,0.4938,0.4545,0.5,3.0,0.662,0.017,0.034,0.213,0.025,0.375,0.336,0.017,0.018,0.018,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.017,0.0,0.0,0.0,0.0,0.0,1.032,1.0,1.03,0.0,0.007,0.0,0.0,0.024,0.025,0.025,23.0,3.0,1.0,2.0,17.0,3.0,0.0,2.0,18.0,0.0,0.0,2344.0,0.0,2.0,1.0,0.0,7.083,0.475,0.464,0.483,0.472,7.0,3.0,3.0,13.0,0.0,0.0,0.0,7.0,3.0,0.0,0.174,0.301,0.0,0.0,0.0,0.0,13.096,10.0,10.122,0.123,0.0,0.0,0.598,0.608,0.594,8.553,1.225,1.214,1.213,1.203,7.0,5.0,0.0,12.0,1.0,0.0,0.0,11.0,0.0,1.0,0.398,0.0,0.827,0.0,0.0,1.0,12.012,12.0,11.949,0.084,0.0,0.0,1.308,1.294,1.282,1.55,2.303,40.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0
8481546,2021,Cam York,2021020340,PHI,NYI,HOME,20220118,D,all,775.0,18.0,0.65,0.527,0.5903,0.65,0.4949,0.5385,0.5507,5.0,0.65,0.027,0.062,0.18,0.018,0.478,0.235,0.027,0.027,0.027,1.0,0.0,0.0,1.0,2.0,3.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.027,0.0,0.0,0.0,0.0,0.0,2.97,1.0,1.0,0.0,0.015,0.329,0.0,0.042,0.042,0.042,18.0,5.0,1.0,1.0,11.0,3.0,4.0,4.0,7.0,0.0,0.0,3125.0,0.0,0.0,0.0,1.0,5.155,0.635,0.609,0.631,0.605,6.0,1.0,6.0,13.0,2.0,1.0,1.0,4.0,2.0,1.0,0.104,0.202,0.329,0.0,1.0,1.0,12.737,7.0,6.871,0.109,0.329,0.329,0.415,0.409,0.389,4.698,0.57,0.57,0.603,0.603,6.0,0.0,1.0,7.0,2.0,0.0,0.0,3.0,2.0,1.0,0.049,0.287,0.234,1.0,1.0,0.0,7.362,6.0,6.366,0.083,0.0,0.0,0.653,0.689,0.689,2.601,1.805,49.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
