playerId,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts
8476278,2018,Colin Blackwell,2018020747,NSH,FLA,HOME,20190119,C,all,689.0,17.0,0.52,0.7034,0.5457,0.6786,0.5426,0.6842,0.5417,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,2.0,4.0,2.0,9.0,5.0,3.0,0.0,9.0,3.0,6.0,2911.0,0.0,0.0,0.0,1.0,8.986,0.607,0.598,0.55,0.542,9.0,4.0,6.0,19.0,0.0,0.0,0.0,11.0,2.0,0.0,0.349,0.258,0.0,0.0,0.0,0.0,16.831,13.0,11.626,0.132,0.0,0.0,0.739,0.669,0.659,4.479,0.256,0.256,0.287,0.287,5.0,1.0,3.0,9.0,0.0,0.0,0.0,6.0,0.0,0.0,0.256,0.0,0.0,0.0,0.0,0.0,10.462,6.0,6.76,0.057,0.0,0.0,0.312,0.351,0.351,2.536,2.111,51.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0
8476278,2018,Colin Blackwell,2018020756,NSH,COL,AWAY,20190121,C,all,767.0,16.0,-0.86,0.1609,0.4662,0.25,0.3929,0.2941,0.4091,8.0,1.388,0.072,0.08,0.411,0.043,0.827,0.567,0.07,0.077,0.074,0.0,0.0,2.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,1.0,2.0,5.0,0.0,0.0,0.0,2.0,0.0,0.0,0.072,0.0,0.0,0.0,0.0,0.0,3.186,2.0,2.176,0.0,0.016,0.0,0.0,0.088,0.094,0.091,16.0,3.0,3.0,0.0,10.0,0.0,3.0,2.0,11.0,5.0,6.0,2833.0,2.0,0.0,0.0,1.0,3.49,0.159,0.156,0.17,0.166,4.0,1.0,2.0,7.0,0.0,1.0,0.0,5.0,0.0,0.0,0.159,0.0,0.0,0.0,0.0,0.0,7.353,5.0,5.338,0.047,0.034,0.034,0.172,0.184,0.18,7.819,0.829,0.801,0.762,0.736,9.0,3.0,9.0,21.0,1.0,0.0,0.0,8.0,3.0,1.0,0.264,0.326,0.239,0.0,1.0,0.0,18.963,12.0,11.043,0.134,0.0,0.0,0.964,0.886,0.856,1.749,2.003,33.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0
8476278,2018,Colin Blackwell,2018020768,NSH,VGK,AWAY,20190123,C,all,464.0,12.0,-0.01,0.0876,0.3282,0.4667,0.377,0.3333,0.3626,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.103,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,2.0,1.0,7.0,1.0,4.0,2.0,5.0,3.0,4.0,3136.0,0.0,0.0,0.0,1.0,2.058,0.041,0.041,0.044,0.043,3.0,0.0,4.0,7.0,0.0,0.0,0.0,3.0,0.0,0.0,0.041,0.0,0.0,0.0,0.0,0.0,7.323,3.0,3.095,0.018,0.0,0.0,0.059,0.062,0.062,4.16,0.427,0.427,0.405,0.405,5.0,1.0,2.0,8.0,0.0,0.0,0.0,5.0,0.0,1.0,0.192,0.0,0.235,0.0,0.0,0.0,7.651,6.0,5.785,0.05,0.0,0.0,0.477,0.452,0.452,2.148,4.396,46.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0
8476278,2018,Colin Blackwell,2018020782,NSH,FLA,AWAY,20190201,C,all,487.0,13.0,0.425,0.6505,0.6273,0.6875,0.4742,0.6667,0.5217,11.0,2.045,0.479,0.128,0.589,0.121,0.963,0.718,0.455,0.503,0.478,0.0,0.0,1.0,2.0,1.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0,1.0,0.049,0.087,0.344,0.0,0.0,0.0,4.128,3.0,3.091,0.0,0.028,0.109,0.344,0.164,0.172,0.171,13.0,1.0,0.0,2.0,10.0,1.0,3.0,1.0,8.0,0.0,0.0,3113.0,0.0,0.0,0.0,0.0,5.721,0.698,0.667,0.732,0.699,3.0,5.0,3.0,11.0,0.0,2.0,0.0,5.0,2.0,1.0,0.159,0.195,0.344,0.0,0.0,0.0,11.295,8.0,8.178,0.067,0.453,0.453,0.312,0.327,0.322,3.137,0.375,0.375,0.354,0.354,3.0,1.0,1.0,5.0,0.0,0.0,0.0,2.0,2.0,0.0,0.078,0.297,0.0,0.0,0.0,0.0,4.825,4.0,3.83,0.054,0.0,0.0,0.429,0.405,0.405,2.885,1.714,46.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0
8476278,2018,Colin Blackwell,2018020798,NSH,DAL,HOME,20190202,C,all,478.0,14.0,0.35,0.8587,0.4858,0.6842,0.5938,0.5833,0.6184,11.0,0.713,0.069,0.061,0.185,0.032,0.399,0.254,0.068,0.066,0.065,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,1.0,0.0,0.0,0.069,0.0,0.0,0.0,0.0,0.0,0.97,1.0,0.971,0.0,0.013,0.0,0.069,0.013,0.012,0.012,14.0,0.0,0.0,3.0,11.0,3.0,3.0,2.0,6.0,0.0,0.0,3122.0,0.0,0.0,0.0,0.0,5.402,0.565,0.557,0.539,0.532,5.0,2.0,6.0,13.0,0.0,2.0,0.0,5.0,1.0,1.0,0.194,0.123,0.248,0.0,0.0,0.0,12.61,7.0,6.798,0.087,0.316,0.316,0.335,0.32,0.319,3.302,0.093,0.093,0.097,0.097,4.0,1.0,1.0,6.0,0.0,0.0,0.0,5.0,0.0,0.0,0.093,0.0,0.0,0.0,0.0,0.0,6.192,5.0,5.152,0.036,0.0,0.0,0.129,0.136,0.135,1.919,2.031,57.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0
8476278,2018,Colin Blackwell,2018020817,NSH,ARI,HOME,20190205,C,all,621.0,14.0,0.82,0.6436,0.7017,0.75,0.6321,0.7333,0.6173,12.0,2.194,0.077,0.125,0.545,0.064,1.154,1.035,0.077,0.077,0.077,0.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,3.0,0.0,0.0,2.0,1.0,0.0,1.0,3.0,0.0,0.0,0.077,0.0,0.0,0.0,0.0,0.0,3.126,3.0,3.127,0.0,0.025,0.0,0.0,0.102,0.103,0.103,14.0,2.0,0.0,2.0,10.0,6.0,1.0,1.0,6.0,2.0,0.0,2979.0,0.0,2.0,1.0,0.0,7.161,0.325,0.321,0.321,0.317,7.0,4.0,4.0,15.0,0.0,0.0,0.0,10.0,1.0,0.0,0.237,0.089,0.0,0.0,0.0,0.0,15.082,11.0,11.201,0.087,0.0,0.0,0.412,0.407,0.401,3.07,0.18,0.18,0.183,0.183,3.0,1.0,1.0,5.0,0.0,0.0,0.0,3.0,1.0,0.0,0.074,0.106,0.0,0.0,0.0,0.0,4.854,4.0,3.913,0.03,0.0,0.0,0.209,0.213,0.213,4.97,2.113,67.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0
8476278,2019,Colin Blackwell,2019020505,NSH,DAL,HOME,20191214,C,all,579.0,18.0,1.045,0.944,0.569,0.9,0.6596,0.9286,0.6286,12.0,1.152,0.1,0.075,0.259,0.051,0.908,0.607,0.1,0.091,0.091,0.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,7.0,4.0,0.0,0.0,2.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,2.615,2.0,1.795,0.0,0.015,0.0,0.0,0.116,0.105,0.105,18.0,2.0,1.0,5.0,10.0,9.0,2.0,3.0,4.0,7.0,5.0,3021.0,0.0,0.0,0.0,0.0,8.982,0.64,0.638,0.599,0.596,8.0,5.0,5.0,18.0,1.0,1.0,1.0,10.0,2.0,1.0,0.187,0.217,0.236,0.0,0.0,1.0,16.127,13.0,11.904,0.087,0.236,0.236,0.491,0.443,0.443,0.761,0.038,0.038,0.04,0.04,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.038,0.0,0.0,0.0,0.0,0.0,2.007,1.0,1.03,0.009,0.0,0.0,0.047,0.049,0.049,1.735,1.314,62.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0
8476278,2019,Colin Blackwell,2019020520,NSH,NYR,AWAY,20191216,C,all,520.0,13.0,0.26,0.6742,0.3755,0.5714,0.3846,0.5833,0.3896,11.0,2.296,0.289,0.111,0.67,0.08,1.035,0.815,0.279,0.31,0.3,0.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,3.0,0.0,0.0,7.0,0.0,1.0,1.0,1.0,2.0,0.0,0.013,0.277,0.0,0.0,0.0,0.0,3.218,3.0,3.207,0.0,0.023,0.0,0.174,0.138,0.153,0.152,13.0,0.0,3.0,2.0,8.0,4.0,1.0,2.0,6.0,7.0,6.0,3080.0,0.0,0.0,0.0,0.0,5.411,0.447,0.438,0.482,0.472,6.0,1.0,1.0,8.0,0.0,1.0,0.0,5.0,2.0,0.0,0.171,0.277,0.0,0.0,0.0,0.0,8.622,7.0,7.56,0.062,0.174,0.174,0.335,0.366,0.366,3.435,0.216,0.216,0.204,0.203,2.0,3.0,1.0,6.0,0.0,0.0,0.0,4.0,1.0,0.0,0.097,0.119,0.0,0.0,0.0,0.0,5.644,5.0,4.772,0.033,0.0,0.0,0.248,0.234,0.234,1.706,2.837,40.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0
8476278,2019,Colin Blackwell,2019020527,NSH,NYI,AWAY,20191217,C,all,747.0,20.0,0.035,0.5599,0.5774,0.3793,0.4651,0.4737,0.4746,11.0,0.915,0.146,0.073,0.152,0.018,0.372,0.239,0.146,0.154,0.154,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2.0,3.0,0.0,1.0,0.0,1.0,0.0,0.0,0.146,0.0,0.0,0.0,0.0,1.032,1.0,1.03,1.0,0.016,0.0,0.0,0.163,0.171,0.171,20.0,0.0,0.0,7.0,13.0,6.0,1.0,5.0,8.0,2.0,1.0,2853.0,0.0,0.0,0.0,4.0,6.994,0.575,0.558,0.62,0.601,6.0,3.0,2.0,11.0,3.0,0.0,0.0,6.0,3.0,0.0,0.101,0.474,0.0,2.0,1.0,0.0,11.74,9.0,9.457,0.097,0.0,0.0,0.672,0.722,0.701,7.384,0.452,0.452,0.423,0.423,9.0,1.0,8.0,18.0,2.0,0.0,0.0,8.0,2.0,0.0,0.223,0.229,0.0,2.0,0.0,0.0,17.081,10.0,9.45,0.093,0.0,0.0,0.545,0.51,0.51,1.898,1.389,40.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0
8476278,2019,Colin Blackwell,2019020542,NSH,OTT,AWAY,20191219,C,all,854.0,22.0,0.715,0.7797,0.4753,0.6471,0.47,0.6429,0.4839,9.0,2.033,0.11,0.136,0.4,0.061,1.374,0.918,0.094,0.114,0.097,0.0,0.0,1.0,2.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,1.0,2.0,0.0,3.0,1.0,1.0,3.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,3.053,3.0,3.029,1.0,0.027,0.05,0.0,0.138,0.143,0.12,22.0,4.0,0.0,6.0,12.0,4.0,4.0,5.0,9.0,0.0,1.0,2906.0,2.0,0.0,0.0,0.0,13.139,1.292,1.208,1.392,1.299,14.0,4.0,4.0,22.0,2.0,2.0,0.0,14.0,2.0,2.0,0.465,0.255,0.572,1.0,0.0,1.0,22.763,18.0,18.697,0.187,0.375,0.375,1.104,1.179,1.138,7.282,0.365,0.364,0.362,0.361,5.0,5.0,2.0,12.0,0.0,0.0,0.0,10.0,0.0,0.0,0.365,0.0,0.0,0.0,0.0,0.0,12.017,10.0,10.072,0.084,0.0,0.0,0.449,0.444,0.443,1.845,2.037,47.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0
