gameId,teamAbbrev,homeRoadFlag,gameDate,goals,assists,commonName,opponentCommonName,points,plusMinus,powerPlayGoals,powerPlayPoints,gameWinningGoals,otGoals,shots,shifts,shorthandedGoals,shorthandedPoints,opponentAbbrev,pim,toi,season
2025020745,CHI,H,2026-01-15,0,1,{'default': 'Blackhawks'},{'default': 'Flames'},1,1,0,0,0,0,1,13,0,0,CGY,0,8:01,2025
2025020722,CHI,H,2026-01-12,0,0,{'default': 'Blackhawks'},{'default': 'Oilers'},0,0,0,0,0,0,2,14,0,0,EDM,0,11:40,2025
2025020694,CHI,H,2026-01-09,0,0,{'default': 'Blackhawks'},{'default': 'Capitals'},0,0,0,0,0,0,0,15,0,0,WSH,0,11:46,2025
2025020679,CHI,H,2026-01-07,0,1,{'default': 'Blackhawks'},{'default': 'Blues'},1,0,0,0,0,0,0,13,0,0,STL,0,10:12,2025
2025020661,CHI,H,2026-01-04,0,0,{'default': 'Blackhawks'},{'default': 'Golden Knights'},0,0,0,0,0,0,2,15,0,0,VGK,0,11:23,2025
2025020652,CHI,R,2026-01-03,0,0,{'default': 'Blackhawks'},{'default': 'Capitals'},0,0,0,0,0,0,0,16,0,0,WSH,0,11:41,2025
2025020637,CHI,H,2026-01-01,0,0,{'default': 'Blackhawks'},{'default': 'Stars'},0,0,0,0,0,0,0,13,0,0,DAL,0,12:42,2025
2025020620,CHI,H,2025-12-30,0,0,{'default': 'Blackhawks'},{'default': 'Islanders'},0,-1,0,0,0,0,0,18,0,0,NYI,0,12:49,2025
2025020604,CHI,H,2025-12-28,0,1,{'default': 'Blackhawks'},{'default': 'Penguins'},1,0,0,0,0,0,0,17,0,0,PIT,0,13:51,2025
2025020596,CHI,R,2025-12-27,0,0,{'default': 'Blackhawks'},{'default': 'Stars'},0,-1,0,0,0,0,0,14,0,0,DAL,0,11:09,2025
2025020583,CHI,H,2025-12-23,0,0,{'default': 'Blackhawks'},{'default': 'Flyers'},0,-1,0,0,0,0,0,18,0,0,PHI,2,11:02,2025
2025020551,CHI,R,2025-12-20,0,0,{'default': 'Blackhawks'},"{'default': 'Senators', 'fr': 'Sénateurs'}",0,-1,0,0,0,0,1,20,0,0,OTT,0,13:49,2025
2025020536,CHI,R,2025-12-18,0,0,{'default': 'Blackhawks'},{'default': 'Canadiens'},0,-1,0,0,0,0,0,15,0,0,MTL,0,12:17,2025
2025020520,CHI,R,2025-12-16,0,0,{'default': 'Blackhawks'},{'default': 'Maple Leafs'},0,1,0,0,0,0,1,15,0,0,TOR,0,10:57,2025
2025020504,CHI,H,2025-12-13,0,0,{'default': 'Blackhawks'},{'default': 'Red Wings'},0,0,0,0,0,0,3,17,0,0,DET,2,13:26,2025
2025020493,CHI,R,2025-12-12,0,0,{'default': 'Blackhawks'},{'default': 'Blues'},0,0,0,0,0,0,2,15,0,0,STL,7,11:27,2025
2025020476,CHI,H,2025-12-10,0,0,{'default': 'Blackhawks'},{'default': 'Rangers'},0,0,0,0,0,0,0,12,0,0,NYR,0,9:48,2025
2025020460,CHI,R,2025-12-07,0,0,{'default': 'Blackhawks'},{'default': 'Ducks'},0,0,0,0,0,0,0,15,0,0,ANA,0,10:49,2025
2025020449,CHI,R,2025-12-06,0,0,{'default': 'Blackhawks'},{'default': 'Kings'},0,0,0,0,0,0,1,19,0,0,LAK,2,13:07,2025
2025020435,CHI,R,2025-12-04,0,0,{'default': 'Blackhawks'},{'default': 'Kings'},0,0,0,0,0,0,2,11,0,0,LAK,0,8:23,2025
2025020419,CHI,R,2025-12-02,0,0,{'default': 'Blackhawks'},{'default': 'Golden Knights'},0,-1,0,0,0,0,0,19,0,0,VGK,0,14:11,2025
2025020403,CHI,H,2025-11-30,1,0,{'default': 'Blackhawks'},{'default': 'Ducks'},1,-1,1,1,0,0,1,16,0,0,ANA,0,11:58,2025
2025020389,CHI,H,2025-11-28,0,0,{'default': 'Blackhawks'},{'default': 'Predators'},0,0,0,0,0,0,2,13,0,0,NSH,2,10:06,2025
2025020370,CHI,H,2025-11-26,0,1,{'default': 'Blackhawks'},{'default': 'Wild'},1,1,0,0,0,0,3,9,0,0,MIN,5,7:08,2025
2025020350,CHI,H,2025-11-23,0,0,{'default': 'Blackhawks'},{'default': 'Avalanche'},0,-1,0,0,0,0,0,11,0,0,COL,0,8:26,2025
2025020331,CHI,R,2025-11-21,0,0,{'default': 'Blackhawks'},{'default': 'Sabres'},0,-3,0,0,0,0,2,22,0,0,BUF,0,14:52,2025
2025020325,CHI,H,2025-11-20,0,0,{'default': 'Blackhawks'},{'default': 'Kraken'},0,0,0,0,0,0,0,14,0,0,SEA,0,10:20,2025
2025020312,CHI,H,2025-11-18,0,0,{'default': 'Blackhawks'},{'default': 'Flames'},0,0,0,0,0,0,1,22,0,0,CGY,12,14:34,2025
2025020291,CHI,H,2025-11-15,1,0,{'default': 'Blackhawks'},{'default': 'Maple Leafs'},1,0,0,0,1,0,1,16,0,0,TOR,0,9:40,2025
2025020268,CHI,H,2025-11-12,0,0,{'default': 'Blackhawks'},{'default': 'Devils'},0,-1,0,0,0,0,0,16,0,0,NJD,0,12:28,2025
2025020244,CHI,R,2025-11-09,0,0,{'default': 'Blackhawks'},{'default': 'Red Wings'},0,0,0,0,0,0,2,15,0,0,DET,0,12:19,2025
2025020229,CHI,R,2025-11-07,0,0,{'default': 'Blackhawks'},{'default': 'Flames'},0,0,0,0,0,0,3,19,0,0,CGY,5,14:01,2025
2025020216,CHI,R,2025-11-05,0,0,{'default': 'Blackhawks'},{'default': 'Canucks'},0,1,0,0,0,0,0,15,0,0,VAN,0,11:21,2025
2025020202,CHI,R,2025-11-03,0,0,{'default': 'Blackhawks'},{'default': 'Kraken'},0,-1,0,0,0,0,3,12,0,0,SEA,0,8:19,2025
2025020192,CHI,R,2025-11-01,0,0,{'default': 'Blackhawks'},{'default': 'Oilers'},0,0,0,0,0,0,1,16,0,0,EDM,2,10:29,2025
2025020174,CHI,R,2025-10-30,0,0,{'default': 'Blackhawks'},{'default': 'Jets'},0,-2,0,0,0,0,1,24,0,0,WPG,4,15:29,2025
2025020160,CHI,H,2025-10-28,1,0,{'default': 'Blackhawks'},"{'default': 'Senators', 'fr': 'Sénateurs'}",1,1,0,0,0,0,2,24,0,0,OTT,0,17:03,2025
2025020144,CHI,H,2025-10-26,0,0,{'default': 'Blackhawks'},{'default': 'Kings'},0,-2,0,0,0,0,1,19,0,0,LAK,0,12:53,2025
2025020113,CHI,R,2025-10-23,0,0,{'default': 'Blackhawks'},{'default': 'Lightning'},0,0,0,0,0,0,1,20,0,0,TBL,0,14:17,2025
2025020091,CHI,H,2025-10-19,0,0,{'default': 'Blackhawks'},{'default': 'Ducks'},0,0,0,0,0,0,1,18,0,0,ANA,0,11:49,2025
2025020074,CHI,H,2025-10-17,0,0,{'default': 'Blackhawks'},{'default': 'Canucks'},0,0,0,0,0,0,4,12,0,0,VAN,0,8:41,2025
2025020059,CHI,R,2025-10-15,0,0,{'default': 'Blackhawks'},{'default': 'Blues'},0,-1,0,0,0,0,1,21,0,0,STL,0,15:13,2025
2025020048,CHI,H,2025-10-13,0,1,{'default': 'Blackhawks'},{'default': 'Mammoth'},1,-1,0,1,0,0,0,21,0,0,UTA,0,15:47,2025
2025020031,CHI,H,2025-10-11,0,0,{'default': 'Blackhawks'},{'default': 'Canadiens'},0,0,0,0,0,0,0,21,0,0,MTL,2,16:02,2025
2025020008,CHI,R,2025-10-09,0,1,{'default': 'Blackhawks'},{'default': 'Bruins'},1,0,0,0,0,0,2,19,0,0,BOS,0,13:22,2025
2025020001,CHI,R,2025-10-07,0,0,{'default': 'Blackhawks'},{'default': 'Panthers'},0,0,0,0,0,0,1,22,0,0,FLA,0,13:29,2025
2024021098,CHI,H,2025-03-20,0,0,{'default': 'Blackhawks'},{'default': 'Kings'},0,-1,0,0,0,0,0,14,0,0,LAK,0,11:27,2024
2024021084,CHI,H,2025-03-18,0,0,{'default': 'Blackhawks'},{'default': 'Kraken'},0,0,0,0,0,0,2,17,0,0,SEA,0,13:35,2024
2024021065,CHI,R,2025-03-15,0,0,{'default': 'Blackhawks'},{'default': 'Canucks'},0,-2,0,0,0,0,1,18,0,0,VAN,0,14:54,2024
