playerId,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts
8476925,2013,Colton Sissons,2013020802,NSH,WPG,AWAY,20140128,C,all,649.0,14.0,0.355,0.6711,0.4153,0.2143,0.5057,0.3,0.5217,11.0,0.795,0.066,0.044,0.262,0.023,0.341,0.263,0.066,0.073,0.073,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.066,0.0,0.0,0.0,0.0,0.0,1.103,1.0,1.1,0.0,0.009,0.0,0.0,0.076,0.083,0.083,14.0,1.0,1.0,2.0,10.0,3.0,2.0,1.0,8.0,1.0,3.0,2951.0,0.0,0.0,0.0,0.0,2.632,0.406,0.406,0.448,0.448,2.0,1.0,0.0,3.0,1.0,0.0,0.0,1.0,2.0,0.0,0.066,0.34,0.0,0.0,1.0,0.0,3.36,3.0,3.347,0.041,0.0,0.0,0.448,0.494,0.494,4.915,0.199,0.196,0.183,0.181,3.0,4.0,4.0,11.0,0.0,0.0,0.0,7.0,0.0,0.0,0.199,0.0,0.0,0.0,0.0,0.0,10.175,7.0,6.415,0.057,0.0,0.0,0.256,0.236,0.232,1.626,2.289,44.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0
8476925,2013,Colton Sissons,2013020822,NSH,N.J,HOME,20140131,C,all,306.0,11.0,-0.15,0.1898,0.562,0.5,0.5393,0.5714,0.5821,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,2.0,0.0,1.0,8.0,1.0,4.0,1.0,5.0,2.0,2.0,3383.0,2.0,0.0,0.0,0.0,2.745,0.063,0.062,0.062,0.061,4.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.063,0.0,0.0,0.0,0.0,0.0,3.992,4.0,4.019,0.034,0.0,0.0,0.097,0.095,0.093,2.265,0.269,0.269,0.283,0.283,3.0,0.0,1.0,4.0,0.0,0.0,0.0,2.0,0.0,1.0,0.056,0.0,0.213,0.0,0.0,0.0,4.213,3.0,3.095,0.035,0.0,0.0,0.305,0.321,0.321,2.107,1.642,48.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0
8476925,2013,Colton Sissons,2013020830,NSH,STL,AWAY,20140201,C,all,480.0,15.0,0.37,0.7068,0.4238,0.625,0.4815,0.5714,0.5,12.0,1.624,0.124,0.129,0.384,0.045,0.788,0.53,0.124,0.123,0.123,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.028,0.095,0.0,0.0,0.0,0.0,1.911,2.0,1.919,0.0,0.026,0.0,0.0,0.15,0.15,0.15,15.0,0.0,0.0,1.0,14.0,4.0,3.0,2.0,6.0,3.0,1.0,3420.0,0.0,0.0,0.0,0.0,6.571,1.032,1.003,1.062,1.032,5.0,3.0,2.0,10.0,1.0,1.0,0.0,3.0,3.0,2.0,0.113,0.389,0.53,0.0,1.0,0.0,9.9,8.0,7.893,0.131,0.296,0.296,0.867,0.886,0.883,4.236,0.428,0.428,0.413,0.412,4.0,2.0,0.0,6.0,0.0,0.0,0.0,4.0,2.0,0.0,0.135,0.293,0.0,0.0,0.0,0.0,5.876,6.0,5.894,0.061,0.0,0.0,0.49,0.472,0.471,1.85,2.515,52.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0
8476925,2013,Colton Sissons,2013020880,NSH,ANA,HOME,20140208,C,all,447.0,12.0,0.07,0.3669,0.4715,0.625,0.5421,0.6667,0.5921,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,0.0,4.0,7.0,3.0,1.0,0.0,8.0,4.0,2.0,3153.0,0.0,0.0,0.0,0.0,2.169,0.062,0.062,0.06,0.06,4.0,0.0,1.0,5.0,0.0,0.0,0.0,4.0,0.0,0.0,0.062,0.0,0.0,0.0,0.0,0.0,4.936,4.0,3.981,0.028,0.0,0.0,0.089,0.087,0.087,1.452,0.107,0.107,0.111,0.111,2.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.021,0.085,0.0,0.0,0.0,0.0,3.161,2.0,1.995,0.015,0.0,0.0,0.121,0.126,0.126,2.917,3.27,58.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0
8476925,2013,Colton Sissons,2013020969,NSH,OTT,AWAY,20140310,C,all,503.0,13.0,-0.025,0.4958,0.6279,0.5333,0.5167,0.5455,0.5474,11.0,0.751,0.122,0.058,0.144,0.021,0.376,0.279,0.122,0.128,0.128,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.122,0.0,0.0,0.0,0.0,1.032,1.0,1.03,0.0,0.013,0.0,0.0,0.134,0.141,0.141,13.0,4.0,1.0,2.0,6.0,3.0,1.0,4.0,5.0,4.0,4.0,3326.0,0.0,0.0,0.0,0.0,4.341,0.178,0.178,0.188,0.188,4.0,2.0,2.0,8.0,0.0,0.0,0.0,5.0,1.0,0.0,0.056,0.122,0.0,0.0,0.0,0.0,8.52,6.0,6.368,0.039,0.0,0.0,0.217,0.23,0.23,3.694,0.181,0.176,0.169,0.165,3.0,2.0,2.0,7.0,1.0,0.0,0.0,5.0,0.0,0.0,0.181,0.0,0.0,1.0,0.0,0.0,6.592,5.0,4.662,0.043,0.0,0.0,0.224,0.21,0.205,2.955,1.751,62.0,58.0,0.0,0.0,0.0,0.0,0.0,0.0
8476925,2013,Colton Sissons,2013020976,NSH,BUF,AWAY,20140311,C,all,805.0,21.0,0.16,0.5659,0.5705,0.625,0.4634,0.5455,0.4667,6.0,0.677,0.024,0.037,0.198,0.022,0.364,0.355,0.024,0.024,0.024,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,6.0,0.0,1.0,1.0,1.0,0.0,0.0,0.024,0.0,0.0,0.0,0.0,0.0,2.129,1.0,0.964,0.0,0.007,0.0,0.0,0.031,0.031,0.031,21.0,4.0,2.0,5.0,10.0,3.0,2.0,4.0,12.0,6.0,10.0,2795.0,0.0,0.0,0.0,0.0,4.3,0.189,0.188,0.208,0.206,3.0,3.0,4.0,10.0,0.0,0.0,0.0,5.0,1.0,0.0,0.071,0.118,0.0,0.0,0.0,0.0,11.191,6.0,6.648,0.054,0.0,0.0,0.244,0.268,0.265,3.163,0.145,0.143,0.132,0.13,4.0,1.0,1.0,6.0,0.0,0.0,0.0,4.0,1.0,0.0,0.062,0.083,0.0,0.0,0.0,0.0,5.292,5.0,4.436,0.036,0.0,0.0,0.182,0.165,0.162,2.263,1.704,38.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0
8476925,2013,Colton Sissons,2013021000,NSH,CHI,AWAY,20140314,C,all,519.0,12.0,-0.255,0.1082,0.6437,0.2857,0.4592,0.125,0.4714,10.0,0.837,0.062,0.078,0.125,0.023,0.403,0.308,0.062,0.068,0.068,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,4.0,0.0,1.0,0.0,1.0,0.0,0.0,0.062,0.0,0.0,0.0,0.0,0.0,1.103,1.0,1.1,0.0,0.015,0.0,0.0,0.078,0.085,0.085,12.0,3.0,2.0,1.0,6.0,2.0,2.0,1.0,7.0,4.0,2.0,3081.0,0.0,0.0,0.0,2.0,0.837,0.062,0.062,0.068,0.068,1.0,0.0,3.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,0.062,0.0,0.0,0.0,0.0,0.0,4.341,1.0,1.1,0.015,0.0,0.0,0.078,0.085,0.085,4.985,0.511,0.506,0.468,0.464,6.0,1.0,3.0,10.0,1.0,0.0,0.0,4.0,3.0,0.0,0.175,0.336,0.0,0.0,1.0,0.0,9.128,7.0,6.382,0.087,0.0,0.0,0.598,0.547,0.542,3.331,1.844,45.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0
8476925,2013,Colton Sissons,2013021009,NSH,STL,HOME,20140315,C,all,743.0,17.0,0.88,0.5296,0.3576,0.5909,0.5065,0.5263,0.537,11.0,0.791,0.091,0.054,0.167,0.024,0.406,0.258,0.091,0.084,0.084,1.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,4.0,1.0,2.0,1.0,0.0,1.0,0.0,0.0,0.091,0.0,0.0,0.0,0.0,0.915,1.0,0.916,0.0,0.011,0.0,0.0,0.102,0.094,0.094,17.0,4.0,1.0,5.0,7.0,4.0,0.0,2.0,11.0,4.0,6.0,2857.0,0.0,0.0,0.0,0.0,7.5,0.429,0.413,0.391,0.377,7.0,3.0,3.0,13.0,1.0,0.0,0.0,7.0,3.0,0.0,0.14,0.29,0.0,0.0,1.0,0.0,11.645,10.0,8.996,0.083,0.0,0.0,0.513,0.467,0.451,6.62,0.381,0.381,0.427,0.427,7.0,2.0,0.0,9.0,1.0,0.0,0.0,8.0,1.0,0.0,0.246,0.136,0.0,1.0,0.0,0.0,10.293,9.0,10.192,0.085,0.0,0.0,0.466,0.522,0.521,0.924,1.66,39.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0
8476925,2013,Colton Sissons,2013021035,NSH,EDM,AWAY,20140318,C,all,730.0,16.0,0.345,0.4723,0.457,0.6316,0.4946,0.6667,0.4857,10.0,2.911,0.216,0.149,0.669,0.093,1.325,1.548,0.216,0.215,0.215,0.0,0.0,3.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,3.0,4.0,0.0,0.0,5.0,0.0,0.0,0.0,3.0,1.0,0.0,0.1,0.116,0.0,0.0,0.0,0.0,3.806,4.0,3.873,0.0,0.031,0.0,0.0,0.248,0.246,0.246,16.0,4.0,0.0,0.0,12.0,4.0,0.0,5.0,7.0,5.0,3.0,2870.0,0.0,0.0,0.0,1.0,7.133,0.384,0.384,0.38,0.38,8.0,2.0,2.0,12.0,0.0,0.0,0.0,9.0,1.0,0.0,0.268,0.116,0.0,0.0,0.0,0.0,11.249,10.0,9.619,0.072,0.0,0.0,0.456,0.451,0.451,3.683,0.429,0.409,0.427,0.407,4.0,1.0,2.0,7.0,1.0,1.0,1.0,3.0,1.0,1.0,0.11,0.086,0.233,0.0,0.0,1.0,7.378,5.0,5.161,0.054,0.233,0.233,0.25,0.249,0.247,1.61,1.913,46.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0
8476925,2013,Colton Sissons,2013021041,NSH,VAN,AWAY,20140319,C,all,649.0,14.0,-0.105,0.4075,0.5123,0.4,0.5526,0.5,0.5333,10.0,0.792,0.048,0.036,0.208,0.026,0.379,0.303,0.048,0.05,0.05,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.048,0.0,0.0,0.0,0.0,0.0,1.032,1.0,1.03,0.0,0.007,0.0,0.0,0.055,0.058,0.058,14.0,1.0,3.0,0.0,10.0,3.0,0.0,1.0,10.0,1.0,4.0,2951.0,0.0,0.0,0.0,0.0,3.521,0.141,0.141,0.148,0.148,2.0,3.0,1.0,6.0,0.0,0.0,0.0,5.0,0.0,0.0,0.141,0.0,0.0,0.0,0.0,0.0,6.192,5.0,5.152,0.037,0.0,0.0,0.178,0.186,0.186,3.227,0.205,0.192,0.196,0.184,3.0,2.0,4.0,9.0,0.0,0.0,0.0,5.0,0.0,0.0,0.205,0.0,0.0,0.0,0.0,0.0,8.73,5.0,4.856,0.056,0.0,0.0,0.261,0.249,0.235,1.144,1.089,42.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0
