gameId,teamAbbrev,homeRoadFlag,gameDate,goals,assists,commonName,opponentCommonName,points,plusMinus,powerPlayGoals,powerPlayPoints,gameWinningGoals,otGoals,shots,shifts,shorthandedGoals,shorthandedPoints,toi,opponentAbbrev,pim,season
2025020712,BOS,H,2026-01-11,0,0,{'default': 'Bruins'},{'default': 'Penguins'},0,0,0,0,0,0,4,22,0,0,22:36,PIT,0,2025
2025020697,BOS,H,2026-01-10,0,6,{'default': 'Bruins'},{'default': 'Rangers'},6,5,0,1,0,0,5,22,0,0,19:26,NYR,0,2025
2025020682,BOS,H,2026-01-08,0,1,{'default': 'Bruins'},{'default': 'Flames'},1,1,0,0,0,0,1,18,0,0,16:56,CGY,0,2025
2025020676,BOS,R,2026-01-06,2,0,{'default': 'Bruins'},{'default': 'Kraken'},2,1,0,0,0,0,7,21,0,0,21:09,SEA,2,2025
2025020656,BOS,R,2026-01-03,0,2,{'default': 'Bruins'},{'default': 'Canucks'},2,0,0,1,0,0,2,24,0,0,22:07,VAN,0,2025
2025020631,BOS,R,2025-12-31,2,1,{'default': 'Bruins'},{'default': 'Oilers'},3,1,1,1,0,0,6,21,0,0,20:03,EDM,2,2025
2025020613,BOS,R,2025-12-29,0,0,{'default': 'Bruins'},{'default': 'Flames'},0,0,0,0,0,0,4,21,0,0,19:22,CGY,0,2025
2025020589,BOS,R,2025-12-27,1,0,{'default': 'Bruins'},{'default': 'Sabres'},1,-1,0,0,0,0,1,19,0,0,20:33,BUF,0,2025
2025020577,BOS,H,2025-12-23,0,1,{'default': 'Bruins'},{'default': 'Canadiens'},1,-2,0,1,0,0,2,20,0,0,20:14,MTL,0,2025
2025020564,BOS,H,2025-12-21,1,0,{'default': 'Bruins'},"{'default': 'Senators', 'fr': 'Sénateurs'}",1,-2,1,1,0,0,3,21,0,0,19:04,OTT,12,2025
2025020555,BOS,H,2025-12-20,0,0,{'default': 'Bruins'},{'default': 'Canucks'},0,0,0,0,0,0,4,24,0,0,21:23,VAN,0,2025
2025020534,BOS,H,2025-12-18,0,0,{'default': 'Bruins'},{'default': 'Oilers'},0,-2,0,0,0,0,1,22,0,0,22:07,EDM,0,2025
2025020519,BOS,H,2025-12-16,0,2,{'default': 'Bruins'},{'default': 'Mammoth'},2,1,0,1,0,0,5,18,0,0,19:40,UTA,0,2025
2025020511,BOS,R,2025-12-14,0,0,{'default': 'Bruins'},{'default': 'Wild'},0,-3,0,0,0,0,2,19,0,0,17:01,MIN,0,2025
2025020489,BOS,R,2025-12-11,2,2,{'default': 'Bruins'},{'default': 'Jets'},4,3,1,1,0,0,7,24,0,0,21:21,WPG,0,2025
2025020472,BOS,R,2025-12-09,0,3,{'default': 'Bruins'},{'default': 'Blues'},3,2,0,0,0,0,3,19,0,0,15:36,STL,0,2025
2025020365,BOS,R,2025-11-26,0,0,{'default': 'Bruins'},{'default': 'Islanders'},0,-1,0,0,0,0,1,19,0,0,18:35,NYI,2,2025
2025020351,BOS,R,2025-11-23,0,1,{'default': 'Bruins'},{'default': 'Sharks'},1,0,0,0,0,0,6,24,0,0,21:29,SJS,0,2025
2025020334,BOS,R,2025-11-21,0,1,{'default': 'Bruins'},{'default': 'Kings'},1,0,0,0,0,0,2,21,0,0,20:01,LAK,0,2025
2025020318,BOS,R,2025-11-19,0,1,{'default': 'Bruins'},{'default': 'Ducks'},1,-1,0,1,0,0,4,20,0,0,20:09,ANA,0,2025
2025020301,BOS,H,2025-11-17,0,0,{'default': 'Bruins'},{'default': 'Hurricanes'},0,-2,0,0,0,0,1,18,0,0,20:06,CAR,0,2025
2025020285,BOS,R,2025-11-15,0,2,{'default': 'Bruins'},{'default': 'Canadiens'},2,-1,0,1,0,0,5,17,0,0,20:15,MTL,0,2025
2025020271,BOS,R,2025-11-13,1,1,{'default': 'Bruins'},"{'default': 'Senators', 'fr': 'Sénateurs'}",2,0,1,1,0,0,3,20,0,0,20:05,OTT,0,2025
2025020256,BOS,H,2025-11-11,2,1,{'default': 'Bruins'},{'default': 'Maple Leafs'},3,0,1,2,1,0,4,20,0,0,23:45,TOR,2,2025
