gameId,teamAbbrev,homeRoadFlag,gameDate,goals,assists,commonName,opponentCommonName,points,plusMinus,powerPlayGoals,powerPlayPoints,gameWinningGoals,otGoals,shots,shifts,shorthandedGoals,shorthandedPoints,opponentAbbrev,toi,pim,season
2025020898,UTA,H,2026-02-04,1,0,{'default': 'Mammoth'},{'default': 'Red Wings'},1,2,0,0,0,0,4,22,0,0,DET,17:38,2,2025
2025020884,UTA,H,2026-02-02,0,1,{'default': 'Mammoth'},{'default': 'Canucks'},1,-2,0,1,0,0,3,16,0,0,VAN,12:35,0,2025
2025020870,UTA,H,2026-01-31,0,0,{'default': 'Mammoth'},{'default': 'Stars'},0,0,0,0,0,0,0,19,0,0,DAL,15:32,0,2025
2025020825,UTA,R,2026-01-26,0,0,{'default': 'Mammoth'},{'default': 'Lightning'},0,0,0,0,0,0,5,22,0,0,TBL,18:28,0,2025
2025020811,UTA,R,2026-01-24,0,2,{'default': 'Mammoth'},{'default': 'Predators'},2,2,0,1,0,0,2,22,0,0,NSH,17:06,0,2025
2025020790,UTA,H,2026-01-21,1,1,{'default': 'Mammoth'},{'default': 'Flyers'},2,1,1,1,0,0,4,26,0,0,PHI,19:13,0,2025
2025020757,UTA,H,2026-01-17,0,1,{'default': 'Mammoth'},{'default': 'Kraken'},1,1,0,0,0,0,0,21,0,0,SEA,16:55,2,2025
2025020746,UTA,H,2026-01-15,0,0,{'default': 'Mammoth'},{'default': 'Stars'},0,0,0,0,0,0,4,19,0,0,DAL,18:02,0,2025
2025020733,UTA,H,2026-01-13,2,1,{'default': 'Mammoth'},{'default': 'Maple Leafs'},3,4,0,0,1,0,8,23,0,0,TOR,17:17,0,2025
2025020714,UTA,H,2026-01-11,0,0,{'default': 'Mammoth'},{'default': 'Blue Jackets'},0,0,0,0,0,0,3,19,0,0,CBJ,16:04,0,2025
2025020696,UTA,H,2026-01-09,0,0,{'default': 'Mammoth'},{'default': 'Blues'},0,-1,0,0,0,0,0,25,0,0,STL,18:51,4,2025
2025020680,UTA,H,2026-01-07,0,0,{'default': 'Mammoth'},"{'default': 'Senators', 'fr': 'Sénateurs'}",0,-1,0,0,0,0,1,21,0,0,OTT,16:50,2,2025
2025020662,UTA,R,2026-01-05,1,0,{'default': 'Mammoth'},{'default': 'Rangers'},1,1,0,0,0,0,6,20,0,0,NYR,16:00,2,2025
2025020645,UTA,R,2026-01-03,0,0,{'default': 'Mammoth'},{'default': 'Devils'},0,-2,0,0,0,0,3,24,0,0,NJD,17:20,2,2025
2025020633,UTA,R,2026-01-01,3,1,{'default': 'Mammoth'},{'default': 'Islanders'},4,3,0,1,0,0,3,20,0,0,NYI,15:23,0,2025
2025020612,UTA,H,2025-12-29,1,1,{'default': 'Mammoth'},{'default': 'Predators'},2,0,0,1,0,0,6,22,0,0,NSH,19:20,0,2025
2025020584,UTA,R,2025-12-23,0,0,{'default': 'Mammoth'},{'default': 'Avalanche'},0,0,0,0,0,0,5,25,0,0,COL,20:05,2,2025
2025020569,UTA,H,2025-12-21,0,2,{'default': 'Mammoth'},{'default': 'Jets'},2,2,0,0,0,0,3,23,0,0,WPG,16:19,0,2025
2025020547,UTA,H,2025-12-19,0,0,{'default': 'Mammoth'},{'default': 'Devils'},0,0,0,0,0,0,4,22,0,0,NJD,17:33,0,2025
2025020530,UTA,R,2025-12-17,1,0,{'default': 'Mammoth'},{'default': 'Red Wings'},1,1,0,0,0,0,4,22,0,0,DET,17:03,0,2025
2025020519,UTA,R,2025-12-16,0,0,{'default': 'Mammoth'},{'default': 'Bruins'},0,-2,0,0,0,0,0,20,0,0,BOS,15:26,0,2025
2025020509,UTA,R,2025-12-14,1,0,{'default': 'Mammoth'},{'default': 'Penguins'},1,0,0,0,1,1,4,25,0,0,PIT,20:16,0,2025
2025020494,UTA,H,2025-12-12,1,0,{'default': 'Mammoth'},{'default': 'Kraken'},1,0,1,1,0,0,2,22,0,0,SEA,15:27,0,2025
2025020478,UTA,H,2025-12-10,2,0,{'default': 'Mammoth'},{'default': 'Panthers'},2,2,0,0,0,0,3,24,0,0,FLA,16:32,0,2025
2025020462,UTA,H,2025-12-08,1,0,{'default': 'Mammoth'},{'default': 'Kings'},1,-2,1,1,0,0,1,19,0,0,LAK,15:52,0,2025
2025020448,UTA,R,2025-12-06,0,0,{'default': 'Mammoth'},{'default': 'Flames'},0,-1,0,0,0,0,3,20,0,0,CGY,16:57,0,2025
2025020439,UTA,R,2025-12-05,0,1,{'default': 'Mammoth'},{'default': 'Canucks'},1,0,0,1,0,0,0,18,0,0,VAN,14:52,2,2025
2025020424,UTA,R,2025-12-03,1,1,{'default': 'Mammoth'},{'default': 'Ducks'},2,1,0,1,0,0,5,22,0,0,ANA,15:04,0,2025
2025020410,UTA,R,2025-12-01,0,0,{'default': 'Mammoth'},{'default': 'Sharks'},0,-2,0,0,0,0,2,17,0,0,SJS,15:08,0,2025
2025020398,UTA,R,2025-11-29,0,0,{'default': 'Mammoth'},{'default': 'Blues'},0,-1,0,0,0,0,3,21,0,0,STL,19:51,0,2025
2025020390,UTA,R,2025-11-28,0,1,{'default': 'Mammoth'},{'default': 'Stars'},1,0,0,0,0,0,6,20,0,0,DAL,16:35,0,2025
2025020372,UTA,H,2025-11-26,0,1,{'default': 'Mammoth'},{'default': 'Canadiens'},1,1,0,0,0,0,3,19,0,0,MTL,18:43,0,2025
2025020358,UTA,H,2025-11-24,1,1,{'default': 'Mammoth'},{'default': 'Golden Knights'},2,2,0,0,0,0,2,18,0,0,VGK,15:04,0,2025
2025020344,UTA,H,2025-11-22,0,0,{'default': 'Mammoth'},{'default': 'Rangers'},0,0,0,0,0,0,2,21,0,0,NYR,14:25,0,2025
2025020327,UTA,H,2025-11-20,0,0,{'default': 'Mammoth'},{'default': 'Golden Knights'},0,0,0,0,0,0,4,23,0,0,VGK,17:57,0,2025
2025020314,UTA,R,2025-11-18,0,0,{'default': 'Mammoth'},{'default': 'Sharks'},0,-1,0,0,0,0,4,23,0,0,SJS,19:45,0,2025
2025020306,UTA,R,2025-11-17,1,0,{'default': 'Mammoth'},{'default': 'Ducks'},1,-1,0,0,0,0,5,18,0,0,ANA,15:40,0,2025
2025020282,UTA,H,2025-11-14,1,0,{'default': 'Mammoth'},{'default': 'Islanders'},1,0,1,1,0,0,3,20,0,0,NYI,17:23,0,2025
2025020267,UTA,H,2025-11-12,0,0,{'default': 'Mammoth'},{'default': 'Sabres'},0,0,0,0,0,0,6,20,0,0,BUF,13:53,0,2025
2025020247,UTA,R,2025-11-09,0,0,{'default': 'Mammoth'},"{'default': 'Senators', 'fr': 'Sénateurs'}",0,-1,0,0,0,0,4,19,0,0,OTT,16:53,0,2025
2025020235,UTA,R,2025-11-08,0,0,{'default': 'Mammoth'},{'default': 'Canadiens'},0,-1,0,0,0,0,2,18,0,0,MTL,15:14,0,2025
2025020213,UTA,R,2025-11-05,1,0,{'default': 'Mammoth'},{'default': 'Maple Leafs'},1,-2,0,0,0,0,3,20,0,0,TOR,18:22,0,2025
2025020203,UTA,R,2025-11-04,0,0,{'default': 'Mammoth'},{'default': 'Sabres'},0,0,0,0,0,0,2,18,0,0,BUF,16:49,0,2025
2025020194,UTA,H,2025-11-02,0,0,{'default': 'Mammoth'},{'default': 'Lightning'},0,-1,0,0,0,0,1,20,0,0,TBL,18:11,0,2025
2025020162,UTA,R,2025-10-28,0,1,{'default': 'Mammoth'},{'default': 'Oilers'},1,-1,0,0,0,0,3,20,0,0,EDM,17:44,0,2025
2025020143,UTA,R,2025-10-26,1,0,{'default': 'Mammoth'},{'default': 'Jets'},1,0,0,0,1,0,4,21,0,0,WPG,18:53,0,2025
2025020131,UTA,R,2025-10-25,0,1,{'default': 'Mammoth'},{'default': 'Wild'},1,1,0,1,0,0,5,20,0,0,MIN,14:07,0,2025
2025020117,UTA,R,2025-10-23,0,3,{'default': 'Mammoth'},{'default': 'Blues'},3,2,0,1,0,0,3,21,0,0,STL,17:55,2,2025
2025020107,UTA,H,2025-10-21,1,0,{'default': 'Mammoth'},{'default': 'Avalanche'},1,1,0,0,1,1,3,26,0,0,COL,17:26,0,2025
