gameId,teamAbbrev,homeRoadFlag,gameDate,goals,assists,commonName,opponentCommonName,points,plusMinus,powerPlayGoals,powerPlayPoints,gameWinningGoals,otGoals,shots,shifts,shorthandedGoals,shorthandedPoints,opponentAbbrev,pim,toi,season
2025020823,FLA,R,2026-01-25,0,2,{'default': 'Panthers'},{'default': 'Blackhawks'},2,2,0,0,0,0,4,22,0,0,CHI,2,16:44,2025
2025020817,FLA,R,2026-01-24,0,0,{'default': 'Panthers'},{'default': 'Wild'},0,1,0,0,0,0,2,21,0,0,MIN,2,14:35,2025
2025020799,FLA,R,2026-01-22,0,0,{'default': 'Panthers'},{'default': 'Jets'},0,-1,0,0,0,0,5,22,0,0,WPG,2,17:50,2025
2025020773,FLA,H,2026-01-19,0,0,{'default': 'Panthers'},{'default': 'Sharks'},0,-1,0,0,0,0,0,19,0,0,SJS,0,16:06,2025
2025020761,FLA,R,2026-01-17,0,0,{'default': 'Panthers'},{'default': 'Capitals'},0,0,0,0,0,0,3,20,0,0,WSH,0,14:44,2025
2025020750,FLA,R,2026-01-16,0,0,{'default': 'Panthers'},{'default': 'Hurricanes'},0,-1,0,0,0,0,1,19,0,0,CAR,0,14:08,2025
2025020716,FLA,R,2026-01-12,0,0,{'default': 'Panthers'},{'default': 'Sabres'},0,0,0,0,0,0,4,20,0,0,BUF,0,16:40,2025
2025020704,FLA,R,2026-01-10,1,0,{'default': 'Panthers'},"{'default': 'Senators', 'fr': 'Sénateurs'}",1,-2,1,1,0,0,2,23,0,0,OTT,2,18:00,2025
2025020683,FLA,R,2026-01-08,0,1,{'default': 'Panthers'},{'default': 'Canadiens'},1,-1,0,0,0,0,2,22,0,0,MTL,0,17:30,2025
2025020672,FLA,R,2026-01-06,0,0,{'default': 'Panthers'},{'default': 'Maple Leafs'},0,-2,0,0,0,0,4,22,0,0,TOR,2,20:05,2025
2025020659,FLA,H,2026-01-04,0,0,{'default': 'Panthers'},{'default': 'Avalanche'},0,0,0,0,0,0,2,25,0,0,COL,2,19:32,2025
2025020641,FLA,H,2026-01-02,0,0,{'default': 'Panthers'},{'default': 'Rangers'},0,-2,0,0,0,0,2,20,0,0,NYR,0,19:42,2025
2025020618,FLA,H,2025-12-30,0,0,{'default': 'Panthers'},{'default': 'Canadiens'},0,-1,0,0,0,0,2,21,0,0,MTL,0,18:45,2025
2025020607,FLA,H,2025-12-29,0,0,{'default': 'Panthers'},{'default': 'Capitals'},0,1,0,0,0,0,1,22,0,0,WSH,0,15:50,2025
2025020591,FLA,H,2025-12-27,0,1,{'default': 'Panthers'},{'default': 'Lightning'},1,1,0,0,0,0,3,24,0,0,TBL,2,16:56,2025
2025020581,FLA,R,2025-12-23,0,0,{'default': 'Panthers'},{'default': 'Hurricanes'},0,-1,0,0,0,0,0,22,0,0,CAR,0,15:12,2025
2025020554,FLA,H,2025-12-20,0,0,{'default': 'Panthers'},{'default': 'Blues'},0,-2,0,0,0,0,2,24,0,0,STL,0,16:58,2025
2025020544,FLA,H,2025-12-19,0,2,{'default': 'Panthers'},{'default': 'Hurricanes'},2,2,0,0,0,0,6,27,0,0,CAR,0,19:47,2025
2025020529,FLA,H,2025-12-17,0,0,{'default': 'Panthers'},{'default': 'Kings'},0,0,0,0,0,0,3,15,0,0,LAK,0,12:03,2025
2025020514,FLA,R,2025-12-15,0,0,{'default': 'Panthers'},{'default': 'Lightning'},0,0,0,0,0,0,3,26,0,0,TBL,2,18:18,2025
2025020505,FLA,R,2025-12-13,0,0,{'default': 'Panthers'},{'default': 'Stars'},0,1,0,0,0,0,3,23,0,0,DAL,2,17:41,2025
2025020490,FLA,R,2025-12-11,0,1,{'default': 'Panthers'},{'default': 'Avalanche'},1,0,0,0,0,0,3,23,0,0,COL,0,15:54,2025
2025020478,FLA,R,2025-12-10,0,1,{'default': 'Panthers'},{'default': 'Mammoth'},1,0,0,0,0,0,1,24,0,0,UTA,0,16:19,2025
2025020454,FLA,H,2025-12-07,0,0,{'default': 'Panthers'},{'default': 'Islanders'},0,1,0,0,0,0,0,20,0,0,NYI,0,16:05,2025
2025020442,FLA,H,2025-12-06,1,0,{'default': 'Panthers'},{'default': 'Blue Jackets'},1,-2,0,0,0,0,4,23,0,0,CBJ,0,16:38,2025
2025020429,FLA,H,2025-12-04,0,0,{'default': 'Panthers'},{'default': 'Predators'},0,0,0,0,0,0,0,25,0,0,NSH,2,21:21,2025
2025020413,FLA,H,2025-12-02,0,0,{'default': 'Panthers'},{'default': 'Maple Leafs'},0,-3,0,0,0,0,1,20,0,0,TOR,2,15:55,2025
2025020380,FLA,H,2025-11-28,1,0,{'default': 'Panthers'},{'default': 'Flames'},1,0,0,0,0,0,2,22,0,0,CGY,0,13:47,2025
2025020363,FLA,H,2025-11-26,0,0,{'default': 'Panthers'},{'default': 'Flyers'},0,-1,0,0,0,0,0,22,0,0,PHI,0,17:58,2025
2025020357,FLA,R,2025-11-24,1,1,{'default': 'Panthers'},{'default': 'Predators'},2,2,0,0,0,0,3,24,0,0,NSH,0,18:54,2025
2025020338,FLA,H,2025-11-22,0,0,{'default': 'Panthers'},{'default': 'Oilers'},0,0,0,0,0,0,2,23,0,0,EDM,0,17:52,2025
