gameId,teamAbbrev,homeRoadFlag,gameDate,goals,assists,commonName,opponentCommonName,points,plusMinus,powerPlayGoals,powerPlayPoints,gameWinningGoals,otGoals,shots,shifts,shorthandedGoals,shorthandedPoints,toi,opponentAbbrev,pim,season
2025020725,VAN,R,2026-01-13,0,0,{'default': 'Canucks'},"{'default': 'Senators', 'fr': 'Sénateurs'}",0,1,0,0,0,0,0,25,0,0,23:16,OTT,2,2025
2025020720,VAN,R,2026-01-12,0,1,{'default': 'Canucks'},{'default': 'Canadiens'},1,-1,0,0,0,0,3,27,0,0,21:16,MTL,0,2025
2025020702,VAN,R,2026-01-10,0,0,{'default': 'Canucks'},{'default': 'Maple Leafs'},0,-1,0,0,0,0,2,26,0,0,21:57,TOR,0,2025
2025020684,VAN,R,2026-01-08,0,0,{'default': 'Canucks'},{'default': 'Red Wings'},0,0,0,0,0,0,1,26,0,0,23:16,DET,0,2025
2025020667,VAN,R,2026-01-06,0,1,{'default': 'Canucks'},{'default': 'Sabres'},1,0,0,0,0,0,1,27,0,0,26:20,BUF,0,2025
2025020656,VAN,H,2026-01-03,1,1,{'default': 'Canucks'},{'default': 'Bruins'},2,1,1,1,0,0,1,33,0,0,30:01,BOS,0,2025
2025020642,VAN,H,2026-01-02,0,1,{'default': 'Canucks'},{'default': 'Kraken'},1,1,0,0,0,0,3,31,0,0,27:29,SEA,0,2025
2025020621,VAN,H,2025-12-30,0,0,{'default': 'Canucks'},{'default': 'Flyers'},0,-2,0,0,0,0,2,28,0,0,24:43,PHI,2,2025
2025020616,VAN,R,2025-12-29,0,0,{'default': 'Canucks'},{'default': 'Kraken'},0,1,0,0,0,0,0,33,0,0,29:20,SEA,0,2025
2025020599,VAN,H,2025-12-27,0,2,{'default': 'Canucks'},{'default': 'Sharks'},2,0,0,1,0,0,1,23,0,0,21:56,SJS,0,2025
2025020572,VAN,R,2025-12-22,0,0,{'default': 'Canucks'},{'default': 'Flyers'},0,-4,0,0,0,0,2,25,0,0,22:09,PHI,0,2025
2025020555,VAN,R,2025-12-20,0,1,{'default': 'Canucks'},{'default': 'Bruins'},1,1,0,1,0,0,4,31,0,0,27:41,BOS,0,2025
2025020545,VAN,R,2025-12-19,0,2,{'default': 'Canucks'},{'default': 'Islanders'},2,1,0,1,0,0,1,27,0,0,24:11,NYI,0,2025
2025020523,VAN,R,2025-12-16,0,1,{'default': 'Canucks'},{'default': 'Rangers'},1,2,0,0,0,0,2,28,0,1,24:05,NYR,0,2025
2025020508,VAN,R,2025-12-14,0,0,{'default': 'Canucks'},{'default': 'Devils'},0,0,0,0,0,0,0,26,0,0,24:57,NJD,0,2025
2025020492,VAN,H,2025-12-11,0,0,{'default': 'Canucks'},{'default': 'Sabres'},0,0,0,0,0,0,2,22,0,0,23:33,BUF,2,2025
2025020464,VAN,H,2025-12-08,0,0,{'default': 'Canucks'},{'default': 'Red Wings'},0,-2,0,0,0,0,2,26,0,0,22:32,DET,0,2025
2025020451,VAN,H,2025-12-06,0,0,{'default': 'Canucks'},{'default': 'Wild'},0,1,0,0,0,0,0,28,0,0,23:56,MIN,0,2025
2025020439,VAN,H,2025-12-05,0,0,{'default': 'Canucks'},{'default': 'Mammoth'},0,-2,0,0,0,0,2,25,0,0,24:34,UTA,0,2025
2025020417,VAN,R,2025-12-02,0,0,{'default': 'Canucks'},{'default': 'Avalanche'},0,-1,0,0,0,0,1,27,0,0,25:12,COL,0,2025
2025020401,VAN,R,2025-11-29,0,0,{'default': 'Canucks'},{'default': 'Kings'},0,0,0,0,0,0,2,30,0,0,26:02,LAK,0,2025
2025020385,VAN,R,2025-11-28,0,1,{'default': 'Canucks'},{'default': 'Sharks'},1,0,0,0,0,0,1,26,0,0,24:13,SJS,0,2025
2025020374,VAN,R,2025-11-26,0,2,{'default': 'Canucks'},{'default': 'Ducks'},2,3,0,1,0,0,1,29,0,0,24:25,ANA,0,2025
2025020352,VAN,H,2025-11-23,1,0,{'default': 'Canucks'},{'default': 'Flames'},1,0,0,0,0,0,3,29,0,0,24:50,CGY,0,2025
2025020328,VAN,H,2025-11-20,0,0,{'default': 'Canucks'},{'default': 'Stars'},0,0,0,0,0,0,5,24,0,0,23:08,DAL,0,2025
2025020303,VAN,R,2025-11-17,1,0,{'default': 'Canucks'},{'default': 'Panthers'},1,1,1,1,0,0,3,29,0,0,25:10,FLA,0,2025
2025020297,VAN,R,2025-11-16,0,2,{'default': 'Canucks'},{'default': 'Lightning'},2,1,0,0,0,0,0,25,0,0,21:23,TBL,0,2025
