gameId,teamAbbrev,homeRoadFlag,gameDate,goals,assists,commonName,opponentCommonName,points,plusMinus,powerPlayGoals,powerPlayPoints,gameWinningGoals,otGoals,shots,shifts,shorthandedGoals,shorthandedPoints,pim,opponentAbbrev,toi,season
2025021303,DET,R,2026-04-15,0,0,{'default': 'Red Wings'},{'default': 'Panthers'},0,-2,0,0,0,0,1,20,0,0,2,FLA,16:06,2025
2025021282,DET,R,2026-04-13,0,1,{'default': 'Red Wings'},{'default': 'Lightning'},1,1,0,0,0,0,0,17,0,0,0,TBL,13:33,2025
2025021265,DET,H,2026-04-11,0,1,{'default': 'Red Wings'},{'default': 'Devils'},1,-2,0,0,0,0,1,20,0,0,0,NJD,14:39,2025
2025021250,DET,H,2026-04-09,0,0,{'default': 'Red Wings'},{'default': 'Flyers'},0,-1,0,0,0,0,0,25,0,0,0,PHI,18:03,2025
2025021235,DET,H,2026-04-07,0,0,{'default': 'Red Wings'},{'default': 'Blue Jackets'},0,-2,0,0,0,0,1,23,0,0,0,CBJ,19:34,2025
2025021222,DET,H,2026-04-05,1,0,{'default': 'Red Wings'},{'default': 'Wild'},1,1,0,0,0,0,2,19,0,0,0,MIN,15:42,2025
2025021207,DET,R,2026-04-04,0,0,{'default': 'Red Wings'},{'default': 'Rangers'},0,-1,0,0,0,0,1,20,0,0,0,NYR,14:54,2025
2025021196,DET,R,2026-04-02,0,1,{'default': 'Red Wings'},{'default': 'Flyers'},1,0,0,0,0,0,3,26,0,0,0,PHI,19:06,2025
2025021183,DET,R,2026-03-31,0,0,{'default': 'Red Wings'},{'default': 'Penguins'},0,-2,0,0,0,0,1,21,0,0,0,PIT,13:48,2025
2025021163,DET,H,2026-03-28,0,0,{'default': 'Red Wings'},{'default': 'Flyers'},0,0,0,0,0,0,1,20,0,0,0,PHI,16:33,2025
2025021150,DET,R,2026-03-27,0,0,{'default': 'Red Wings'},{'default': 'Sabres'},0,0,0,0,0,0,1,23,0,0,0,BUF,21:18,2025
2025021122,DET,H,2026-03-24,0,0,{'default': 'Red Wings'},"{'default': 'Senators', 'fr': 'Sénateurs'}",0,-1,0,0,0,0,0,19,0,0,0,OTT,14:51,2025
2025021108,DET,H,2026-03-21,0,0,{'default': 'Red Wings'},{'default': 'Bruins'},0,1,0,0,0,0,2,25,0,0,0,BOS,19:54,2025
2025021085,DET,H,2026-03-19,1,0,{'default': 'Red Wings'},{'default': 'Canadiens'},1,3,0,0,0,0,1,23,0,0,0,MTL,22:08,2025
2025021063,DET,H,2026-03-16,0,2,{'default': 'Red Wings'},{'default': 'Flames'},2,1,0,1,0,0,2,25,0,0,0,CGY,21:15,2025
2025021053,DET,R,2026-03-14,0,0,{'default': 'Red Wings'},{'default': 'Stars'},0,0,0,0,0,0,1,29,0,0,2,DAL,22:03,2025
2025021030,DET,R,2026-03-12,1,0,{'default': 'Red Wings'},{'default': 'Lightning'},1,-1,0,0,0,0,3,22,0,0,0,TBL,19:26,2025
2025021016,DET,R,2026-03-10,0,0,{'default': 'Red Wings'},{'default': 'Panthers'},0,-1,0,0,0,0,1,23,0,0,0,FLA,17:30,2025
2025021005,DET,R,2026-03-08,0,0,{'default': 'Red Wings'},{'default': 'Devils'},0,0,0,0,0,0,0,24,0,0,0,NJD,17:21,2025
2025020983,DET,H,2026-03-06,0,0,{'default': 'Red Wings'},{'default': 'Panthers'},0,0,0,0,0,0,0,20,0,0,0,FLA,15:58,2025
2025020970,DET,H,2026-03-04,0,0,{'default': 'Red Wings'},{'default': 'Golden Knights'},0,-1,0,0,0,0,0,16,0,0,0,VGK,11:05,2025
2025020955,DET,R,2026-03-02,0,0,{'default': 'Red Wings'},{'default': 'Predators'},0,0,0,0,0,0,1,18,0,0,0,NSH,11:05,2025
2025020942,DET,R,2026-02-28,0,1,{'default': 'Red Wings'},{'default': 'Hurricanes'},1,-1,0,0,0,0,2,20,0,0,0,CAR,16:31,2025
2025020920,DET,R,2026-02-26,0,0,{'default': 'Red Wings'},"{'default': 'Senators', 'fr': 'Sénateurs'}",0,0,0,0,0,0,1,18,0,0,0,OTT,12:35,2025
2025020898,DET,R,2026-02-04,0,0,{'default': 'Red Wings'},{'default': 'Mammoth'},0,-1,0,0,0,0,0,21,0,0,0,UTA,13:05,2025
2025020883,DET,R,2026-02-02,0,0,{'default': 'Red Wings'},{'default': 'Avalanche'},0,1,0,0,0,0,2,20,0,0,0,COL,16:14,2025
2025020860,DET,H,2026-01-31,0,0,{'default': 'Red Wings'},{'default': 'Avalanche'},0,-2,0,0,0,0,1,20,0,0,4,COL,13:54,2025
2025020846,DET,H,2026-01-29,0,0,{'default': 'Red Wings'},{'default': 'Capitals'},0,-1,0,0,0,0,2,19,0,0,0,WSH,15:07,2025
2025020833,DET,H,2026-01-27,0,0,{'default': 'Red Wings'},{'default': 'Kings'},0,0,0,0,0,0,1,19,0,0,0,LAK,13:25,2025
2025020815,DET,R,2026-01-24,2,0,{'default': 'Red Wings'},{'default': 'Jets'},2,1,0,0,1,0,4,20,0,0,0,WPG,15:32,2025
2025020801,DET,R,2026-01-22,0,0,{'default': 'Red Wings'},{'default': 'Wild'},0,1,0,0,0,0,0,16,0,0,2,MIN,11:27,2025
2025020788,DET,R,2026-01-21,0,0,{'default': 'Red Wings'},{'default': 'Maple Leafs'},0,-1,0,0,0,0,2,18,0,0,0,TOR,13:20,2025
2025020768,DET,H,2026-01-18,0,0,{'default': 'Red Wings'},"{'default': 'Senators', 'fr': 'Sénateurs'}",0,0,0,0,0,0,2,21,0,0,0,OTT,12:44,2025
2025020749,DET,H,2026-01-16,1,0,{'default': 'Red Wings'},{'default': 'Sharks'},1,1,0,0,0,0,3,19,0,0,0,SJS,13:39,2025
2025020729,DET,R,2026-01-13,0,0,{'default': 'Red Wings'},{'default': 'Bruins'},0,-1,0,0,0,0,1,22,0,0,0,BOS,15:45,2025
2025020717,DET,H,2026-01-12,0,0,{'default': 'Red Wings'},{'default': 'Hurricanes'},0,0,0,0,0,0,1,20,0,0,0,CAR,15:50,2025
2025020703,DET,R,2026-01-10,0,0,{'default': 'Red Wings'},{'default': 'Canadiens'},0,1,0,0,0,0,0,18,0,0,0,MTL,13:28,2025
2025020684,DET,H,2026-01-08,1,1,{'default': 'Red Wings'},{'default': 'Canucks'},2,2,0,0,0,0,4,19,0,0,0,VAN,14:45,2025
2025020664,DET,R,2026-01-05,0,1,{'default': 'Red Wings'},"{'default': 'Senators', 'fr': 'Sénateurs'}",1,2,0,0,0,0,0,22,0,0,0,OTT,15:07,2025
2025020644,DET,H,2026-01-03,0,0,{'default': 'Red Wings'},{'default': 'Penguins'},0,0,0,0,0,0,0,19,0,0,0,PIT,14:01,2025
2025020635,DET,R,2026-01-01,0,0,{'default': 'Red Wings'},{'default': 'Penguins'},0,-1,0,0,0,0,1,20,0,0,0,PIT,16:41,2025
2025020626,DET,H,2025-12-31,0,1,{'default': 'Red Wings'},{'default': 'Jets'},1,1,0,0,0,0,1,23,0,0,0,WPG,16:02,2025
2025020601,DET,H,2025-12-28,0,0,{'default': 'Red Wings'},{'default': 'Maple Leafs'},0,0,0,0,0,0,0,18,0,0,2,TOR,15:47,2025
2025020593,DET,R,2025-12-27,0,1,{'default': 'Red Wings'},{'default': 'Hurricanes'},1,0,0,0,0,0,1,23,0,0,0,CAR,15:15,2025
2025020579,DET,H,2025-12-23,0,0,{'default': 'Red Wings'},{'default': 'Stars'},0,0,0,0,0,0,1,19,0,0,0,DAL,14:20,2025
2025020562,DET,H,2025-12-21,0,0,{'default': 'Red Wings'},{'default': 'Capitals'},0,0,0,0,0,0,1,20,0,0,0,WSH,14:26,2025
2025020550,DET,R,2025-12-20,0,0,{'default': 'Red Wings'},{'default': 'Capitals'},0,0,0,0,0,0,1,21,0,0,0,WSH,13:26,2025
2025020530,DET,H,2025-12-17,0,0,{'default': 'Red Wings'},{'default': 'Mammoth'},0,-1,0,0,0,0,0,24,0,0,2,UTA,13:23,2025
2025020522,DET,H,2025-12-16,0,0,{'default': 'Red Wings'},{'default': 'Islanders'},0,0,0,0,0,0,0,20,0,0,0,NYI,14:24,2025
2025020504,DET,R,2025-12-13,0,0,{'default': 'Red Wings'},{'default': 'Blackhawks'},0,0,0,0,0,0,1,20,0,0,0,CHI,14:31,2025
2025020491,DET,R,2025-12-11,0,0,{'default': 'Red Wings'},{'default': 'Oilers'},0,0,0,0,0,0,0,19,0,0,0,EDM,14:26,2025
