gameId,teamAbbrev,homeRoadFlag,gameDate,goals,assists,commonName,opponentCommonName,points,plusMinus,powerPlayGoals,powerPlayPoints,gameWinningGoals,otGoals,shots,shifts,shorthandedGoals,shorthandedPoints,pim,opponentAbbrev,toi,season
2025021023,COL,H,2026-03-10,0,0,{'default': 'Avalanche'},{'default': 'Oilers'},0,0,0,0,0,0,0,20,0,0,0,EDM,13:45,2025
2025021001,COL,H,2026-03-08,0,0,{'default': 'Avalanche'},{'default': 'Wild'},0,1,0,0,0,0,0,18,0,0,0,MIN,14:58,2025
2025020984,COL,R,2026-03-06,0,0,{'default': 'Avalanche'},{'default': 'Stars'},0,-1,0,0,0,0,0,18,0,0,2,DAL,11:38,2025
2025020968,COL,R,2026-03-03,0,2,{'default': 'Avalanche'},{'default': 'Ducks'},2,2,0,0,0,0,2,20,0,0,0,ANA,16:22,2025
2025020958,COL,R,2026-03-02,0,0,{'default': 'Avalanche'},{'default': 'Kings'},0,-1,0,0,0,0,2,20,0,0,0,LAK,16:03,2025
2025020938,COL,H,2026-02-28,0,0,{'default': 'Avalanche'},{'default': 'Blackhawks'},0,1,0,0,0,0,2,19,0,0,0,CHI,13:11,2025
2025020927,COL,H,2026-02-26,0,0,{'default': 'Avalanche'},{'default': 'Wild'},0,0,0,0,0,0,2,18,0,0,0,MIN,13:08,2025
2025020914,COL,R,2026-02-25,0,0,{'default': 'Avalanche'},{'default': 'Mammoth'},0,-1,0,0,0,0,1,24,0,0,0,UTA,17:13,2025
2025020897,COL,H,2026-02-04,0,0,{'default': 'Avalanche'},{'default': 'Sharks'},0,-2,0,0,0,0,2,26,0,0,0,SJS,17:20,2025
2025020883,COL,H,2026-02-02,0,0,{'default': 'Avalanche'},{'default': 'Red Wings'},0,0,0,0,0,0,0,24,0,0,0,DET,16:27,2025
2025020860,COL,R,2026-01-31,0,1,{'default': 'Avalanche'},{'default': 'Red Wings'},1,1,0,0,0,0,0,24,0,0,0,DET,15:38,2025
2025020845,COL,R,2026-01-29,0,1,{'default': 'Avalanche'},{'default': 'Canadiens'},1,1,0,0,0,0,0,20,0,0,0,MTL,14:20,2025
2025020841,COL,R,2026-01-28,0,1,{'default': 'Avalanche'},"{'default': 'Senators', 'fr': 'Sénateurs'}",1,-1,0,0,0,0,1,21,0,0,0,OTT,16:30,2025
2025020819,COL,R,2026-01-25,1,0,{'default': 'Avalanche'},{'default': 'Maple Leafs'},1,1,0,0,0,0,1,18,0,0,0,TOR,15:22,2025
2025020805,COL,H,2026-01-23,0,0,{'default': 'Avalanche'},{'default': 'Flyers'},0,-2,0,0,0,0,0,20,0,0,0,PHI,14:38,2025
2025020789,COL,H,2026-01-21,0,0,{'default': 'Avalanche'},{'default': 'Ducks'},0,0,0,0,0,0,4,21,0,0,2,ANA,16:07,2025
2025020771,COL,H,2026-01-19,0,0,{'default': 'Avalanche'},{'default': 'Capitals'},0,1,0,0,0,0,1,21,0,0,0,WSH,16:14,2025
2025020752,COL,H,2026-01-16,0,0,{'default': 'Avalanche'},{'default': 'Predators'},0,0,0,0,0,0,2,18,0,0,0,NSH,14:35,2025
2025020723,COL,H,2026-01-12,0,0,{'default': 'Avalanche'},{'default': 'Maple Leafs'},0,-1,0,0,0,0,1,24,0,0,0,TOR,15:58,2025
2025020699,COL,H,2026-01-10,0,1,{'default': 'Avalanche'},{'default': 'Blue Jackets'},1,2,0,0,0,0,1,20,0,0,0,CBJ,15:18,2025
2025020691,COL,H,2026-01-08,0,1,{'default': 'Avalanche'},"{'default': 'Senators', 'fr': 'Sénateurs'}",1,1,0,0,0,0,2,23,0,0,0,OTT,16:16,2025
2025020668,COL,R,2026-01-06,0,0,{'default': 'Avalanche'},{'default': 'Lightning'},0,1,0,0,0,0,1,21,0,0,0,TBL,15:54,2025
2025020659,COL,R,2026-01-04,0,0,{'default': 'Avalanche'},{'default': 'Panthers'},0,0,0,0,0,0,2,21,0,0,0,FLA,13:34,2025
2025020653,COL,R,2026-01-03,1,0,{'default': 'Avalanche'},{'default': 'Hurricanes'},1,1,0,0,0,0,1,21,0,0,0,CAR,15:20,2025
2025020629,COL,H,2025-12-31,0,0,{'default': 'Avalanche'},{'default': 'Blues'},0,-1,0,0,0,0,0,19,0,0,0,STL,13:58,2025
2025020611,COL,H,2025-12-29,1,0,{'default': 'Avalanche'},{'default': 'Kings'},1,1,0,0,0,0,2,19,0,0,2,LAK,13:10,2025
2025020600,COL,R,2025-12-27,0,0,{'default': 'Avalanche'},{'default': 'Golden Knights'},0,-2,0,0,0,0,1,18,0,0,0,VGK,11:38,2025
2025020584,COL,H,2025-12-23,0,0,{'default': 'Avalanche'},{'default': 'Mammoth'},0,0,0,0,0,0,0,16,0,0,0,UTA,11:38,2025
2025020563,COL,R,2025-12-21,0,0,{'default': 'Avalanche'},{'default': 'Wild'},0,0,0,0,0,0,0,15,0,0,2,MIN,11:50,2025
2025020546,COL,H,2025-12-19,0,0,{'default': 'Avalanche'},{'default': 'Jets'},0,2,0,0,0,0,0,18,0,0,0,WPG,12:56,2025
2025020528,COL,R,2025-12-16,0,0,{'default': 'Avalanche'},{'default': 'Kraken'},0,0,0,0,0,0,0,18,0,0,0,SEA,11:53,2025
2025020506,COL,H,2025-12-13,1,0,{'default': 'Avalanche'},{'default': 'Predators'},1,1,0,0,0,0,2,16,0,0,0,NSH,12:44,2025
2025020490,COL,H,2025-12-11,0,0,{'default': 'Avalanche'},{'default': 'Panthers'},0,0,0,0,0,0,0,23,0,0,0,FLA,16:07,2025
2025020475,COL,R,2025-12-09,0,0,{'default': 'Avalanche'},{'default': 'Predators'},0,0,0,0,0,0,2,18,0,0,0,NSH,12:29,2025
2025020453,COL,R,2025-12-07,0,1,{'default': 'Avalanche'},{'default': 'Flyers'},1,1,0,0,0,0,1,21,0,0,0,PHI,15:04,2025
2025020441,COL,R,2025-12-06,0,0,{'default': 'Avalanche'},{'default': 'Rangers'},0,0,0,0,0,0,0,18,0,0,0,NYR,13:14,2025
2025020430,COL,R,2025-12-04,0,0,{'default': 'Avalanche'},{'default': 'Islanders'},0,0,0,0,0,0,0,20,0,0,0,NYI,15:09,2025
2025020417,COL,H,2025-12-02,0,0,{'default': 'Avalanche'},{'default': 'Canucks'},0,0,0,0,0,0,1,17,0,0,0,VAN,12:54,2025
2025020392,COL,H,2025-11-29,0,0,{'default': 'Avalanche'},{'default': 'Canadiens'},0,0,0,0,0,0,1,22,0,0,0,MTL,17:36,2025
2025020378,COL,R,2025-11-28,0,0,{'default': 'Avalanche'},{'default': 'Wild'},0,-1,0,0,0,0,2,20,0,0,0,MIN,15:51,2025
2025020371,COL,H,2025-11-26,0,0,{'default': 'Avalanche'},{'default': 'Sharks'},0,1,0,0,0,0,2,19,0,0,0,SJS,15:28,2025
2025020350,COL,R,2025-11-23,0,0,{'default': 'Avalanche'},{'default': 'Blackhawks'},0,0,0,0,0,0,0,22,0,0,0,CHI,15:53,2025
2025020343,COL,R,2025-11-22,1,0,{'default': 'Avalanche'},{'default': 'Predators'},1,1,0,0,0,0,3,22,0,0,0,NSH,16:02,2025
2025020326,COL,H,2025-11-20,0,1,{'default': 'Avalanche'},{'default': 'Rangers'},1,2,0,0,0,0,1,20,0,0,2,NYR,13:58,2025
2025020300,COL,H,2025-11-16,0,0,{'default': 'Avalanche'},{'default': 'Islanders'},0,2,0,0,0,0,0,21,0,0,0,NYI,17:16,2025
2025020275,COL,H,2025-11-13,0,0,{'default': 'Avalanche'},{'default': 'Sabres'},0,-1,0,0,0,0,0,19,0,0,0,BUF,14:28,2025
2025020262,COL,H,2025-11-11,0,0,{'default': 'Avalanche'},{'default': 'Ducks'},0,0,0,0,0,0,1,24,0,0,2,ANA,17:05,2025
2025020250,COL,R,2025-11-09,0,0,{'default': 'Avalanche'},{'default': 'Canucks'},0,0,0,0,0,0,1,21,0,0,0,VAN,18:22,2025
2025020240,COL,R,2025-11-08,2,0,{'default': 'Avalanche'},{'default': 'Oilers'},2,3,0,0,0,0,4,22,0,0,0,EDM,15:45,2025
2025020209,COL,H,2025-11-04,0,1,{'default': 'Avalanche'},{'default': 'Lightning'},1,1,0,0,0,0,2,23,0,0,0,TBL,15:37,2025
2025020184,COL,R,2025-11-01,0,0,{'default': 'Avalanche'},{'default': 'Sharks'},0,0,0,0,0,0,1,20,0,0,0,SJS,15:20,2025
2025020178,COL,R,2025-10-31,0,1,{'default': 'Avalanche'},{'default': 'Golden Knights'},1,1,0,0,0,0,1,22,0,0,2,VGK,14:30,2025
2025020161,COL,H,2025-10-28,0,1,{'default': 'Avalanche'},{'default': 'Devils'},1,-1,0,0,0,0,2,22,0,0,0,NJD,14:59,2025
2025020140,COL,R,2025-10-26,0,0,{'default': 'Avalanche'},{'default': 'Devils'},0,-1,0,0,0,0,1,19,0,0,0,NJD,16:22,2025
2025020128,COL,R,2025-10-25,0,0,{'default': 'Avalanche'},{'default': 'Bruins'},0,-2,0,0,0,0,2,23,0,0,0,BOS,15:01,2025
2025020121,COL,H,2025-10-23,0,0,{'default': 'Avalanche'},{'default': 'Hurricanes'},0,1,0,0,0,0,1,24,0,0,2,CAR,14:57,2025
2025020107,COL,R,2025-10-21,1,0,{'default': 'Avalanche'},{'default': 'Mammoth'},1,1,0,0,0,0,2,22,0,0,2,UTA,14:22,2025
