gameId,teamAbbrev,homeRoadFlag,gameDate,goals,assists,commonName,opponentCommonName,points,plusMinus,powerPlayGoals,powerPlayPoints,gameWinningGoals,otGoals,shots,shifts,shorthandedGoals,shorthandedPoints,opponentAbbrev,toi,pim,season
2025020906,CAR,R,2026-02-05,0,1,{'default': 'Hurricanes'},{'default': 'Rangers'},1,1,0,0,0,0,3,16,0,0,NYR,14:54,0,2025
2025020890,CAR,H,2026-02-03,0,0,{'default': 'Hurricanes'},"{'default': 'Senators', 'fr': 'Sénateurs'}",0,0,0,0,0,0,1,21,0,0,OTT,17:06,0,2025
2025020874,CAR,H,2026-02-01,0,0,{'default': 'Hurricanes'},{'default': 'Kings'},0,0,0,0,0,0,1,19,0,0,LAK,15:10,0,2025
2025020864,CAR,R,2026-01-31,0,0,{'default': 'Hurricanes'},{'default': 'Capitals'},0,-2,0,0,0,0,0,18,0,0,WSH,13:54,0,2025
2025020851,CAR,H,2026-01-29,0,1,{'default': 'Hurricanes'},{'default': 'Mammoth'},1,-1,0,0,0,0,1,18,0,0,UTA,15:46,0,2025
2025020813,CAR,R,2026-01-24,0,1,{'default': 'Hurricanes'},"{'default': 'Senators', 'fr': 'Sénateurs'}",1,1,0,0,0,0,0,16,0,0,OTT,12:41,0,2025
2025020796,CAR,H,2026-01-22,1,0,{'default': 'Hurricanes'},{'default': 'Blackhawks'},1,0,0,0,0,0,3,18,0,0,CHI,15:37,0,2025
2025020770,CAR,H,2026-01-19,0,0,{'default': 'Hurricanes'},{'default': 'Sabres'},0,0,0,0,0,0,2,19,0,0,BUF,16:05,0,2025
2025020759,CAR,R,2026-01-17,1,0,{'default': 'Hurricanes'},{'default': 'Devils'},1,1,0,0,0,0,6,20,0,0,NJD,14:32,0,2025
2025020750,CAR,H,2026-01-16,0,2,{'default': 'Hurricanes'},{'default': 'Panthers'},2,2,0,0,0,0,1,18,0,0,FLA,13:02,0,2025
2025020730,CAR,R,2026-01-13,0,0,{'default': 'Hurricanes'},{'default': 'Blues'},0,-2,0,0,0,0,0,15,0,0,STL,11:18,0,2025
2025020717,CAR,R,2026-01-12,1,0,{'default': 'Hurricanes'},{'default': 'Red Wings'},1,0,1,1,0,0,3,23,0,0,DET,16:38,2,2025
2025020706,CAR,H,2026-01-10,0,0,{'default': 'Hurricanes'},{'default': 'Kraken'},0,0,0,0,0,0,1,15,0,0,SEA,12:59,0,2025
2025020688,CAR,H,2026-01-08,1,0,{'default': 'Hurricanes'},{'default': 'Ducks'},1,3,0,0,0,0,3,17,0,0,ANA,15:15,0,2025
2025020671,CAR,H,2026-01-06,0,0,{'default': 'Hurricanes'},{'default': 'Stars'},0,1,0,0,0,0,3,16,0,0,DAL,16:45,0,2025
2025020660,CAR,R,2026-01-04,0,0,{'default': 'Hurricanes'},{'default': 'Devils'},0,1,0,0,0,0,2,16,0,0,NJD,14:57,0,2025
2025020653,CAR,H,2026-01-03,0,0,{'default': 'Hurricanes'},{'default': 'Avalanche'},0,-1,0,0,0,0,2,18,0,0,COL,15:47,2,2025
2025020636,CAR,H,2026-01-01,0,0,{'default': 'Hurricanes'},{'default': 'Canadiens'},0,0,0,0,0,0,0,20,0,0,MTL,18:36,0,2025
2025020619,CAR,R,2025-12-30,0,0,{'default': 'Hurricanes'},{'default': 'Penguins'},0,-1,0,0,0,0,0,18,0,0,PIT,15:28,2,2025
