playerId,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts
8480003,2019,Jesper Boqvist,2019020018,N.J,BUF,AWAY,20191005,C,all,736.0,16.0,-0.175,0.4662,0.2601,0.375,0.3976,0.4545,0.3582,11.0,1.361,0.097,0.11,0.297,0.04,0.9,0.556,0.097,0.096,0.096,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,0.0,0.0,0.097,0.0,0.0,0.0,0.0,0.0,1.87,2.0,1.919,0.0,0.022,0.193,0.0,0.118,0.117,0.117,16.0,0.0,2.0,1.0,13.0,2.0,1.0,2.0,11.0,1.0,1.0,2864.0,0.0,0.0,0.0,2.0,3.408,0.365,0.351,0.362,0.348,3.0,2.0,1.0,6.0,0.0,1.0,0.0,4.0,1.0,0.0,0.172,0.193,0.0,0.0,0.0,0.0,5.53,5.0,4.792,0.055,0.193,0.193,0.227,0.223,0.222,4.387,0.418,0.417,0.43,0.43,6.0,0.0,4.0,10.0,1.0,1.0,0.0,5.0,0.0,1.0,0.085,0.0,0.333,0.0,0.0,1.0,10.78,6.0,6.266,0.044,0.02,0.02,0.442,0.455,0.455,1.128,3.209,33.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
8480003,2019,Jesper Boqvist,2019020080,N.J,FLA,HOME,20191014,C,all,601.0,16.0,-0.4,0.4463,0.4125,0.4706,0.375,0.4444,0.3636,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,2.0,1.0,2.0,11.0,0.0,4.0,6.0,6.0,0.0,0.0,2999.0,4.0,0.0,0.0,0.0,2.932,0.316,0.314,0.302,0.3,3.0,1.0,4.0,8.0,0.0,1.0,0.0,3.0,0.0,1.0,0.08,0.0,0.236,0.0,0.0,0.0,7.952,4.0,3.885,0.046,0.236,0.236,0.127,0.121,0.121,3.763,0.392,0.392,0.421,0.421,4.0,1.0,4.0,9.0,1.0,0.0,0.0,3.0,1.0,1.0,0.092,0.096,0.204,0.0,1.0,0.0,9.227,5.0,5.216,0.045,0.0,0.0,0.437,0.468,0.468,1.949,2.776,30.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
8480003,2019,Jesper Boqvist,2019020210,N.J,CAR,AWAY,20191102,C,all,565.0,14.0,-0.235,0.3209,0.6988,0.3529,0.4881,0.3846,0.4923,11.0,0.798,0.088,0.059,0.119,0.022,0.381,0.331,0.088,0.097,0.097,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.088,0.0,0.0,0.0,0.0,2.206,1.0,1.1,0.0,0.012,0.0,0.0,0.1,0.11,0.11,14.0,1.0,4.0,2.0,7.0,2.0,2.0,1.0,9.0,0.0,1.0,3035.0,0.0,0.0,0.0,0.0,3.725,0.198,0.198,0.212,0.212,4.0,1.0,1.0,6.0,0.0,0.0,0.0,4.0,1.0,0.0,0.11,0.088,0.0,0.0,0.0,0.0,6.302,5.0,5.192,0.045,0.0,0.0,0.243,0.259,0.259,5.168,0.419,0.392,0.4,0.374,3.0,5.0,3.0,11.0,0.0,0.0,0.0,6.0,2.0,0.0,0.233,0.186,0.0,0.0,0.0,0.0,10.616,8.0,7.715,0.075,0.0,0.0,0.494,0.471,0.441,5.239,2.258,41.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0
8480003,2019,Jesper Boqvist,2019020229,N.J,WPG,AWAY,20191105,C,all,792.0,19.0,0.3,0.5652,0.4724,0.5,0.4947,0.5,0.4627,9.0,1.387,0.031,0.068,0.359,0.041,0.855,0.646,0.031,0.032,0.032,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.031,0.0,0.0,0.0,0.0,0.0,2.064,2.0,2.061,0.0,0.013,0.0,0.0,0.044,0.046,0.046,19.0,2.0,4.0,2.0,11.0,5.0,1.0,2.0,11.0,0.0,0.0,3108.0,0.0,2.0,1.0,0.0,6.85,0.373,0.361,0.403,0.389,8.0,2.0,1.0,11.0,0.0,0.0,0.0,8.0,2.0,0.0,0.186,0.187,0.0,0.0,0.0,0.0,11.707,10.0,10.655,0.083,0.0,0.0,0.456,0.491,0.475,6.517,0.287,0.285,0.272,0.27,6.0,4.0,1.0,11.0,0.0,0.0,0.0,10.0,0.0,0.0,0.287,0.0,0.0,0.0,0.0,0.0,10.56,10.0,9.602,0.082,0.0,0.0,0.369,0.349,0.347,1.59,1.776,47.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
8480003,2019,Jesper Boqvist,2019020245,N.J,CGY,AWAY,20191107,C,all,732.0,15.0,-0.3,0.0826,0.2886,0.375,0.4253,0.2632,0.4638,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,2.0,2.0,11.0,2.0,5.0,0.0,8.0,0.0,0.0,2868.0,0.0,0.0,0.0,0.0,3.367,0.07,0.069,0.07,0.07,2.0,3.0,4.0,9.0,0.0,0.0,0.0,5.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,8.866,5.0,4.934,0.036,0.0,0.0,0.106,0.106,0.106,9.949,0.777,0.771,0.762,0.757,7.0,7.0,1.0,15.0,0.0,0.0,0.0,11.0,3.0,0.0,0.368,0.409,0.0,0.0,0.0,0.0,15.675,14.0,14.096,0.148,0.0,0.0,0.924,0.908,0.901,1.128,2.781,37.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
8480003,2019,Jesper Boqvist,2019020251,N.J,EDM,AWAY,20191108,C,all,606.0,15.0,-0.45,0.3135,0.4852,0.2667,0.5152,0.2727,0.5694,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,2.0,1.0,1.0,11.0,2.0,2.0,1.0,10.0,0.0,0.0,2994.0,0.0,0.0,0.0,1.0,2.209,0.216,0.216,0.216,0.216,2.0,1.0,1.0,4.0,0.0,0.0,0.0,1.0,2.0,0.0,0.043,0.173,0.0,0.0,0.0,0.0,3.717,3.0,2.939,0.03,0.0,0.0,0.246,0.245,0.245,5.257,0.473,0.445,0.486,0.457,8.0,0.0,3.0,11.0,1.0,1.0,1.0,6.0,1.0,1.0,0.127,0.13,0.217,0.0,0.0,1.0,11.646,8.0,8.367,0.076,0.217,0.217,0.332,0.339,0.337,1.851,1.964,51.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
8480003,2019,Jesper Boqvist,2019020295,N.J,PIT,HOME,20191115,C,all,590.0,16.0,-0.275,0.3113,0.3402,0.2222,0.3542,0.3077,0.3562,11.0,0.811,0.055,0.042,0.157,0.019,0.366,0.36,0.055,0.055,0.055,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.055,0.0,0.0,0.0,0.0,0.0,1.026,1.0,1.038,0.0,0.009,0.0,0.0,0.064,0.064,0.064,16.0,1.0,6.0,1.0,8.0,4.0,3.0,1.0,8.0,1.0,1.0,3010.0,0.0,0.0,0.0,1.0,3.003,0.24,0.24,0.239,0.239,4.0,0.0,0.0,4.0,0.0,0.0,0.0,3.0,1.0,0.0,0.124,0.116,0.0,0.0,0.0,0.0,4.078,4.0,4.115,0.033,0.0,0.0,0.273,0.273,0.273,6.493,0.531,0.523,0.532,0.523,6.0,3.0,5.0,14.0,0.0,2.0,0.0,7.0,2.0,0.0,0.251,0.28,0.0,0.0,0.0,0.0,13.686,9.0,8.75,0.082,0.226,0.226,0.387,0.388,0.385,1.645,3.19,34.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0
8480003,2019,Jesper Boqvist,2019020346,N.J,PIT,AWAY,20191122,C,all,804.0,18.0,0.7,0.9582,0.3912,0.8421,0.4242,0.8333,0.4167,9.0,1.559,0.124,0.107,0.355,0.042,0.782,0.59,0.124,0.124,0.124,0.0,0.0,2.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,1.0,2.0,0.0,1.0,1.0,1.0,0.0,0.008,0.117,0.0,0.0,0.0,0.0,3.902,2.0,1.919,0.0,0.023,0.0,0.0,0.147,0.147,0.147,18.0,3.0,2.0,1.0,12.0,3.0,2.0,2.0,11.0,1.0,1.0,2796.0,0.0,0.0,0.0,0.0,7.116,0.39,0.38,0.397,0.387,6.0,4.0,6.0,16.0,0.0,0.0,0.0,8.0,2.0,0.0,0.182,0.209,0.0,0.0,0.0,0.0,15.695,10.0,9.888,0.091,0.0,0.029,0.452,0.46,0.448,1.566,0.017,0.017,0.017,0.017,1.0,1.0,1.0,3.0,0.0,0.0,0.0,2.0,0.0,0.0,0.017,0.0,0.0,0.0,0.0,0.0,3.128,2.0,2.01,0.009,0.0,0.0,0.026,0.025,0.025,1.62,2.521,42.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0
8480003,2019,Jesper Boqvist,2019020354,N.J,DET,HOME,20191123,C,all,857.0,16.0,0.35,0.7091,0.6788,0.5455,0.5694,0.6667,0.5738,9.0,2.929,0.212,0.185,0.789,0.106,1.63,1.079,0.195,0.214,0.197,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,4.0,4.0,0.0,0.0,0.0,2.0,0.0,1.0,3.0,1.0,0.0,0.083,0.129,0.0,0.0,0.0,0.0,4.234,4.0,4.072,1.0,0.04,0.0,0.0,0.251,0.254,0.235,16.0,3.0,0.0,0.0,13.0,2.0,2.0,2.0,10.0,0.0,0.0,2743.0,0.0,0.0,0.0,2.0,7.074,0.529,0.512,0.53,0.514,9.0,1.0,2.0,12.0,0.0,0.0,0.0,8.0,2.0,0.0,0.28,0.248,0.0,0.0,0.0,0.0,12.378,10.0,10.086,0.11,0.0,0.0,0.639,0.64,0.621,3.566,0.217,0.217,0.224,0.224,4.0,1.0,5.0,10.0,0.0,0.0,0.0,4.0,1.0,0.0,0.133,0.084,0.0,0.0,0.0,0.0,9.991,5.0,5.0,0.044,0.0,0.0,0.261,0.269,0.269,3.385,1.602,41.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0
8480003,2019,Jesper Boqvist,2019020375,N.J,MIN,HOME,20191126,C,all,827.0,16.0,1.465,0.7081,0.3487,0.75,0.4535,0.7059,0.4627,8.0,2.781,0.187,0.161,0.639,0.1,1.635,1.277,0.187,0.174,0.174,0.0,0.0,1.0,3.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,0.0,0.0,0.187,0.0,0.0,1.0,0.0,0.0,3.715,4.0,3.72,0.0,0.033,0.0,0.0,0.219,0.204,0.204,16.0,2.0,1.0,4.0,9.0,4.0,0.0,2.0,10.0,0.0,1.0,2773.0,0.0,0.0,0.0,0.0,8.43,0.439,0.438,0.409,0.409,9.0,3.0,3.0,15.0,1.0,0.0,0.0,11.0,1.0,0.0,0.289,0.15,0.0,1.0,0.0,0.0,14.22,12.0,11.435,0.102,0.0,0.0,0.54,0.505,0.505,3.735,0.181,0.181,0.19,0.19,3.0,2.0,0.0,5.0,0.0,0.0,0.0,4.0,1.0,0.0,0.088,0.093,0.0,0.0,0.0,0.0,5.16,5.0,5.152,0.049,0.0,0.0,0.231,0.242,0.242,1.783,3.331,39.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0
