gameId,teamAbbrev,homeRoadFlag,gameDate,goals,assists,commonName,opponentCommonName,points,plusMinus,powerPlayGoals,powerPlayPoints,gameWinningGoals,otGoals,shots,shifts,shorthandedGoals,shorthandedPoints,opponentAbbrev,pim,toi,season
2025020905,NJD,H,2026-02-05,0,1,{'default': 'Devils'},{'default': 'Islanders'},1,-1,0,0,0,0,4,23,0,0,NYI,0,18:44,2025
2025020887,NJD,H,2026-02-03,0,0,{'default': 'Devils'},{'default': 'Blue Jackets'},0,-2,0,0,0,0,1,21,0,0,CBJ,0,18:52,2025
2025020866,NJD,R,2026-01-31,0,0,{'default': 'Devils'},"{'default': 'Senators', 'fr': 'Sénateurs'}",0,-1,0,0,0,0,2,22,0,0,OTT,0,20:13,2025
2025020848,NJD,H,2026-01-29,1,0,{'default': 'Devils'},{'default': 'Predators'},1,0,0,0,0,0,1,22,0,0,NSH,0,20:51,2025
2025020835,NJD,H,2026-01-27,1,1,{'default': 'Devils'},{'default': 'Jets'},2,0,1,1,0,0,2,20,0,0,WPG,0,20:00,2025
2025020820,NJD,R,2026-01-25,0,0,{'default': 'Devils'},{'default': 'Kraken'},0,-2,0,0,0,0,3,25,0,0,SEA,0,21:23,2025
2025020807,NJD,R,2026-01-23,0,0,{'default': 'Devils'},{'default': 'Canucks'},0,-1,0,0,0,0,1,18,0,0,VAN,2,15:26,2025
2025020786,NJD,R,2026-01-20,0,0,{'default': 'Devils'},{'default': 'Oilers'},0,-1,0,0,0,0,0,18,0,0,EDM,0,17:09,2025
2025020777,NJD,R,2026-01-19,0,1,{'default': 'Devils'},{'default': 'Flames'},1,1,0,0,0,0,0,22,0,0,CGY,0,16:22,2025
2025020759,NJD,H,2026-01-17,0,0,{'default': 'Devils'},{'default': 'Hurricanes'},0,-2,0,0,0,0,1,23,0,0,CAR,0,18:26,2025
2025020735,NJD,H,2026-01-14,0,0,{'default': 'Devils'},{'default': 'Kraken'},0,0,0,0,0,0,0,21,0,0,SEA,0,18:20,2025
2025020721,NJD,R,2026-01-12,2,0,{'default': 'Devils'},{'default': 'Wild'},2,2,0,0,1,0,4,22,0,0,MIN,0,15:42,2025
2025020711,NJD,R,2026-01-11,0,1,{'default': 'Devils'},{'default': 'Jets'},1,0,0,0,0,0,3,23,0,0,WPG,0,21:05,2025
2025020687,NJD,R,2026-01-08,0,0,{'default': 'Devils'},{'default': 'Penguins'},0,-1,0,0,0,0,2,22,0,0,PIT,0,18:16,2025
2025020669,NJD,R,2026-01-06,0,0,{'default': 'Devils'},{'default': 'Islanders'},0,-1,0,0,0,0,1,20,0,0,NYI,0,20:20,2025
2025020660,NJD,H,2026-01-04,0,0,{'default': 'Devils'},{'default': 'Hurricanes'},0,-1,0,0,0,0,3,21,0,0,CAR,0,23:25,2025
2025020645,NJD,H,2026-01-03,1,1,{'default': 'Devils'},{'default': 'Mammoth'},2,0,0,1,0,0,4,23,0,0,UTA,0,18:38,2025
2025020627,NJD,R,2025-12-31,0,0,{'default': 'Devils'},{'default': 'Blue Jackets'},0,0,0,0,0,0,3,23,0,0,CBJ,0,17:41,2025
2025020617,NJD,R,2025-12-30,0,0,{'default': 'Devils'},{'default': 'Maple Leafs'},0,-1,0,0,0,0,4,20,0,0,TOR,0,19:11,2025
2025020592,NJD,H,2025-12-27,2,0,{'default': 'Devils'},{'default': 'Capitals'},2,0,1,1,0,0,6,20,0,0,WSH,0,17:39,2025
2025020580,NJD,R,2025-12-23,0,0,{'default': 'Devils'},{'default': 'Islanders'},0,-2,0,0,0,0,1,21,0,0,NYI,0,16:22,2025
2025020565,NJD,H,2025-12-21,0,0,{'default': 'Devils'},{'default': 'Sabres'},0,-2,0,0,0,0,3,23,0,0,BUF,0,19:29,2025
2025020547,NJD,R,2025-12-19,0,0,{'default': 'Devils'},{'default': 'Mammoth'},0,1,0,0,0,0,0,25,0,0,UTA,0,20:43,2025
2025020533,NJD,R,2025-12-17,0,0,{'default': 'Devils'},{'default': 'Golden Knights'},0,0,0,0,0,0,2,28,0,0,VGK,0,20:55,2025
2025020508,NJD,H,2025-12-14,0,1,{'default': 'Devils'},{'default': 'Canucks'},1,1,0,0,0,0,4,22,0,0,VAN,0,21:46,2025
2025020495,NJD,H,2025-12-13,0,1,{'default': 'Devils'},{'default': 'Ducks'},1,0,0,0,0,0,0,24,0,0,ANA,0,19:06,2025
2025020481,NJD,H,2025-12-11,1,0,{'default': 'Devils'},{'default': 'Lightning'},1,-1,1,1,0,0,4,19,0,0,TBL,0,16:46,2025
2025020467,NJD,R,2025-12-09,0,0,{'default': 'Devils'},"{'default': 'Senators', 'fr': 'Sénateurs'}",0,1,0,0,0,0,0,24,0,0,OTT,0,20:44,2025
2025020443,NJD,R,2025-12-06,0,0,{'default': 'Devils'},{'default': 'Bruins'},0,-1,0,0,0,0,2,24,0,0,BOS,0,20:01,2025
2025020436,NJD,H,2025-12-05,0,0,{'default': 'Devils'},{'default': 'Golden Knights'},0,-1,0,0,0,0,1,20,0,0,VGK,0,18:25,2025
2025020421,NJD,H,2025-12-03,0,0,{'default': 'Devils'},{'default': 'Stars'},0,-2,0,0,0,0,4,21,0,0,DAL,0,19:34,2025
2025020406,NJD,H,2025-12-01,0,2,{'default': 'Devils'},{'default': 'Blue Jackets'},2,-2,0,2,0,0,4,24,0,0,CBJ,0,23:46,2025
2025020395,NJD,H,2025-11-29,0,2,{'default': 'Devils'},{'default': 'Flyers'},2,-2,0,1,0,0,2,25,0,0,PHI,0,20:52,2025
2025020379,NJD,R,2025-11-28,0,0,{'default': 'Devils'},{'default': 'Sabres'},0,1,0,0,0,0,2,25,0,0,BUF,0,19:19,2025
2025020364,NJD,H,2025-11-26,0,0,{'default': 'Devils'},{'default': 'Blues'},0,1,0,0,0,0,1,23,0,0,STL,0,21:15,2025
2025020354,NJD,H,2025-11-24,0,1,{'default': 'Devils'},{'default': 'Red Wings'},1,0,0,0,0,0,0,24,0,0,DET,2,17:15,2025
2025020339,NJD,R,2025-11-22,0,3,{'default': 'Devils'},{'default': 'Flyers'},3,1,0,1,0,0,6,24,0,0,PHI,0,20:50,2025
2025020323,NJD,R,2025-11-20,0,0,{'default': 'Devils'},{'default': 'Panthers'},0,-1,0,0,0,0,6,22,0,0,FLA,0,20:44,2025
2025020309,NJD,R,2025-11-18,0,1,{'default': 'Devils'},{'default': 'Lightning'},1,0,0,0,0,0,2,19,0,0,TBL,0,15:58,2025
2025020288,NJD,R,2025-11-15,0,1,{'default': 'Devils'},{'default': 'Capitals'},1,0,0,0,0,0,4,31,0,0,WSH,0,22:00,2025
2025020268,NJD,R,2025-11-12,0,0,{'default': 'Devils'},{'default': 'Blackhawks'},0,0,0,0,0,0,2,26,0,0,CHI,0,20:11,2025
2025020252,NJD,H,2025-11-10,0,2,{'default': 'Devils'},{'default': 'Islanders'},2,0,0,1,0,0,0,22,0,0,NYI,0,21:55,2025
2025020231,NJD,H,2025-11-08,0,0,{'default': 'Devils'},{'default': 'Penguins'},0,0,0,0,0,0,0,22,0,0,PIT,0,17:25,2025
2025020220,NJD,H,2025-11-06,1,0,{'default': 'Devils'},{'default': 'Canadiens'},1,0,0,0,1,1,3,23,0,0,MTL,0,22:30,2025
2025020197,NJD,R,2025-11-02,0,0,{'default': 'Devils'},{'default': 'Ducks'},0,-1,0,0,0,0,2,23,0,0,ANA,0,19:54,2025
2025020191,NJD,R,2025-11-01,0,0,{'default': 'Devils'},{'default': 'Kings'},0,-1,0,0,0,0,6,26,0,0,LAK,0,18:23,2025
2025020176,NJD,R,2025-10-30,0,1,{'default': 'Devils'},{'default': 'Sharks'},1,-2,0,1,0,0,1,21,0,0,SJS,0,16:58,2025
2025020161,NJD,R,2025-10-28,0,1,{'default': 'Devils'},{'default': 'Avalanche'},1,0,0,0,0,0,1,24,0,0,COL,0,15:00,2025
2025020140,NJD,H,2025-10-26,0,0,{'default': 'Devils'},{'default': 'Avalanche'},0,0,0,0,0,0,3,24,0,0,COL,0,17:17,2025
2025020124,NJD,H,2025-10-24,0,0,{'default': 'Devils'},{'default': 'Sharks'},0,0,0,0,0,0,1,22,0,0,SJS,0,19:14,2025
2025020108,NJD,H,2025-10-22,1,0,{'default': 'Devils'},{'default': 'Wild'},1,1,0,0,0,0,2,19,0,0,MIN,0,15:10,2025
2025020098,NJD,R,2025-10-21,0,3,{'default': 'Devils'},{'default': 'Maple Leafs'},3,3,0,0,0,0,2,19,0,0,TOR,0,15:20,2025
2025020078,NJD,H,2025-10-18,1,1,{'default': 'Devils'},{'default': 'Oilers'},2,1,1,1,0,0,1,22,0,0,EDM,2,16:04,2025
2025020064,NJD,H,2025-10-16,0,1,{'default': 'Devils'},{'default': 'Panthers'},1,0,0,1,0,0,1,21,0,0,FLA,4,16:23,2025
