gameId,teamAbbrev,homeRoadFlag,gameDate,goals,assists,commonName,opponentCommonName,points,plusMinus,powerPlayGoals,powerPlayPoints,gameWinningGoals,otGoals,shots,shifts,shorthandedGoals,shorthandedPoints,toi,opponentAbbrev,pim,season
2025020730,CAR,R,2026-01-13,0,0,{'default': 'Hurricanes'},{'default': 'Blues'},0,0,0,0,0,0,2,17,0,0,14:24,STL,0,2025
2025020717,CAR,R,2026-01-12,0,0,{'default': 'Hurricanes'},{'default': 'Red Wings'},0,0,0,0,0,0,1,13,0,0,10:23,DET,0,2025
2025020653,CAR,H,2026-01-03,0,0,{'default': 'Hurricanes'},{'default': 'Avalanche'},0,-1,0,0,0,0,0,16,0,0,11:15,COL,0,2025
2025020636,CAR,H,2026-01-01,0,0,{'default': 'Hurricanes'},{'default': 'Canadiens'},0,-2,0,0,0,0,1,15,0,0,10:23,MTL,0,2025
2025020619,CAR,R,2025-12-30,0,0,{'default': 'Hurricanes'},{'default': 'Penguins'},0,-1,0,0,0,0,3,20,0,0,17:13,PIT,0,2025
2025020608,CAR,H,2025-12-29,0,0,{'default': 'Hurricanes'},{'default': 'Rangers'},0,0,0,0,0,0,2,18,0,0,13:45,NYR,0,2025
2025020593,CAR,H,2025-12-27,0,0,{'default': 'Hurricanes'},{'default': 'Red Wings'},0,0,0,0,0,0,2,18,0,0,11:51,DET,0,2025
2025020581,CAR,H,2025-12-23,0,0,{'default': 'Hurricanes'},{'default': 'Panthers'},0,0,0,0,0,0,0,17,0,0,12:28,FLA,2,2025
2025020557,CAR,R,2025-12-20,0,1,{'default': 'Hurricanes'},{'default': 'Lightning'},1,1,0,0,0,0,0,15,0,0,10:06,TBL,4,2025
2025020544,CAR,R,2025-12-19,0,0,{'default': 'Hurricanes'},{'default': 'Panthers'},0,0,0,0,0,0,0,15,0,0,10:32,FLA,0,2025
2025020455,CAR,H,2025-12-07,0,0,{'default': 'Hurricanes'},{'default': 'Sharks'},0,-1,0,0,0,0,1,15,0,0,12:27,SJS,2,2025
2025020447,CAR,H,2025-12-06,0,0,{'default': 'Hurricanes'},{'default': 'Predators'},0,-1,0,0,0,0,2,16,0,0,12:18,NSH,0,2025
2025020279,CAR,H,2025-11-14,0,0,{'default': 'Hurricanes'},{'default': 'Canucks'},0,-1,0,0,0,0,1,11,0,0,7:19,VAN,0,2025
2025020259,CAR,H,2025-11-11,0,0,{'default': 'Hurricanes'},{'default': 'Capitals'},0,0,0,0,0,0,1,13,0,0,10:29,WSH,0,2025
2025020246,CAR,R,2025-11-09,0,0,{'default': 'Hurricanes'},{'default': 'Maple Leafs'},0,-1,0,0,0,0,2,14,0,0,9:51,TOR,0,2025
2025020238,CAR,H,2025-11-08,1,1,{'default': 'Hurricanes'},{'default': 'Sabres'},2,2,0,0,0,0,2,17,0,0,11:49,BUF,0,2025
2025020222,CAR,H,2025-11-06,0,0,{'default': 'Hurricanes'},{'default': 'Wild'},0,0,0,0,0,0,1,14,0,0,10:44,MIN,0,2025
2025020206,CAR,R,2025-11-04,0,0,{'default': 'Hurricanes'},{'default': 'Rangers'},0,1,0,0,0,0,3,14,0,0,12:44,NYR,0,2025
2025020181,CAR,R,2025-11-01,0,0,{'default': 'Hurricanes'},{'default': 'Bruins'},0,0,0,0,0,0,0,13,0,0,11:41,BOS,0,2025
2025020171,CAR,H,2025-10-30,0,0,{'default': 'Hurricanes'},{'default': 'Islanders'},0,1,0,0,0,0,1,14,0,0,10:33,NYI,0,2025
2025020155,CAR,H,2025-10-28,0,0,{'default': 'Hurricanes'},{'default': 'Golden Knights'},0,-1,0,0,0,0,1,15,0,0,8:58,VGK,0,2025
2025020138,CAR,R,2025-10-25,0,0,{'default': 'Hurricanes'},{'default': 'Stars'},0,0,0,0,0,0,1,15,0,0,10:05,DAL,0,2025
2025020121,CAR,R,2025-10-23,0,1,{'default': 'Hurricanes'},{'default': 'Avalanche'},1,1,0,0,0,0,1,17,0,0,10:47,COL,0,2025
2025020097,CAR,R,2025-10-20,0,0,{'default': 'Hurricanes'},{'default': 'Golden Knights'},0,-1,0,0,0,0,0,13,0,0,8:54,VGK,0,2025
2025020086,CAR,R,2025-10-18,1,0,{'default': 'Hurricanes'},{'default': 'Kings'},1,0,0,0,0,0,2,16,0,0,12:06,LAK,0,2025
2025020030,CAR,H,2025-10-11,0,0,{'default': 'Hurricanes'},{'default': 'Flyers'},0,0,0,0,0,0,1,12,0,0,10:26,PHI,0,2025
2025020014,CAR,H,2025-10-09,0,1,{'default': 'Hurricanes'},{'default': 'Devils'},1,2,0,0,0,0,0,16,0,0,9:46,NJD,0,2025
