gameId,teamAbbrev,homeRoadFlag,gameDate,goals,assists,commonName,opponentCommonName,points,plusMinus,powerPlayGoals,powerPlayPoints,gameWinningGoals,otGoals,shots,shifts,shorthandedGoals,shorthandedPoints,opponentAbbrev,toi,pim,season
2025020895,MTL,R,2026-02-04,0,0,{'default': 'Canadiens'},{'default': 'Jets'},0,0,0,0,0,0,1,18,0,0,WPG,12:34,0,2025
2025020879,MTL,R,2026-02-02,0,0,{'default': 'Canadiens'},{'default': 'Wild'},0,0,0,0,0,0,0,16,0,0,MIN,11:24,0,2025
2025020865,MTL,R,2026-01-31,0,0,{'default': 'Canadiens'},{'default': 'Sabres'},0,-1,0,0,0,0,0,12,0,0,BUF,10:33,0,2025
2025020795,MTL,H,2026-01-22,0,0,{'default': 'Canadiens'},{'default': 'Sabres'},0,0,0,0,0,0,1,14,0,0,BUF,10:02,0,2025
2025020780,MTL,H,2026-01-20,0,0,{'default': 'Canadiens'},{'default': 'Wild'},0,0,0,0,0,0,2,18,0,0,MIN,13:54,0,2025
2025020758,MTL,R,2026-01-17,0,0,{'default': 'Canadiens'},"{'default': 'Senators', 'fr': 'Sénateurs'}",0,0,0,0,0,0,1,19,0,0,OTT,15:32,0,2025
2025020740,MTL,R,2026-01-15,0,0,{'default': 'Canadiens'},{'default': 'Sabres'},0,0,0,0,0,0,0,17,0,0,BUF,11:12,0,2025
2025020727,MTL,R,2026-01-13,0,0,{'default': 'Canadiens'},{'default': 'Capitals'},0,0,0,0,0,0,0,19,0,0,WSH,12:58,2,2025
2025020720,MTL,H,2026-01-12,0,0,{'default': 'Canadiens'},{'default': 'Canucks'},0,0,0,0,0,0,1,14,0,0,VAN,12:40,0,2025
2025020703,MTL,H,2026-01-10,0,0,{'default': 'Canadiens'},{'default': 'Red Wings'},0,0,0,0,0,0,0,14,0,0,DET,12:06,0,2025
2025020683,MTL,H,2026-01-08,0,1,{'default': 'Canadiens'},{'default': 'Panthers'},1,2,0,0,0,0,2,14,0,0,FLA,10:40,0,2025
2025020678,MTL,H,2026-01-07,0,0,{'default': 'Canadiens'},{'default': 'Flames'},0,0,0,0,0,0,1,20,0,0,CGY,14:17,0,2025
2025020657,MTL,R,2026-01-04,0,0,{'default': 'Canadiens'},{'default': 'Stars'},0,-2,0,0,0,0,0,19,0,0,DAL,14:41,0,2025
2025020648,MTL,R,2026-01-03,0,0,{'default': 'Canadiens'},{'default': 'Blues'},0,0,0,0,0,0,0,12,0,0,STL,9:14,0,2025
2025020636,MTL,R,2026-01-01,0,0,{'default': 'Canadiens'},{'default': 'Hurricanes'},0,1,0,0,0,0,0,20,0,0,CAR,14:11,0,2025
2025020618,MTL,R,2025-12-30,0,0,{'default': 'Canadiens'},{'default': 'Panthers'},0,0,0,0,0,0,3,16,0,0,FLA,10:08,0,2025
2025020602,MTL,R,2025-12-28,0,0,{'default': 'Canadiens'},{'default': 'Lightning'},0,-1,0,0,0,0,1,14,0,0,TBL,9:43,0,2025
2025020577,MTL,R,2025-12-23,0,0,{'default': 'Canadiens'},{'default': 'Bruins'},0,0,0,0,0,0,1,18,0,0,BOS,12:36,0,2025
2025020566,MTL,R,2025-12-21,0,0,{'default': 'Canadiens'},{'default': 'Penguins'},0,0,0,0,0,0,2,18,0,0,PIT,13:22,0,2025
2025020556,MTL,H,2025-12-20,0,0,{'default': 'Canadiens'},{'default': 'Penguins'},0,1,0,0,0,0,2,19,0,0,PIT,16:26,0,2025
