playerId,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts
8480797,2019,Joel Farabee,2019020130,PHI,VGK,HOME,20191021,L,all,875.0,18.0,0.275,0.5749,0.4284,0.56,0.5281,0.5652,0.5211,8.0,3.177,0.295,0.163,0.874,0.102,1.207,1.359,0.292,0.299,0.296,0.0,0.0,3.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,2.0,0.0,0.049,0.245,0.0,0.0,0.0,0.0,4.184,4.0,4.127,0.0,0.035,0.0,0.125,0.204,0.209,0.209,18.0,4.0,3.0,2.0,9.0,5.0,2.0,1.0,10.0,0.0,0.0,2725.0,0.0,0.0,0.0,0.0,10.137,0.771,0.756,0.774,0.759,11.0,2.0,1.0,14.0,0.0,2.0,0.0,8.0,5.0,0.0,0.203,0.568,0.0,0.0,0.0,0.0,14.39,13.0,13.253,0.171,0.257,0.257,0.684,0.688,0.685,6.993,0.57,0.563,0.563,0.555,6.0,4.0,1.0,11.0,0.0,0.0,0.0,7.0,3.0,0.0,0.194,0.376,0.0,0.0,0.0,0.0,10.4,10.0,9.664,0.1,0.0,0.0,0.67,0.661,0.651,1.983,2.646,47.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0
8480797,2019,Joel Farabee,2019020151,PHI,CHI,AWAY,20191024,L,all,844.0,18.0,0.89,0.5287,0.5358,0.5238,0.3919,0.5385,0.4118,8.0,3.314,0.422,0.304,0.73,0.108,1.582,0.853,0.383,0.47,0.426,0.0,1.0,4.0,0.0,0.0,4.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0,4.0,4.0,0.0,0.0,0.0,0.0,3.0,1.0,2.0,1.0,1.0,0.043,0.147,0.232,0.0,0.0,0.0,4.462,4.0,4.438,1.0,0.068,0.232,0.232,0.258,0.285,0.278,18.0,0.0,1.0,2.0,15.0,1.0,3.0,4.0,10.0,0.0,1.0,2756.0,0.0,0.0,0.0,0.0,5.76,0.774,0.734,0.862,0.818,6.0,1.0,4.0,11.0,1.0,1.0,0.0,3.0,3.0,1.0,0.06,0.482,0.232,0.0,1.0,0.0,12.11,7.0,7.875,0.115,0.232,0.232,0.657,0.73,0.722,4.647,0.69,0.657,0.637,0.607,5.0,1.0,4.0,10.0,0.0,2.0,0.0,4.0,1.0,1.0,0.24,0.085,0.365,0.0,0.0,0.0,9.172,6.0,5.553,0.08,0.392,0.392,0.378,0.351,0.348,2.079,1.801,29.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0
8480797,2019,Joel Farabee,2019020165,PHI,CBJ,HOME,20191026,L,all,825.0,18.0,0.55,0.8387,0.6094,0.6875,0.6456,0.6818,0.6308,9.0,3.155,0.282,0.293,0.589,0.079,1.611,1.145,0.282,0.262,0.262,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,2.0,0.0,0.078,0.205,0.0,0.0,0.0,0.0,3.682,4.0,3.691,1.0,0.063,0.183,0.0,0.345,0.321,0.321,18.0,4.0,1.0,5.0,8.0,2.0,4.0,5.0,7.0,0.0,0.0,2775.0,0.0,0.0,0.0,1.0,10.679,1.721,1.683,1.672,1.634,14.0,1.0,7.0,22.0,2.0,1.0,0.0,9.0,5.0,1.0,0.232,0.647,0.842,0.0,1.0,1.0,21.163,15.0,14.383,0.192,0.183,0.183,1.73,1.687,1.644,5.051,0.331,0.329,0.361,0.359,5.0,2.0,3.0,10.0,0.0,1.0,0.0,6.0,1.0,0.0,0.162,0.169,0.0,0.0,0.0,0.0,10.689,7.0,7.497,0.056,0.028,0.028,0.359,0.391,0.39,3.083,1.976,51.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0
8480797,2019,Joel Farabee,2019020173,PHI,NYI,AWAY,20191027,L,all,1017.0,22.0,0.075,0.2462,0.3917,0.5676,0.5556,0.5185,0.4833,4.0,0.479,0.085,0.044,0.083,0.028,0.453,0.306,0.085,0.082,0.082,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.085,0.0,0.0,0.0,0.0,1.87,1.0,0.954,0.0,0.009,0.0,0.0,0.094,0.091,0.091,22.0,7.0,1.0,4.0,10.0,5.0,3.0,3.0,11.0,0.0,0.0,2583.0,0.0,0.0,0.0,0.0,10.199,0.72,0.719,0.699,0.698,10.0,4.0,7.0,21.0,0.0,0.0,0.0,11.0,2.0,1.0,0.193,0.265,0.262,0.0,0.0,0.0,19.724,14.0,13.507,0.166,0.0,0.0,0.886,0.862,0.86,10.242,2.204,2.188,2.234,2.218,9.0,4.0,3.0,16.0,1.0,0.0,0.0,6.0,2.0,5.0,0.236,0.251,1.717,0.0,0.0,1.0,17.393,13.0,13.357,0.163,0.0,0.0,2.368,2.401,2.381,3.149,4.89,45.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0
8480797,2019,Joel Farabee,2019020182,PHI,PIT,AWAY,20191029,L,all,810.0,23.0,-0.485,0.2837,0.4525,0.5417,0.4875,0.4444,0.4697,9.0,0.886,0.056,0.09,0.317,0.037,0.355,0.145,0.056,0.056,0.056,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.056,0.0,0.0,0.0,0.0,0.0,1.895,1.0,1.0,0.0,0.043,0.0,0.0,0.099,0.099,0.099,23.0,6.0,3.0,4.0,10.0,5.0,1.0,6.0,11.0,0.0,1.0,2790.0,0.0,0.0,0.0,0.0,5.911,0.202,0.2,0.198,0.196,8.0,0.0,5.0,13.0,0.0,0.0,0.0,8.0,0.0,0.0,0.202,0.0,0.0,0.0,0.0,0.0,12.16,8.0,7.772,0.114,0.0,0.0,0.317,0.311,0.307,6.503,0.51,0.501,0.527,0.517,8.0,2.0,1.0,11.0,3.0,0.0,0.0,7.0,3.0,0.0,0.21,0.3,0.0,2.0,1.0,0.0,12.214,10.0,10.491,0.09,0.0,0.0,0.601,0.62,0.608,1.647,1.993,39.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0
8480797,2019,Joel Farabee,2019020196,PHI,N.J,AWAY,20191101,L,all,965.0,21.0,1.075,0.5026,0.3076,0.5652,0.5,0.6111,0.5273,8.0,2.941,0.24,0.166,0.635,0.085,1.581,1.293,0.24,0.245,0.245,0.0,0.0,3.0,1.0,0.0,4.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,1.0,0.0,0.096,0.144,0.0,1.0,0.0,0.0,4.096,4.0,4.091,0.0,0.037,0.0,0.0,0.277,0.283,0.283,21.0,9.0,1.0,3.0,8.0,2.0,3.0,4.0,12.0,0.0,0.0,2935.0,0.0,0.0,0.0,0.0,8.03,0.381,0.381,0.392,0.392,8.0,3.0,2.0,13.0,1.0,0.0,0.0,10.0,1.0,0.0,0.237,0.144,0.0,1.0,0.0,0.0,13.32,11.0,11.244,0.101,0.0,0.0,0.482,0.496,0.496,5.24,0.377,0.377,0.373,0.373,5.0,2.0,3.0,10.0,1.0,0.0,0.0,5.0,2.0,0.0,0.109,0.267,0.0,0.0,1.0,0.0,9.872,7.0,6.962,0.076,0.0,0.0,0.453,0.448,0.448,1.038,2.336,36.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0
8480797,2019,Joel Farabee,2019020209,PHI,TOR,HOME,20191102,L,all,1053.0,23.0,0.1,0.7669,0.6668,0.619,0.5789,0.6765,0.6207,6.0,4.125,0.753,0.36,0.94,0.142,2.39,1.415,0.744,0.749,0.74,0.0,0.0,2.0,4.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,2.0,6.0,1.0,2.0,0.0,1.0,0.0,0.0,2.0,3.0,1.0,0.106,0.349,0.298,0.0,0.0,0.0,6.992,6.0,6.048,0.0,0.087,0.0,0.298,0.542,0.537,0.536,23.0,9.0,0.0,1.0,13.0,4.0,3.0,3.0,13.0,0.0,0.0,2847.0,2.0,2.0,1.0,0.0,16.394,1.579,1.512,1.563,1.495,16.0,7.0,3.0,26.0,2.0,1.0,0.0,15.0,7.0,1.0,0.477,0.804,0.298,1.0,1.0,0.0,25.89,23.0,23.02,0.289,0.298,0.298,1.57,1.551,1.481,7.764,0.48,0.48,0.499,0.499,7.0,4.0,5.0,16.0,0.0,0.0,0.0,9.0,2.0,0.0,0.224,0.256,0.0,0.0,0.0,0.0,16.533,11.0,11.348,0.079,0.0,0.0,0.559,0.581,0.581,2.269,1.134,44.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0
8480797,2019,Joel Farabee,2019020226,PHI,CAR,HOME,20191105,L,all,931.0,22.0,1.125,0.2219,0.4991,0.5161,0.3699,0.4545,0.3793,6.0,3.927,0.32,0.318,0.747,0.107,1.993,1.515,0.32,0.322,0.322,0.0,0.0,5.0,0.0,1.0,6.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,2.0,4.0,4.0,1.0,2.0,0.0,0.0,1.0,1.0,4.0,1.0,0.0,0.202,0.118,0.0,0.0,1.0,0.0,6.196,5.0,5.216,1.0,0.066,0.0,0.0,0.386,0.389,0.389,22.0,4.0,3.0,3.0,12.0,3.0,2.0,4.0,13.0,0.0,0.0,2669.0,2.0,0.0,0.0,0.0,7.687,0.405,0.402,0.407,0.404,10.0,0.0,6.0,16.0,1.0,0.0,0.0,9.0,1.0,0.0,0.287,0.118,0.0,0.0,1.0,0.0,16.292,10.0,10.37,0.101,0.0,0.0,0.506,0.508,0.505,9.312,1.42,1.393,1.444,1.416,10.0,2.0,3.0,15.0,0.0,1.0,0.0,7.0,3.0,2.0,0.223,0.395,0.802,0.0,0.0,0.0,14.8,12.0,11.786,0.147,0.472,0.472,1.094,1.097,1.092,1.464,1.469,27.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0
8480797,2019,Joel Farabee,2019020240,PHI,MTL,HOME,20191107,L,all,1145.0,26.0,0.475,0.9167,0.4968,0.6296,0.5977,0.7143,0.6029,3.0,2.301,0.184,0.197,0.41,0.051,1.327,0.831,0.168,0.182,0.166,0.0,0.0,1.0,2.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0,0.0,0.0,0.184,0.0,0.0,0.0,0.0,0.0,2.996,3.0,3.01,0.0,0.042,0.0,0.0,0.226,0.223,0.205,26.0,7.0,6.0,4.0,9.0,5.0,2.0,3.0,16.0,0.0,0.0,2510.0,0.0,0.0,0.0,3.0,11.052,1.365,1.174,1.365,1.173,10.0,5.0,2.0,17.0,1.0,2.0,1.0,10.0,3.0,2.0,0.418,0.347,0.6,0.0,0.0,1.0,17.206,15.0,15.247,0.2,0.6,0.6,0.966,0.962,0.934,4.265,0.124,0.123,0.125,0.125,5.0,1.0,4.0,10.0,0.0,0.0,0.0,6.0,0.0,0.0,0.124,0.0,0.0,0.0,0.0,0.0,10.06,6.0,6.02,0.043,0.0,0.0,0.167,0.169,0.169,2.473,2.505,52.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0
8480797,2019,Joel Farabee,2019020253,PHI,TOR,AWAY,20191109,L,all,1001.0,23.0,0.34,0.3602,0.4924,0.4333,0.48,0.4783,0.4286,6.0,1.427,0.121,0.136,0.256,0.04,0.845,0.602,0.121,0.135,0.135,0.0,1.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.015,0.106,0.0,0.0,0.0,0.0,2.308,2.0,2.292,0.0,0.027,0.0,0.0,0.148,0.165,0.165,23.0,6.0,2.0,2.0,13.0,4.0,6.0,5.0,8.0,0.0,1.0,2899.0,0.0,0.0,0.0,0.0,7.977,0.51,0.506,0.545,0.54,6.0,5.0,2.0,13.0,1.0,0.0,0.0,7.0,4.0,0.0,0.159,0.352,0.0,1.0,0.0,0.0,14.021,11.0,11.845,0.131,0.0,0.0,0.642,0.683,0.678,8.849,0.906,0.891,0.866,0.852,11.0,1.0,5.0,17.0,2.0,1.0,0.0,7.0,4.0,1.0,0.265,0.433,0.208,0.0,2.0,0.0,16.162,12.0,11.522,0.141,0.147,0.147,0.9,0.854,0.848,2.332,2.404,48.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0
