gameId,teamAbbrev,homeRoadFlag,gameDate,goals,assists,commonName,opponentCommonName,points,plusMinus,powerPlayGoals,powerPlayPoints,gameWinningGoals,otGoals,shots,shifts,shorthandedGoals,shorthandedPoints,opponentAbbrev,toi,pim,season
2025020897,COL,H,2026-02-04,0,0,{'default': 'Avalanche'},{'default': 'Sharks'},0,-2,0,0,0,0,1,20,0,0,SJS,13:11,0,2025
2025020883,COL,H,2026-02-02,0,0,{'default': 'Avalanche'},{'default': 'Red Wings'},0,0,0,0,0,0,2,20,0,0,DET,14:03,0,2025
2025020860,COL,R,2026-01-31,0,1,{'default': 'Avalanche'},{'default': 'Red Wings'},1,1,0,0,0,0,2,21,0,0,DET,13:35,0,2025
2025020845,COL,R,2026-01-29,1,0,{'default': 'Avalanche'},{'default': 'Canadiens'},1,1,0,0,0,0,1,17,0,0,MTL,11:14,0,2025
2025020841,COL,R,2026-01-28,0,0,{'default': 'Avalanche'},"{'default': 'Senators', 'fr': 'Sénateurs'}",0,-1,0,0,0,0,0,18,0,0,OTT,11:41,0,2025
2025020819,COL,R,2026-01-25,0,1,{'default': 'Avalanche'},{'default': 'Maple Leafs'},1,1,0,0,0,0,1,18,0,0,TOR,8:53,0,2025
2025020805,COL,H,2026-01-23,0,0,{'default': 'Avalanche'},{'default': 'Flyers'},0,0,0,0,0,0,3,14,0,0,PHI,9:36,0,2025
2025020611,COL,H,2025-12-29,0,1,{'default': 'Avalanche'},{'default': 'Kings'},1,1,0,0,0,0,0,13,0,0,LAK,8:41,0,2025
2025020600,COL,R,2025-12-27,0,0,{'default': 'Avalanche'},{'default': 'Golden Knights'},0,-2,0,0,0,0,0,9,0,0,VGK,5:34,0,2025
2025020584,COL,H,2025-12-23,0,0,{'default': 'Avalanche'},{'default': 'Mammoth'},0,0,0,0,0,0,0,13,0,0,UTA,9:12,0,2025
2025020563,COL,R,2025-12-21,0,0,{'default': 'Avalanche'},{'default': 'Wild'},0,0,0,0,0,0,0,14,0,0,MIN,10:09,0,2025
2025020546,COL,H,2025-12-19,0,1,{'default': 'Avalanche'},{'default': 'Jets'},1,1,0,0,0,0,1,14,0,0,WPG,9:24,0,2025
2025020528,COL,R,2025-12-16,0,0,{'default': 'Avalanche'},{'default': 'Kraken'},0,0,0,0,0,0,1,17,0,0,SEA,8:47,2,2025
2025020506,COL,H,2025-12-13,0,0,{'default': 'Avalanche'},{'default': 'Predators'},0,0,0,0,0,0,1,13,0,0,NSH,9:34,0,2025
2025020490,COL,H,2025-12-11,0,0,{'default': 'Avalanche'},{'default': 'Panthers'},0,0,0,0,0,0,0,7,0,0,FLA,3:58,0,2025
2025020475,COL,R,2025-12-09,0,0,{'default': 'Avalanche'},{'default': 'Predators'},0,0,0,0,0,0,1,15,0,0,NSH,9:21,2,2025
2025020453,COL,R,2025-12-07,0,0,{'default': 'Avalanche'},{'default': 'Flyers'},0,0,0,0,0,0,0,12,0,0,PHI,7:40,0,2025
2025020441,COL,R,2025-12-06,0,0,{'default': 'Avalanche'},{'default': 'Rangers'},0,-1,0,0,0,0,0,13,0,0,NYR,10:37,0,2025
2025020430,COL,R,2025-12-04,0,0,{'default': 'Avalanche'},{'default': 'Islanders'},0,-1,0,0,0,0,2,14,0,0,NYI,8:56,0,2025
2025020417,COL,H,2025-12-02,0,0,{'default': 'Avalanche'},{'default': 'Canucks'},0,-1,0,0,0,0,0,13,0,0,VAN,10:00,0,2025
2025020392,COL,H,2025-11-29,0,1,{'default': 'Avalanche'},{'default': 'Canadiens'},1,1,0,0,0,0,1,17,0,0,MTL,13:09,0,2025
2025020378,COL,R,2025-11-28,0,0,{'default': 'Avalanche'},{'default': 'Wild'},0,0,0,0,0,0,0,11,0,0,MIN,7:05,0,2025
2025020371,COL,H,2025-11-26,1,0,{'default': 'Avalanche'},{'default': 'Sharks'},1,1,0,0,0,0,3,17,0,0,SJS,13:19,2,2025
2025020067,COL,R,2025-10-16,0,0,{'default': 'Avalanche'},{'default': 'Blue Jackets'},0,0,0,0,0,0,0,15,0,0,CBJ,10:29,0,2025
2025020039,COL,R,2025-10-13,0,0,{'default': 'Avalanche'},{'default': 'Sabres'},0,0,0,0,0,0,0,17,0,0,BUF,11:36,0,2025
2025020034,COL,H,2025-10-11,0,0,{'default': 'Avalanche'},{'default': 'Stars'},0,0,0,0,0,0,0,15,0,0,DAL,9:23,0,2025
2025020018,COL,H,2025-10-09,0,0,{'default': 'Avalanche'},{'default': 'Mammoth'},0,0,0,0,0,0,2,18,0,0,UTA,11:58,0,2025
2025020003,COL,R,2025-10-07,0,0,{'default': 'Avalanche'},{'default': 'Kings'},0,1,0,0,0,0,1,15,0,0,LAK,10:27,0,2025
2024021284,COL,R,2025-04-13,0,0,{'default': 'Avalanche'},{'default': 'Ducks'},0,0,0,0,0,0,1,22,0,0,ANA,16:56,0,2024
2024021267,COL,R,2025-04-12,0,0,{'default': 'Avalanche'},{'default': 'Kings'},0,-1,0,0,0,0,1,21,0,0,LAK,14:19,0,2024
2024021256,COL,H,2025-04-10,0,0,{'default': 'Avalanche'},{'default': 'Canucks'},0,0,0,0,0,0,1,18,0,0,VAN,9:45,0,2024
2024021244,COL,H,2025-04-08,0,0,{'default': 'Avalanche'},{'default': 'Golden Knights'},0,-1,0,0,0,0,2,23,0,0,VGK,14:46,2,2024
2024021218,COL,R,2025-04-05,0,0,{'default': 'Avalanche'},{'default': 'Blues'},0,2,0,0,0,0,0,16,0,0,STL,10:30,2,2024
2024021199,COL,R,2025-04-03,0,0,{'default': 'Avalanche'},{'default': 'Blue Jackets'},0,2,0,0,0,0,1,18,0,0,CBJ,11:35,0,2024
2024021195,COL,R,2025-04-02,0,0,{'default': 'Avalanche'},{'default': 'Blackhawks'},0,0,0,0,0,0,1,17,0,0,CHI,11:57,0,2024
2024021136,COL,H,2025-03-25,0,0,{'default': 'Avalanche'},{'default': 'Red Wings'},0,0,0,0,0,0,0,19,0,0,DET,13:32,0,2024
2024021112,COL,R,2025-03-22,0,1,{'default': 'Avalanche'},{'default': 'Canadiens'},1,0,0,0,0,0,0,20,0,0,MTL,13:10,0,2024
2024021089,COL,R,2025-03-20,1,0,{'default': 'Avalanche'},"{'default': 'Senators', 'fr': 'Sénateurs'}",1,1,0,0,0,0,3,16,0,0,OTT,11:33,0,2024
2024021087,COL,R,2025-03-19,0,0,{'default': 'Avalanche'},{'default': 'Maple Leafs'},0,0,0,0,0,0,0,12,0,0,TOR,7:29,0,2024
2024021067,COL,H,2025-03-16,0,0,{'default': 'Avalanche'},{'default': 'Stars'},0,-1,0,0,0,0,2,16,0,0,DAL,11:51,0,2024
2024021052,COL,R,2025-03-14,0,0,{'default': 'Avalanche'},{'default': 'Flames'},0,1,0,0,0,0,4,17,0,0,CGY,11:42,0,2024
2024021030,COL,R,2025-03-11,1,0,{'default': 'Avalanche'},{'default': 'Wild'},1,1,0,0,0,0,1,13,0,0,MIN,8:53,0,2024
2024021023,COL,H,2025-03-10,1,0,{'default': 'Avalanche'},{'default': 'Blackhawks'},1,1,0,0,0,0,1,16,0,0,CHI,9:37,0,2024
2024021007,COL,H,2025-03-08,1,0,{'default': 'Avalanche'},{'default': 'Maple Leafs'},1,1,0,0,0,0,1,16,0,0,TOR,9:34,0,2024
2024020996,COL,H,2025-03-06,1,0,{'default': 'Avalanche'},{'default': 'Sharks'},1,1,0,0,0,0,1,21,1,1,SJS,13:42,2,2024
2024020980,COL,H,2025-03-04,0,0,{'default': 'Avalanche'},{'default': 'Penguins'},0,0,0,0,0,0,0,20,0,0,PIT,12:15,0,2024
2024020947,COL,H,2025-02-28,0,1,{'default': 'Avalanche'},{'default': 'Wild'},1,2,0,0,0,0,1,18,0,0,MIN,11:59,0,2024
2024020931,COL,H,2025-02-26,0,0,{'default': 'Avalanche'},{'default': 'Devils'},0,0,0,0,0,0,0,18,0,0,NJD,11:50,0,2024
2024020910,COL,R,2025-02-23,0,0,{'default': 'Avalanche'},{'default': 'Blues'},0,0,0,0,0,0,0,16,0,0,STL,11:01,0,2024
