playerId,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts
8481556,2023,John Beecher,2023020006,BOS,CHI,HOME,20231011,C,all,641.0,13.0,0.335,0.7491,0.6506,0.6667,0.6154,0.5833,0.6,12.0,0.907,0.326,0.115,0.245,0.03,0.192,0.093,0.27,0.312,0.258,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,7.0,6.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.326,0.0,0.0,0.0,0.97,1.0,0.971,0.0,0.026,0.0,0.326,0.026,0.025,0.021,13.0,0.0,2.0,5.0,6.0,3.0,0.0,1.0,9.0,6.0,5.0,2959.0,7.0,7.0,2.0,0.0,4.608,0.621,0.563,0.59,0.534,4.0,3.0,3.0,10.0,0.0,1.0,0.0,5.0,1.0,1.0,0.13,0.165,0.326,0.0,0.0,0.0,9.702,7.0,6.689,0.087,0.326,0.326,0.382,0.361,0.353,3.535,0.208,0.207,0.218,0.217,3.0,2.0,0.0,5.0,0.0,0.0,0.0,3.0,2.0,0.0,0.035,0.173,0.0,0.0,0.0,0.0,5.06,5.0,5.024,0.041,0.0,0.0,0.25,0.261,0.26,4.196,2.253,64.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0
8481556,2023,John Beecher,2023020021,BOS,NSH,HOME,20231014,C,all,742.0,19.0,-0.235,0.3157,0.4569,0.16,0.5234,0.1765,0.4595,9.0,0.789,0.074,0.075,0.139,0.026,0.434,0.251,0.074,0.071,0.071,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0,1.0,0.0,0.0,0.074,0.0,0.0,0.0,0.0,0.0,0.97,1.0,0.971,0.0,0.016,0.0,0.0,0.09,0.086,0.086,19.0,0.0,6.0,3.0,10.0,2.0,2.0,4.0,11.0,5.0,6.0,2858.0,0.0,0.0,0.0,0.0,2.405,0.329,0.329,0.322,0.322,3.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,2.0,0.0,0.074,0.255,0.0,0.0,0.0,0.0,3.936,3.0,2.981,0.044,0.0,0.0,0.373,0.365,0.365,9.979,0.713,0.709,0.741,0.737,10.0,4.0,7.0,21.0,1.0,0.0,0.0,11.0,2.0,1.0,0.3,0.172,0.242,0.0,1.0,0.0,21.238,14.0,14.187,0.173,0.0,0.0,0.887,0.917,0.912,2.556,3.038,56.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0
8481556,2023,John Beecher,2023020062,BOS,SJS,AWAY,20231019,C,all,682.0,17.0,0.88,0.7998,0.7084,0.3889,0.4906,0.4,0.5316,11.0,1.824,0.448,0.169,0.251,0.046,0.536,0.551,0.448,0.482,0.482,1.0,0.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.448,0.0,0.0,0.0,2.214,2.0,2.161,0.0,0.037,0.0,0.0,0.485,0.522,0.522,17.0,0.0,5.0,3.0,9.0,3.0,2.0,3.0,9.0,7.0,4.0,2918.0,0.0,0.0,0.0,1.0,4.921,0.823,0.823,0.87,0.87,4.0,2.0,1.0,7.0,1.0,0.0,0.0,2.0,1.0,3.0,0.038,0.08,0.705,1.0,0.0,0.0,7.657,6.0,6.553,0.079,0.0,0.0,0.902,0.955,0.955,6.641,0.206,0.186,0.198,0.178,5.0,4.0,2.0,11.0,0.0,1.0,0.0,9.0,0.0,0.0,0.206,0.0,0.0,0.0,0.0,0.0,10.378,9.0,8.546,0.071,0.037,0.037,0.24,0.23,0.204,4.516,1.859,52.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0
8481556,2023,John Beecher,2023020079,BOS,LAK,AWAY,20231021,C,all,651.0,21.0,-0.165,0.1449,0.3167,0.3684,0.4074,0.375,0.3973,10.0,0.716,0.018,0.036,0.163,0.021,0.404,0.358,0.018,0.018,0.018,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,4.0,3.0,0.0,0.0,1.0,0.0,0.0,0.018,0.0,0.0,0.0,0.0,0.0,1.032,1.0,1.03,0.0,0.007,0.0,0.0,0.024,0.025,0.025,21.0,0.0,7.0,3.0,11.0,3.0,5.0,4.0,9.0,4.0,3.0,2949.0,2.0,0.0,0.0,0.0,4.392,0.162,0.162,0.175,0.175,4.0,2.0,1.0,7.0,0.0,0.0,0.0,6.0,0.0,0.0,0.162,0.0,0.0,0.0,0.0,0.0,7.783,6.0,6.599,0.037,0.0,0.0,0.198,0.215,0.215,6.789,0.956,0.907,0.948,0.9,7.0,3.0,2.0,12.0,2.0,1.0,0.0,5.0,4.0,1.0,0.18,0.421,0.355,0.0,2.0,0.0,11.644,10.0,9.801,0.161,0.355,0.355,0.763,0.752,0.738,1.683,3.632,44.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0
8481556,2023,John Beecher,2023020081,BOS,ANA,AWAY,20231022,C,all,473.0,14.0,-0.26,0.0993,0.4167,0.2222,0.4909,0.125,0.4881,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,5.0,1.0,7.0,4.0,2.0,0.0,8.0,3.0,4.0,3127.0,0.0,0.0,0.0,0.0,0.669,0.014,0.014,0.014,0.014,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.014,0.0,0.0,0.0,0.0,0.0,2.064,1.0,1.03,0.007,0.0,0.0,0.021,0.022,0.022,5.123,0.127,0.125,0.121,0.119,4.0,3.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.127,0.0,0.0,0.0,0.0,0.0,6.792,7.0,6.823,0.043,0.0,0.0,0.169,0.161,0.16,2.346,3.284,54.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0
8481556,2023,John Beecher,2023020092,BOS,CHI,AWAY,20231024,C,all,706.0,19.0,0.56,0.5776,0.4941,0.6316,0.587,0.6471,0.6119,10.0,1.524,0.122,0.114,0.26,0.042,0.814,0.647,0.122,0.138,0.138,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,6.0,4.0,1.0,0.0,1.0,1.0,0.0,0.023,0.099,0.0,0.0,0.0,0.0,2.246,2.0,2.191,0.0,0.025,0.0,0.0,0.147,0.166,0.166,19.0,0.0,9.0,1.0,9.0,6.0,0.0,2.0,11.0,6.0,5.0,2894.0,0.0,0.0,0.0,1.0,7.113,0.428,0.426,0.476,0.474,11.0,0.0,1.0,12.0,0.0,1.0,0.0,9.0,1.0,1.0,0.125,0.099,0.204,0.0,0.0,0.0,13.649,11.0,12.207,0.11,0.204,0.204,0.334,0.375,0.374,4.295,0.313,0.313,0.306,0.305,4.0,2.0,1.0,7.0,0.0,0.0,0.0,4.0,2.0,0.0,0.075,0.238,0.0,0.0,0.0,0.0,6.555,6.0,5.644,0.052,0.0,0.0,0.365,0.355,0.355,1.681,1.721,54.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0
8481556,2023,John Beecher,2023020100,BOS,ANA,HOME,20231026,C,all,573.0,15.0,-0.22,0.4264,0.5612,0.2353,0.53,0.3077,0.5065,10.0,1.581,0.213,0.112,0.218,0.047,0.681,0.73,0.213,0.213,0.213,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,8.0,1.0,0.0,0.0,1.0,1.0,0.0,0.033,0.18,0.0,0.0,0.0,0.0,2.026,2.0,2.038,0.0,0.024,0.0,0.0,0.238,0.237,0.237,15.0,0.0,8.0,1.0,6.0,2.0,1.0,3.0,9.0,8.0,5.0,3155.0,0.0,0.0,0.0,0.0,3.221,0.229,0.229,0.229,0.229,2.0,2.0,0.0,4.0,0.0,0.0,0.0,3.0,1.0,0.0,0.049,0.18,0.0,0.0,0.0,0.0,4.07,4.0,4.06,0.03,0.0,0.0,0.259,0.258,0.258,6.338,0.308,0.302,0.309,0.303,5.0,4.0,4.0,13.0,2.0,0.0,0.0,8.0,1.0,0.0,0.219,0.089,0.0,1.0,1.0,0.0,13.021,9.0,9.029,0.122,0.0,0.0,0.43,0.431,0.424,2.642,2.066,53.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0
8481556,2023,John Beecher,2023020119,BOS,DET,HOME,20231028,C,all,645.0,16.0,-0.265,0.2195,0.6436,0.2143,0.5243,0.3333,0.5946,10.0,0.771,0.018,0.021,0.084,0.021,0.294,0.561,0.018,0.018,0.018,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.0,6.0,0.0,0.0,1.0,0.0,0.0,0.018,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.004,0.0,0.0,0.022,0.022,0.022,16.0,0.0,2.0,3.0,11.0,2.0,4.0,0.0,10.0,4.0,3.0,2955.0,0.0,0.0,0.0,0.0,2.218,0.036,0.036,0.037,0.037,3.0,0.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.036,0.0,0.0,0.0,0.0,0.0,3.206,3.0,3.101,0.016,0.0,0.0,0.053,0.053,0.053,4.477,0.128,0.128,0.127,0.127,3.0,3.0,5.0,11.0,0.0,0.0,0.0,6.0,0.0,0.0,0.128,0.0,0.0,0.0,0.0,0.0,10.516,6.0,5.772,0.046,0.0,0.0,0.174,0.173,0.173,3.944,2.184,54.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0
8481556,2023,John Beecher,2023020130,BOS,FLA,HOME,20231030,C,all,486.0,12.0,-0.3,0.0,0.538,0.0,0.4828,0.0,0.4458,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2.0,5.0,0.0,5.0,1.0,2.0,0.0,9.0,4.0,4.0,3330.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.537,0.218,0.218,0.235,0.235,4.0,1.0,9.0,14.0,0.0,0.0,0.0,4.0,1.0,0.0,0.076,0.142,0.0,0.0,0.0,0.0,14.572,5.0,5.201,0.068,0.0,0.0,0.285,0.304,0.304,2.627,2.256,56.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0
8481556,2023,John Beecher,2023020145,BOS,TOR,HOME,20231102,C,all,517.0,13.0,0.245,0.9118,0.6656,0.5833,0.5188,0.5833,0.5052,11.0,0.73,0.011,0.035,0.204,0.016,0.432,0.302,0.011,0.012,0.012,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,7.0,1.0,0.0,0.0,1.0,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0,1.074,1.0,1.05,0.0,0.007,0.0,0.0,0.019,0.019,0.019,13.0,0.0,3.0,2.0,8.0,4.0,0.0,0.0,9.0,7.0,0.0,3383.0,0.0,0.0,0.0,0.0,5.465,0.465,0.465,0.451,0.451,5.0,2.0,0.0,7.0,0.0,1.0,0.0,6.0,0.0,1.0,0.141,0.0,0.324,0.0,0.0,0.0,7.132,7.0,7.064,0.064,0.044,0.0,0.529,0.513,0.513,3.611,0.045,0.044,0.046,0.045,3.0,2.0,0.0,5.0,0.0,0.0,0.0,5.0,0.0,0.0,0.045,0.0,0.0,0.0,0.0,0.0,5.032,5.0,5.046,0.032,0.0,0.006,0.071,0.073,0.072,4.244,2.132,69.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0
