playerId,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts
8478507,2019,John Marino,2019020038,PIT,WPG,HOME,20191008,D,all,630.0,15.0,0.275,0.5899,0.6163,0.625,0.6627,0.6667,0.6667,7.0,0.656,0.013,0.026,0.219,0.026,0.429,0.288,0.013,0.013,0.013,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.013,0.0,0.0,0.0,0.0,0.0,1.026,1.0,1.038,0.0,0.005,0.0,0.0,0.018,0.018,0.018,15.0,2.0,0.0,2.0,11.0,4.0,2.0,1.0,8.0,0.0,0.0,2970.0,0.0,0.0,0.0,0.0,5.819,0.279,0.277,0.256,0.254,7.0,1.0,2.0,10.0,0.0,0.0,0.0,7.0,1.0,0.0,0.194,0.085,0.0,0.0,0.0,0.0,9.068,8.0,7.474,0.068,0.0,0.0,0.348,0.319,0.317,2.718,0.194,0.194,0.212,0.212,3.0,1.0,2.0,6.0,0.0,0.0,0.0,4.0,0.0,0.0,0.194,0.0,0.0,0.0,0.0,0.0,6.447,4.0,4.417,0.042,0.0,0.0,0.237,0.259,0.259,2.623,1.633,55.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0
8478507,2019,John Marino,2019020050,PIT,ANA,HOME,20191010,D,all,966.0,22.0,-0.175,0.2026,0.6367,0.2308,0.5976,0.2222,0.6032,5.0,0.706,0.006,0.031,0.225,0.026,0.424,0.288,0.006,0.006,0.006,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,1.0,1.0,0.0,0.0,0.006,0.0,0.0,0.0,0.0,0.0,1.94,1.0,0.971,1.0,0.006,0.0,0.0,0.012,0.012,0.012,22.0,4.0,4.0,1.0,13.0,4.0,2.0,0.0,16.0,0.0,0.0,2634.0,0.0,0.0,0.0,1.0,3.182,0.153,0.141,0.146,0.135,2.0,2.0,2.0,6.0,0.0,0.0,0.0,4.0,0.0,0.0,0.153,0.0,0.0,0.0,0.0,0.0,5.876,4.0,3.885,0.047,0.0,0.0,0.2,0.191,0.176,10.061,0.602,0.597,0.628,0.623,10.0,4.0,6.0,20.0,0.0,0.0,0.0,12.0,1.0,1.0,0.275,0.123,0.205,0.0,0.0,0.0,20.27,14.0,14.173,0.163,0.0,0.0,0.765,0.795,0.789,2.003,1.143,49.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0
8478507,2019,John Marino,2019020071,PIT,MIN,AWAY,20191012,D,all,990.0,24.0,-0.4,0.7547,0.5328,0.3889,0.5,0.5,0.5147,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,5.0,7.0,12.0,4.0,3.0,1.0,16.0,0.0,0.0,2610.0,0.0,0.0,0.0,0.0,5.257,0.809,0.648,0.821,0.661,5.0,2.0,0.0,7.0,1.0,0.0,0.0,6.0,0.0,1.0,0.11,0.0,0.698,0.0,0.0,1.0,7.959,7.0,7.744,0.048,0.0,0.0,0.857,0.875,0.714,4.811,0.263,0.259,0.248,0.245,5.0,2.0,4.0,11.0,1.0,0.0,0.0,6.0,1.0,0.0,0.121,0.142,0.0,1.0,0.0,0.0,9.902,7.0,6.503,0.057,0.0,0.0,0.321,0.302,0.298,3.33,2.92,45.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0
8478507,2019,John Marino,2019020075,PIT,WPG,AWAY,20191013,D,all,1094.0,24.0,-1.0,0.2432,0.6592,0.1875,0.6081,0.1818,0.58,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,2.0,5.0,5.0,12.0,2.0,5.0,2.0,15.0,0.0,0.0,2506.0,2.0,0.0,0.0,2.0,3.167,0.269,0.269,0.276,0.276,4.0,0.0,2.0,6.0,0.0,0.0,0.0,3.0,1.0,0.0,0.093,0.176,0.0,0.0,0.0,0.0,6.218,4.0,4.146,0.055,0.0,0.0,0.324,0.332,0.332,11.492,0.837,0.818,0.811,0.793,11.0,7.0,8.0,26.0,1.0,1.0,0.0,15.0,3.0,0.0,0.39,0.446,0.0,1.0,0.0,0.0,24.304,18.0,16.93,0.165,0.186,0.186,0.815,0.782,0.774,2.706,1.399,45.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0
8478507,2019,John Marino,2019020092,PIT,COL,HOME,20191016,D,all,1064.0,20.0,0.1,0.5756,0.5888,0.4242,0.5476,0.4545,0.5692,6.0,1.511,0.046,0.077,0.594,0.06,0.736,0.488,0.045,0.045,0.044,0.0,0.0,2.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,1.0,2.0,0.0,0.0,0.046,0.0,0.0,0.0,0.0,0.0,3.881,2.0,2.01,1.0,0.015,0.0,0.023,0.038,0.038,0.038,20.0,1.0,2.0,4.0,13.0,4.0,4.0,2.0,10.0,0.0,0.0,2773.0,0.0,0.0,0.0,2.0,7.591,0.518,0.515,0.503,0.5,6.0,4.0,4.0,14.0,1.0,1.0,0.0,7.0,3.0,0.0,0.171,0.347,0.0,0.0,1.0,0.0,13.613,10.0,9.833,0.109,0.023,0.023,0.605,0.587,0.584,7.877,0.382,0.38,0.4,0.398,9.0,3.0,7.0,19.0,0.0,0.0,0.0,11.0,1.0,0.0,0.294,0.088,0.0,0.0,0.0,0.0,19.44,12.0,12.443,0.099,0.0,0.0,0.481,0.504,0.501,2.268,1.584,46.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0
8478507,2019,John Marino,2019020108,PIT,DAL,HOME,20191018,D,all,1042.0,25.0,-0.525,0.6056,0.6371,0.36,0.6125,0.3889,0.6462,5.0,1.278,0.03,0.082,0.349,0.037,0.914,0.587,0.03,0.029,0.029,0.0,0.0,1.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,0.0,3.0,0.0,2.0,2.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,2.966,2.0,1.942,2.0,0.016,0.0,0.0,0.046,0.044,0.044,25.0,2.0,7.0,4.0,12.0,2.0,2.0,5.0,16.0,0.0,0.0,2558.0,0.0,0.0,0.0,0.0,4.815,0.499,0.478,0.466,0.448,4.0,3.0,2.0,9.0,0.0,1.0,0.0,3.0,4.0,0.0,0.038,0.461,0.0,0.0,0.0,0.0,8.676,7.0,6.689,0.082,0.161,0.161,0.421,0.396,0.393,8.197,0.325,0.322,0.346,0.343,9.0,2.0,5.0,16.0,2.0,0.0,0.0,10.0,1.0,0.0,0.164,0.161,0.0,1.0,1.0,0.0,16.387,11.0,11.16,0.079,0.0,0.0,0.404,0.427,0.424,2.533,1.443,49.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0
8478507,2019,John Marino,2019020118,PIT,VGK,HOME,20191019,D,all,1074.0,25.0,0.825,0.5089,0.4403,0.7308,0.5493,0.5882,0.537,5.0,1.587,0.115,0.09,0.75,0.058,0.586,0.402,0.115,0.106,0.106,0.0,0.0,1.0,1.0,3.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,0.032,0.083,0.0,0.0,0.0,0.0,4.575,2.0,1.833,0.0,0.02,0.0,0.0,0.135,0.124,0.124,25.0,5.0,1.0,2.0,17.0,3.0,6.0,2.0,14.0,0.0,0.0,2526.0,0.0,2.0,1.0,0.0,7.194,0.373,0.371,0.349,0.348,6.0,4.0,9.0,19.0,0.0,0.0,0.0,9.0,1.0,0.0,0.29,0.083,0.0,0.0,0.0,0.0,17.66,10.0,9.438,0.084,0.0,0.0,0.457,0.428,0.426,4.613,0.36,0.36,0.389,0.389,4.0,3.0,0.0,7.0,0.0,0.0,0.0,6.0,1.0,0.0,0.245,0.115,0.0,0.0,0.0,0.0,7.579,7.0,7.563,0.06,0.0,0.0,0.42,0.455,0.455,1.785,2.269,39.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0
8478507,2019,John Marino,2019020135,PIT,FLA,AWAY,20191022,D,all,1336.0,24.0,-0.325,0.1885,0.4649,0.5,0.5246,0.5,0.5106,2.0,0.753,0.039,0.035,0.174,0.025,0.389,0.337,0.039,0.041,0.041,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,0.0,0.0,0.039,0.0,0.0,0.0,0.0,0.0,2.007,1.0,1.03,2.0,0.007,0.0,0.0,0.046,0.049,0.049,24.0,3.0,2.0,5.0,14.0,1.0,2.0,3.0,18.0,0.0,0.0,2264.0,0.0,0.0,0.0,2.0,7.938,0.222,0.222,0.227,0.227,9.0,2.0,3.0,14.0,0.0,0.0,0.0,11.0,0.0,0.0,0.222,0.0,0.0,0.0,0.0,0.0,14.035,11.0,10.964,0.066,0.0,0.0,0.288,0.295,0.295,7.347,0.956,0.95,0.939,0.933,8.0,3.0,3.0,14.0,3.0,0.0,0.0,6.0,4.0,1.0,0.18,0.565,0.211,1.0,2.0,0.0,14.02,11.0,11.099,0.109,0.0,0.0,1.065,1.046,1.038,1.356,1.561,32.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0
8478507,2019,John Marino,2019020144,PIT,T.B,AWAY,20191023,D,all,1016.0,22.0,0.875,0.5985,0.5746,0.6,0.382,0.5862,0.3699,5.0,1.24,0.028,0.079,0.375,0.043,0.872,0.603,0.027,0.03,0.028,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,0.0,0.028,0.0,0.0,0.0,0.0,0.0,2.064,2.0,2.061,0.0,0.016,0.0,0.0,0.044,0.047,0.044,22.0,1.0,2.0,5.0,14.0,2.0,1.0,2.0,17.0,0.0,0.0,2584.0,0.0,0.0,0.0,1.0,12.5,0.96,0.948,1.008,0.997,12.0,5.0,4.0,21.0,2.0,0.0,0.0,12.0,5.0,0.0,0.375,0.584,0.0,1.0,1.0,0.0,21.739,17.0,17.526,0.174,0.0,0.0,1.134,1.191,1.176,7.897,0.644,0.633,0.621,0.611,10.0,2.0,2.0,14.0,0.0,0.0,0.0,9.0,3.0,0.0,0.365,0.279,0.0,0.0,0.0,0.0,13.617,12.0,11.644,0.112,0.0,0.0,0.756,0.729,0.716,3.46,2.562,34.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0
8478507,2019,John Marino,2019020166,PIT,DAL,AWAY,20191026,D,all,1100.0,25.0,1.65,0.8838,0.5728,0.619,0.4384,0.64,0.4902,4.0,2.139,0.047,0.092,0.512,0.059,1.201,1.09,0.043,0.049,0.045,1.0,0.0,2.0,1.0,4.0,7.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.047,0.0,0.0,0.0,0.0,0.0,7.295,3.0,3.091,0.0,0.018,0.0,0.0,0.064,0.068,0.061,25.0,3.0,5.0,2.0,15.0,6.0,3.0,3.0,13.0,0.0,0.0,2500.0,0.0,0.0,0.0,0.0,12.158,2.327,2.32,2.413,2.405,12.0,4.0,10.0,26.0,2.0,1.0,0.0,10.0,2.0,4.0,0.177,0.217,1.933,0.0,0.0,2.0,27.083,16.0,16.542,0.135,0.336,0.336,2.127,2.204,2.198,6.375,0.306,0.306,0.297,0.296,6.0,3.0,7.0,16.0,0.0,0.0,0.0,8.0,1.0,0.0,0.19,0.117,0.0,0.0,0.0,0.0,15.67,9.0,8.827,0.088,0.0,0.0,0.395,0.383,0.382,2.042,1.523,32.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0
