gameId,teamAbbrev,homeRoadFlag,gameDate,goals,assists,commonName,opponentCommonName,points,plusMinus,powerPlayGoals,powerPlayPoints,gameWinningGoals,otGoals,shots,shifts,shorthandedGoals,shorthandedPoints,pim,toi,opponentAbbrev,season
2025021178,BOS,H,2026-03-31,0,1,{'default': 'Bruins'},{'default': 'Stars'},1,1,0,1,0,0,0,24,0,0,0,18:22,DAL,2025
2025021170,BOS,R,2026-03-29,0,0,{'default': 'Bruins'},{'default': 'Blue Jackets'},0,1,0,0,0,0,0,23,0,0,0,17:49,CBJ,2025
2025021155,BOS,H,2026-03-28,0,0,{'default': 'Bruins'},{'default': 'Wild'},0,1,0,0,0,0,0,19,0,0,0,14:46,MIN,2025
2025021135,BOS,R,2026-03-25,0,1,{'default': 'Bruins'},{'default': 'Sabres'},1,1,0,0,0,0,2,18,0,0,0,17:41,BUF,2025
2025021120,BOS,H,2026-03-24,0,0,{'default': 'Bruins'},{'default': 'Maple Leafs'},0,0,0,0,0,0,1,19,0,0,0,14:58,TOR,2025
2025021108,BOS,R,2026-03-21,0,0,{'default': 'Bruins'},{'default': 'Red Wings'},0,0,0,0,0,0,1,19,0,0,2,17:24,DET,2025
2025021083,BOS,H,2026-03-19,1,0,{'default': 'Bruins'},{'default': 'Jets'},1,4,0,0,0,0,1,24,0,0,0,17:17,WPG,2025
2025021069,BOS,R,2026-03-17,0,0,{'default': 'Bruins'},{'default': 'Canadiens'},0,0,0,0,0,0,2,19,0,0,0,16:21,MTL,2025
2025021064,BOS,R,2026-03-16,0,0,{'default': 'Bruins'},{'default': 'Devils'},0,-1,0,0,0,0,1,24,0,0,2,16:15,NJD,2025
2025021044,BOS,R,2026-03-14,0,0,{'default': 'Bruins'},{'default': 'Capitals'},0,1,0,0,0,0,0,23,0,0,0,18:52,WSH,2025
2025021027,BOS,H,2026-03-12,0,0,{'default': 'Bruins'},{'default': 'Sharks'},0,0,0,0,0,0,2,21,0,0,0,15:27,SJS,2025
2025021012,BOS,H,2026-03-10,0,0,{'default': 'Bruins'},{'default': 'Kings'},0,0,0,0,0,0,2,21,0,0,0,17:46,LAK,2025
2025021002,BOS,R,2026-03-08,0,2,{'default': 'Bruins'},{'default': 'Penguins'},2,-1,0,0,0,0,1,18,0,0,2,14:25,PIT,2025
2025020990,BOS,H,2026-03-07,0,0,{'default': 'Bruins'},{'default': 'Capitals'},0,0,0,0,0,0,0,20,0,0,0,13:52,WSH,2025
2025020959,BOS,H,2026-03-03,0,0,{'default': 'Bruins'},{'default': 'Penguins'},0,0,0,0,0,0,2,18,0,0,2,15:42,PIT,2025
2025020935,BOS,R,2026-02-28,0,0,{'default': 'Bruins'},{'default': 'Flyers'},0,0,0,0,0,0,0,21,0,0,0,17:34,PHI,2025
2025020918,BOS,H,2026-02-26,0,1,{'default': 'Bruins'},{'default': 'Blue Jackets'},1,1,0,0,0,0,0,22,0,0,0,21:11,CBJ,2025
2025020893,BOS,R,2026-02-04,0,0,{'default': 'Bruins'},{'default': 'Panthers'},0,-1,0,0,0,0,0,17,0,0,2,13:50,FLA,2025
2025020873,BOS,R,2026-02-01,0,1,{'default': 'Bruins'},{'default': 'Lightning'},1,2,0,0,0,0,0,23,0,0,0,17:09,TBL,2025
2025020843,BOS,H,2026-01-29,0,2,{'default': 'Bruins'},{'default': 'Flyers'},2,1,0,0,0,0,0,24,0,0,0,17:26,PHI,2025
2025020830,BOS,H,2026-01-27,0,1,{'default': 'Bruins'},{'default': 'Predators'},1,1,0,0,0,0,2,19,0,0,0,16:35,NSH,2025
2025020826,BOS,R,2026-01-26,0,0,{'default': 'Bruins'},{'default': 'Rangers'},0,0,0,0,0,0,0,28,0,0,0,20:36,NYR,2025
