gameId,teamAbbrev,homeRoadFlag,gameDate,goals,assists,commonName,opponentCommonName,points,plusMinus,powerPlayGoals,powerPlayPoints,gameWinningGoals,otGoals,shots,shifts,shorthandedGoals,shorthandedPoints,opponentAbbrev,toi,pim,season
2025020900,CGY,H,2026-02-04,1,0,{'default': 'Flames'},{'default': 'Oilers'},1,0,1,1,0,0,3,22,0,0,EDM,15:39,0,2025
2025020885,CGY,H,2026-02-02,0,0,{'default': 'Flames'},{'default': 'Maple Leafs'},0,-2,0,0,0,0,0,18,0,0,TOR,14:26,0,2025
2025020863,CGY,H,2026-01-31,0,1,{'default': 'Flames'},{'default': 'Sharks'},1,0,0,1,0,0,0,26,0,0,SJS,18:49,0,2025
2025020853,CGY,R,2026-01-29,0,1,{'default': 'Flames'},{'default': 'Wild'},1,1,0,0,0,0,4,23,0,0,MIN,16:48,0,2025
2025020824,CGY,H,2026-01-25,1,0,{'default': 'Flames'},{'default': 'Ducks'},1,-1,0,0,0,0,5,21,0,0,ANA,15:18,0,2025
2025020806,CGY,H,2026-01-23,0,0,{'default': 'Flames'},{'default': 'Capitals'},0,-2,0,0,0,0,3,26,0,0,WSH,16:41,0,2025
2025020777,CGY,H,2026-01-19,0,0,{'default': 'Flames'},{'default': 'Devils'},0,0,0,0,0,0,2,21,0,0,NJD,17:02,0,2025
2025020756,CGY,H,2026-01-17,0,0,{'default': 'Flames'},{'default': 'Islanders'},0,1,0,0,0,0,0,19,0,0,NYI,15:17,2,2025
2025020745,CGY,R,2026-01-15,0,0,{'default': 'Flames'},{'default': 'Blackhawks'},0,0,0,0,0,0,1,23,0,0,CHI,15:26,0,2025
2025020728,CGY,R,2026-01-13,0,0,{'default': 'Flames'},{'default': 'Blue Jackets'},0,0,0,0,0,0,0,24,0,0,CBJ,17:02,0,2025
2025020698,CGY,R,2026-01-10,0,0,{'default': 'Flames'},{'default': 'Penguins'},0,0,0,0,0,0,2,23,0,0,PIT,19:31,4,2025
2025020682,CGY,R,2026-01-08,0,0,{'default': 'Flames'},{'default': 'Bruins'},0,-1,0,0,0,0,0,24,0,0,BOS,18:37,0,2025
2025020678,CGY,R,2026-01-07,0,0,{'default': 'Flames'},{'default': 'Canadiens'},0,-1,0,0,0,0,4,27,0,0,MTL,18:30,0,2025
2025020665,CGY,H,2026-01-05,0,0,{'default': 'Flames'},{'default': 'Kraken'},0,-2,0,0,0,0,4,21,0,0,SEA,16:38,0,2025
2025020654,CGY,H,2026-01-03,0,1,{'default': 'Flames'},{'default': 'Predators'},1,-1,0,0,0,0,1,25,0,0,NSH,18:30,0,2025
2025020630,CGY,H,2025-12-31,1,0,{'default': 'Flames'},{'default': 'Flyers'},1,1,0,0,1,0,1,21,0,0,PHI,16:05,0,2025
2025020613,CGY,H,2025-12-29,0,0,{'default': 'Flames'},{'default': 'Bruins'},0,0,0,0,0,0,1,24,0,0,BOS,19:48,2,2025
2025020598,CGY,H,2025-12-27,0,0,{'default': 'Flames'},{'default': 'Oilers'},0,-1,0,0,0,0,1,23,0,0,EDM,17:39,0,2025
2025020585,CGY,R,2025-12-23,0,0,{'default': 'Flames'},{'default': 'Oilers'},0,0,0,0,0,0,1,24,0,0,EDM,19:06,0,2025
2025020559,CGY,H,2025-12-20,1,0,{'default': 'Flames'},{'default': 'Golden Knights'},1,0,0,0,0,0,2,23,0,0,VGK,15:00,0,2025
2025020542,CGY,H,2025-12-18,0,1,{'default': 'Flames'},{'default': 'Kraken'},1,1,0,0,0,0,2,27,0,0,SEA,19:13,2,2025
2025020527,CGY,R,2025-12-16,0,1,{'default': 'Flames'},{'default': 'Sharks'},1,-1,0,0,0,0,2,22,0,0,SJS,17:04,0,2025
2025020507,CGY,R,2025-12-13,0,1,{'default': 'Flames'},{'default': 'Kings'},1,0,0,0,0,0,1,27,0,0,LAK,19:47,2,2025
2025020477,CGY,H,2025-12-10,0,0,{'default': 'Flames'},{'default': 'Red Wings'},0,0,0,0,0,0,1,27,0,0,DET,20:33,0,2025
2025020463,CGY,H,2025-12-08,1,0,{'default': 'Flames'},{'default': 'Sabres'},1,0,1,1,0,0,2,20,0,0,BUF,19:25,2,2025
2025020448,CGY,H,2025-12-06,0,0,{'default': 'Flames'},{'default': 'Mammoth'},0,0,0,0,0,0,0,25,0,0,UTA,19:25,2,2025
2025020433,CGY,H,2025-12-04,1,0,{'default': 'Flames'},{'default': 'Wild'},1,3,0,0,0,0,3,25,0,0,MIN,17:32,0,2025
2025020416,CGY,R,2025-12-02,0,1,{'default': 'Flames'},{'default': 'Predators'},1,0,0,1,0,0,2,24,0,0,NSH,17:01,0,2025
2025020404,CGY,R,2025-11-30,0,0,{'default': 'Flames'},{'default': 'Hurricanes'},0,0,0,0,0,0,1,20,0,0,CAR,17:05,0,2025
2025020380,CGY,R,2025-11-28,0,0,{'default': 'Flames'},{'default': 'Panthers'},0,-1,0,0,0,0,0,21,0,0,FLA,15:27,0,2025
2025020362,CGY,R,2025-11-26,0,0,{'default': 'Flames'},{'default': 'Lightning'},0,-2,0,0,0,0,2,20,0,0,TBL,19:15,2,2025
2025020352,CGY,R,2025-11-23,0,0,{'default': 'Flames'},{'default': 'Canucks'},0,0,0,0,0,0,0,26,0,0,VAN,19:11,2,2025
2025020345,CGY,H,2025-11-22,0,1,{'default': 'Flames'},{'default': 'Stars'},1,-1,0,1,0,0,1,19,0,0,DAL,13:25,17,2025
2025020316,CGY,R,2025-11-19,0,2,{'default': 'Flames'},{'default': 'Sabres'},2,1,0,0,0,0,1,22,0,0,BUF,14:55,0,2025
2025020312,CGY,R,2025-11-18,0,0,{'default': 'Flames'},{'default': 'Blackhawks'},0,-2,0,0,0,0,0,27,0,0,CHI,21:33,0,2025
2025020294,CGY,H,2025-11-15,0,1,{'default': 'Flames'},{'default': 'Jets'},1,0,0,1,0,0,2,25,0,0,WPG,22:36,0,2025
2025020276,CGY,H,2025-11-13,0,0,{'default': 'Flames'},{'default': 'Sharks'},0,0,0,0,0,0,0,22,0,0,SJS,18:53,0,2025
2025020260,CGY,R,2025-11-11,0,0,{'default': 'Flames'},{'default': 'Blues'},0,1,0,0,0,0,4,24,0,0,STL,20:13,0,2025
2025020249,CGY,R,2025-11-09,0,0,{'default': 'Flames'},{'default': 'Wild'},0,-1,0,0,0,0,3,22,0,0,MIN,18:07,0,2025
2025020229,CGY,H,2025-11-07,0,0,{'default': 'Flames'},{'default': 'Blackhawks'},0,-1,0,0,0,0,4,22,0,0,CHI,19:52,0,2025
2025020215,CGY,H,2025-11-05,0,1,{'default': 'Flames'},{'default': 'Blue Jackets'},1,1,0,0,0,0,2,23,0,0,CBJ,18:05,0,2025
2025020196,CGY,R,2025-11-02,2,0,{'default': 'Flames'},{'default': 'Flyers'},2,2,0,0,1,0,2,23,0,0,PHI,18:27,0,2025
2025020183,CGY,R,2025-11-01,1,0,{'default': 'Flames'},{'default': 'Predators'},1,-1,0,0,0,0,2,24,0,0,NSH,17:45,0,2025
2025020168,CGY,R,2025-10-30,0,1,{'default': 'Flames'},"{'default': 'Senators', 'fr': 'Sénateurs'}",1,0,0,0,0,0,1,27,0,0,OTT,20:06,0,2025
2025020151,CGY,R,2025-10-28,0,1,{'default': 'Flames'},{'default': 'Maple Leafs'},1,0,0,0,0,0,3,26,0,0,TOR,21:15,2,2025
2025020146,CGY,H,2025-10-26,0,1,{'default': 'Flames'},{'default': 'Rangers'},1,2,0,0,0,0,0,23,0,0,NYR,18:59,0,2025
2025020126,CGY,R,2025-10-24,0,0,{'default': 'Flames'},{'default': 'Jets'},0,-1,0,0,0,0,2,24,0,0,WPG,19:29,2,2025
2025020110,CGY,H,2025-10-22,0,0,{'default': 'Flames'},{'default': 'Canadiens'},0,0,0,0,0,0,0,28,0,0,MTL,20:55,0,2025
2025020096,CGY,H,2025-10-20,0,0,{'default': 'Flames'},{'default': 'Jets'},0,0,0,0,0,0,2,25,0,0,WPG,20:21,0,2025
2025020087,CGY,R,2025-10-18,1,0,{'default': 'Flames'},{'default': 'Golden Knights'},1,-1,1,1,0,0,3,23,0,0,VGK,18:48,0,2025
2024021299,CGY,H,2025-04-15,0,1,{'default': 'Flames'},{'default': 'Golden Knights'},1,-1,0,1,0,0,1,31,0,0,VGK,21:53,0,2024
2024021283,CGY,H,2025-04-13,0,2,{'default': 'Flames'},{'default': 'Sharks'},2,2,0,0,0,0,1,27,0,0,SJS,18:57,0,2024
2024021264,CGY,H,2025-04-11,0,0,{'default': 'Flames'},{'default': 'Wild'},0,-1,0,0,0,0,1,25,0,0,MIN,18:18,0,2024
2024021249,CGY,R,2025-04-09,0,0,{'default': 'Flames'},{'default': 'Ducks'},0,-1,0,0,0,0,1,27,0,0,ANA,23:17,0,2024
2024021234,CGY,R,2025-04-07,1,0,{'default': 'Flames'},{'default': 'Sharks'},1,1,1,1,0,0,2,24,0,0,SJS,19:03,0,2024
2024021220,CGY,H,2025-04-05,0,0,{'default': 'Flames'},{'default': 'Golden Knights'},0,-1,0,0,0,0,2,28,0,0,VGK,22:07,0,2024
2024021203,CGY,H,2025-04-03,0,0,{'default': 'Flames'},{'default': 'Ducks'},0,-1,0,0,0,0,2,23,0,0,ANA,17:58,0,2024
2024021188,CGY,R,2025-04-01,0,0,{'default': 'Flames'},"{'default': 'Utah Hockey Club', 'fr': ""Club de hockey de l'Utah""}",0,-2,0,0,0,0,1,28,0,0,UTA,21:09,0,2024
2024021180,CGY,R,2025-03-31,0,0,{'default': 'Flames'},{'default': 'Avalanche'},0,0,0,0,0,0,2,30,0,0,COL,22:51,0,2024
2024021167,CGY,R,2025-03-29,0,0,{'default': 'Flames'},{'default': 'Oilers'},0,-2,0,0,0,0,1,29,0,0,EDM,20:39,0,2024
2024021150,CGY,H,2025-03-27,0,1,{'default': 'Flames'},{'default': 'Stars'},1,-2,0,1,0,0,3,23,0,0,DAL,19:48,0,2024
