playerId,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts
8477380,2016,Jonny Brodzinski,2016021116,L.A,NYR,HOME,20170325,C,all,667.0,15.0,0.725,0.3391,0.5296,0.6875,0.6211,0.7273,0.6111,10.0,2.194,0.119,0.137,0.487,0.071,1.274,0.913,0.117,0.112,0.111,0.0,0.0,3.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.119,0.0,0.0,0.0,0.0,0.0,3.825,3.0,2.859,0.0,0.028,0.0,0.0,0.147,0.139,0.137,15.0,2.0,1.0,0.0,12.0,1.0,1.0,3.0,10.0,0.0,0.0,2933.0,0.0,0.0,0.0,2.0,5.861,0.411,0.41,0.387,0.386,4.0,4.0,3.0,11.0,0.0,1.0,0.0,7.0,1.0,0.0,0.287,0.124,0.0,0.0,0.0,0.0,10.395,8.0,7.55,0.073,0.087,0.0,0.484,0.456,0.455,2.052,0.801,0.801,0.825,0.825,2.0,1.0,2.0,5.0,1.0,0.0,0.0,0.0,2.0,1.0,0.0,0.342,0.459,0.0,0.0,1.0,5.289,3.0,3.131,0.03,0.0,0.0,0.831,0.857,0.857,2.909,2.584,59.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0
8477380,2016,Jonny Brodzinski,2016021134,L.A,EDM,AWAY,20170328,C,all,833.0,20.0,0.425,0.5356,0.4606,0.6207,0.4819,0.619,0.5,9.0,3.65,0.211,0.206,0.943,0.127,2.287,1.226,0.211,0.213,0.213,0.0,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,1.0,5.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,4.0,1.0,0.0,0.093,0.117,0.0,0.0,0.0,0.0,5.039,5.0,5.025,1.0,0.055,0.0,0.0,0.266,0.269,0.269,20.0,3.0,3.0,1.0,13.0,3.0,5.0,2.0,10.0,0.0,0.0,2767.0,0.0,0.0,0.0,0.0,9.374,0.729,0.682,0.742,0.694,12.0,1.0,5.0,18.0,0.0,1.0,0.0,10.0,3.0,0.0,0.247,0.482,0.0,0.0,0.0,0.0,18.042,13.0,13.045,0.16,0.186,0.186,0.703,0.718,0.697,5.849,0.632,0.625,0.624,0.617,6.0,2.0,3.0,11.0,0.0,0.0,0.0,5.0,3.0,0.0,0.182,0.45,0.0,0.0,0.0,0.0,11.062,8.0,8.106,0.078,0.0,0.0,0.711,0.701,0.693,1.788,2.094,40.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0
8477380,2016,Jonny Brodzinski,2016021155,L.A,VAN,AWAY,20170331,C,all,871.0,17.0,0.25,0.6234,0.5173,0.5333,0.4,0.5833,0.3846,7.0,2.2,0.097,0.119,0.592,0.068,1.222,0.903,0.097,0.108,0.108,0.0,0.0,2.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.097,0.0,0.0,0.0,0.0,0.0,5.648,3.0,3.322,0.0,0.023,0.0,0.0,0.12,0.133,0.133,17.0,1.0,4.0,1.0,11.0,3.0,2.0,0.0,12.0,0.0,0.0,2729.0,0.0,0.0,0.0,0.0,9.726,0.649,0.644,0.707,0.702,9.0,5.0,2.0,16.0,0.0,0.0,0.0,13.0,0.0,1.0,0.441,0.0,0.208,0.0,0.0,0.0,17.488,14.0,15.119,0.118,0.0,0.0,0.767,0.835,0.829,7.09,0.392,0.39,0.359,0.357,7.0,3.0,4.0,14.0,0.0,0.0,0.0,9.0,1.0,0.0,0.214,0.178,0.0,0.0,0.0,0.0,12.788,10.0,9.123,0.087,0.0,0.0,0.479,0.439,0.436,2.306,2.152,30.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0
8477380,2016,Jonny Brodzinski,2016021190,L.A,EDM,HOME,20170404,C,all,711.0,16.0,2.575,0.997,0.521,0.88,0.3951,0.9474,0.4,11.0,3.427,0.528,0.359,0.708,0.14,2.105,1.161,0.417,0.497,0.391,1.0,1.0,1.0,4.0,2.0,7.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,1.0,5.0,0.0,0.0,0.0,2.0,1.0,0.0,3.0,1.0,1.0,0.169,0.124,0.234,0.0,0.0,0.0,6.764,5.0,4.72,0.0,0.084,0.344,0.234,0.377,0.36,0.281,16.0,5.0,2.0,2.0,7.0,2.0,1.0,4.0,9.0,0.0,0.0,2889.0,0.0,0.0,0.0,1.0,13.568,2.347,2.108,2.236,2.007,11.0,7.0,4.0,22.0,3.0,5.0,1.0,8.0,5.0,5.0,0.34,0.587,1.42,0.0,2.0,1.0,20.891,18.0,17.112,0.267,1.255,1.255,1.359,1.277,1.154,0.656,0.007,0.007,0.007,0.007,0.0,1.0,2.0,3.0,0.0,0.0,0.0,1.0,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.0,2.982,1.0,0.964,0.008,0.0,0.0,0.015,0.015,0.015,2.907,2.673,32.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0
8477380,2016,Jonny Brodzinski,2016021204,L.A,CGY,HOME,20170406,C,all,737.0,16.0,0.625,0.5306,0.5066,0.6364,0.4943,0.6316,0.5667,11.0,4.943,0.493,0.416,1.04,0.143,2.344,1.563,0.477,0.453,0.437,0.0,0.0,5.0,1.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,5.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,1.0,1.0,0.124,0.129,0.24,0.0,0.0,0.0,6.07,6.0,5.363,0.0,0.088,0.0,0.24,0.341,0.303,0.301,16.0,2.0,2.0,2.0,10.0,3.0,0.0,2.0,11.0,0.0,0.0,2863.0,0.0,0.0,0.0,0.0,9.256,0.797,0.78,0.744,0.727,9.0,3.0,2.0,14.0,0.0,2.0,0.0,9.0,2.0,1.0,0.296,0.262,0.24,0.0,0.0,0.0,12.682,12.0,11.126,0.146,0.278,0.278,0.665,0.614,0.612,5.18,0.705,0.704,0.79,0.789,6.0,1.0,1.0,8.0,0.0,1.0,0.0,4.0,2.0,1.0,0.09,0.294,0.32,0.0,0.0,0.0,9.177,7.0,7.79,0.076,0.155,0.155,0.625,0.696,0.696,2.551,2.485,43.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0
8477380,2016,Jonny Brodzinski,2016021220,L.A,CHI,HOME,20170408,C,all,604.0,14.0,-0.125,0.1658,0.7062,0.3077,0.549,0.2727,0.527,10.0,0.706,0.067,0.053,0.14,0.02,0.422,0.298,0.067,0.064,0.064,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,3.0,1.0,0.0,1.0,0.0,0.0,0.067,0.0,0.0,0.0,0.0,0.0,1.885,1.0,0.971,0.0,0.011,0.0,0.0,0.077,0.074,0.074,14.0,1.0,1.0,3.0,9.0,4.0,3.0,0.0,7.0,0.0,0.0,3023.0,2.0,2.0,1.0,1.0,2.015,0.099,0.099,0.094,0.094,2.0,1.0,1.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.099,0.0,0.0,0.0,0.0,0.0,3.77,3.0,2.859,0.026,0.0,0.0,0.125,0.118,0.118,6.0,0.498,0.438,0.525,0.462,6.0,2.0,1.0,9.0,0.0,2.0,0.0,5.0,3.0,0.0,0.06,0.438,0.0,0.0,0.0,0.0,9.643,8.0,8.524,0.073,0.31,0.31,0.261,0.277,0.271,2.764,1.15,56.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0
8477380,2017,Jonny Brodzinski,2017020012,L.A,PHI,HOME,20171005,C,all,479.0,11.0,-0.35,0.2888,0.6567,0.2308,0.5,0.25,0.4819,12.0,0.761,0.042,0.072,0.114,0.017,0.395,0.36,0.039,0.04,0.038,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.042,0.0,0.0,0.0,0.0,0.0,0.97,1.0,0.971,0.0,0.014,0.0,0.0,0.056,0.053,0.05,11.0,2.0,0.0,5.0,4.0,2.0,4.0,0.0,5.0,0.0,0.0,3121.0,0.0,0.0,0.0,0.0,2.42,0.225,0.222,0.215,0.212,2.0,1.0,0.0,3.0,0.0,0.0,0.0,2.0,1.0,0.0,0.101,0.123,0.0,0.0,0.0,0.0,2.91,3.0,2.914,0.041,0.0,0.0,0.266,0.254,0.251,6.642,0.554,0.523,0.569,0.538,7.0,2.0,1.0,10.0,0.0,1.0,0.0,5.0,4.0,0.0,0.203,0.351,0.0,0.0,0.0,0.0,10.035,9.0,9.01,0.095,0.092,0.092,0.557,0.575,0.541,3.265,1.707,53.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0
8477380,2017,Jonny Brodzinski,2017020075,L.A,BUF,HOME,20171014,C,all,550.0,15.0,-0.11,0.1308,0.7099,0.4444,0.5824,0.4167,0.5857,11.0,0.736,0.038,0.064,0.108,0.014,0.439,0.338,0.038,0.036,0.036,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.038,0.0,0.0,0.0,0.0,0.0,0.97,1.0,0.971,1.0,0.013,0.0,0.0,0.051,0.048,0.048,15.0,3.0,2.0,1.0,9.0,3.0,3.0,0.0,9.0,0.0,1.0,3050.0,0.0,0.0,0.0,0.0,3.067,0.082,0.081,0.078,0.078,2.0,3.0,3.0,8.0,0.0,0.0,0.0,5.0,0.0,0.0,0.082,0.0,0.0,0.0,0.0,0.0,7.705,5.0,4.856,0.037,0.0,0.0,0.118,0.113,0.113,5.301,0.545,0.545,0.578,0.578,5.0,2.0,3.0,10.0,0.0,0.0,0.0,4.0,2.0,1.0,0.071,0.258,0.216,0.0,0.0,0.0,10.604,7.0,7.353,0.072,0.0,0.0,0.618,0.655,0.655,4.048,1.654,53.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0
8477380,2017,Jonny Brodzinski,2017020079,L.A,NYI,HOME,20171015,C,all,582.0,10.0,-0.45,0.0795,0.4889,0.1538,0.4787,0.1429,0.4706,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,1.0,0.0,2.0,7.0,0.0,2.0,0.0,8.0,0.0,0.0,3018.0,0.0,0.0,0.0,0.0,0.814,0.029,0.029,0.027,0.027,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.029,0.0,0.0,0.0,0.0,0.0,2.044,1.0,0.971,0.006,0.0,0.0,0.035,0.033,0.033,4.466,0.336,0.334,0.337,0.334,4.0,2.0,5.0,11.0,0.0,0.0,0.0,4.0,2.0,0.0,0.07,0.266,0.0,0.0,0.0,0.0,10.722,6.0,5.832,0.063,0.0,0.0,0.399,0.4,0.398,1.871,1.956,45.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0
8477380,2017,Jonny Brodzinski,2017020288,L.A,BOS,HOME,20171116,C,all,419.0,14.0,-0.125,0.2114,0.4449,0.3333,0.5361,0.3636,0.5493,12.0,0.782,0.032,0.031,0.219,0.021,0.333,0.364,0.032,0.029,0.029,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.032,0.0,0.0,0.0,0.0,0.0,0.915,1.0,0.916,0.0,0.006,0.0,0.0,0.038,0.035,0.035,14.0,3.0,1.0,1.0,9.0,5.0,5.0,0.0,4.0,0.0,0.0,3181.0,0.0,0.0,0.0,1.0,2.763,0.156,0.156,0.145,0.144,3.0,1.0,1.0,5.0,0.0,0.0,0.0,3.0,1.0,0.0,0.075,0.081,0.0,0.0,0.0,0.0,4.685,4.0,3.72,0.032,0.0,0.0,0.189,0.175,0.174,5.261,0.582,0.568,0.614,0.6,5.0,2.0,3.0,10.0,0.0,1.0,0.0,4.0,2.0,1.0,0.105,0.234,0.243,0.0,0.0,0.0,10.604,7.0,7.423,0.096,0.097,0.097,0.581,0.614,0.611,2.048,2.555,52.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0
