gameId,teamAbbrev,homeRoadFlag,gameDate,goals,assists,commonName,opponentCommonName,points,plusMinus,powerPlayGoals,powerPlayPoints,gameWinningGoals,otGoals,shots,shifts,shorthandedGoals,shorthandedPoints,opponentAbbrev,toi,pim,season
2025020925,SEA,R,2026-02-26,0,0,{'default': 'Kraken'},{'default': 'Blues'},0,-2,0,0,0,0,0,22,0,0,STL,19:02,0,2025
2025020913,SEA,R,2026-02-25,0,0,{'default': 'Kraken'},{'default': 'Stars'},0,-1,0,0,0,0,3,22,0,0,DAL,17:58,0,2025
2025020902,SEA,R,2026-02-04,0,0,{'default': 'Kraken'},{'default': 'Kings'},0,0,0,0,0,0,1,24,0,0,LAK,18:23,2,2025
2025020892,SEA,R,2026-02-03,1,0,{'default': 'Kraken'},{'default': 'Ducks'},1,-1,0,0,0,0,2,20,0,0,ANA,15:42,0,2025
2025020872,SEA,R,2026-01-31,0,0,{'default': 'Kraken'},{'default': 'Golden Knights'},0,0,0,0,0,0,3,24,0,0,VGK,18:28,0,2025
2025020857,SEA,H,2026-01-29,0,1,{'default': 'Kraken'},{'default': 'Maple Leafs'},1,1,0,0,0,0,0,22,0,0,TOR,14:48,0,2025
2025020839,SEA,H,2026-01-27,1,1,{'default': 'Kraken'},{'default': 'Capitals'},2,3,0,1,0,0,3,18,0,0,WSH,15:07,0,2025
2025020820,SEA,H,2026-01-25,1,1,{'default': 'Kraken'},{'default': 'Devils'},2,2,0,0,0,0,3,23,0,0,NJD,17:45,0,2025
2025020809,SEA,H,2026-01-23,0,1,{'default': 'Kraken'},{'default': 'Ducks'},1,-1,0,0,0,0,1,22,0,0,ANA,19:05,0,2025
2025020793,SEA,H,2026-01-21,0,0,{'default': 'Kraken'},{'default': 'Islanders'},0,1,0,0,0,0,2,21,0,0,NYI,17:55,0,2025
2025020772,SEA,H,2026-01-19,0,0,{'default': 'Kraken'},{'default': 'Penguins'},0,-3,0,0,0,0,1,20,0,0,PIT,20:03,0,2025
2025020757,SEA,R,2026-01-17,1,0,{'default': 'Kraken'},{'default': 'Mammoth'},1,-1,0,0,0,0,1,21,0,0,UTA,15:03,2,2025
2025020739,SEA,R,2026-01-15,0,0,{'default': 'Kraken'},{'default': 'Bruins'},0,-2,0,0,0,0,1,21,0,0,BOS,19:21,0,2025
2025020735,SEA,R,2026-01-14,0,1,{'default': 'Kraken'},{'default': 'Devils'},1,-1,0,1,0,0,1,25,0,0,NJD,20:30,0,2025
2025020718,SEA,R,2026-01-12,1,0,{'default': 'Kraken'},{'default': 'Rangers'},1,2,0,0,0,0,2,24,0,0,NYR,19:38,0,2025
2025020676,SEA,H,2026-01-06,1,0,{'default': 'Kraken'},{'default': 'Bruins'},1,0,1,1,0,0,2,24,0,0,BOS,16:59,0,2025
2025020665,SEA,R,2026-01-05,0,0,{'default': 'Kraken'},{'default': 'Flames'},0,2,0,0,0,0,2,19,0,0,CGY,14:04,0,2025
2025020642,SEA,R,2026-01-02,0,1,{'default': 'Kraken'},{'default': 'Canucks'},1,-1,0,1,0,0,0,23,0,0,VAN,19:15,0,2025
2025020638,SEA,H,2026-01-01,0,1,{'default': 'Kraken'},{'default': 'Predators'},1,4,0,0,0,0,1,19,0,0,NSH,16:02,0,2025
2025020616,SEA,H,2025-12-29,0,1,{'default': 'Kraken'},{'default': 'Canucks'},1,-1,0,1,0,0,4,27,0,0,VAN,19:57,0,2025
2025020605,SEA,H,2025-12-28,1,0,{'default': 'Kraken'},{'default': 'Flyers'},1,1,0,0,0,0,2,21,0,0,PHI,16:03,0,2025
2025020587,SEA,R,2025-12-23,1,0,{'default': 'Kraken'},{'default': 'Kings'},1,0,1,1,0,0,4,24,0,0,LAK,17:41,2,2025
2025020573,SEA,R,2025-12-22,2,0,{'default': 'Kraken'},{'default': 'Ducks'},2,2,0,0,1,0,2,25,0,0,ANA,18:07,0,2025
2025020561,SEA,R,2025-12-20,0,0,{'default': 'Kraken'},{'default': 'Sharks'},0,1,0,0,0,0,2,21,0,0,SJS,16:31,2,2025
2025020542,SEA,R,2025-12-18,0,0,{'default': 'Kraken'},{'default': 'Flames'},0,-1,0,0,0,0,0,21,0,0,CGY,18:00,0,2025
2025020528,SEA,H,2025-12-16,1,0,{'default': 'Kraken'},{'default': 'Avalanche'},1,-1,0,0,0,0,7,22,0,0,COL,21:25,0,2025
2025020513,SEA,H,2025-12-14,0,1,{'default': 'Kraken'},{'default': 'Sabres'},1,-1,0,1,0,0,2,21,0,0,BUF,18:49,0,2025
2025020494,SEA,R,2025-12-12,0,0,{'default': 'Kraken'},{'default': 'Mammoth'},0,-2,0,0,0,0,1,22,0,0,UTA,19:49,0,2025
2025020479,SEA,H,2025-12-10,0,1,{'default': 'Kraken'},{'default': 'Kings'},1,0,0,1,0,0,1,25,0,0,LAK,18:35,0,2025
