gameId,teamAbbrev,homeRoadFlag,gameDate,goals,assists,commonName,opponentCommonName,points,plusMinus,powerPlayGoals,powerPlayPoints,gameWinningGoals,otGoals,shots,shifts,shorthandedGoals,shorthandedPoints,opponentAbbrev,pim,toi,season
2025020716,BUF,H,2026-01-12,0,0,{'default': 'Sabres'},{'default': 'Panthers'},0,0,0,0,0,0,0,12,0,0,FLA,0,8:07,2025
2025020701,BUF,H,2026-01-10,0,0,{'default': 'Sabres'},{'default': 'Ducks'},0,1,0,0,0,0,1,18,0,0,ANA,0,11:04,2025
2025020685,BUF,R,2026-01-08,0,0,{'default': 'Sabres'},{'default': 'Rangers'},0,0,0,0,0,0,0,19,0,0,NYR,0,13:49,2025
2025020667,BUF,H,2026-01-06,0,1,{'default': 'Sabres'},{'default': 'Canucks'},1,0,0,0,0,0,0,17,0,0,VAN,0,10:11,2025
2025020646,BUF,R,2026-01-03,0,0,{'default': 'Sabres'},{'default': 'Blue Jackets'},0,-1,0,0,0,0,0,11,0,0,CBJ,0,8:36,2025
2025020628,BUF,R,2025-12-31,0,0,{'default': 'Sabres'},{'default': 'Stars'},0,0,0,0,0,0,1,19,0,0,DAL,0,12:28,2025
2025020610,BUF,R,2025-12-29,0,0,{'default': 'Sabres'},{'default': 'Blues'},0,0,0,0,0,0,1,17,0,0,STL,0,12:32,2025
2025020589,BUF,H,2025-12-27,0,0,{'default': 'Sabres'},{'default': 'Bruins'},0,0,0,0,0,0,1,17,0,0,BOS,0,11:49,2025
2025020578,BUF,R,2025-12-23,0,1,{'default': 'Sabres'},"{'default': 'Senators', 'fr': 'Sénateurs'}",1,1,0,0,0,0,4,21,0,0,OTT,0,13:36,2025
2025020553,BUF,H,2025-12-20,0,0,{'default': 'Sabres'},{'default': 'Islanders'},0,0,0,0,0,0,1,13,0,0,NYI,0,9:33,2025
2025020535,BUF,H,2025-12-18,0,0,{'default': 'Sabres'},{'default': 'Flyers'},0,-1,0,0,0,0,0,15,0,0,PHI,0,9:43,2025
2025020513,BUF,R,2025-12-14,0,0,{'default': 'Sabres'},{'default': 'Kraken'},0,0,0,0,0,0,0,13,0,0,SEA,0,9:47,2025
2025020492,BUF,R,2025-12-11,0,0,{'default': 'Sabres'},{'default': 'Canucks'},0,0,0,0,0,0,0,20,0,0,VAN,2,16:01,2025
2025020474,BUF,R,2025-12-09,0,0,{'default': 'Sabres'},{'default': 'Oilers'},0,0,0,0,0,0,1,17,0,0,EDM,0,9:40,2025
2025020463,BUF,R,2025-12-08,0,0,{'default': 'Sabres'},{'default': 'Flames'},0,-2,0,0,0,0,2,16,0,0,CGY,2,9:44,2025
2025020437,BUF,R,2025-12-05,0,0,{'default': 'Sabres'},{'default': 'Jets'},0,0,0,0,0,0,3,17,0,0,WPG,2,13:42,2025
2025020408,BUF,H,2025-12-01,0,0,{'default': 'Sabres'},{'default': 'Jets'},0,0,0,0,0,0,0,21,0,0,WPG,0,14:21,2025
2025020379,BUF,H,2025-11-28,0,0,{'default': 'Sabres'},{'default': 'Devils'},0,0,0,0,0,0,0,19,0,0,NJD,0,9:46,2025
2025020331,BUF,H,2025-11-21,0,1,{'default': 'Sabres'},{'default': 'Blackhawks'},1,0,0,0,0,0,0,19,0,0,CHI,0,12:18,2025
2025020316,BUF,H,2025-11-19,0,0,{'default': 'Sabres'},{'default': 'Flames'},0,-2,0,0,0,0,0,19,0,0,CGY,0,14:35,2025
2025020302,BUF,H,2025-11-17,0,0,{'default': 'Sabres'},{'default': 'Oilers'},0,1,0,0,0,0,0,24,0,0,EDM,0,16:48,2025
2025020287,BUF,R,2025-11-15,0,0,{'default': 'Sabres'},{'default': 'Red Wings'},0,0,0,0,0,0,1,22,0,0,DET,2,13:01,2025
2025020275,BUF,R,2025-11-13,1,0,{'default': 'Sabres'},{'default': 'Avalanche'},1,-2,0,0,0,0,1,24,0,0,COL,0,16:07,2025
2025020267,BUF,R,2025-11-12,0,0,{'default': 'Sabres'},{'default': 'Mammoth'},0,-1,0,0,0,0,2,27,0,0,UTA,0,15:31,2025
2025020238,BUF,R,2025-11-08,0,0,{'default': 'Sabres'},{'default': 'Hurricanes'},0,-2,0,0,0,0,4,23,0,0,CAR,2,15:04,2025
2025020219,BUF,H,2025-11-06,0,0,{'default': 'Sabres'},{'default': 'Blues'},0,-1,0,0,0,0,0,16,0,0,STL,0,11:25,2025
2025020203,BUF,H,2025-11-04,0,0,{'default': 'Sabres'},{'default': 'Mammoth'},0,0,0,0,0,0,0,21,0,0,UTA,0,17:03,2025
2025020186,BUF,H,2025-11-01,0,1,{'default': 'Sabres'},{'default': 'Capitals'},1,1,0,0,0,0,0,21,0,0,WSH,7,13:28,2025
2025020167,BUF,R,2025-10-30,0,0,{'default': 'Sabres'},{'default': 'Bruins'},0,-1,0,0,0,0,3,20,0,0,BOS,2,15:22,2025
2024021119,BUF,R,2025-03-23,0,0,{'default': 'Sabres'},{'default': 'Jets'},0,0,0,0,0,0,0,6,0,0,WPG,0,4:44,2024
2024021106,BUF,R,2025-03-22,0,0,{'default': 'Sabres'},{'default': 'Wild'},0,0,0,0,0,0,1,23,0,0,MIN,0,16:26,2024
2024021100,BUF,R,2025-03-20,0,0,{'default': 'Sabres'},"{'default': 'Utah Hockey Club', 'fr': ""Club de hockey de l'Utah""}",0,-1,0,0,0,0,1,23,0,0,UTA,0,14:09,2024
2024021073,BUF,R,2025-03-17,0,0,{'default': 'Sabres'},{'default': 'Bruins'},0,0,0,0,0,0,0,20,0,0,BOS,5,12:14,2024
2024021055,BUF,H,2025-03-15,0,0,{'default': 'Sabres'},{'default': 'Golden Knights'},0,-1,0,0,0,0,0,26,0,0,VGK,5,17:09,2024
2024021036,BUF,R,2025-03-12,0,0,{'default': 'Sabres'},{'default': 'Red Wings'},0,-2,0,0,0,0,1,19,0,0,DET,14,14:20,2024
2024021021,BUF,H,2025-03-10,0,0,{'default': 'Sabres'},{'default': 'Oilers'},0,0,0,0,0,0,0,10,0,0,EDM,2,6:29,2024
2024020989,BUF,R,2025-03-06,0,0,{'default': 'Sabres'},{'default': 'Lightning'},0,1,0,0,0,0,1,20,0,0,TBL,0,12:16,2024
2024020974,BUF,H,2025-03-04,0,0,{'default': 'Sabres'},{'default': 'Sharks'},0,-2,0,0,0,0,0,23,0,0,SJS,0,16:17,2024
2024020968,BUF,R,2025-03-03,0,0,{'default': 'Sabres'},{'default': 'Canadiens'},0,1,0,0,0,0,0,21,0,0,MTL,0,17:05,2024
2024020953,BUF,H,2025-03-01,0,0,{'default': 'Sabres'},{'default': 'Canadiens'},0,0,0,0,0,0,2,24,0,0,MTL,4,16:18,2024
2024020940,BUF,R,2025-02-27,0,0,{'default': 'Sabres'},{'default': 'Hurricanes'},0,-1,0,0,0,0,1,26,0,0,CAR,0,14:56,2024
2024020919,BUF,H,2025-02-25,0,0,{'default': 'Sabres'},{'default': 'Ducks'},0,0,0,0,0,0,3,27,0,0,ANA,2,17:06,2024
2024020895,BUF,H,2025-02-22,0,1,{'default': 'Sabres'},{'default': 'Rangers'},1,2,0,0,0,0,2,23,0,0,NYR,0,14:39,2024
2024020490,BUF,R,2024-12-15,0,0,{'default': 'Sabres'},{'default': 'Maple Leafs'},0,-1,0,0,0,0,0,21,0,0,TOR,0,14:13,2024
2024020480,BUF,R,2024-12-14,0,1,{'default': 'Sabres'},{'default': 'Capitals'},1,-1,0,0,0,0,1,22,0,0,WSH,0,14:51,2024
2024020457,BUF,H,2024-12-11,0,0,{'default': 'Sabres'},{'default': 'Rangers'},0,0,0,0,0,0,3,24,0,0,NYR,2,14:16,2024
2024020443,BUF,H,2024-12-09,0,0,{'default': 'Sabres'},{'default': 'Red Wings'},0,-2,0,0,0,0,0,23,0,0,DET,0,14:39,2024
2024020257,BUF,H,2024-11-14,0,0,{'default': 'Sabres'},{'default': 'Blues'},0,-1,0,0,0,0,1,19,0,0,STL,0,13:26,2024
2024020239,BUF,H,2024-11-11,0,0,{'default': 'Sabres'},{'default': 'Canadiens'},0,-1,0,0,0,0,0,25,0,0,MTL,0,19:10,2024
2024020224,BUF,H,2024-11-09,0,0,{'default': 'Sabres'},{'default': 'Flames'},0,0,0,0,0,0,0,22,0,0,CGY,0,16:44,2024
2024020213,BUF,R,2024-11-07,1,0,{'default': 'Sabres'},{'default': 'Rangers'},1,1,0,0,0,0,1,23,0,0,NYR,0,15:05,2024
2024020194,BUF,H,2024-11-05,0,1,{'default': 'Sabres'},"{'default': 'Senators', 'fr': 'Sénateurs'}",1,2,0,0,0,0,1,25,0,0,OTT,5,15:28,2024
2024020179,BUF,R,2024-11-02,0,0,{'default': 'Sabres'},{'default': 'Red Wings'},0,0,0,0,0,0,2,22,0,0,DET,2,12:41,2024
2024020169,BUF,H,2024-11-01,0,0,{'default': 'Sabres'},{'default': 'Islanders'},0,0,0,0,0,0,1,24,0,0,NYI,0,16:22,2024
2024020140,BUF,H,2024-10-28,0,0,{'default': 'Sabres'},{'default': 'Panthers'},0,0,0,0,0,0,0,22,0,0,FLA,0,15:05,2024
