playerId,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts
8479385,2018,Jordan Kyrou,2018020011,STL,WPG,HOME,20181004,C,all,797.0,16.0,0.45,0.5672,0.6332,0.5313,0.6047,0.52,0.6522,9.0,3.145,0.38,0.251,0.672,0.128,2.181,1.387,0.369,0.354,0.344,0.0,0.0,4.0,1.0,1.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,4.0,5.0,0.0,0.0,0.0,1.0,0.0,1.0,3.0,2.0,0.0,0.155,0.225,0.0,0.0,0.0,0.0,5.59,5.0,4.654,0.0,0.052,0.0,0.0,0.432,0.403,0.391,16.0,2.0,3.0,4.0,7.0,5.0,2.0,1.0,8.0,0.0,0.0,2803.0,0.0,0.0,0.0,1.0,8.977,0.962,0.952,0.877,0.867,9.0,4.0,4.0,17.0,0.0,0.0,0.0,9.0,3.0,1.0,0.39,0.361,0.211,0.0,0.0,0.0,15.525,13.0,11.908,0.143,0.0,0.0,1.105,1.008,0.997,8.62,0.734,0.719,0.805,0.788,8.0,4.0,3.0,15.0,0.0,0.0,0.0,8.0,4.0,0.0,0.289,0.445,0.0,0.0,0.0,0.0,16.767,12.0,13.265,0.129,0.0,0.0,0.863,0.946,0.927,3.078,1.783,52.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0
8479385,2018,Jordan Kyrou,2018020024,STL,CHI,HOME,20181006,C,all,551.0,14.0,0.5,0.7193,0.4893,0.5882,0.5169,0.6,0.5075,11.0,1.318,0.069,0.085,0.297,0.039,0.939,0.571,0.068,0.064,0.063,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0,0.0,0.069,0.0,0.0,0.0,0.0,0.0,1.83,2.0,1.833,0.0,0.017,0.0,0.0,0.086,0.079,0.078,14.0,2.0,1.0,5.0,6.0,6.0,3.0,1.0,4.0,0.0,0.0,3189.0,0.0,2.0,1.0,0.0,5.956,0.31,0.307,0.287,0.284,5.0,4.0,1.0,10.0,0.0,0.0,0.0,8.0,1.0,0.0,0.195,0.115,0.0,0.0,0.0,0.0,9.37,9.0,8.412,0.075,0.0,0.0,0.385,0.356,0.353,4.184,0.121,0.12,0.126,0.125,4.0,2.0,1.0,7.0,0.0,0.0,0.0,6.0,0.0,0.0,0.121,0.0,0.0,0.0,0.0,0.0,7.22,6.0,6.19,0.047,0.0,0.0,0.168,0.175,0.174,2.018,2.106,46.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0
8479385,2018,Jordan Kyrou,2018020054,STL,CGY,HOME,20181011,C,all,430.0,12.0,0.8,0.1482,0.4555,0.4615,0.4894,0.3,0.4789,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,1.0,2.0,3.0,6.0,1.0,2.0,2.0,7.0,0.0,0.0,3170.0,0.0,0.0,0.0,0.0,2.391,0.087,0.087,0.083,0.083,3.0,0.0,3.0,6.0,1.0,0.0,0.0,3.0,0.0,0.0,0.087,0.0,0.0,1.0,0.0,0.0,6.294,3.0,2.993,0.014,0.0,0.0,0.101,0.097,0.097,4.875,0.5,0.468,0.485,0.453,4.0,3.0,0.0,7.0,0.0,1.0,0.0,5.0,1.0,1.0,0.132,0.141,0.228,0.0,0.0,0.0,6.345,7.0,6.69,0.07,0.228,0.228,0.343,0.333,0.33,2.592,3.098,46.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
8479385,2018,Jordan Kyrou,2018020068,STL,CHI,AWAY,20181013,C,all,797.0,17.0,-0.1,0.1948,0.4797,0.32,0.4312,0.2941,0.4337,9.0,1.554,0.047,0.055,0.453,0.05,0.725,0.67,0.047,0.049,0.049,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.047,0.0,0.0,0.0,0.0,0.0,2.135,2.0,2.131,0.0,0.011,0.0,0.0,0.057,0.061,0.061,17.0,1.0,2.0,3.0,11.0,2.0,3.0,1.0,11.0,0.0,0.0,3094.0,0.0,2.0,1.0,0.0,3.949,0.264,0.263,0.266,0.266,5.0,0.0,3.0,8.0,0.0,0.0,0.0,4.0,1.0,0.0,0.078,0.185,0.0,0.0,0.0,0.0,8.181,5.0,5.216,0.052,0.0,0.0,0.315,0.319,0.319,9.094,1.091,0.959,1.095,0.962,12.0,0.0,5.0,17.0,0.0,2.0,0.0,5.0,7.0,0.0,0.097,0.994,0.0,0.0,0.0,0.0,17.465,12.0,12.36,0.152,0.331,0.331,0.912,0.912,0.835,3.056,3.314,47.0,62.0,0.0,0.0,0.0,0.0,0.0,0.0
8479385,2018,Jordan Kyrou,2018020072,STL,ANA,HOME,20181014,C,all,906.0,17.0,-0.065,0.4063,0.5112,0.5,0.5714,0.4286,0.5714,8.0,1.571,0.117,0.118,0.299,0.039,0.874,0.554,0.114,0.107,0.105,0.0,0.0,1.0,1.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.017,0.099,0.0,0.0,0.0,0.0,4.741,2.0,1.833,0.0,0.025,0.0,0.0,0.141,0.13,0.127,17.0,7.0,2.0,0.0,8.0,1.0,4.0,4.0,8.0,1.0,0.0,2694.0,0.0,0.0,0.0,0.0,5.831,0.429,0.42,0.405,0.397,7.0,2.0,6.0,15.0,0.0,0.0,0.0,6.0,3.0,0.0,0.153,0.276,0.0,0.0,0.0,0.0,14.388,9.0,8.589,0.098,0.0,0.0,0.526,0.497,0.485,8.485,0.627,0.62,0.677,0.67,9.0,3.0,3.0,15.0,1.0,0.0,0.0,10.0,1.0,1.0,0.302,0.119,0.206,0.0,0.0,1.0,15.948,12.0,12.723,0.111,0.0,0.0,0.738,0.796,0.787,1.87,1.788,48.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0
8479385,2018,Jordan Kyrou,2018020086,STL,MTL,AWAY,20181017,C,all,725.0,14.0,-0.6,0.3977,0.5869,0.2593,0.5714,0.3333,0.5882,9.0,0.767,0.094,0.062,0.102,0.019,0.405,0.317,0.094,0.095,0.095,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.094,0.0,0.0,0.0,0.0,0.975,1.0,0.964,1.0,0.013,0.0,0.0,0.108,0.108,0.108,14.0,1.0,1.0,1.0,11.0,2.0,2.0,2.0,8.0,0.0,0.0,2875.0,0.0,2.0,1.0,1.0,4.283,0.239,0.237,0.241,0.238,4.0,2.0,1.0,7.0,0.0,0.0,0.0,5.0,1.0,0.0,0.145,0.094,0.0,0.0,0.0,0.0,6.939,6.0,5.918,0.051,0.0,0.0,0.29,0.292,0.289,8.946,0.362,0.361,0.358,0.357,8.0,4.0,8.0,20.0,1.0,0.0,0.0,12.0,0.0,0.0,0.362,0.0,0.0,1.0,0.0,0.0,20.128,12.0,12.26,0.104,0.0,0.0,0.466,0.461,0.459,2.083,1.466,48.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0
8479385,2018,Jordan Kyrou,2018020106,STL,TOR,AWAY,20181020,C,all,421.0,11.0,-0.45,0.0334,0.5137,0.1538,0.4904,0.1,0.5429,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,1.0,1.0,2.0,7.0,2.0,4.0,1.0,4.0,0.0,0.0,3179.0,0.0,0.0,0.0,0.0,0.699,0.02,0.02,0.021,0.021,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,2.064,1.0,1.03,0.008,0.0,0.0,0.028,0.029,0.029,6.237,0.578,0.566,0.535,0.525,4.0,5.0,2.0,11.0,0.0,0.0,0.0,6.0,3.0,0.0,0.23,0.348,0.0,0.0,0.0,0.0,10.144,9.0,8.425,0.081,0.0,0.0,0.659,0.611,0.599,2.733,2.587,51.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0
8479385,2018,Jordan Kyrou,2018020120,STL,WPG,AWAY,20181022,C,all,423.0,11.0,-0.45,0.0658,0.5049,0.2857,0.4623,0.2857,0.4815,12.0,1.382,0.016,0.056,0.41,0.046,0.866,0.607,0.016,0.018,0.018,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.016,0.0,0.0,0.0,0.0,0.0,2.206,2.0,2.201,0.0,0.011,0.0,0.0,0.027,0.029,0.029,11.0,1.0,0.0,1.0,9.0,2.0,5.0,1.0,3.0,0.0,0.0,3351.0,2.0,0.0,0.0,0.0,2.806,0.059,0.059,0.064,0.064,3.0,1.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.059,0.0,0.0,0.0,0.0,0.0,4.412,4.0,4.402,0.028,0.0,0.0,0.087,0.095,0.095,6.759,0.837,0.817,0.782,0.763,8.0,2.0,0.0,10.0,1.0,2.0,1.0,7.0,2.0,1.0,0.218,0.274,0.346,0.0,0.0,1.0,9.172,10.0,9.189,0.111,0.501,0.501,0.447,0.412,0.41,2.318,2.273,49.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0
8479385,2018,Jordan Kyrou,2018020137,STL,CBJ,HOME,20181025,C,all,509.0,11.0,-0.375,0.1933,0.589,0.3125,0.5625,0.3333,0.5811,11.0,0.704,0.064,0.06,0.117,0.021,0.44,0.299,0.064,0.064,0.064,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.064,0.0,0.0,0.0,0.0,0.0,1.026,1.0,1.038,0.0,0.012,0.0,0.0,0.076,0.076,0.076,11.0,1.0,1.0,3.0,6.0,2.0,3.0,1.0,5.0,0.0,0.0,3091.0,0.0,0.0,0.0,0.0,3.512,0.121,0.12,0.116,0.116,4.0,1.0,0.0,5.0,0.0,1.0,0.0,5.0,0.0,0.0,0.121,0.0,0.0,0.0,0.0,0.0,4.666,5.0,4.737,0.038,0.026,0.026,0.133,0.128,0.127,7.283,0.505,0.504,0.545,0.544,8.0,2.0,1.0,11.0,1.0,0.0,0.0,7.0,3.0,0.0,0.083,0.422,0.0,0.0,1.0,0.0,11.473,10.0,10.299,0.101,0.0,0.0,0.606,0.653,0.651,3.166,2.209,54.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0
8479385,2018,Jordan Kyrou,2018020426,STL,EDM,HOME,20181205,C,all,598.0,14.0,-0.1,0.6918,0.482,0.3529,0.3939,0.3333,0.4156,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,3.0,2.0,1.0,8.0,0.0,6.0,2.0,6.0,0.0,0.0,3302.0,0.0,0.0,0.0,1.0,3.975,0.925,0.908,0.923,0.906,4.0,1.0,1.0,6.0,1.0,2.0,1.0,2.0,1.0,2.0,0.073,0.147,0.705,0.0,0.0,1.0,6.01,5.0,5.031,0.087,0.619,0.619,0.393,0.389,0.388,7.085,0.412,0.408,0.413,0.409,7.0,3.0,1.0,11.0,0.0,0.0,0.0,9.0,0.0,1.0,0.134,0.0,0.278,0.0,0.0,0.0,10.761,10.0,9.689,0.066,0.0,0.0,0.478,0.479,0.473,2.023,2.174,39.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0
