gameId,teamAbbrev,homeRoadFlag,gameDate,goals,assists,commonName,opponentCommonName,points,plusMinus,powerPlayGoals,powerPlayPoints,gameWinningGoals,otGoals,shots,shifts,shorthandedGoals,shorthandedPoints,toi,opponentAbbrev,pim,season
2025021112,CAR,R,2026-03-22,0,0,{'default': 'Hurricanes'},{'default': 'Penguins'},0,0,0,0,0,0,0,20,0,0,13:07,PIT,2,2025
2025021094,CAR,R,2026-03-20,0,0,{'default': 'Hurricanes'},{'default': 'Maple Leafs'},0,-1,0,0,0,0,0,22,0,0,16:31,TOR,0,2025
2025021078,CAR,H,2026-03-18,1,0,{'default': 'Hurricanes'},{'default': 'Penguins'},1,2,0,0,0,0,5,22,1,1,16:38,PIT,0,2025
2025021070,CAR,R,2026-03-17,0,0,{'default': 'Hurricanes'},{'default': 'Blue Jackets'},0,-2,0,0,0,0,2,19,0,0,13:24,CBJ,0,2025
2025021049,CAR,R,2026-03-14,1,0,{'default': 'Hurricanes'},{'default': 'Lightning'},1,2,0,0,1,0,1,20,0,0,13:45,TBL,0,2025
2025021033,CAR,H,2026-03-12,0,0,{'default': 'Hurricanes'},{'default': 'Blues'},0,-2,0,0,0,0,2,18,0,0,11:26,STL,0,2025
2025021018,CAR,H,2026-03-10,0,0,{'default': 'Hurricanes'},{'default': 'Penguins'},0,-1,0,0,0,0,2,22,0,0,17:47,PIT,0,2025
2025020998,CAR,R,2026-03-07,0,0,{'default': 'Hurricanes'},{'default': 'Flames'},0,-2,0,0,0,0,4,19,0,0,12:28,CGY,0,2025
2025020986,CAR,R,2026-03-06,1,0,{'default': 'Hurricanes'},{'default': 'Oilers'},1,2,0,0,0,0,3,21,0,0,15:11,EDM,0,2025
2025020972,CAR,R,2026-03-04,0,0,{'default': 'Hurricanes'},{'default': 'Canucks'},0,2,0,0,0,0,3,21,0,0,15:06,VAN,0,2025
2025020957,CAR,R,2026-03-02,0,1,{'default': 'Hurricanes'},{'default': 'Kraken'},1,1,0,0,0,0,3,22,0,0,15:42,SEA,2,2025
2025020942,CAR,H,2026-02-28,0,0,{'default': 'Hurricanes'},{'default': 'Red Wings'},0,0,0,0,0,0,0,21,0,0,15:11,DET,0,2025
2025020923,CAR,H,2026-02-26,0,1,{'default': 'Hurricanes'},{'default': 'Lightning'},1,0,0,0,0,0,1,21,0,0,14:31,TBL,0,2025
2025020906,CAR,R,2026-02-05,0,0,{'default': 'Hurricanes'},{'default': 'Rangers'},0,0,0,0,0,0,1,20,0,0,13:35,NYR,0,2025
2025020890,CAR,H,2026-02-03,0,0,{'default': 'Hurricanes'},"{'default': 'Senators', 'fr': 'Sénateurs'}",0,1,0,0,0,0,0,23,0,0,17:54,OTT,0,2025
2025020874,CAR,H,2026-02-01,0,0,{'default': 'Hurricanes'},{'default': 'Kings'},0,0,0,0,0,0,3,21,0,0,14:11,LAK,6,2025
2025020864,CAR,R,2026-01-31,0,1,{'default': 'Hurricanes'},{'default': 'Capitals'},1,-1,0,0,0,0,0,22,0,0,16:00,WSH,0,2025
2025020851,CAR,H,2026-01-29,0,1,{'default': 'Hurricanes'},{'default': 'Mammoth'},1,0,0,0,0,0,0,20,0,0,14:48,UTA,0,2025
2025020813,CAR,R,2026-01-24,0,0,{'default': 'Hurricanes'},"{'default': 'Senators', 'fr': 'Sénateurs'}",0,-1,0,0,0,0,1,22,0,0,17:49,OTT,0,2025
2025020796,CAR,H,2026-01-22,0,1,{'default': 'Hurricanes'},{'default': 'Blackhawks'},1,0,0,0,0,0,0,19,0,0,14:21,CHI,0,2025
2025020770,CAR,H,2026-01-19,0,0,{'default': 'Hurricanes'},{'default': 'Sabres'},0,0,0,0,0,0,1,22,0,0,16:49,BUF,0,2025
2025020759,CAR,R,2026-01-17,0,0,{'default': 'Hurricanes'},{'default': 'Devils'},0,1,0,0,0,0,2,22,0,0,17:56,NJD,0,2025
2025020750,CAR,H,2026-01-16,0,1,{'default': 'Hurricanes'},{'default': 'Panthers'},1,0,0,0,0,0,3,21,0,0,12:54,FLA,4,2025
2025020730,CAR,R,2026-01-13,0,0,{'default': 'Hurricanes'},{'default': 'Blues'},0,0,0,0,0,0,1,18,0,0,13:42,STL,0,2025
2025020717,CAR,R,2026-01-12,0,0,{'default': 'Hurricanes'},{'default': 'Red Wings'},0,0,0,0,0,0,2,18,0,0,14:40,DET,0,2025
