playerId,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts
8476981,2014,Josh Anderson,2014020656,CBJ,NYR,HOME,20150116,R,all,681.0,18.0,-0.05,0.4839,0.526,0.5714,0.6264,0.5385,0.6333,9.0,1.524,0.079,0.082,0.259,0.034,0.81,0.736,0.079,0.074,0.074,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,0.0,3.0,0.0,1.0,2.0,0.0,0.0,0.079,0.0,0.0,0.0,0.0,0.0,1.852,2.0,1.858,1.0,0.017,0.0,0.0,0.096,0.09,0.09,18.0,2.0,3.0,0.0,13.0,4.0,2.0,1.0,11.0,0.0,0.0,2919.0,2.0,0.0,0.0,0.0,4.959,0.211,0.211,0.197,0.197,7.0,0.0,1.0,8.0,0.0,0.0,0.0,7.0,0.0,0.0,0.211,0.0,0.0,0.0,0.0,0.0,7.507,7.0,6.605,0.062,0.0,0.0,0.272,0.255,0.255,4.446,0.225,0.216,0.245,0.235,4.0,2.0,0.0,6.0,1.0,0.0,0.0,5.0,1.0,0.0,0.102,0.123,0.0,0.0,1.0,0.0,6.629,6.0,6.599,0.057,0.0,0.0,0.283,0.308,0.294,2.167,1.953,57.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0
8476981,2014,Josh Anderson,2014020660,CBJ,BOS,AWAY,20150117,R,all,892.0,22.0,0.05,0.4508,0.5466,0.5,0.4651,0.5294,0.4627,6.0,0.791,0.033,0.033,0.214,0.025,0.403,0.292,0.033,0.035,0.035,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,8.0,2.0,0.0,1.0,0.0,0.0,0.033,0.0,0.0,0.0,0.0,0.0,2.064,1.0,1.03,0.0,0.006,0.0,0.0,0.039,0.041,0.041,22.0,4.0,5.0,4.0,9.0,5.0,4.0,1.0,12.0,0.0,0.0,2708.0,0.0,2.0,1.0,1.0,6.841,0.275,0.264,0.289,0.277,7.0,2.0,4.0,13.0,0.0,0.0,0.0,8.0,1.0,0.0,0.182,0.093,0.0,0.0,0.0,0.0,13.416,9.0,9.274,0.085,0.0,0.0,0.361,0.378,0.364,5.285,0.335,0.29,0.32,0.277,8.0,0.0,5.0,13.0,1.0,0.0,0.0,6.0,2.0,0.0,0.127,0.208,0.0,0.0,1.0,0.0,12.5,8.0,7.715,0.068,0.0,0.0,0.403,0.385,0.337,2.421,2.008,40.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0
8476981,2014,Josh Anderson,2014020680,CBJ,MIN,AWAY,20150119,R,all,746.0,21.0,0.575,0.7091,0.484,0.5909,0.35,0.5,0.3387,10.0,1.47,0.098,0.075,0.402,0.047,0.741,0.637,0.098,0.107,0.107,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.098,0.0,0.0,0.0,0.0,0.0,2.206,2.0,2.201,0.0,0.015,0.0,0.0,0.114,0.124,0.124,21.0,1.0,1.0,5.0,14.0,5.0,2.0,5.0,9.0,0.0,0.0,2854.0,0.0,0.0,0.0,0.0,5.511,0.49,0.484,0.534,0.527,6.0,2.0,5.0,13.0,2.0,0.0,0.0,6.0,2.0,0.0,0.276,0.214,0.0,1.0,1.0,0.0,14.035,8.0,8.639,0.067,0.0,0.0,0.557,0.606,0.599,5.762,0.201,0.2,0.191,0.19,5.0,3.0,1.0,9.0,0.0,0.0,0.0,8.0,0.0,0.0,0.201,0.0,0.0,0.0,0.0,0.0,8.565,8.0,7.66,0.059,0.0,0.0,0.26,0.246,0.245,2.052,2.188,28.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0
8476981,2014,Josh Anderson,2014020693,CBJ,WPG,AWAY,20150121,R,all,900.0,21.0,0.35,0.2737,0.4395,0.5405,0.4583,0.4167,0.4737,8.0,3.123,0.123,0.216,0.729,0.078,1.597,1.257,0.123,0.123,0.123,0.0,0.0,4.0,0.0,5.0,9.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,1.0,4.0,4.0,0.0,0.0,0.0,4.0,0.0,1.0,4.0,0.0,0.0,0.123,0.0,0.0,0.0,0.0,0.0,8.315,4.0,3.893,1.0,0.043,0.0,0.0,0.167,0.167,0.167,21.0,4.0,0.0,8.0,9.0,2.0,5.0,1.0,13.0,0.0,0.0,2700.0,0.0,0.0,0.0,1.0,7.584,0.506,0.506,0.497,0.497,10.0,0.0,10.0,20.0,0.0,0.0,0.0,8.0,2.0,0.0,0.245,0.261,0.0,0.0,0.0,0.0,18.406,10.0,9.619,0.097,0.0,0.0,0.603,0.593,0.592,10.528,1.343,1.237,1.389,1.279,9.0,5.0,3.0,17.0,1.0,3.0,0.0,7.0,4.0,3.0,0.276,0.408,0.66,1.0,0.0,0.0,18.964,14.0,14.704,0.147,0.506,0.506,0.985,1.017,1.0,1.545,1.97,33.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0
8476981,2014,Josh Anderson,2014020701,CBJ,WSH,HOME,20150127,R,all,780.0,19.0,-0.05,0.3545,0.661,0.4167,0.5065,0.3684,0.5397,9.0,1.837,0.176,0.133,0.428,0.07,1.312,0.88,0.176,0.177,0.177,0.0,0.0,2.0,1.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,2.0,3.0,0.0,0.0,0.0,3.0,1.0,1.0,3.0,0.0,0.0,0.176,0.0,0.0,0.0,0.0,0.0,3.126,3.0,3.127,1.0,0.027,0.0,0.0,0.203,0.204,0.204,19.0,1.0,0.0,4.0,14.0,4.0,2.0,3.0,10.0,0.0,0.0,2820.0,0.0,0.0,0.0,0.0,4.725,0.34,0.333,0.342,0.335,6.0,1.0,3.0,10.0,0.0,0.0,0.0,6.0,1.0,0.0,0.229,0.111,0.0,0.0,0.0,0.0,10.292,7.0,7.238,0.065,0.0,0.0,0.405,0.407,0.399,8.622,0.619,0.617,0.633,0.631,7.0,5.0,2.0,14.0,0.0,0.0,0.0,9.0,2.0,1.0,0.214,0.174,0.231,0.0,0.0,0.0,14.106,12.0,12.035,0.096,0.0,0.0,0.715,0.732,0.729,2.821,1.447,39.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0
8476981,2014,Josh Anderson,2014020717,CBJ,FLA,AWAY,20150129,R,all,843.0,18.0,0.525,0.4786,0.3831,0.4545,0.52,0.4737,0.5238,9.0,0.63,0.033,0.038,0.13,0.021,0.458,0.319,0.033,0.035,0.035,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.033,0.0,0.0,0.0,0.0,0.0,1.032,1.0,1.03,0.0,0.008,0.0,0.0,0.041,0.043,0.043,18.0,1.0,1.0,1.0,15.0,2.0,1.0,2.0,13.0,0.0,0.0,2757.0,0.0,0.0,0.0,0.0,6.293,0.346,0.346,0.363,0.363,6.0,3.0,1.0,10.0,1.0,0.0,0.0,7.0,2.0,0.0,0.12,0.226,0.0,0.0,1.0,0.0,10.206,9.0,9.208,0.077,0.0,0.0,0.423,0.444,0.444,7.08,0.377,0.374,0.363,0.36,9.0,1.0,2.0,12.0,1.0,0.0,0.0,9.0,1.0,0.0,0.258,0.119,0.0,1.0,0.0,0.0,11.808,10.0,9.914,0.091,0.0,0.0,0.468,0.451,0.447,1.665,2.681,39.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0
8476981,2015,Josh Anderson,2015020283,CBJ,OTT,AWAY,20151119,R,all,527.0,13.0,-0.3,0.254,0.441,0.3125,0.495,0.0909,0.5286,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,1.0,1.0,1.0,10.0,1.0,1.0,3.0,8.0,0.0,0.0,3073.0,0.0,0.0,0.0,0.0,0.771,0.111,0.111,0.116,0.116,0.0,1.0,4.0,5.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.111,0.0,0.0,0.0,0.0,5.16,1.0,1.03,0.015,0.0,0.0,0.126,0.132,0.132,7.026,0.326,0.319,0.317,0.31,5.0,5.0,1.0,11.0,0.0,1.0,0.0,9.0,1.0,0.0,0.201,0.125,0.0,0.0,0.0,0.0,10.934,10.0,9.938,0.079,0.021,0.021,0.384,0.373,0.366,2.261,2.866,50.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0
8476981,2015,Josh Anderson,2015020288,CBJ,NSH,HOME,20151120,R,all,597.0,14.0,0.25,0.3059,0.4161,0.2,0.2871,0.2308,0.3043,11.0,0.795,0.079,0.07,0.108,0.019,0.454,0.269,0.079,0.08,0.08,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.079,0.0,0.0,0.0,0.0,0.0,1.074,1.0,1.05,0.0,0.015,0.0,0.0,0.095,0.096,0.096,14.0,0.0,3.0,1.0,10.0,0.0,5.0,2.0,7.0,0.0,0.0,3003.0,0.0,0.0,0.0,0.0,2.37,0.201,0.201,0.202,0.202,1.0,2.0,0.0,3.0,1.0,0.0,0.0,2.0,1.0,0.0,0.085,0.116,0.0,0.0,1.0,0.0,3.174,3.0,3.139,0.029,0.0,0.0,0.23,0.231,0.231,6.715,0.456,0.453,0.448,0.445,5.0,5.0,2.0,12.0,0.0,0.0,0.0,9.0,1.0,0.0,0.36,0.097,0.0,0.0,0.0,0.0,11.107,10.0,9.553,0.078,0.0,0.0,0.534,0.525,0.52,2.032,2.851,29.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0
8476981,2015,Josh Anderson,2015020305,CBJ,S.J,HOME,20151122,R,all,409.0,11.0,0.875,0.8384,0.4423,0.5455,0.4272,0.5,0.4429,12.0,0.768,0.097,0.055,0.333,0.092,0.287,0.137,0.097,0.089,0.089,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.097,0.0,0.0,0.0,0.0,0.915,1.0,0.916,0.0,0.012,0.171,0.0,0.109,0.101,0.101,11.0,1.0,1.0,3.0,6.0,1.0,3.0,2.0,5.0,0.0,0.0,3191.0,0.0,0.0,0.0,1.0,3.275,0.576,0.496,0.543,0.467,4.0,0.0,2.0,6.0,1.0,2.0,1.0,1.0,2.0,1.0,0.058,0.268,0.25,0.0,0.0,1.0,5.656,4.0,3.842,0.053,0.42,0.42,0.209,0.198,0.192,2.8,0.111,0.111,0.115,0.115,2.0,2.0,1.0,5.0,0.0,0.0,0.0,4.0,0.0,0.0,0.111,0.0,0.0,0.0,0.0,0.0,5.039,4.0,4.04,0.027,0.0,0.0,0.139,0.143,0.143,2.127,2.682,44.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0
8476981,2015,Josh Anderson,2015020609,CBJ,CAR,AWAY,20160108,R,all,772.0,17.0,0.375,0.5664,0.4695,0.6364,0.47,0.5625,0.5211,9.0,2.206,0.371,0.146,0.537,0.072,1.07,0.805,0.353,0.372,0.354,0.0,0.0,3.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,4.0,1.0,1.0,2.0,0.0,1.0,0.144,0.0,0.228,0.0,0.0,0.0,3.82,3.0,2.893,0.0,0.031,0.0,0.0,0.402,0.403,0.384,17.0,3.0,1.0,3.0,10.0,1.0,2.0,6.0,8.0,0.0,0.0,2828.0,0.0,2.0,1.0,0.0,6.88,0.874,0.821,0.881,0.828,9.0,0.0,5.0,14.0,0.0,0.0,0.0,6.0,2.0,1.0,0.319,0.328,0.228,0.0,0.0,0.0,13.469,9.0,8.725,0.104,0.0,0.0,0.978,0.985,0.925,5.186,0.669,0.632,0.673,0.636,6.0,1.0,1.0,8.0,2.0,1.0,1.0,4.0,2.0,1.0,0.109,0.268,0.291,1.0,0.0,1.0,8.448,7.0,7.317,0.086,0.291,0.291,0.463,0.464,0.461,3.272,3.697,47.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0
