gameId,teamAbbrev,homeRoadFlag,gameDate,goals,assists,commonName,opponentCommonName,points,plusMinus,powerPlayGoals,powerPlayPoints,gameWinningGoals,otGoals,shots,shifts,shorthandedGoals,shorthandedPoints,toi,opponentAbbrev,pim,season
2025020716,BUF,H,2026-01-12,0,0,{'default': 'Sabres'},{'default': 'Panthers'},0,0,0,0,0,0,1,11,0,0,7:13,FLA,5,2025
2025020646,BUF,R,2026-01-03,0,0,{'default': 'Sabres'},{'default': 'Blue Jackets'},0,-1,0,0,0,0,1,10,0,0,8:15,CBJ,0,2025
2025020628,BUF,R,2025-12-31,0,0,{'default': 'Sabres'},{'default': 'Stars'},0,0,0,0,0,0,2,17,0,0,11:15,DAL,0,2025
2025020610,BUF,R,2025-12-29,0,0,{'default': 'Sabres'},{'default': 'Blues'},0,0,0,0,0,0,0,16,0,0,13:08,STL,0,2025
2025020589,BUF,H,2025-12-27,0,0,{'default': 'Sabres'},{'default': 'Bruins'},0,0,0,0,0,0,2,16,0,0,12:06,BOS,0,2025
2025020578,BUF,R,2025-12-23,0,1,{'default': 'Sabres'},"{'default': 'Senators', 'fr': 'Sénateurs'}",1,1,0,0,0,0,1,19,0,0,13:13,OTT,0,2025
2025020565,BUF,R,2025-12-21,0,0,{'default': 'Sabres'},{'default': 'Devils'},0,0,0,0,0,0,1,16,0,0,13:09,NJD,0,2025
2025020553,BUF,H,2025-12-20,0,0,{'default': 'Sabres'},{'default': 'Islanders'},0,0,0,0,0,0,1,13,0,0,10:20,NYI,0,2025
2025020492,BUF,R,2025-12-11,0,0,{'default': 'Sabres'},{'default': 'Canucks'},0,-1,0,0,0,0,0,9,0,0,6:21,VAN,0,2025
2025020474,BUF,R,2025-12-09,0,0,{'default': 'Sabres'},{'default': 'Oilers'},0,0,0,0,0,0,0,12,0,0,7:45,EDM,0,2025
2025020423,BUF,R,2025-12-03,0,0,{'default': 'Sabres'},{'default': 'Flyers'},0,0,0,0,0,0,1,11,0,0,7:32,PHI,2,2025
2025020399,BUF,R,2025-11-29,0,1,{'default': 'Sabres'},{'default': 'Wild'},1,1,0,0,0,0,0,15,0,0,10:20,MIN,0,2025
2025020366,BUF,R,2025-11-26,0,0,{'default': 'Sabres'},{'default': 'Penguins'},0,-1,0,0,0,0,2,10,0,0,8:11,PIT,0,2025
2025020347,BUF,H,2025-11-23,0,0,{'default': 'Sabres'},{'default': 'Hurricanes'},0,0,0,0,0,0,1,11,0,0,7:20,CAR,2,2025
2025020316,BUF,H,2025-11-19,0,0,{'default': 'Sabres'},{'default': 'Flames'},0,0,0,0,0,0,1,15,0,0,9:22,CGY,2,2025
2025020302,BUF,H,2025-11-17,0,1,{'default': 'Sabres'},{'default': 'Oilers'},1,2,0,0,0,0,0,15,0,0,9:12,EDM,0,2025
2025020287,BUF,R,2025-11-15,0,0,{'default': 'Sabres'},{'default': 'Red Wings'},0,-1,0,0,0,0,0,11,0,0,8:14,DET,2,2025
2025020275,BUF,R,2025-11-13,0,0,{'default': 'Sabres'},{'default': 'Avalanche'},0,-1,0,0,0,0,0,15,0,0,11:13,COL,0,2025
2025020267,BUF,R,2025-11-12,0,0,{'default': 'Sabres'},{'default': 'Mammoth'},0,-3,0,0,0,0,3,15,0,0,8:19,UTA,12,2025
2025020238,BUF,R,2025-11-08,0,0,{'default': 'Sabres'},{'default': 'Hurricanes'},0,0,0,0,0,0,0,13,0,0,8:53,CAR,0,2025
2025020219,BUF,H,2025-11-06,0,0,{'default': 'Sabres'},{'default': 'Blues'},0,0,0,0,0,0,1,12,0,0,8:39,STL,5,2025
2025020203,BUF,H,2025-11-04,0,0,{'default': 'Sabres'},{'default': 'Mammoth'},0,0,0,0,0,0,0,10,0,0,7:26,UTA,0,2025
2025020186,BUF,H,2025-11-01,0,0,{'default': 'Sabres'},{'default': 'Capitals'},0,-1,0,0,0,0,1,16,0,0,11:51,WSH,0,2025
2025020167,BUF,R,2025-10-30,0,0,{'default': 'Sabres'},{'default': 'Bruins'},0,0,0,0,0,0,0,13,0,0,9:01,BOS,2,2025
2025020152,BUF,H,2025-10-28,1,0,{'default': 'Sabres'},{'default': 'Blue Jackets'},1,1,0,0,0,0,3,21,0,0,12:45,CBJ,0,2025
2025020132,BUF,R,2025-10-25,0,0,{'default': 'Sabres'},{'default': 'Maple Leafs'},0,0,0,0,0,0,1,19,0,0,12:14,TOR,2,2025
2025020095,BUF,R,2025-10-20,0,0,{'default': 'Sabres'},{'default': 'Canadiens'},0,0,0,0,0,0,1,8,0,0,6:35,MTL,0,2025
2025020039,BUF,H,2025-10-13,0,0,{'default': 'Sabres'},{'default': 'Avalanche'},0,0,0,0,0,0,0,9,0,0,6:25,COL,0,2025
2024021143,BUF,H,2025-03-27,0,0,{'default': 'Sabres'},{'default': 'Penguins'},0,-1,0,0,0,0,0,13,0,0,6:55,PIT,0,2024
2024021006,BUF,R,2025-03-08,0,0,{'default': 'Sabres'},{'default': 'Panthers'},0,-2,0,0,0,0,1,12,0,0,7:16,FLA,5,2024
2022021287,CBJ,R,2023-04-11,0,0,{'default': 'Blue Jackets'},{'default': 'Flyers'},0,0,0,0,0,0,1,22,0,0,14:22,PHI,2,2022
2022021243,CBJ,R,2023-04-06,0,0,{'default': 'Blue Jackets'},{'default': 'Devils'},0,-1,0,0,0,0,3,20,0,0,13:26,NJD,0,2022
2022021230,CBJ,R,2023-04-04,0,0,{'default': 'Blue Jackets'},{'default': 'Maple Leafs'},0,-2,0,0,0,0,0,16,0,0,10:32,TOR,0,2022
2022021220,CBJ,H,2023-04-02,0,0,{'default': 'Blue Jackets'},"{'default': 'Senators', 'fr': 'Sénateurs'}",0,-2,0,0,0,0,0,18,0,0,11:55,OTT,0,2022
2022021208,CBJ,H,2023-04-01,0,0,{'default': 'Blue Jackets'},{'default': 'Panthers'},0,0,0,0,0,0,0,16,0,0,12:17,FLA,4,2022
2022020540,CBJ,R,2022-12-23,0,0,{'default': 'Blue Jackets'},{'default': 'Blackhawks'},0,0,0,0,0,0,0,7,0,0,4:40,CHI,0,2022
