playerId,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts
8483515,2022,Juraj Slafkovsky,2022020007,MTL,TOR,HOME,20221012,L,all,634.0,14.0,-0.075,0.559,0.4837,0.3158,0.4681,0.4,0.4769,11.0,0.673,0.039,0.04,0.179,0.02,0.419,0.303,0.039,0.038,0.038,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.039,0.0,0.0,0.0,0.0,0.0,0.97,1.0,0.971,1.0,0.008,0.0,0.0,0.047,0.045,0.045,14.0,1.0,2.0,2.0,9.0,2.0,4.0,0.0,8.0,0.0,0.0,2966.0,0.0,2.0,1.0,1.0,3.055,0.303,0.303,0.289,0.289,2.0,2.0,2.0,6.0,0.0,0.0,0.0,2.0,2.0,0.0,0.096,0.206,0.0,0.0,0.0,0.0,5.82,4.0,3.885,0.042,0.0,0.0,0.345,0.329,0.329,4.322,0.239,0.215,0.252,0.226,6.0,0.0,7.0,13.0,0.0,0.0,0.0,5.0,1.0,0.0,0.147,0.093,0.0,0.0,0.0,0.0,13.558,6.0,6.253,0.043,0.0,0.0,0.282,0.297,0.27,2.217,2.366,44.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
8483515,2022,Juraj Slafkovsky,2022020022,MTL,DET,AWAY,20221014,L,all,577.0,15.0,0.0,0.2246,0.0859,0.5455,0.3889,0.5,0.3636,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,2.0,3.0,0.0,10.0,5.0,2.0,4.0,4.0,0.0,0.0,3023.0,0.0,0.0,0.0,0.0,5.471,0.305,0.305,0.311,0.311,7.0,0.0,5.0,12.0,0.0,0.0,0.0,6.0,1.0,0.0,0.121,0.183,0.0,0.0,0.0,0.0,12.213,7.0,7.147,0.054,0.0,0.0,0.359,0.367,0.367,5.366,1.053,1.019,1.043,1.009,6.0,1.0,3.0,10.0,2.0,1.0,1.0,4.0,1.0,2.0,0.102,0.125,0.827,0.0,0.0,2.0,9.786,7.0,6.894,0.077,0.268,0.268,0.863,0.85,0.848,0.455,4.841,35.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0
8483515,2022,Juraj Slafkovsky,2022020029,MTL,WSH,AWAY,20221015,L,all,761.0,15.0,0.19,0.7212,0.2392,0.5263,0.4343,0.5833,0.4366,10.0,0.814,0.165,0.079,0.144,0.02,0.342,0.25,0.165,0.173,0.173,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.165,0.0,0.0,0.0,0.0,1.968,1.0,1.03,0.0,0.017,0.0,0.0,0.182,0.191,0.191,15.0,3.0,1.0,4.0,7.0,1.0,0.0,3.0,11.0,0.0,1.0,2839.0,0.0,0.0,0.0,0.0,5.537,0.525,0.518,0.547,0.539,5.0,2.0,3.0,10.0,1.0,0.0,0.0,4.0,3.0,0.0,0.114,0.411,0.0,0.0,1.0,0.0,9.982,7.0,7.125,0.084,0.0,0.0,0.609,0.635,0.625,3.449,0.203,0.198,0.198,0.193,1.0,4.0,4.0,9.0,0.0,0.0,0.0,5.0,0.0,0.0,0.203,0.0,0.0,0.0,0.0,0.0,9.099,5.0,5.014,0.041,0.0,0.0,0.244,0.238,0.232,1.471,4.678,43.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0
8483515,2022,Juraj Slafkovsky,2022020042,MTL,PIT,HOME,20221017,L,all,592.0,12.0,0.3,0.5112,0.5903,0.6875,0.5377,0.6667,0.5584,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,3.0,1.0,2.0,6.0,3.0,0.0,2.0,7.0,0.0,0.0,3197.0,0.0,0.0,0.0,0.0,5.567,0.273,0.272,0.254,0.253,6.0,2.0,3.0,11.0,0.0,1.0,0.0,7.0,1.0,0.0,0.162,0.111,0.0,0.0,0.0,0.0,10.494,8.0,7.601,0.071,0.04,0.04,0.304,0.283,0.282,3.071,0.261,0.257,0.29,0.285,3.0,1.0,1.0,5.0,0.0,0.0,0.0,3.0,1.0,0.0,0.127,0.134,0.0,0.0,0.0,0.0,5.719,4.0,4.538,0.055,0.0,0.0,0.317,0.352,0.345,3.416,2.371,57.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0
8483515,2022,Juraj Slafkovsky,2022020060,MTL,ARI,HOME,20221020,L,all,866.0,15.0,1.025,0.4895,0.6915,0.5238,0.4815,0.6154,0.4667,7.0,2.162,0.091,0.128,0.683,0.075,1.126,0.897,0.091,0.094,0.094,0.0,0.0,3.0,0.0,1.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.091,0.0,0.0,1.0,0.0,0.0,4.528,3.0,3.151,0.0,0.026,0.0,0.0,0.117,0.121,0.121,15.0,3.0,1.0,3.0,8.0,1.0,1.0,2.0,11.0,0.0,0.0,2734.0,2.0,0.0,0.0,0.0,5.712,0.186,0.186,0.193,0.192,8.0,0.0,3.0,11.0,1.0,0.0,0.0,8.0,0.0,0.0,0.186,0.0,0.0,1.0,0.0,0.0,12.452,8.0,8.402,0.056,0.0,0.0,0.243,0.251,0.25,3.497,0.194,0.193,0.187,0.187,4.0,1.0,5.0,10.0,0.0,0.0,0.0,4.0,1.0,0.0,0.096,0.097,0.0,0.0,0.0,0.0,8.95,5.0,4.772,0.036,0.0,0.0,0.23,0.222,0.222,3.521,1.571,39.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0
8483515,2022,Juraj Slafkovsky,2022020133,MTL,STL,AWAY,20221029,L,all,623.0,15.0,0.685,0.5944,0.5717,0.4167,0.4483,0.4545,0.4722,12.0,1.498,0.652,0.091,0.194,0.04,0.614,0.411,0.652,0.652,0.652,0.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.102,0.55,0.0,0.0,1.0,1.975,2.0,1.964,0.0,0.026,0.0,0.0,0.678,0.678,0.678,15.0,2.0,1.0,3.0,9.0,3.0,1.0,3.0,8.0,1.0,0.0,2977.0,0.0,0.0,0.0,0.0,3.828,0.74,0.736,0.741,0.737,4.0,1.0,0.0,5.0,1.0,0.0,0.0,3.0,1.0,1.0,0.088,0.102,0.55,0.0,0.0,1.0,5.139,5.0,5.054,0.042,0.0,0.0,0.782,0.783,0.779,4.881,0.505,0.494,0.478,0.468,4.0,2.0,1.0,7.0,0.0,0.0,0.0,2.0,4.0,0.0,0.095,0.41,0.0,0.0,0.0,0.0,6.718,6.0,5.738,0.086,0.0,0.0,0.591,0.561,0.549,3.237,2.425,39.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
8483515,2022,Juraj Slafkovsky,2022020151,MTL,MIN,AWAY,20221101,L,all,746.0,16.0,-0.55,0.1617,0.347,0.3043,0.4946,0.2857,0.525,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,2.0,2.0,12.0,3.0,3.0,1.0,9.0,0.0,0.0,2854.0,2.0,0.0,0.0,1.0,2.083,0.115,0.115,0.113,0.113,1.0,3.0,3.0,7.0,0.0,0.0,0.0,4.0,0.0,0.0,0.115,0.0,0.0,0.0,0.0,0.0,6.525,4.0,3.817,0.039,0.0,0.0,0.154,0.151,0.151,6.983,0.596,0.586,0.601,0.591,4.0,6.0,6.0,16.0,0.0,0.0,0.0,6.0,4.0,0.0,0.204,0.392,0.0,0.0,0.0,0.0,16.434,10.0,10.107,0.096,0.0,0.0,0.692,0.697,0.686,2.341,4.406,46.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0
8483515,2022,Juraj Slafkovsky,2022020165,MTL,WPG,AWAY,20221103,L,all,498.0,10.0,0.025,0.5136,0.4141,0.4167,0.3548,0.5,0.3684,12.0,1.353,0.29,0.132,0.388,0.082,0.627,0.481,0.29,0.305,0.305,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,2.064,2.0,2.061,0.0,0.028,0.0,0.0,0.319,0.335,0.335,10.0,0.0,2.0,1.0,7.0,0.0,3.0,0.0,7.0,0.0,0.0,3207.0,0.0,0.0,0.0,1.0,2.788,0.321,0.321,0.337,0.337,3.0,1.0,1.0,5.0,0.0,0.0,0.0,2.0,2.0,0.0,0.03,0.29,0.0,0.0,0.0,0.0,5.231,4.0,4.192,0.041,0.0,0.0,0.362,0.381,0.381,2.983,0.304,0.3,0.29,0.287,3.0,1.0,3.0,7.0,0.0,1.0,0.0,2.0,2.0,0.0,0.027,0.277,0.0,0.0,0.0,0.0,6.735,4.0,3.83,0.044,0.184,0.184,0.164,0.156,0.156,2.554,3.613,33.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0
8483515,2022,Juraj Slafkovsky,2022020184,MTL,VGK,HOME,20221105,L,all,694.0,17.0,1.225,0.3531,0.3225,0.625,0.3853,0.6471,0.3944,9.0,2.18,0.137,0.133,0.433,0.068,1.402,0.829,0.136,0.128,0.128,0.0,0.0,3.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,0.0,0.137,0.0,0.0,1.0,0.0,0.0,2.732,3.0,2.765,0.0,0.03,0.0,0.0,0.167,0.157,0.156,17.0,2.0,2.0,4.0,9.0,3.0,3.0,2.0,9.0,0.0,0.0,2906.0,0.0,0.0,0.0,1.0,7.456,0.417,0.411,0.386,0.38,10.0,1.0,4.0,15.0,1.0,0.0,0.0,11.0,0.0,0.0,0.417,0.0,0.0,1.0,0.0,0.0,14.062,11.0,10.278,0.099,0.0,0.0,0.516,0.478,0.471,4.693,0.764,0.764,0.82,0.82,5.0,1.0,3.0,9.0,1.0,0.0,0.0,1.0,4.0,1.0,0.062,0.495,0.207,0.0,1.0,0.0,9.694,6.0,6.438,0.094,0.0,0.0,0.857,0.92,0.92,1.565,3.288,42.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0
8483515,2022,Juraj Slafkovsky,2022020203,MTL,DET,AWAY,20221108,L,all,633.0,13.0,0.225,0.6648,0.3165,0.65,0.3365,0.6667,0.3373,12.0,2.224,0.141,0.115,0.624,0.087,1.121,0.913,0.139,0.154,0.152,0.0,0.0,1.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,1.0,3.0,1.0,5.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.027,0.114,0.0,0.0,0.0,0.0,4.412,3.0,3.301,0.0,0.023,0.0,0.0,0.164,0.18,0.178,13.0,3.0,2.0,1.0,7.0,1.0,3.0,1.0,8.0,0.0,0.0,3267.0,5.0,0.0,0.0,0.0,5.958,0.232,0.23,0.254,0.251,6.0,2.0,5.0,13.0,0.0,0.0,0.0,7.0,1.0,0.0,0.118,0.114,0.0,0.0,0.0,0.0,14.197,8.0,8.733,0.055,0.0,0.0,0.287,0.314,0.311,2.926,0.117,0.117,0.109,0.109,2.0,2.0,3.0,7.0,0.0,0.0,0.0,4.0,0.0,0.0,0.117,0.0,0.0,0.0,0.0,0.0,6.515,4.0,3.72,0.03,0.0,0.0,0.147,0.138,0.138,1.439,3.108,35.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0
