gameId,teamAbbrev,homeRoadFlag,gameDate,goals,assists,commonName,opponentCommonName,points,plusMinus,powerPlayGoals,powerPlayPoints,gameWinningGoals,otGoals,shots,shifts,shorthandedGoals,shorthandedPoints,toi,opponentAbbrev,pim,season
2025021180,MTL,R,2026-03-31,0,0,{'default': 'Canadiens'},{'default': 'Lightning'},0,1,0,0,0,0,0,25,0,0,18:14,TBL,2,2025
2025021169,MTL,R,2026-03-29,0,0,{'default': 'Canadiens'},{'default': 'Hurricanes'},0,0,0,0,0,0,0,22,0,0,19:42,CAR,2,2025
2025021161,MTL,R,2026-03-28,0,0,{'default': 'Canadiens'},{'default': 'Predators'},0,3,0,0,0,0,1,22,0,0,17:23,NSH,2,2025
2025021137,MTL,H,2026-03-26,0,0,{'default': 'Canadiens'},{'default': 'Blue Jackets'},0,0,0,0,0,0,0,24,0,0,20:50,CBJ,0,2025
2025021121,MTL,H,2026-03-24,0,0,{'default': 'Canadiens'},{'default': 'Hurricanes'},0,1,0,0,0,0,0,24,0,0,20:30,CAR,2,2025
2025021105,MTL,H,2026-03-21,1,2,{'default': 'Canadiens'},{'default': 'Islanders'},3,3,0,0,1,0,3,19,0,0,16:21,NYI,14,2025
2025021085,MTL,R,2026-03-19,0,0,{'default': 'Canadiens'},{'default': 'Red Wings'},0,-1,0,0,0,0,1,19,0,0,16:33,DET,2,2025
2025021069,MTL,H,2026-03-17,0,0,{'default': 'Canadiens'},{'default': 'Bruins'},0,1,0,0,0,0,2,27,0,0,22:22,BOS,0,2025
2025021059,MTL,H,2026-03-15,0,0,{'default': 'Canadiens'},{'default': 'Ducks'},0,-1,0,0,0,0,0,20,0,0,17:05,ANA,0,2025
2025021048,MTL,H,2026-03-14,0,0,{'default': 'Canadiens'},{'default': 'Sharks'},0,0,0,0,0,0,2,21,0,0,18:21,SJS,0,2025
2025021025,MTL,R,2026-03-11,0,1,{'default': 'Canadiens'},"{'default': 'Senators', 'fr': 'Sénateurs'}",1,-1,0,0,0,0,1,26,0,0,23:19,OTT,0,2025
2025021014,MTL,H,2026-03-10,0,1,{'default': 'Canadiens'},{'default': 'Maple Leafs'},1,2,0,0,0,0,1,23,0,0,22:26,TOR,0,2025
2025020997,MTL,R,2026-03-07,0,0,{'default': 'Canadiens'},{'default': 'Kings'},0,-1,0,0,0,0,0,26,0,0,24:26,LAK,2,2025
2025020987,MTL,R,2026-03-06,0,0,{'default': 'Canadiens'},{'default': 'Ducks'},0,-1,0,0,0,0,0,24,0,0,19:42,ANA,0,2025
2025020969,MTL,R,2026-03-03,0,1,{'default': 'Canadiens'},{'default': 'Sharks'},1,0,0,0,0,0,1,25,0,0,20:14,SJS,0,2025
2025020940,MTL,H,2026-02-28,0,0,{'default': 'Canadiens'},{'default': 'Capitals'},0,1,0,0,0,0,1,25,0,0,24:48,WSH,0,2025
2025020919,MTL,H,2026-02-26,0,0,{'default': 'Canadiens'},{'default': 'Islanders'},0,0,0,0,0,0,2,23,0,0,21:37,NYI,0,2025
