gameId,teamAbbrev,homeRoadFlag,gameDate,goals,assists,commonName,opponentCommonName,points,plusMinus,powerPlayGoals,powerPlayPoints,gameWinningGoals,otGoals,shots,shifts,shorthandedGoals,shorthandedPoints,opponentAbbrev,toi,pim,season
2025020868,CBJ,R,2026-01-31,0,1,{'default': 'Blue Jackets'},{'default': 'Blues'},1,2,0,0,0,0,2,19,0,0,STL,17:04,0,2025
2025020858,CBJ,R,2026-01-30,0,1,{'default': 'Blue Jackets'},{'default': 'Blackhawks'},1,0,0,1,0,0,1,21,0,0,CHI,18:05,0,2025
2025020840,CBJ,H,2026-01-28,1,0,{'default': 'Blue Jackets'},{'default': 'Flyers'},1,0,0,0,0,0,3,18,0,0,PHI,17:47,0,2025
2025020814,CBJ,H,2026-01-24,0,2,{'default': 'Blue Jackets'},{'default': 'Lightning'},2,2,0,0,0,0,3,22,0,0,TBL,17:35,0,2025
2025020797,CBJ,H,2026-01-22,0,0,{'default': 'Blue Jackets'},{'default': 'Stars'},0,0,0,0,0,0,3,18,0,0,DAL,17:35,0,2025
2025020782,CBJ,H,2026-01-20,0,0,{'default': 'Blue Jackets'},"{'default': 'Senators', 'fr': 'Sénateurs'}",0,-1,0,0,0,0,1,20,0,0,OTT,18:23,0,2025
2025020760,CBJ,R,2026-01-17,1,0,{'default': 'Blue Jackets'},{'default': 'Penguins'},1,1,0,0,0,0,4,24,0,0,PIT,18:38,0,2025
2025020743,CBJ,H,2026-01-15,1,1,{'default': 'Blue Jackets'},{'default': 'Canucks'},2,1,0,1,1,0,3,18,0,0,VAN,17:03,2,2025
2025020728,CBJ,H,2026-01-13,0,1,{'default': 'Blue Jackets'},{'default': 'Flames'},1,0,0,1,0,0,1,19,0,0,CGY,19:00,0,2025
2025020714,CBJ,R,2026-01-11,0,2,{'default': 'Blue Jackets'},{'default': 'Mammoth'},2,-2,0,2,0,0,4,21,0,0,UTA,18:11,0,2025
2025020699,CBJ,R,2026-01-10,0,0,{'default': 'Blue Jackets'},{'default': 'Avalanche'},0,-1,0,0,0,0,4,20,0,0,COL,20:01,2,2025
2025020692,CBJ,R,2026-01-08,1,0,{'default': 'Blue Jackets'},{'default': 'Golden Knights'},1,1,0,0,0,0,4,20,0,0,VGK,19:35,0,2025
2025020675,CBJ,R,2026-01-06,0,1,{'default': 'Blue Jackets'},{'default': 'Sharks'},1,-2,0,0,0,0,4,20,0,0,SJS,17:41,0,2025
2025020658,CBJ,H,2026-01-04,1,1,{'default': 'Blue Jackets'},{'default': 'Penguins'},2,1,0,0,0,0,4,20,0,0,PIT,16:45,0,2025
2025020646,CBJ,H,2026-01-03,0,0,{'default': 'Blue Jackets'},{'default': 'Sabres'},0,0,0,0,0,0,2,16,0,0,BUF,16:28,0,2025
2025020627,CBJ,H,2025-12-31,0,1,{'default': 'Blue Jackets'},{'default': 'Devils'},1,-1,0,0,0,0,5,26,0,0,NJD,25:11,2,2025
2025020606,CBJ,R,2025-12-29,1,0,{'default': 'Blue Jackets'},"{'default': 'Senators', 'fr': 'Sénateurs'}",1,1,0,0,0,0,5,18,0,0,OTT,17:27,0,2025
2025020603,CBJ,H,2025-12-28,2,0,{'default': 'Blue Jackets'},{'default': 'Islanders'},2,2,0,0,1,0,5,19,0,0,NYI,21:18,0,2025
2025020574,CBJ,R,2025-12-22,1,0,{'default': 'Blue Jackets'},{'default': 'Kings'},1,0,1,1,0,0,2,19,0,0,LAK,17:26,0,2025
2025020560,CBJ,R,2025-12-20,0,0,{'default': 'Blue Jackets'},{'default': 'Ducks'},0,-1,0,0,0,0,1,21,0,0,ANA,17:36,0,2025
2025020540,CBJ,H,2025-12-18,0,0,{'default': 'Blue Jackets'},{'default': 'Wild'},0,-1,0,0,0,0,3,22,0,0,MIN,15:50,0,2025
2025020525,CBJ,H,2025-12-16,0,0,{'default': 'Blue Jackets'},{'default': 'Ducks'},0,0,0,0,0,0,1,20,0,0,ANA,19:38,0,2025
