gameId,teamAbbrev,homeRoadFlag,gameDate,goals,assists,commonName,opponentCommonName,points,plusMinus,powerPlayGoals,powerPlayPoints,gameWinningGoals,otGoals,shots,shifts,shorthandedGoals,shorthandedPoints,toi,pim,opponentAbbrev,season
2025020850,PIT,H,2026-01-29,0,0,{'default': 'Penguins'},{'default': 'Blackhawks'},0,-2,0,0,0,0,3,20,0,0,21:15,0,CHI,2025
2025020822,PIT,R,2026-01-25,0,0,{'default': 'Penguins'},{'default': 'Canucks'},0,0,0,0,0,0,1,24,0,0,26:28,0,VAN,2025
2025020772,PIT,R,2026-01-19,0,0,{'default': 'Penguins'},{'default': 'Kraken'},0,3,0,0,0,0,1,21,0,0,21:58,0,SEA,2025
2025020760,PIT,H,2026-01-17,0,1,{'default': 'Penguins'},{'default': 'Blue Jackets'},1,0,0,0,0,0,0,22,0,0,25:55,0,CBJ,2025
2025020741,PIT,H,2026-01-15,0,1,{'default': 'Penguins'},{'default': 'Flyers'},1,0,0,1,0,0,2,21,0,0,23:26,2,PHI,2025
2025020726,PIT,H,2026-01-13,0,1,{'default': 'Penguins'},{'default': 'Lightning'},1,0,0,0,0,0,1,26,0,0,25:13,0,TBL,2025
2025020712,PIT,R,2026-01-11,0,0,{'default': 'Penguins'},{'default': 'Bruins'},0,0,0,0,0,0,1,21,0,0,23:37,0,BOS,2025
2025020698,PIT,H,2026-01-10,0,0,{'default': 'Penguins'},{'default': 'Flames'},0,-1,0,0,0,0,1,21,0,0,24:51,0,CGY,2025
2025020687,PIT,H,2026-01-08,0,1,{'default': 'Penguins'},{'default': 'Devils'},1,2,0,0,0,0,1,22,0,0,22:54,0,NJD,2025
2025020658,PIT,R,2026-01-04,0,0,{'default': 'Penguins'},{'default': 'Blue Jackets'},0,-1,0,0,0,0,3,21,0,0,23:17,0,CBJ,2025
2025020644,PIT,R,2026-01-03,0,1,{'default': 'Penguins'},{'default': 'Red Wings'},1,1,0,0,0,0,1,23,0,0,22:26,0,DET,2025
2025020635,PIT,H,2026-01-01,1,0,{'default': 'Penguins'},{'default': 'Red Wings'},1,1,0,0,1,1,2,21,0,0,22:16,0,DET,2025
2025020619,PIT,H,2025-12-30,0,0,{'default': 'Penguins'},{'default': 'Hurricanes'},0,0,0,0,0,0,2,21,0,0,22:32,0,CAR,2025
2025020604,PIT,R,2025-12-28,0,1,{'default': 'Penguins'},{'default': 'Blackhawks'},1,1,0,0,0,0,3,21,0,0,21:18,2,CHI,2025
