gameId,teamAbbrev,homeRoadFlag,gameDate,goals,assists,commonName,opponentCommonName,points,plusMinus,powerPlayGoals,powerPlayPoints,gameWinningGoals,otGoals,shots,shifts,shorthandedGoals,shorthandedPoints,toi,opponentAbbrev,pim,season
2025020756,NYI,R,2026-01-17,0,0,{'default': 'Islanders'},{'default': 'Flames'},0,0,0,0,0,0,1,14,0,0,9:31,CGY,2,2025
2025020747,NYI,R,2026-01-15,0,0,{'default': 'Islanders'},{'default': 'Oilers'},0,0,0,0,0,0,1,12,0,0,9:33,EDM,0,2025
2025020732,NYI,R,2026-01-13,1,0,{'default': 'Islanders'},{'default': 'Jets'},1,1,0,0,0,0,2,11,0,0,8:57,WPG,0,2025
2025020689,NYI,R,2026-01-08,0,0,{'default': 'Islanders'},{'default': 'Predators'},0,0,0,0,0,0,0,14,0,0,9:52,NSH,2,2025
2025020669,NYI,H,2026-01-06,0,0,{'default': 'Islanders'},{'default': 'Devils'},0,2,0,0,0,0,1,15,0,0,12:26,NJD,0,2025
2025020651,NYI,H,2026-01-03,0,0,{'default': 'Islanders'},{'default': 'Maple Leafs'},0,0,0,0,0,0,1,15,0,0,10:15,TOR,0,2025
2025020633,NYI,H,2026-01-01,0,0,{'default': 'Islanders'},{'default': 'Mammoth'},0,0,0,0,0,0,1,17,0,0,11:51,UTA,0,2025
2025020603,NYI,R,2025-12-28,0,0,{'default': 'Islanders'},{'default': 'Blue Jackets'},0,-1,0,0,0,0,1,12,0,0,9:19,CBJ,0,2025
2025020588,NYI,H,2025-12-27,0,0,{'default': 'Islanders'},{'default': 'Rangers'},0,0,0,0,0,0,1,13,0,0,10:10,NYR,0,2025
2025020580,NYI,H,2025-12-23,0,0,{'default': 'Islanders'},{'default': 'Devils'},0,-1,0,0,0,0,2,16,0,0,11:26,NJD,0,2025
2025020553,NYI,R,2025-12-20,0,0,{'default': 'Islanders'},{'default': 'Sabres'},0,0,0,0,0,0,0,18,0,0,13:55,BUF,0,2025
2025020545,NYI,H,2025-12-19,0,0,{'default': 'Islanders'},{'default': 'Canucks'},0,-1,0,0,0,0,0,13,0,0,9:51,VAN,0,2025
2025020522,NYI,R,2025-12-16,0,0,{'default': 'Islanders'},{'default': 'Red Wings'},0,0,0,0,0,0,2,16,0,0,11:45,DET,0,2025
2025020498,NYI,H,2025-12-13,0,0,{'default': 'Islanders'},{'default': 'Lightning'},0,0,0,0,0,0,2,17,0,0,13:25,TBL,0,2025
2025020482,NYI,H,2025-12-11,0,0,{'default': 'Islanders'},{'default': 'Ducks'},0,0,0,0,0,0,0,17,0,0,11:00,ANA,0,2025
2025020468,NYI,H,2025-12-09,0,1,{'default': 'Islanders'},{'default': 'Golden Knights'},1,0,0,0,0,0,0,15,0,0,10:31,VGK,2,2025
2025020454,NYI,R,2025-12-07,0,0,{'default': 'Islanders'},{'default': 'Panthers'},0,0,0,0,0,0,0,16,0,0,14:26,FLA,0,2025
2025020446,NYI,R,2025-12-06,0,0,{'default': 'Islanders'},{'default': 'Lightning'},0,0,0,0,0,0,0,15,0,0,12:56,TBL,0,2025
2025020430,NYI,H,2025-12-04,1,0,{'default': 'Islanders'},{'default': 'Avalanche'},1,1,0,0,0,0,3,18,0,0,12:05,COL,0,2025
2025020414,NYI,H,2025-12-02,0,0,{'default': 'Islanders'},{'default': 'Lightning'},0,-1,0,0,0,0,0,14,0,0,9:27,TBL,2,2025
2025020402,NYI,H,2025-11-30,0,0,{'default': 'Islanders'},{'default': 'Capitals'},0,0,0,0,0,0,1,13,0,0,10:34,WSH,0,2025
2025020381,NYI,H,2025-11-28,0,0,{'default': 'Islanders'},{'default': 'Flyers'},0,1,0,0,0,0,1,14,0,0,9:56,PHI,2,2025
2025020228,NYI,H,2025-11-07,0,0,{'default': 'Islanders'},{'default': 'Wild'},0,-1,0,0,0,0,0,13,0,0,10:50,MIN,0,2025
2025020205,NYI,H,2025-11-04,0,1,{'default': 'Islanders'},{'default': 'Bruins'},1,1,0,0,0,0,0,13,0,0,7:49,BOS,0,2025
2025020195,NYI,H,2025-11-02,0,0,{'default': 'Islanders'},{'default': 'Blue Jackets'},0,0,0,0,0,0,1,12,0,0,9:28,CBJ,0,2025
2025020179,NYI,R,2025-10-31,0,0,{'default': 'Islanders'},{'default': 'Capitals'},0,0,0,0,0,0,0,12,0,0,10:09,WSH,0,2025
2025020171,NYI,R,2025-10-30,0,0,{'default': 'Islanders'},{'default': 'Hurricanes'},0,-2,0,0,0,0,1,17,0,0,10:32,CAR,2,2025
2025020154,NYI,R,2025-10-28,0,0,{'default': 'Islanders'},{'default': 'Bruins'},0,0,0,0,0,0,1,12,0,0,9:40,BOS,0,2025
2025020127,NYI,R,2025-10-25,0,0,{'default': 'Islanders'},{'default': 'Flyers'},0,-1,0,0,0,0,2,13,0,0,7:55,PHI,5,2025
2025020115,NYI,H,2025-10-23,0,0,{'default': 'Islanders'},{'default': 'Red Wings'},0,-1,0,0,0,0,1,16,0,0,9:01,DET,12,2025
2025020077,NYI,R,2025-10-18,0,0,{'default': 'Islanders'},"{'default': 'Senators', 'fr': 'Sénateurs'}",0,-1,0,0,0,0,1,14,0,0,12:42,OTT,0,2025
2025020065,NYI,H,2025-10-16,0,0,{'default': 'Islanders'},{'default': 'Oilers'},0,0,0,0,0,0,0,12,0,0,7:43,EDM,0,2025
2024021312,NYI,R,2025-04-17,0,0,{'default': 'Islanders'},{'default': 'Blue Jackets'},0,-2,0,0,0,0,0,17,0,0,13:32,CBJ,0,2024
2024021296,NYI,H,2025-04-15,0,0,{'default': 'Islanders'},{'default': 'Capitals'},0,0,0,0,0,0,0,15,0,0,11:06,WSH,0,2024
2024021277,NYI,R,2025-04-13,0,0,{'default': 'Islanders'},{'default': 'Devils'},0,0,0,0,0,0,1,13,0,0,11:31,NJD,0,2024
2024021265,NYI,R,2025-04-12,0,0,{'default': 'Islanders'},{'default': 'Flyers'},0,0,0,0,0,0,1,15,0,0,11:27,PHI,0,2024
2024021254,NYI,H,2025-04-10,0,0,{'default': 'Islanders'},{'default': 'Rangers'},0,-1,0,0,0,0,1,18,0,0,14:56,NYR,0,2024
2024021241,NYI,R,2025-04-08,0,0,{'default': 'Islanders'},{'default': 'Predators'},0,-2,0,0,0,0,2,13,0,0,10:18,NSH,0,2024
2024021222,NYI,H,2025-04-06,0,2,{'default': 'Islanders'},{'default': 'Capitals'},2,2,0,0,0,0,0,16,0,0,11:07,WSH,0,2024
2024021208,NYI,H,2025-04-04,0,0,{'default': 'Islanders'},{'default': 'Wild'},0,0,0,0,0,0,0,12,0,0,8:59,MIN,0,2024
2024021186,NYI,H,2025-04-01,0,0,{'default': 'Islanders'},{'default': 'Lightning'},0,-1,0,0,0,0,0,13,0,0,10:33,TBL,0,2024
2024021175,NYI,R,2025-03-30,0,0,{'default': 'Islanders'},{'default': 'Hurricanes'},0,-1,0,0,0,0,1,14,0,0,9:18,CAR,0,2024
2024021160,NYI,R,2025-03-29,0,0,{'default': 'Islanders'},{'default': 'Lightning'},0,1,0,0,0,0,0,15,0,0,11:46,TBL,0,2024
2024021139,NYI,H,2025-03-26,0,0,{'default': 'Islanders'},{'default': 'Canucks'},0,-2,0,0,0,0,0,14,0,0,10:23,VAN,0,2024
2024021126,NYI,H,2025-03-24,0,0,{'default': 'Islanders'},{'default': 'Blue Jackets'},0,0,0,0,0,0,0,13,0,0,10:52,CBJ,0,2024
2024021108,NYI,H,2025-03-22,1,0,{'default': 'Islanders'},{'default': 'Flames'},1,2,0,0,0,0,4,16,0,0,11:53,CGY,0,2024
2024021094,NYI,H,2025-03-20,0,0,{'default': 'Islanders'},{'default': 'Canadiens'},0,-1,0,0,0,0,1,16,0,0,10:10,MTL,2,2024
2024021080,NYI,R,2025-03-18,0,0,{'default': 'Islanders'},{'default': 'Penguins'},0,0,0,0,0,0,0,15,0,0,10:30,PIT,0,2024
2024021070,NYI,H,2025-03-16,0,0,{'default': 'Islanders'},{'default': 'Panthers'},0,2,0,0,0,0,2,14,0,0,8:58,FLA,2,2024
2024021050,NYI,H,2025-03-14,0,0,{'default': 'Islanders'},{'default': 'Oilers'},0,0,0,0,0,0,0,11,0,0,9:17,EDM,0,2024
2024021034,NYI,R,2025-03-11,0,0,{'default': 'Islanders'},{'default': 'Kings'},0,0,0,0,0,0,1,11,0,0,9:06,LAK,0,2024
2024021012,NYI,R,2025-03-08,0,0,{'default': 'Islanders'},{'default': 'Sharks'},0,0,0,0,0,0,1,13,0,0,9:28,SJS,0,2024
2024020978,NYI,H,2025-03-04,0,0,{'default': 'Islanders'},{'default': 'Jets'},0,0,0,0,0,0,0,8,0,0,8:05,WPG,0,2024
