playerId,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts
8475151,2010,Kyle Palmieri,2010020172,ANA,T.B,HOME,20101103,R,all,460.0,12.0,0.725,0.441,0.5635,0.3529,0.5368,0.3333,0.5278,11.0,2.341,0.321,0.199,0.373,0.06,1.143,0.904,0.321,0.307,0.307,0.0,0.0,3.0,0.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.321,0.0,0.0,1.0,0.0,2.91,3.0,2.914,0.0,0.042,0.0,0.0,0.363,0.347,0.347,12.0,2.0,1.0,0.0,9.0,0.0,2.0,4.0,6.0,0.0,0.0,3313.0,0.0,0.0,0.0,0.0,3.658,0.381,0.381,0.364,0.364,5.0,0.0,1.0,6.0,1.0,0.0,0.0,2.0,3.0,0.0,0.06,0.321,0.0,0.0,1.0,0.0,5.71,5.0,4.801,0.058,0.0,0.0,0.439,0.418,0.418,6.878,0.483,0.475,0.509,0.501,6.0,4.0,1.0,11.0,1.0,0.0,0.0,8.0,2.0,0.0,0.29,0.192,0.0,1.0,0.0,0.0,11.266,10.0,10.246,0.097,0.0,0.0,0.58,0.611,0.602,2.116,1.639,51.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0
8475151,2010,Kyle Palmieri,2010020186,ANA,PIT,HOME,20101105,R,all,526.0,13.0,-0.025,0.3793,0.447,0.375,0.4388,0.5,0.4306,11.0,0.692,0.009,0.04,0.126,0.018,0.479,0.328,0.009,0.009,0.009,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.009,0.0,0.0,0.0,0.0,0.0,1.026,1.0,1.038,0.0,0.008,0.0,0.0,0.018,0.018,0.018,13.0,0.0,0.0,3.0,10.0,1.0,1.0,1.0,10.0,0.0,0.0,3074.0,0.0,0.0,0.0,0.0,2.125,0.055,0.055,0.053,0.053,2.0,1.0,0.0,3.0,0.0,0.0,0.0,3.0,0.0,0.0,0.055,0.0,0.0,0.0,0.0,0.0,2.966,3.0,2.981,0.022,0.0,0.0,0.077,0.075,0.075,1.386,0.09,0.09,0.089,0.089,2.0,1.0,2.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,4.893,3.0,2.883,0.03,0.0,0.0,0.12,0.119,0.119,2.119,2.621,43.0,55.0,0.0,0.0,0.0,0.0,0.0,0.0
8475151,2010,Kyle Palmieri,2010020202,ANA,NSH,HOME,20101107,R,all,409.0,11.0,-0.675,0.1088,0.6725,0.125,0.5979,0.1538,0.6145,12.0,0.785,0.017,0.031,0.195,0.022,0.438,0.298,0.017,0.016,0.016,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.017,0.0,0.0,0.0,0.0,0.0,0.97,1.0,0.971,0.0,0.006,0.0,0.0,0.023,0.022,0.022,11.0,1.0,0.0,3.0,7.0,2.0,2.0,3.0,4.0,0.0,0.0,3191.0,0.0,0.0,0.0,0.0,1.56,0.077,0.077,0.076,0.076,1.0,1.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.077,0.0,0.0,0.0,0.0,0.0,1.996,2.0,2.01,0.022,0.0,0.0,0.099,0.097,0.097,7.564,0.631,0.617,0.65,0.636,5.0,6.0,3.0,14.0,1.0,0.0,0.0,9.0,1.0,1.0,0.304,0.095,0.231,0.0,0.0,1.0,13.992,11.0,10.938,0.087,0.0,0.0,0.717,0.739,0.723,2.899,1.412,58.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0
8475151,2010,Kyle Palmieri,2010020210,ANA,S.J,AWAY,20101109,R,all,385.0,10.0,-0.15,0.164,0.2151,0.2857,0.3364,0.2857,0.3494,11.0,0.775,0.04,0.037,0.218,0.023,0.372,0.31,0.04,0.043,0.043,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,1.103,1.0,1.1,0.0,0.007,0.0,0.0,0.047,0.051,0.051,10.0,1.0,0.0,2.0,7.0,2.0,0.0,2.0,6.0,0.0,0.0,3482.0,0.0,0.0,0.0,0.0,1.452,0.052,0.052,0.058,0.058,0.0,2.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.052,0.0,0.0,0.0,0.0,0.0,2.206,2.0,2.201,0.015,0.0,0.0,0.068,0.074,0.074,3.644,0.265,0.265,0.251,0.251,3.0,2.0,0.0,5.0,0.0,0.0,0.0,4.0,1.0,0.0,0.166,0.099,0.0,0.0,0.0,0.0,4.852,5.0,4.881,0.056,0.0,0.0,0.32,0.305,0.305,1.198,4.371,36.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0
8475151,2010,Kyle Palmieri,2010020216,ANA,NYI,HOME,20101110,R,all,434.0,9.0,-0.1,0.0997,0.3626,0.4167,0.3412,0.3,0.3051,11.0,0.761,0.011,0.025,0.194,0.027,0.377,0.365,0.011,0.011,0.011,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.97,1.0,0.971,0.0,0.005,0.0,0.0,0.016,0.015,0.015,9.0,3.0,0.0,1.0,5.0,1.0,2.0,1.0,5.0,0.0,0.0,3166.0,0.0,0.0,0.0,0.0,2.171,0.036,0.036,0.034,0.034,1.0,2.0,2.0,5.0,0.0,0.0,0.0,3.0,0.0,0.0,0.036,0.0,0.0,0.0,0.0,0.0,4.906,3.0,2.914,0.018,0.0,0.0,0.055,0.052,0.052,5.321,0.325,0.325,0.335,0.335,4.0,3.0,0.0,7.0,0.0,0.0,0.0,6.0,1.0,0.0,0.195,0.13,0.0,0.0,0.0,0.0,7.167,7.0,7.147,0.053,0.0,0.0,0.378,0.39,0.39,0.962,1.691,29.0,56.0,0.0,0.0,0.0,0.0,0.0,0.0
8475151,2010,Kyle Palmieri,2010020232,ANA,DAL,HOME,20101112,R,all,399.0,11.0,0.175,0.7086,0.6059,0.6,0.5275,0.6667,0.5467,12.0,0.753,0.011,0.029,0.211,0.022,0.389,0.337,0.011,0.011,0.011,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.011,0.0,0.0,0.0,0.0,0.0,0.97,1.0,0.971,0.0,0.006,0.0,0.0,0.017,0.017,0.017,11.0,2.0,0.0,3.0,6.0,3.0,3.0,0.0,5.0,0.0,0.0,3201.0,0.0,0.0,0.0,0.0,4.51,0.124,0.124,0.118,0.118,5.0,1.0,0.0,6.0,0.0,0.0,0.0,6.0,0.0,0.0,0.124,0.0,0.0,0.0,0.0,0.0,5.82,6.0,5.827,0.039,0.0,0.0,0.163,0.155,0.155,2.115,0.051,0.051,0.054,0.053,1.0,2.0,1.0,4.0,0.0,0.0,0.0,3.0,0.0,0.0,0.051,0.0,0.0,0.0,0.0,0.0,4.032,3.0,3.091,0.02,0.0,0.0,0.071,0.075,0.074,2.801,1.822,48.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0
8475151,2010,Kyle Palmieri,2010020247,ANA,CHI,AWAY,20101114,R,all,813.0,21.0,0.3,0.5226,0.205,0.5556,0.3208,0.55,0.3133,7.0,0.716,0.052,0.037,0.167,0.026,0.404,0.314,0.052,0.055,0.055,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.052,0.0,0.0,0.0,0.0,0.0,2.064,1.0,1.03,0.0,0.007,0.0,0.0,0.06,0.062,0.062,21.0,3.0,4.0,3.0,11.0,0.0,5.0,1.0,15.0,0.0,0.0,3059.0,0.0,0.0,0.0,0.0,7.577,0.475,0.468,0.497,0.489,5.0,6.0,4.0,15.0,1.0,0.0,0.0,11.0,0.0,0.0,0.475,0.0,0.0,1.0,0.0,0.0,15.423,11.0,11.269,0.083,0.0,0.0,0.557,0.583,0.574,5.953,0.434,0.434,0.418,0.418,7.0,2.0,3.0,12.0,0.0,0.0,0.0,7.0,2.0,0.0,0.24,0.194,0.0,0.0,0.0,0.0,11.808,9.0,8.808,0.077,0.0,0.0,0.511,0.493,0.492,1.093,4.238,34.0,72.0,0.0,0.0,0.0,0.0,0.0,0.0
8475151,2010,Kyle Palmieri,2010020256,ANA,DAL,AWAY,20101116,R,all,584.0,17.0,-0.375,0.2399,0.6075,0.2,0.5222,0.1667,0.5455,8.0,0.778,0.051,0.061,0.13,0.02,0.44,0.299,0.051,0.051,0.051,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.051,0.0,0.0,0.0,0.0,0.0,0.975,1.0,0.964,0.0,0.013,0.0,0.0,0.064,0.064,0.064,17.0,2.0,2.0,1.0,12.0,3.0,6.0,2.0,6.0,0.0,0.0,3016.0,0.0,0.0,0.0,0.0,1.707,0.195,0.195,0.202,0.202,2.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,1.0,0.0,0.051,0.144,0.0,0.0,0.0,0.0,3.039,2.0,1.995,0.036,0.0,0.0,0.231,0.24,0.24,7.4,0.618,0.618,0.596,0.596,6.0,4.0,2.0,12.0,0.0,0.0,0.0,8.0,1.0,1.0,0.265,0.145,0.208,0.0,0.0,0.0,11.864,10.0,9.914,0.083,0.0,0.0,0.7,0.676,0.676,3.052,1.972,47.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0
8475151,2010,Kyle Palmieri,2010020264,ANA,MIN,AWAY,20101117,R,all,789.0,17.0,-0.05,0.5078,0.6703,0.3684,0.5176,0.4375,0.5,8.0,1.428,0.09,0.083,0.365,0.052,0.771,0.639,0.09,0.095,0.095,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,2.064,2.0,2.061,0.0,0.016,0.0,0.0,0.106,0.112,0.112,17.0,3.0,1.0,1.0,12.0,3.0,3.0,1.0,10.0,0.0,0.0,3027.0,0.0,0.0,0.0,1.0,5.031,0.228,0.228,0.239,0.239,6.0,1.0,0.0,7.0,0.0,0.0,0.0,7.0,0.0,0.0,0.228,0.0,0.0,0.0,0.0,0.0,7.224,7.0,7.213,0.053,0.0,0.0,0.281,0.295,0.295,6.239,0.221,0.22,0.211,0.211,5.0,4.0,3.0,12.0,0.0,0.0,0.0,9.0,0.0,0.0,0.221,0.0,0.0,0.0,0.0,0.0,11.64,9.0,8.741,0.085,0.0,0.0,0.306,0.292,0.291,3.783,1.861,44.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0
8475151,2010,Kyle Palmieri,2010020282,ANA,CBJ,HOME,20101119,R,all,413.0,12.0,-0.025,0.1943,0.6242,0.5385,0.5818,0.5455,0.5889,12.0,0.735,0.044,0.043,0.169,0.021,0.414,0.31,0.044,0.04,0.04,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.044,0.0,0.0,0.0,0.0,0.0,0.882,1.0,0.887,0.0,0.009,0.0,0.0,0.052,0.048,0.048,12.0,2.0,0.0,2.0,8.0,3.0,2.0,2.0,5.0,0.0,0.0,3187.0,0.0,0.0,0.0,0.0,4.277,0.13,0.13,0.119,0.118,5.0,1.0,1.0,7.0,0.0,0.0,0.0,6.0,0.0,0.0,0.13,0.0,0.0,0.0,0.0,0.0,6.339,6.0,5.44,0.038,0.0,0.0,0.168,0.154,0.153,3.658,0.539,0.525,0.591,0.576,4.0,1.0,1.0,6.0,1.0,1.0,1.0,3.0,1.0,1.0,0.103,0.12,0.315,0.0,0.0,1.0,6.527,5.0,5.478,0.051,0.315,0.315,0.274,0.301,0.3,3.611,2.174,64.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0
