playerId,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts
8481024,2023,Linus Karlsson,2023020247,VAN,CGY,AWAY,20231116,C,all,714.0,17.0,0.255,0.3194,0.3396,0.5,0.3762,0.4545,0.3714,11.0,3.216,0.111,0.331,0.836,0.132,1.465,1.125,0.109,0.114,0.112,0.0,0.0,3.0,1.0,0.0,4.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,3.0,4.0,0.0,0.0,2.0,1.0,0.0,0.0,4.0,0.0,0.0,0.111,0.0,0.0,0.0,0.0,0.0,3.968,4.0,3.985,0.0,0.093,0.019,0.019,0.185,0.188,0.186,17.0,0.0,4.0,3.0,10.0,2.0,5.0,1.0,9.0,2.0,4.0,2886.0,0.0,0.0,0.0,1.0,7.361,0.298,0.296,0.303,0.302,8.0,2.0,5.0,15.0,1.0,1.0,0.0,9.0,1.0,0.0,0.202,0.095,0.0,0.0,1.0,0.0,14.797,10.0,10.085,0.136,0.019,0.019,0.415,0.423,0.421,9.053,0.635,0.577,0.631,0.573,10.0,2.0,3.0,15.0,0.0,2.0,0.0,9.0,2.0,1.0,0.199,0.187,0.249,0.0,0.0,0.0,15.412,12.0,12.119,0.118,0.352,0.352,0.401,0.397,0.356,1.439,2.798,38.0,63.0,0.0,0.0,0.0,0.0,0.0,0.0
8481024,2023,Linus Karlsson,2023020367,VAN,CGY,AWAY,20231202,C,all,604.0,13.0,-0.11,0.5728,0.5406,0.3889,0.4545,0.4545,0.4848,11.0,0.545,0.552,0.004,0.006,0.013,0.128,0.296,0.552,0.552,0.552,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.552,0.0,0.0,0.0,2.154,1.0,1.0,0.0,0.001,0.0,0.0,0.553,0.553,0.553,13.0,1.0,1.0,3.0,8.0,2.0,1.0,1.0,9.0,0.0,1.0,2996.0,0.0,2.0,1.0,0.0,3.052,0.645,0.644,0.653,0.653,1.0,4.0,2.0,7.0,0.0,1.0,0.0,4.0,0.0,1.0,0.092,0.0,0.552,0.0,0.0,0.0,7.669,5.0,5.402,0.045,0.039,0.039,0.651,0.66,0.66,4.637,0.481,0.478,0.44,0.438,5.0,1.0,5.0,11.0,0.0,1.0,0.0,4.0,1.0,1.0,0.109,0.081,0.291,0.0,0.0,0.0,9.867,6.0,5.411,0.06,0.291,0.291,0.25,0.227,0.227,3.348,2.845,40.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
8481024,2023,Linus Karlsson,2023020387,VAN,NJD,HOME,20231205,C,all,560.0,13.0,0.155,0.8392,0.522,0.6,0.4787,0.6667,0.507,11.0,0.784,0.097,0.065,0.146,0.022,0.398,0.272,0.097,0.088,0.088,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.097,0.0,0.0,0.0,0.0,0.882,1.0,0.887,0.0,0.014,0.219,0.0,0.111,0.101,0.101,13.0,1.0,2.0,3.0,7.0,2.0,0.0,0.0,11.0,0.0,2.0,3040.0,0.0,2.0,1.0,1.0,3.343,0.689,0.642,0.66,0.614,3.0,1.0,2.0,6.0,0.0,2.0,0.0,0.0,2.0,2.0,0.0,0.191,0.499,0.0,0.0,0.0,5.764,4.0,3.774,0.08,0.499,0.499,0.271,0.258,0.254,1.423,0.132,0.13,0.147,0.145,1.0,1.0,2.0,4.0,0.0,0.0,0.0,1.0,1.0,0.0,0.012,0.12,0.0,0.0,0.0,0.0,4.616,2.0,2.292,0.022,0.0,0.0,0.154,0.172,0.169,3.597,3.294,45.0,49.0,0.0,0.0,0.0,0.0,0.0,0.0
8481024,2023,Linus Karlsson,2023020596,VAN,STL,AWAY,20240104,C,all,557.0,14.0,0.1,0.7507,0.4609,0.65,0.4706,0.6429,0.4805,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,2.0,0.0,2.0,10.0,1.0,4.0,3.0,6.0,0.0,0.0,3043.0,0.0,0.0,0.0,0.0,7.158,1.147,0.917,1.205,0.963,6.0,3.0,4.0,13.0,0.0,3.0,0.0,5.0,0.0,4.0,0.063,0.0,1.085,0.0,0.0,0.0,13.668,9.0,9.384,0.115,0.862,0.862,0.401,0.422,0.382,3.478,0.381,0.38,0.361,0.36,4.0,1.0,2.0,7.0,1.0,0.0,0.0,3.0,2.0,0.0,0.076,0.305,0.0,1.0,0.0,0.0,6.736,5.0,4.869,0.051,0.0,0.0,0.432,0.41,0.408,1.807,2.114,48.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0
8481024,2024,Linus Karlsson,2024020519,VAN,VGK,AWAY,20241219,C,all,645.0,17.0,-0.4,0.022,0.4591,0.3333,0.5341,0.125,0.5273,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,1.0,2.0,2.0,12.0,1.0,2.0,2.0,12.0,0.0,0.0,2955.0,0.0,0.0,0.0,0.0,0.693,0.009,0.009,0.01,0.01,0.0,1.0,4.0,5.0,0.0,0.0,0.0,1.0,0.0,0.0,0.009,0.0,0.0,0.0,0.0,0.0,5.231,1.0,1.03,0.005,0.0,0.0,0.014,0.015,0.015,4.707,0.4,0.386,0.374,0.36,5.0,2.0,3.0,10.0,1.0,0.0,0.0,5.0,2.0,0.0,0.2,0.201,0.0,1.0,0.0,0.0,9.371,7.0,6.646,0.066,0.0,0.0,0.466,0.436,0.421,2.418,2.849,47.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0
8481024,2024,Linus Karlsson,2024020537,VAN,OTT,HOME,20241221,C,all,563.0,15.0,0.175,0.3846,0.5584,0.5833,0.5102,0.6667,0.4865,11.0,0.74,0.018,0.035,0.223,0.023,0.402,0.3,0.018,0.018,0.018,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.018,0.0,0.0,0.0,0.0,0.0,0.97,1.0,0.971,0.0,0.007,0.0,0.0,0.025,0.024,0.024,15.0,2.0,0.0,5.0,8.0,3.0,1.0,0.0,11.0,0.0,0.0,3052.0,0.0,0.0,0.0,0.0,2.802,0.08,0.079,0.074,0.074,3.0,1.0,3.0,7.0,0.0,0.0,0.0,4.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,6.515,4.0,3.72,0.031,0.0,0.0,0.111,0.103,0.103,1.434,0.128,0.128,0.14,0.14,0.0,2.0,3.0,5.0,0.0,0.0,0.0,1.0,1.0,0.0,0.029,0.1,0.0,0.0,0.0,0.0,5.515,2.0,2.201,0.022,0.0,0.0,0.15,0.165,0.165,2.786,2.203,50.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
8481024,2024,Linus Karlsson,2024020768,VAN,EDM,AWAY,20250123,C,all,578.0,15.0,-0.325,0.059,0.2785,0.3333,0.4757,0.3077,0.4805,11.0,0.677,0.022,0.037,0.183,0.022,0.433,0.303,0.022,0.022,0.022,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,0.022,0.0,0.0,0.0,0.0,0.0,0.975,1.0,0.964,0.0,0.007,0.0,0.0,0.029,0.029,0.029,15.0,2.0,2.0,3.0,8.0,3.0,3.0,1.0,8.0,0.0,0.0,3022.0,0.0,0.0,0.0,0.0,2.92,0.053,0.053,0.052,0.052,3.0,1.0,1.0,5.0,0.0,0.0,0.0,4.0,0.0,0.0,0.053,0.0,0.0,0.0,0.0,0.0,4.555,4.0,3.827,0.023,0.0,0.0,0.077,0.075,0.075,6.224,0.845,0.811,0.861,0.827,5.0,4.0,1.0,10.0,1.0,2.0,1.0,5.0,3.0,1.0,0.175,0.383,0.287,0.0,1.0,0.0,10.728,9.0,9.283,0.099,0.457,0.457,0.486,0.488,0.471,1.462,3.788,49.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0
8481024,2024,Linus Karlsson,2024020786,VAN,WSH,HOME,20250125,C,all,537.0,14.0,-0.15,0.7119,0.4004,0.3636,0.4623,0.3636,0.4625,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,2.0,1.0,10.0,2.0,1.0,1.0,10.0,0.0,0.0,3063.0,0.0,0.0,0.0,1.0,2.936,0.378,0.377,0.378,0.378,3.0,1.0,4.0,8.0,1.0,0.0,0.0,3.0,0.0,1.0,0.075,0.0,0.302,1.0,0.0,0.0,8.348,4.0,4.139,0.059,0.0,0.0,0.437,0.438,0.437,5.068,0.153,0.152,0.152,0.151,5.0,2.0,7.0,14.0,0.0,1.0,0.0,7.0,0.0,0.0,0.153,0.0,0.0,0.0,0.0,0.0,13.552,7.0,6.756,0.045,0.054,0.054,0.144,0.144,0.144,1.81,2.71,49.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0
8481024,2024,Linus Karlsson,2024020796,VAN,STL,AWAY,20250127,C,all,648.0,15.0,-0.115,0.5335,0.6622,0.381,0.5474,0.4667,0.5286,10.0,0.969,0.236,0.117,0.325,0.038,0.194,0.09,0.229,0.263,0.256,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.236,0.0,0.0,0.0,1.154,1.0,1.146,0.0,0.026,0.0,0.236,0.026,0.029,0.029,15.0,2.0,0.0,1.0,12.0,1.0,4.0,1.0,9.0,1.0,0.0,2952.0,0.0,0.0,0.0,1.0,5.272,0.438,0.428,0.494,0.482,5.0,2.0,1.0,8.0,0.0,2.0,0.0,5.0,1.0,1.0,0.111,0.092,0.236,0.0,0.0,0.0,9.352,7.0,8.051,0.075,0.328,0.328,0.186,0.21,0.208,6.201,0.383,0.383,0.346,0.346,7.0,1.0,5.0,13.0,0.0,0.0,0.0,6.0,2.0,0.0,0.136,0.247,0.0,0.0,0.0,0.0,11.589,8.0,7.109,0.076,0.0,0.0,0.459,0.415,0.415,4.141,2.112,52.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0
8481024,2024,Linus Karlsson,2024020810,VAN,NSH,AWAY,20250129,C,all,623.0,15.0,1.15,0.662,0.4108,0.5,0.3929,0.5,0.4091,12.0,1.706,0.241,0.168,0.299,0.041,0.745,0.506,0.241,0.264,0.264,0.0,0.0,2.0,0.0,1.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.073,0.167,0.0,0.0,1.0,0.0,3.238,2.0,2.201,0.0,0.034,0.0,0.0,0.275,0.301,0.301,15.0,1.0,0.0,1.0,13.0,2.0,0.0,2.0,11.0,0.0,0.0,2977.0,0.0,0.0,0.0,0.0,3.798,0.378,0.378,0.414,0.413,5.0,0.0,2.0,7.0,2.0,0.0,0.0,3.0,2.0,0.0,0.088,0.29,0.0,0.0,2.0,0.0,7.476,5.0,5.402,0.064,0.0,0.0,0.443,0.484,0.482,3.422,0.193,0.192,0.18,0.18,4.0,1.0,2.0,7.0,0.0,0.0,0.0,5.0,0.0,0.0,0.193,0.0,0.0,0.0,0.0,0.0,6.625,5.0,4.746,0.038,0.0,0.0,0.231,0.216,0.215,1.648,2.364,33.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0
