gameId,teamAbbrev,homeRoadFlag,gameDate,goals,assists,commonName,opponentCommonName,points,plusMinus,powerPlayGoals,powerPlayPoints,gameWinningGoals,otGoals,shots,shifts,shorthandedGoals,shorthandedPoints,toi,pim,opponentAbbrev,season
2025020908,NSH,R,2026-02-05,0,0,{'default': 'Predators'},{'default': 'Capitals'},0,0,0,0,0,0,1,20,0,0,18:13,0,WSH,2025
2025020896,NSH,H,2026-02-04,1,0,{'default': 'Predators'},{'default': 'Wild'},1,1,0,0,0,0,3,23,0,0,17:09,0,MIN,2025
2025020880,NSH,H,2026-02-02,0,3,{'default': 'Predators'},{'default': 'Blues'},3,0,0,0,0,0,3,24,0,0,17:58,0,STL,2025
2025020867,NSH,R,2026-01-31,0,0,{'default': 'Predators'},{'default': 'Islanders'},0,-2,0,0,0,0,2,18,0,0,17:15,0,NYI,2025
2025020848,NSH,R,2026-01-29,0,0,{'default': 'Predators'},{'default': 'Devils'},0,0,0,0,0,0,2,21,0,0,18:30,0,NJD,2025
2025020830,NSH,R,2026-01-27,0,1,{'default': 'Predators'},{'default': 'Bruins'},1,1,0,0,0,0,2,21,0,0,19:29,0,BOS,2025
2025020811,NSH,H,2026-01-24,0,0,{'default': 'Predators'},{'default': 'Mammoth'},0,-2,0,0,0,0,0,19,0,0,14:31,0,UTA,2025
2025020798,NSH,H,2026-01-22,0,2,{'default': 'Predators'},"{'default': 'Senators', 'fr': 'Sénateurs'}",2,0,0,1,0,0,0,17,0,0,13:35,0,OTT,2025
2025020784,NSH,H,2026-01-20,0,1,{'default': 'Predators'},{'default': 'Sabres'},1,0,0,0,0,0,4,24,0,0,20:35,2,BUF,2025
2025020765,NSH,R,2026-01-17,1,0,{'default': 'Predators'},{'default': 'Golden Knights'},1,1,0,0,0,0,2,18,0,0,17:55,0,VGK,2025
2025020752,NSH,R,2026-01-16,0,2,{'default': 'Predators'},{'default': 'Avalanche'},2,3,0,0,0,0,0,22,0,0,18:11,0,COL,2025
2025020731,NSH,H,2026-01-13,0,0,{'default': 'Predators'},{'default': 'Oilers'},0,0,0,0,0,0,2,18,0,0,17:27,0,EDM,2025
2025020713,NSH,H,2026-01-11,0,0,{'default': 'Predators'},{'default': 'Capitals'},0,0,0,0,0,0,2,16,0,0,15:49,0,WSH,2025
2025020707,NSH,H,2026-01-10,0,0,{'default': 'Predators'},{'default': 'Blackhawks'},0,-1,0,0,0,0,6,16,0,0,19:16,0,CHI,2025
2025020689,NSH,H,2026-01-08,0,0,{'default': 'Predators'},{'default': 'Islanders'},0,0,0,0,0,0,0,18,0,0,16:35,2,NYI,2025
2025020674,NSH,R,2026-01-06,0,1,{'default': 'Predators'},{'default': 'Oilers'},1,1,0,0,0,0,2,23,0,0,20:18,0,EDM,2025
2025020654,NSH,R,2026-01-03,0,0,{'default': 'Predators'},{'default': 'Flames'},0,-2,0,0,0,0,1,23,0,0,17:33,0,CGY,2025
2025020638,NSH,R,2026-01-01,0,1,{'default': 'Predators'},{'default': 'Kraken'},1,-1,0,1,0,0,1,19,0,0,18:55,0,SEA,2025
