gameId,teamAbbrev,homeRoadFlag,gameDate,goals,assists,commonName,opponentCommonName,points,plusMinus,powerPlayGoals,powerPlayPoints,gameWinningGoals,otGoals,shots,shifts,shorthandedGoals,shorthandedPoints,toi,pim,opponentAbbrev,season
2025021031,FLA,H,2026-03-12,0,0,{'default': 'Panthers'},{'default': 'Blue Jackets'},0,0,0,0,0,0,3,15,0,0,12:36,0,CBJ,2025
2025021016,FLA,H,2026-03-10,0,0,{'default': 'Panthers'},{'default': 'Red Wings'},0,2,0,0,0,0,0,17,0,0,11:10,0,DET,2025
2025020930,FLA,H,2026-02-27,0,0,{'default': 'Panthers'},{'default': 'Sabres'},0,0,0,0,0,0,1,10,0,0,6:43,0,BUF,2025
2025020904,FLA,R,2026-02-05,0,0,{'default': 'Panthers'},{'default': 'Lightning'},0,-1,0,0,0,0,1,17,0,0,12:13,0,TBL,2025
2025020876,FLA,H,2026-02-02,0,0,{'default': 'Panthers'},{'default': 'Sabres'},0,0,0,0,0,0,2,10,0,0,6:58,0,BUF,2025
2025020862,FLA,H,2026-01-31,0,0,{'default': 'Panthers'},{'default': 'Jets'},0,0,0,0,0,0,1,12,0,0,9:24,0,WPG,2025
2025020852,FLA,R,2026-01-29,0,1,{'default': 'Panthers'},{'default': 'Blues'},1,1,0,0,0,0,1,10,0,0,8:21,0,STL,2025
2025020817,FLA,R,2026-01-24,0,0,{'default': 'Panthers'},{'default': 'Wild'},0,0,0,0,0,0,0,11,0,0,7:02,0,MIN,2025
2025020799,FLA,R,2026-01-22,0,0,{'default': 'Panthers'},{'default': 'Jets'},0,0,0,0,0,0,0,10,0,0,7:23,0,WPG,2025
2025020761,FLA,R,2026-01-17,0,0,{'default': 'Panthers'},{'default': 'Capitals'},0,-1,0,0,0,0,1,13,0,0,7:50,0,WSH,2025
2025020750,FLA,R,2026-01-16,0,0,{'default': 'Panthers'},{'default': 'Hurricanes'},0,0,0,0,0,0,0,16,0,0,9:26,2,CAR,2025
2025020716,FLA,R,2026-01-12,0,0,{'default': 'Panthers'},{'default': 'Sabres'},0,-1,0,0,0,0,1,11,0,0,6:25,0,BUF,2025
