gameId,teamAbbrev,homeRoadFlag,gameDate,goals,assists,commonName,opponentCommonName,points,plusMinus,powerPlayGoals,powerPlayPoints,gameWinningGoals,otGoals,shots,shifts,shorthandedGoals,shorthandedPoints,toi,opponentAbbrev,pim,season
2025020777,CGY,H,2026-01-19,0,0,{'default': 'Flames'},{'default': 'Devils'},0,-1,0,0,0,0,1,33,0,0,22:23,NJD,0,2025
2025020756,CGY,H,2026-01-17,0,0,{'default': 'Flames'},{'default': 'Islanders'},0,0,0,0,0,0,1,27,0,0,21:00,NYI,0,2025
2025020745,CGY,R,2026-01-15,0,0,{'default': 'Flames'},{'default': 'Blackhawks'},0,0,0,0,0,0,3,35,0,0,20:01,CHI,4,2025
2025020728,CGY,R,2026-01-13,0,0,{'default': 'Flames'},{'default': 'Blue Jackets'},0,-1,0,0,0,0,2,33,0,0,23:35,CBJ,0,2025
2025020698,CGY,R,2026-01-10,0,0,{'default': 'Flames'},{'default': 'Penguins'},0,-1,0,0,0,0,3,32,0,0,23:21,PIT,0,2025
2025020682,CGY,R,2026-01-08,0,0,{'default': 'Flames'},{'default': 'Bruins'},0,-1,0,0,0,0,1,34,0,0,22:49,BOS,0,2025
2025020678,CGY,R,2026-01-07,0,0,{'default': 'Flames'},{'default': 'Canadiens'},0,-3,0,0,0,0,2,29,0,0,22:13,MTL,0,2025
2025020665,CGY,H,2026-01-05,0,1,{'default': 'Flames'},{'default': 'Kraken'},1,-1,0,0,0,0,0,34,0,0,21:49,SEA,0,2025
2025020654,CGY,H,2026-01-03,0,1,{'default': 'Flames'},{'default': 'Predators'},1,-2,0,0,0,0,4,32,0,0,23:32,NSH,0,2025
2025020630,CGY,H,2025-12-31,0,2,{'default': 'Flames'},{'default': 'Flyers'},2,2,0,1,0,0,4,35,0,0,23:32,PHI,2,2025
2025020613,CGY,H,2025-12-29,0,0,{'default': 'Flames'},{'default': 'Bruins'},0,0,0,0,0,0,2,35,0,0,27:38,BOS,0,2025
2025020598,CGY,H,2025-12-27,0,0,{'default': 'Flames'},{'default': 'Oilers'},0,2,0,0,0,0,0,34,0,0,22:12,EDM,0,2025
2025020585,CGY,R,2025-12-23,1,0,{'default': 'Flames'},{'default': 'Oilers'},1,1,0,0,0,0,2,16,0,0,9:05,EDM,22,2025
2025020559,CGY,H,2025-12-20,0,3,{'default': 'Flames'},{'default': 'Golden Knights'},3,2,0,0,0,0,2,33,0,1,22:51,VGK,0,2025
2025020542,CGY,H,2025-12-18,0,0,{'default': 'Flames'},{'default': 'Kraken'},0,-1,0,0,0,0,6,30,0,0,23:11,SEA,0,2025
2025020527,CGY,R,2025-12-16,0,1,{'default': 'Flames'},{'default': 'Sharks'},1,1,0,0,0,0,3,31,0,0,24:53,SJS,0,2025
2025020507,CGY,R,2025-12-13,0,0,{'default': 'Flames'},{'default': 'Kings'},0,0,0,0,0,0,5,33,0,0,26:52,LAK,0,2025
2025020477,CGY,H,2025-12-10,1,0,{'default': 'Flames'},{'default': 'Red Wings'},1,-1,0,0,0,0,4,32,0,0,25:15,DET,0,2025
2025020463,CGY,H,2025-12-08,0,1,{'default': 'Flames'},{'default': 'Sabres'},1,1,0,0,0,0,1,33,0,0,22:11,BUF,0,2025
2025020448,CGY,H,2025-12-06,0,0,{'default': 'Flames'},{'default': 'Mammoth'},0,1,0,0,0,0,4,33,0,0,23:27,UTA,0,2025
2025020433,CGY,H,2025-12-04,0,0,{'default': 'Flames'},{'default': 'Wild'},0,0,0,0,0,0,2,31,0,0,23:27,MIN,0,2025
2025020416,CGY,R,2025-12-02,0,0,{'default': 'Flames'},{'default': 'Predators'},0,-2,0,0,0,0,0,32,0,0,22:41,NSH,2,2025
2025020404,CGY,R,2025-11-30,0,0,{'default': 'Flames'},{'default': 'Hurricanes'},0,0,0,0,0,0,2,32,0,0,23:30,CAR,0,2025
2025020380,CGY,R,2025-11-28,1,0,{'default': 'Flames'},{'default': 'Panthers'},1,0,0,0,0,0,5,30,0,0,20:53,FLA,2,2025
2025020362,CGY,R,2025-11-26,0,0,{'default': 'Flames'},{'default': 'Lightning'},0,-1,0,0,0,0,1,27,0,0,23:39,TBL,0,2025
2025020352,CGY,R,2025-11-23,0,0,{'default': 'Flames'},{'default': 'Canucks'},0,0,0,0,0,0,0,31,0,0,23:00,VAN,0,2025
2025020345,CGY,H,2025-11-22,0,0,{'default': 'Flames'},{'default': 'Stars'},0,-1,0,0,0,0,5,35,0,0,23:30,DAL,4,2025
2025020316,CGY,R,2025-11-19,0,0,{'default': 'Flames'},{'default': 'Sabres'},0,0,0,0,0,0,1,33,0,0,21:55,BUF,0,2025
2025020312,CGY,R,2025-11-18,0,0,{'default': 'Flames'},{'default': 'Blackhawks'},0,-2,0,0,0,0,4,31,0,0,24:09,CHI,0,2025
2025020294,CGY,H,2025-11-15,0,0,{'default': 'Flames'},{'default': 'Jets'},0,0,0,0,0,0,3,33,0,0,20:53,WPG,0,2025
2025020276,CGY,H,2025-11-13,0,0,{'default': 'Flames'},{'default': 'Sharks'},0,1,0,0,0,0,5,27,0,0,20:50,SJS,0,2025
2025020260,CGY,R,2025-11-11,0,0,{'default': 'Flames'},{'default': 'Blues'},0,-1,0,0,0,0,3,30,0,0,22:55,STL,0,2025
2025020249,CGY,R,2025-11-09,0,0,{'default': 'Flames'},{'default': 'Wild'},0,-2,0,0,0,0,6,34,0,0,26:01,MIN,2,2025
2025020229,CGY,H,2025-11-07,0,0,{'default': 'Flames'},{'default': 'Blackhawks'},0,-3,0,0,0,0,0,30,0,0,23:49,CHI,5,2025
2025020215,CGY,H,2025-11-05,0,0,{'default': 'Flames'},{'default': 'Blue Jackets'},0,1,0,0,0,0,2,30,0,0,24:06,CBJ,0,2025
2025020196,CGY,R,2025-11-02,0,1,{'default': 'Flames'},{'default': 'Flyers'},1,0,0,0,0,0,2,35,0,0,25:59,PHI,0,2025
2025020183,CGY,R,2025-11-01,0,0,{'default': 'Flames'},{'default': 'Predators'},0,-1,0,0,0,0,2,34,0,0,23:22,NSH,0,2025
2025020168,CGY,R,2025-10-30,0,1,{'default': 'Flames'},"{'default': 'Senators', 'fr': 'Sénateurs'}",1,-1,0,1,0,0,1,36,0,0,25:57,OTT,0,2025
2025020151,CGY,R,2025-10-28,0,0,{'default': 'Flames'},{'default': 'Maple Leafs'},0,0,0,0,0,0,1,33,0,0,20:50,TOR,0,2025
2025020146,CGY,H,2025-10-26,0,0,{'default': 'Flames'},{'default': 'Rangers'},0,0,0,0,0,0,2,34,0,0,22:51,NYR,0,2025
2025020126,CGY,R,2025-10-24,0,0,{'default': 'Flames'},{'default': 'Jets'},0,-2,0,0,0,0,0,34,0,0,25:30,WPG,0,2025
2025020110,CGY,H,2025-10-22,0,0,{'default': 'Flames'},{'default': 'Canadiens'},0,1,0,0,0,0,5,38,0,0,27:46,MTL,0,2025
2025020096,CGY,H,2025-10-20,0,0,{'default': 'Flames'},{'default': 'Jets'},0,-1,0,0,0,0,3,34,0,0,25:15,WPG,0,2025
2025020087,CGY,R,2025-10-18,0,1,{'default': 'Flames'},{'default': 'Golden Knights'},1,-2,0,1,0,0,1,32,0,0,24:00,VGK,0,2025
2025020060,CGY,R,2025-10-15,0,0,{'default': 'Flames'},{'default': 'Mammoth'},0,-2,0,0,0,0,0,28,0,0,23:54,UTA,2,2025
2025020053,CGY,H,2025-10-14,0,1,{'default': 'Flames'},{'default': 'Golden Knights'},1,-1,0,0,0,0,0,34,0,0,23:37,VGK,2,2025
2025020023,CGY,H,2025-10-11,0,0,{'default': 'Flames'},{'default': 'Blues'},0,-3,0,0,0,0,2,32,0,0,25:25,STL,0,2025
2025020019,CGY,R,2025-10-09,0,0,{'default': 'Flames'},{'default': 'Canucks'},0,-1,0,0,0,0,1,32,0,0,22:42,VAN,4,2025
2025020006,CGY,R,2025-10-08,0,0,{'default': 'Flames'},{'default': 'Oilers'},0,1,0,0,0,0,1,39,0,0,26:01,EDM,12,2025
2024020653,CGY,R,2025-04-17,0,0,{'default': 'Flames'},{'default': 'Kings'},0,0,0,0,0,0,2,30,0,0,22:28,LAK,0,2024
2024021299,CGY,H,2025-04-15,0,1,{'default': 'Flames'},{'default': 'Golden Knights'},1,-1,0,1,0,0,3,34,0,0,26:52,VGK,0,2024
2024021283,CGY,H,2025-04-13,1,0,{'default': 'Flames'},{'default': 'Sharks'},1,2,0,0,0,0,3,33,0,0,25:33,SJS,0,2024
2024021264,CGY,H,2025-04-11,0,0,{'default': 'Flames'},{'default': 'Wild'},0,2,0,0,0,0,1,31,0,0,25:19,MIN,0,2024
2024021249,CGY,R,2025-04-09,0,1,{'default': 'Flames'},{'default': 'Ducks'},1,1,0,0,0,0,3,35,0,0,27:53,ANA,0,2024
2024021234,CGY,R,2025-04-07,0,1,{'default': 'Flames'},{'default': 'Sharks'},1,0,0,1,0,0,2,35,0,0,24:04,SJS,0,2024
2024021220,CGY,H,2025-04-05,0,0,{'default': 'Flames'},{'default': 'Golden Knights'},0,1,0,0,0,0,2,35,0,0,28:08,VGK,0,2024
2024021203,CGY,H,2025-04-03,0,1,{'default': 'Flames'},{'default': 'Ducks'},1,0,0,0,0,0,1,31,0,0,22:58,ANA,0,2024
2024021188,CGY,R,2025-04-01,0,0,{'default': 'Flames'},"{'default': 'Utah Hockey Club', 'fr': ""Club de hockey de l'Utah""}",0,-1,0,0,0,0,3,36,0,0,25:13,UTA,0,2024
2024021180,CGY,R,2025-03-31,0,1,{'default': 'Flames'},{'default': 'Avalanche'},1,1,0,0,0,0,2,39,0,0,27:17,COL,0,2024
2024021167,CGY,R,2025-03-29,0,0,{'default': 'Flames'},{'default': 'Oilers'},0,-1,0,0,0,0,0,36,0,0,24:38,EDM,0,2024
2024021150,CGY,H,2025-03-27,0,0,{'default': 'Flames'},{'default': 'Stars'},0,-1,0,0,0,0,7,33,0,0,25:56,DAL,2,2024
2024021137,CGY,H,2025-03-25,0,0,{'default': 'Flames'},{'default': 'Kraken'},0,1,0,0,0,0,2,41,0,0,26:32,SEA,0,2024
2024021090,CGY,R,2025-03-20,0,0,{'default': 'Flames'},{'default': 'Devils'},0,3,0,0,0,0,3,35,0,0,25:33,NJD,0,2024
2024021079,CGY,R,2025-03-18,0,2,{'default': 'Flames'},{'default': 'Rangers'},2,0,0,1,0,0,2,37,0,0,23:45,NYR,0,2024
2024021076,CGY,R,2025-03-17,0,0,{'default': 'Flames'},{'default': 'Maple Leafs'},0,0,0,0,0,0,2,32,0,0,22:32,TOR,2,2024
2024021052,CGY,H,2025-03-14,0,1,{'default': 'Flames'},{'default': 'Avalanche'},1,-1,0,0,0,0,2,32,0,0,25:06,COL,0,2024
2024021037,CGY,H,2025-03-12,0,2,{'default': 'Flames'},{'default': 'Canucks'},2,0,0,1,0,0,0,38,0,1,27:10,VAN,0,2024
2024021008,CGY,H,2025-03-08,0,1,{'default': 'Flames'},{'default': 'Canadiens'},1,1,0,0,0,0,2,32,0,0,23:57,MTL,0,2024
2024020994,CGY,R,2025-03-06,0,0,{'default': 'Flames'},{'default': 'Stars'},0,-1,0,0,0,0,2,38,0,0,27:16,DAL,0,2024
2024020977,CGY,R,2025-03-04,1,1,{'default': 'Flames'},{'default': 'Flyers'},2,1,1,1,0,0,4,31,0,0,22:07,PHI,2,2024
2024020963,CGY,R,2025-03-02,0,1,{'default': 'Flames'},{'default': 'Hurricanes'},1,0,0,1,0,0,0,31,0,0,24:50,CAR,0,2024
2024020951,CGY,R,2025-03-01,0,0,{'default': 'Flames'},{'default': 'Panthers'},0,-1,0,0,0,0,4,34,0,0,28:56,FLA,0,2024
2024020936,CGY,R,2025-02-27,0,0,{'default': 'Flames'},{'default': 'Lightning'},0,-1,0,0,0,0,3,35,0,0,23:43,TBL,0,2024
2024020923,CGY,R,2025-02-25,0,0,{'default': 'Flames'},{'default': 'Capitals'},0,1,0,0,0,0,3,33,0,0,25:33,WSH,0,2024
2024020914,CGY,H,2025-02-23,0,1,{'default': 'Flames'},{'default': 'Sharks'},1,1,0,1,0,0,6,34,0,0,24:02,SJS,2,2024
2024020887,CGY,H,2025-02-08,0,1,{'default': 'Flames'},{'default': 'Kraken'},1,2,0,0,0,0,2,36,0,0,25:24,SEA,0,2024
2024020868,CGY,H,2025-02-06,0,1,{'default': 'Flames'},{'default': 'Avalanche'},1,0,0,1,0,0,3,28,0,0,24:01,COL,0,2024
2024020853,CGY,H,2025-02-04,0,2,{'default': 'Flames'},{'default': 'Maple Leafs'},2,0,0,1,0,0,3,31,0,0,26:12,TOR,2,2024
2024020843,CGY,R,2025-02-02,0,1,{'default': 'Flames'},{'default': 'Kraken'},1,-1,0,1,0,0,2,32,0,0,27:37,SEA,0,2024
