gameId,teamAbbrev,homeRoadFlag,gameDate,goals,assists,commonName,opponentCommonName,points,plusMinus,powerPlayGoals,powerPlayPoints,gameWinningGoals,otGoals,shots,shifts,shorthandedGoals,shorthandedPoints,opponentAbbrev,toi,pim,season
2025020909,VGK,H,2026-02-05,1,2,{'default': 'Golden Knights'},{'default': 'Kings'},3,1,0,1,1,0,1,21,0,0,LAK,16:40,0,2025
2025020901,VGK,H,2026-02-04,0,2,{'default': 'Golden Knights'},{'default': 'Canucks'},2,2,0,0,0,0,3,21,0,0,VAN,17:16,0,2025
2025020875,VGK,R,2026-02-01,0,2,{'default': 'Golden Knights'},{'default': 'Ducks'},2,0,0,0,0,0,1,23,0,0,ANA,23:29,0,2025
2025020872,VGK,H,2026-01-31,0,0,{'default': 'Golden Knights'},{'default': 'Kraken'},0,0,0,0,0,0,0,19,0,0,SEA,18:42,0,2025
2025020856,VGK,H,2026-01-29,0,1,{'default': 'Golden Knights'},{'default': 'Stars'},1,2,0,0,0,0,0,24,0,0,DAL,20:09,0,2025
2025020832,VGK,R,2026-01-27,0,0,{'default': 'Golden Knights'},{'default': 'Canadiens'},0,-1,0,0,0,0,4,24,0,0,MTL,23:00,0,2025
2025020821,VGK,R,2026-01-25,0,0,{'default': 'Golden Knights'},"{'default': 'Senators', 'fr': 'Sénateurs'}",0,0,0,0,0,0,2,19,0,0,OTT,17:35,0,2025
2025020802,VGK,R,2026-01-23,2,1,{'default': 'Golden Knights'},{'default': 'Maple Leafs'},3,3,0,0,0,0,3,22,0,0,TOR,18:19,0,2025
2025020794,VGK,R,2026-01-22,0,1,{'default': 'Golden Knights'},{'default': 'Bruins'},1,1,0,1,0,0,0,21,0,0,BOS,20:50,0,2025
2025020775,VGK,H,2026-01-19,0,1,{'default': 'Golden Knights'},{'default': 'Flyers'},1,-1,0,1,0,0,2,20,0,0,PHI,23:12,0,2025
2025020765,VGK,H,2026-01-17,1,0,{'default': 'Golden Knights'},{'default': 'Predators'},1,0,0,0,0,0,2,20,0,0,NSH,17:42,0,2025
2025020748,VGK,H,2026-01-15,1,2,{'default': 'Golden Knights'},{'default': 'Maple Leafs'},3,2,0,0,0,0,4,25,0,0,TOR,23:25,0,2025
2025020738,VGK,R,2026-01-14,1,1,{'default': 'Golden Knights'},{'default': 'Kings'},2,1,0,1,1,1,3,20,0,0,LAK,19:58,0,2025
2025020715,VGK,R,2026-01-11,0,3,{'default': 'Golden Knights'},{'default': 'Sharks'},3,1,0,2,0,0,2,20,0,0,SJS,17:44,0,2025
2025020710,VGK,H,2026-01-10,1,0,{'default': 'Golden Knights'},{'default': 'Blues'},1,0,0,0,0,0,1,15,0,0,STL,14:15,5,2025
2025020692,VGK,H,2026-01-08,1,2,{'default': 'Golden Knights'},{'default': 'Blue Jackets'},3,1,1,1,1,0,3,24,0,0,CBJ,22:32,0,2025
2025020673,VGK,R,2026-01-06,1,0,{'default': 'Golden Knights'},{'default': 'Jets'},1,0,1,1,0,0,2,23,0,0,WPG,22:03,2,2025
2025020661,VGK,R,2026-01-04,1,0,{'default': 'Golden Knights'},{'default': 'Blackhawks'},1,-1,0,0,0,0,2,20,0,0,CHI,19:56,0,2025
2025020640,VGK,R,2026-01-02,1,0,{'default': 'Golden Knights'},{'default': 'Blues'},1,0,0,0,0,0,2,19,0,0,STL,17:55,0,2025
2025020623,VGK,H,2025-12-31,1,0,{'default': 'Golden Knights'},{'default': 'Predators'},1,-1,1,1,0,0,2,24,0,0,NSH,21:33,0,2025
2025020614,VGK,H,2025-12-29,1,0,{'default': 'Golden Knights'},{'default': 'Wild'},1,2,0,0,0,0,3,19,0,0,MIN,20:15,0,2025
2025020600,VGK,H,2025-12-27,0,0,{'default': 'Golden Knights'},{'default': 'Avalanche'},0,-1,0,0,0,0,0,24,0,0,COL,21:31,0,2025
2025020586,VGK,H,2025-12-23,1,1,{'default': 'Golden Knights'},{'default': 'Sharks'},2,2,0,0,0,0,2,18,0,0,SJS,15:48,0,2025
2025020570,VGK,R,2025-12-21,0,0,{'default': 'Golden Knights'},{'default': 'Oilers'},0,1,0,0,0,0,1,22,0,0,EDM,23:39,0,2025
2025020559,VGK,R,2025-12-20,1,1,{'default': 'Golden Knights'},{'default': 'Flames'},2,-2,1,1,0,0,3,19,0,0,CGY,15:41,0,2025
2025020533,VGK,H,2025-12-17,0,1,{'default': 'Golden Knights'},{'default': 'Devils'},1,0,0,1,0,0,3,23,0,0,NJD,23:38,0,2025
2025020502,VGK,R,2025-12-13,0,0,{'default': 'Golden Knights'},{'default': 'Blue Jackets'},0,0,0,0,0,0,3,20,0,0,CBJ,18:14,0,2025
2025020483,VGK,R,2025-12-11,2,0,{'default': 'Golden Knights'},{'default': 'Flyers'},2,1,1,1,1,1,5,23,0,0,PHI,18:57,0,2025
