playerId,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts
8478445,2016,Mathew Barzal,2016020022,NYI,WSH,AWAY,20161015,C,all,610.0,16.0,-0.42,0.4386,0.5051,0.5556,0.4505,0.6429,0.459,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,6.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,3.0,0.0,2.0,11.0,2.0,7.0,1.0,6.0,2.0,4.0,2990.0,6.0,0.0,0.0,0.0,6.241,0.282,0.277,0.289,0.285,6.0,3.0,1.0,10.0,0.0,0.0,0.0,8.0,1.0,0.0,0.188,0.094,0.0,0.0,0.0,0.0,10.003,9.0,8.979,0.094,0.0,0.0,0.375,0.385,0.379,3.642,0.361,0.359,0.347,0.345,3.0,2.0,3.0,8.0,0.0,1.0,0.0,4.0,0.0,1.0,0.1,0.0,0.262,0.0,0.0,0.0,7.984,5.0,4.991,0.067,0.262,0.262,0.166,0.162,0.162,1.827,1.79,41.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
8478445,2016,Mathew Barzal,2016020094,NYI,MTL,HOME,20161026,C,all,560.0,16.0,-1.19,0.0205,0.3777,0.0909,0.4906,0.1333,0.5075,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,3.0,0.0,1.0,12.0,1.0,4.0,2.0,9.0,4.0,3.0,3040.0,0.0,0.0,0.0,0.0,1.35,0.026,0.025,0.024,0.024,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.026,0.0,0.0,0.0,0.0,0.0,1.94,2.0,1.942,0.014,0.0,0.0,0.039,0.038,0.036,9.274,1.245,1.18,1.345,1.275,11.0,2.0,7.0,20.0,2.0,2.0,2.0,9.0,2.0,2.0,0.248,0.276,0.721,0.0,0.0,2.0,21.279,13.0,13.816,0.133,0.721,0.721,0.656,0.697,0.692,1.46,2.406,52.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0
8478445,2017,Mathew Barzal,2017020013,NYI,CBJ,AWAY,20171006,C,all,902.0,22.0,0.095,0.4477,0.4322,0.5714,0.4409,0.5926,0.3971,7.0,2.332,0.15,0.134,0.515,0.057,1.173,0.97,0.147,0.148,0.145,0.0,0.0,3.0,0.0,1.0,4.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,0.0,3.0,3.0,1.0,2.0,3.0,0.0,1.0,0.0,2.0,1.0,0.0,0.028,0.122,0.0,0.0,0.0,0.0,3.662,3.0,2.863,0.0,0.028,0.443,0.0,0.178,0.176,0.172,22.0,3.0,2.0,5.0,12.0,5.0,7.0,2.0,8.0,3.0,6.0,2698.0,2.0,0.0,0.0,0.0,11.66,0.851,0.816,0.84,0.806,11.0,5.0,4.0,20.0,0.0,2.0,0.0,12.0,3.0,1.0,0.187,0.398,0.267,0.0,0.0,0.0,18.532,16.0,15.335,0.15,0.443,0.443,0.558,0.551,0.542,8.404,1.05,1.001,1.073,1.023,9.0,2.0,4.0,15.0,1.0,1.0,0.0,5.0,4.0,2.0,0.152,0.436,0.462,0.0,0.0,1.0,16.536,11.0,11.53,0.099,0.259,0.259,0.889,0.906,0.884,1.569,2.061,41.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0
8478445,2017,Mathew Barzal,2017020020,NYI,BUF,HOME,20171007,C,all,940.0,18.0,-0.05,0.5151,0.5752,0.4762,0.5176,0.4167,0.5278,4.0,1.495,0.115,0.129,0.229,0.036,0.981,0.509,0.103,0.115,0.104,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,1.0,1.0,0.0,0.026,0.089,0.0,0.0,0.0,0.0,2.074,2.0,2.05,0.0,0.031,0.0,0.0,0.146,0.146,0.132,18.0,3.0,0.0,4.0,11.0,1.0,2.0,2.0,13.0,3.0,3.0,2660.0,2.0,0.0,0.0,1.0,3.62,0.308,0.296,0.313,0.301,4.0,1.0,5.0,10.0,0.0,0.0,0.0,3.0,2.0,0.0,0.088,0.219,0.0,0.0,0.0,0.0,10.596,5.0,5.139,0.067,0.0,0.0,0.375,0.38,0.366,4.402,0.29,0.287,0.288,0.285,6.0,1.0,4.0,11.0,0.0,0.0,0.0,6.0,1.0,0.0,0.159,0.13,0.0,0.0,0.0,0.0,10.457,7.0,6.801,0.059,0.0,0.0,0.349,0.346,0.342,3.773,2.786,44.0,41.0,0.0,0.0,0.0,0.0,0.0,0.0
8478445,2017,Mathew Barzal,2017020033,NYI,STL,HOME,20171009,C,all,958.0,15.0,0.305,0.9024,0.5433,0.7143,0.5114,0.7143,0.5362,7.0,2.44,0.856,0.163,0.512,0.103,0.986,0.38,0.81,0.805,0.764,0.0,0.0,3.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,0.0,3.0,3.0,0.0,0.0,1.0,0.0,0.0,2.0,1.0,0.0,2.0,0.067,0.0,0.789,0.0,0.0,0.0,3.797,3.0,2.887,1.0,0.042,0.0,0.537,0.361,0.359,0.358,15.0,4.0,1.0,0.0,10.0,2.0,1.0,0.0,12.0,1.0,3.0,2942.0,0.0,0.0,0.0,0.0,14.355,2.09,1.915,2.019,1.848,14.0,6.0,5.0,25.0,0.0,2.0,0.0,12.0,5.0,3.0,0.494,0.6,0.997,0.0,0.0,0.0,24.213,20.0,19.437,0.306,0.744,0.744,1.652,1.626,1.494,5.31,0.226,0.226,0.239,0.239,6.0,2.0,2.0,10.0,0.0,0.0,0.0,8.0,0.0,0.0,0.226,0.0,0.0,0.0,0.0,0.0,10.59,8.0,8.383,0.057,0.0,0.0,0.283,0.299,0.299,2.232,1.876,45.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0
8478445,2017,Mathew Barzal,2017020049,NYI,ANA,AWAY,20171011,C,all,885.0,16.0,0.655,0.7288,0.4552,0.8333,0.4808,0.7778,0.4756,6.0,1.004,0.061,0.112,0.293,0.074,0.826,0.634,0.061,0.064,0.064,0.0,0.0,1.0,1.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,2.0,1.0,0.0,1.0,2.0,0.0,0.0,0.061,0.0,0.0,0.0,0.0,0.0,4.957,2.0,1.995,1.0,0.022,0.0,0.0,0.083,0.086,0.086,16.0,2.0,1.0,2.0,11.0,5.0,1.0,1.0,9.0,2.0,4.0,2715.0,0.0,0.0,0.0,0.0,9.075,0.473,0.461,0.48,0.468,11.0,3.0,11.0,25.0,0.0,1.0,0.0,13.0,1.0,0.0,0.321,0.152,0.0,0.0,0.0,0.0,24.917,14.0,13.877,0.157,0.152,0.152,0.479,0.487,0.483,3.057,0.176,0.176,0.174,0.174,3.0,1.0,1.0,5.0,0.0,0.0,0.0,4.0,0.0,0.0,0.176,0.0,0.0,0.0,0.0,0.0,5.018,4.0,4.087,0.033,0.0,0.0,0.209,0.207,0.207,2.059,2.464,50.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0
8478445,2017,Mathew Barzal,2017020076,NYI,S.J,AWAY,20171014,C,all,860.0,18.0,0.335,0.2916,0.3537,0.52,0.3689,0.5556,0.3182,8.0,2.332,0.219,0.201,0.386,0.06,1.294,0.839,0.219,0.234,0.234,0.0,0.0,3.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,3.0,0.0,0.0,3.0,0.0,1.0,2.0,2.0,1.0,0.0,0.068,0.151,0.0,0.0,0.0,0.0,3.053,3.0,3.029,1.0,0.041,0.0,0.0,0.26,0.277,0.277,18.0,1.0,1.0,1.0,15.0,3.0,5.0,0.0,10.0,3.0,2.0,2740.0,0.0,2.0,1.0,1.0,7.02,0.305,0.305,0.325,0.325,9.0,1.0,3.0,13.0,0.0,0.0,0.0,9.0,1.0,0.0,0.154,0.151,0.0,0.0,0.0,0.0,13.472,10.0,10.361,0.109,0.0,0.0,0.413,0.438,0.438,5.948,0.741,0.741,0.686,0.686,7.0,1.0,4.0,12.0,0.0,0.0,0.0,6.0,0.0,2.0,0.129,0.0,0.612,0.0,0.0,0.0,11.287,8.0,7.659,0.074,0.0,0.0,0.815,0.755,0.755,1.186,2.167,38.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0
8478445,2017,Mathew Barzal,2017020079,NYI,L.A,AWAY,20171015,C,all,847.0,17.0,1.26,0.6685,0.4817,0.6296,0.5375,0.6364,0.5283,7.0,1.372,0.101,0.084,0.382,0.042,0.824,0.567,0.101,0.101,0.101,1.0,0.0,2.0,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,1.0,1.0,0.0,0.02,0.081,0.0,0.0,0.0,0.0,2.925,2.0,1.929,0.0,0.016,0.0,0.0,0.117,0.117,0.117,17.0,2.0,0.0,1.0,14.0,3.0,2.0,4.0,8.0,3.0,2.0,2753.0,0.0,0.0,0.0,0.0,9.804,0.976,0.897,0.982,0.902,10.0,4.0,3.0,17.0,1.0,1.0,1.0,7.0,7.0,0.0,0.157,0.819,0.0,0.0,1.0,0.0,16.629,14.0,13.653,0.168,0.128,0.128,1.016,1.016,0.948,5.827,0.484,0.484,0.486,0.486,6.0,2.0,2.0,10.0,1.0,0.0,0.0,5.0,3.0,0.0,0.064,0.42,0.0,0.0,1.0,0.0,10.114,8.0,8.147,0.084,0.0,0.0,0.569,0.569,0.569,1.316,1.416,43.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0
8478445,2017,Mathew Barzal,2017020096,NYI,NYR,AWAY,20171019,C,all,1083.0,22.0,1.055,0.4644,0.6254,0.6053,0.4419,0.5455,0.4265,6.0,3.382,0.405,0.348,0.585,0.087,1.541,1.034,0.383,0.452,0.428,0.0,0.0,3.0,1.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,3.0,0.0,0.0,2.0,0.0,1.0,1.0,1.0,3.0,0.0,0.037,0.368,0.0,0.0,1.0,0.0,4.616,4.0,4.584,0.0,0.076,0.0,0.0,0.481,0.537,0.508,22.0,3.0,3.0,5.0,11.0,3.0,5.0,2.0,12.0,2.0,4.0,2817.0,0.0,0.0,0.0,0.0,12.901,0.861,0.825,0.948,0.908,14.0,4.0,5.0,23.0,1.0,0.0,0.0,13.0,5.0,0.0,0.253,0.608,0.0,0.0,1.0,0.0,24.914,18.0,19.654,0.259,0.0,0.0,1.12,1.224,1.173,11.54,0.993,0.963,0.919,0.891,12.0,3.0,0.0,15.0,1.0,2.0,0.0,11.0,2.0,2.0,0.278,0.18,0.535,1.0,0.0,0.0,13.887,15.0,13.91,0.163,0.535,0.535,0.621,0.578,0.575,3.063,1.835,38.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0
8478445,2017,Mathew Barzal,2017020115,NYI,S.J,HOME,20171021,C,all,929.0,18.0,0.92,0.6424,0.5099,0.5385,0.4138,0.4375,0.4219,6.0,2.29,0.28,0.181,0.443,0.063,1.183,0.851,0.271,0.274,0.265,1.0,0.0,2.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,3.0,0.0,0.0,5.0,0.0,1.0,0.0,1.0,2.0,0.0,0.033,0.248,0.0,0.0,0.0,0.0,3.014,3.0,2.993,0.0,0.038,0.0,0.0,0.318,0.312,0.302,18.0,0.0,0.0,7.0,11.0,3.0,3.0,2.0,10.0,5.0,3.0,2671.0,0.0,0.0,0.0,0.0,4.8,0.512,0.503,0.5,0.491,4.0,3.0,7.0,14.0,1.0,0.0,0.0,5.0,2.0,0.0,0.265,0.248,0.0,1.0,0.0,0.0,13.916,7.0,6.974,0.081,0.0,0.0,0.594,0.58,0.57,6.348,0.285,0.285,0.291,0.291,6.0,3.0,3.0,12.0,0.0,0.0,0.0,8.0,1.0,0.0,0.18,0.105,0.0,0.0,0.0,0.0,12.231,9.0,9.132,0.065,0.0,0.0,0.35,0.358,0.357,2.059,1.979,36.0,51.0,0.0,0.0,0.0,0.0,0.0,0.0
