gameId,teamAbbrev,homeRoadFlag,gameDate,goals,assists,commonName,opponentCommonName,points,plusMinus,powerPlayGoals,powerPlayPoints,gameWinningGoals,otGoals,shots,shifts,shorthandedGoals,shorthandedPoints,opponentAbbrev,pim,toi,season
2025020896,MIN,R,2026-02-04,3,1,{'default': 'Wild'},{'default': 'Predators'},4,0,1,1,0,0,6,27,0,0,NSH,0,19:02,2025
2025020879,MIN,H,2026-02-02,0,2,{'default': 'Wild'},{'default': 'Canadiens'},2,1,0,1,0,0,2,21,0,0,MTL,0,21:10,2025
2025020871,MIN,R,2026-01-31,0,1,{'default': 'Wild'},{'default': 'Oilers'},1,-1,0,0,0,0,2,21,0,0,EDM,0,19:30,2025
2025020853,MIN,H,2026-01-29,1,0,{'default': 'Wild'},{'default': 'Flames'},1,0,1,1,0,0,2,20,0,0,CGY,0,17:26,2025
2025020837,MIN,H,2026-01-27,0,1,{'default': 'Wild'},{'default': 'Blackhawks'},1,2,0,0,0,0,1,24,0,0,CHI,4,20:48,2025
2025020817,MIN,H,2026-01-24,1,1,{'default': 'Wild'},{'default': 'Panthers'},2,0,0,1,0,0,3,20,1,1,FLA,0,22:55,2025
2025020744,MIN,H,2026-01-15,0,1,{'default': 'Wild'},{'default': 'Jets'},1,0,0,0,0,0,4,18,0,0,WPG,2,19:16,2025
2025020721,MIN,H,2026-01-12,0,0,{'default': 'Wild'},{'default': 'Devils'},0,0,0,0,0,0,1,21,0,0,NJD,0,19:35,2025
2025020708,MIN,H,2026-01-10,1,0,{'default': 'Wild'},{'default': 'Islanders'},1,-4,1,1,0,0,6,19,0,0,NYI,0,19:44,2025
2025020693,MIN,R,2026-01-08,0,1,{'default': 'Wild'},{'default': 'Kraken'},1,1,0,0,0,0,1,20,0,0,SEA,0,20:09,2025
2025020666,MIN,R,2026-01-05,0,0,{'default': 'Wild'},{'default': 'Kings'},0,-2,0,0,0,0,3,18,0,0,LAK,0,20:58,2025
2025020655,MIN,R,2026-01-03,1,0,{'default': 'Wild'},{'default': 'Kings'},1,1,0,0,0,0,5,22,0,0,LAK,0,22:48,2025
2025020643,MIN,R,2026-01-02,0,0,{'default': 'Wild'},{'default': 'Ducks'},0,0,0,0,0,0,2,20,0,0,ANA,0,20:30,2025
2025020625,MIN,R,2025-12-31,0,0,{'default': 'Wild'},{'default': 'Sharks'},0,-1,0,0,0,0,4,22,0,0,SJS,0,20:01,2025
2025020614,MIN,R,2025-12-29,1,1,{'default': 'Wild'},{'default': 'Golden Knights'},2,4,0,0,0,0,2,18,0,0,VGK,0,16:14,2025
2025020594,MIN,R,2025-12-27,2,0,{'default': 'Wild'},{'default': 'Jets'},2,1,0,0,1,1,6,20,0,0,WPG,0,20:27,2025
2025020582,MIN,H,2025-12-23,0,0,{'default': 'Wild'},{'default': 'Predators'},0,0,0,0,0,0,0,20,0,0,NSH,0,18:55,2025
2025020563,MIN,H,2025-12-21,0,0,{'default': 'Wild'},{'default': 'Avalanche'},0,-1,0,0,0,0,5,23,0,0,COL,0,21:34,2025
2025020552,MIN,H,2025-12-20,2,0,{'default': 'Wild'},{'default': 'Oilers'},2,0,1,1,0,0,4,20,0,0,EDM,0,20:57,2025
2025020540,MIN,R,2025-12-18,1,2,{'default': 'Wild'},{'default': 'Blue Jackets'},3,2,0,0,0,0,3,22,0,0,CBJ,0,21:25,2025
2025020526,MIN,H,2025-12-16,1,0,{'default': 'Wild'},{'default': 'Capitals'},1,1,0,0,0,0,2,19,1,1,WSH,0,19:49,2025
2025020511,MIN,H,2025-12-14,1,1,{'default': 'Wild'},{'default': 'Bruins'},2,2,0,0,0,0,3,20,0,0,BOS,0,18:41,2025
2025020496,MIN,H,2025-12-13,0,0,{'default': 'Wild'},"{'default': 'Senators', 'fr': 'Sénateurs'}",0,1,0,0,0,0,3,23,0,0,OTT,0,22:36,2025
2025020488,MIN,H,2025-12-11,1,2,{'default': 'Wild'},{'default': 'Stars'},3,2,0,0,0,0,5,21,0,0,DAL,0,22:24,2025
2025020465,MIN,R,2025-12-08,0,1,{'default': 'Wild'},{'default': 'Kraken'},1,3,0,0,0,0,2,21,0,0,SEA,2,22:49,2025
2025020451,MIN,R,2025-12-06,1,1,{'default': 'Wild'},{'default': 'Canucks'},2,1,0,1,0,0,5,20,0,0,VAN,0,21:27,2025
2025020433,MIN,R,2025-12-04,0,0,{'default': 'Wild'},{'default': 'Flames'},0,-4,0,0,0,0,2,19,0,0,CGY,0,21:51,2025
2025020418,MIN,R,2025-12-02,0,0,{'default': 'Wild'},{'default': 'Oilers'},0,0,0,0,0,0,1,24,0,0,EDM,2,19:59,2025
2025020399,MIN,H,2025-11-29,1,0,{'default': 'Wild'},{'default': 'Sabres'},1,1,0,0,0,0,4,24,0,0,BUF,2,21:52,2025
2025020378,MIN,H,2025-11-28,0,0,{'default': 'Wild'},{'default': 'Avalanche'},0,-1,0,0,0,0,3,26,0,0,COL,0,23:36,2025
2025020370,MIN,R,2025-11-26,1,2,{'default': 'Wild'},{'default': 'Blackhawks'},3,2,0,1,0,0,6,26,0,0,CHI,2,22:34,2025
2025020348,MIN,R,2025-11-23,0,0,{'default': 'Wild'},{'default': 'Jets'},0,0,0,0,0,0,1,21,0,0,WPG,2,17:42,2025
2025020332,MIN,R,2025-11-21,2,1,{'default': 'Wild'},{'default': 'Penguins'},3,3,0,1,1,0,4,20,0,0,PIT,0,19:13,2025
2025020317,MIN,H,2025-11-19,1,0,{'default': 'Wild'},{'default': 'Hurricanes'},1,0,0,0,0,0,2,25,1,1,CAR,0,19:46,2025
2025020298,MIN,H,2025-11-16,0,1,{'default': 'Wild'},{'default': 'Golden Knights'},1,0,0,1,0,0,3,27,0,0,VGK,4,21:42,2025
2025020284,MIN,H,2025-11-15,1,1,{'default': 'Wild'},{'default': 'Ducks'},2,2,0,0,0,0,5,24,0,0,ANA,0,25:31,2025
2025020261,MIN,H,2025-11-11,1,0,{'default': 'Wild'},{'default': 'Sharks'},1,0,1,1,0,0,5,22,0,0,SJS,0,23:15,2025
2025020249,MIN,H,2025-11-09,1,1,{'default': 'Wild'},{'default': 'Flames'},2,2,0,0,1,0,3,20,0,0,CGY,0,19:54,2025
2025020228,MIN,R,2025-11-07,0,0,{'default': 'Wild'},{'default': 'Islanders'},0,2,0,0,0,0,1,20,0,0,NYI,0,16:29,2025
2025020222,MIN,R,2025-11-06,2,0,{'default': 'Wild'},{'default': 'Hurricanes'},2,-1,1,1,0,0,3,22,0,0,CAR,0,19:37,2025
2025020208,MIN,H,2025-11-04,0,0,{'default': 'Wild'},{'default': 'Predators'},0,-1,0,0,0,0,1,19,0,0,NSH,0,19:38,2025
2025020190,MIN,H,2025-11-01,0,1,{'default': 'Wild'},{'default': 'Canucks'},1,0,0,1,0,0,4,18,0,0,VAN,0,17:39,2025
2025020173,MIN,H,2025-10-30,0,0,{'default': 'Wild'},{'default': 'Penguins'},0,-2,0,0,0,0,1,22,0,0,PIT,0,18:48,2025
2025020157,MIN,H,2025-10-28,0,1,{'default': 'Wild'},{'default': 'Jets'},1,1,0,0,0,0,2,20,0,0,WPG,2,19:46,2025
2025020142,MIN,H,2025-10-26,0,0,{'default': 'Wild'},{'default': 'Sharks'},0,0,0,0,0,0,3,24,0,0,SJS,0,25:55,2025
2025020131,MIN,H,2025-10-25,0,0,{'default': 'Wild'},{'default': 'Mammoth'},0,-2,0,0,0,0,3,15,0,0,UTA,0,22:28,2025
2025020108,MIN,R,2025-10-22,1,0,{'default': 'Wild'},{'default': 'Devils'},1,0,0,0,0,0,7,17,0,0,NJD,0,21:29,2025
2025020093,MIN,R,2025-10-20,0,1,{'default': 'Wild'},{'default': 'Rangers'},1,2,0,0,0,0,4,21,0,0,NYR,0,21:15,2025
2025020081,MIN,R,2025-10-18,0,0,{'default': 'Wild'},{'default': 'Flyers'},0,-1,0,0,0,0,2,20,0,0,PHI,0,23:25,2025
2025020073,MIN,R,2025-10-17,0,1,{'default': 'Wild'},{'default': 'Capitals'},1,1,0,0,0,0,2,17,0,0,WSH,2,18:16,2025
2025020054,MIN,R,2025-10-14,1,0,{'default': 'Wild'},{'default': 'Stars'},1,-2,1,1,0,0,10,20,0,0,DAL,0,25:57,2025
2025020047,MIN,H,2025-10-13,1,0,{'default': 'Wild'},{'default': 'Kings'},1,0,1,1,0,0,3,24,0,0,LAK,2,24:27,2025
2025020033,MIN,H,2025-10-11,1,2,{'default': 'Wild'},{'default': 'Blue Jackets'},3,-3,1,3,0,0,5,23,0,0,CBJ,0,25:24,2025
2025020015,MIN,R,2025-10-09,1,2,{'default': 'Wild'},{'default': 'Blues'},3,2,0,1,0,0,1,17,0,0,STL,0,16:54,2025
2024021298,MIN,H,2025-04-15,1,1,{'default': 'Wild'},{'default': 'Ducks'},2,1,0,0,1,1,3,23,0,0,ANA,0,24:03,2024
2024021273,MIN,R,2025-04-12,0,0,{'default': 'Wild'},{'default': 'Canucks'},0,1,0,0,0,0,4,24,0,0,VAN,0,27:15,2024
2024021264,MIN,R,2025-04-11,0,0,{'default': 'Wild'},{'default': 'Flames'},0,0,0,0,0,0,0,20,0,0,CGY,0,21:54,2024
2024021247,MIN,H,2025-04-09,0,4,{'default': 'Wild'},{'default': 'Sharks'},4,0,0,1,0,0,4,23,0,0,SJS,2,19:55,2024
2024021223,MIN,H,2025-04-06,1,2,{'default': 'Wild'},{'default': 'Stars'},3,1,0,1,0,0,5,26,0,0,DAL,2,24:35,2024
2024021208,MIN,R,2025-04-04,0,0,{'default': 'Wild'},{'default': 'Islanders'},0,0,0,0,0,0,2,21,0,0,NYI,0,22:32,2024
2024021192,MIN,R,2025-04-02,0,1,{'default': 'Wild'},{'default': 'Rangers'},1,-2,0,0,0,0,4,22,0,0,NYR,2,19:19,2024
2024021178,MIN,R,2025-03-31,1,0,{'default': 'Wild'},{'default': 'Devils'},1,1,0,0,0,0,1,24,0,0,NJD,0,26:32,2024
2024021162,MIN,H,2025-03-29,0,0,{'default': 'Wild'},{'default': 'Devils'},0,-1,0,0,0,0,2,20,0,0,NJD,2,16:55,2024
2024021148,MIN,H,2025-03-27,1,1,{'default': 'Wild'},{'default': 'Capitals'},2,0,0,1,1,0,1,19,0,0,WSH,0,17:37,2024
2024021134,MIN,H,2025-03-25,0,0,{'default': 'Wild'},{'default': 'Golden Knights'},0,-3,0,0,0,0,1,20,0,0,VGK,0,18:16,2024
2024021127,MIN,R,2025-03-24,0,0,{'default': 'Wild'},{'default': 'Stars'},0,-1,0,0,0,0,7,20,0,0,DAL,0,21:07,2024
2024021106,MIN,H,2025-03-22,0,2,{'default': 'Wild'},{'default': 'Sabres'},2,3,0,0,0,0,4,21,0,0,BUF,0,19:17,2024
2024021088,MIN,H,2025-03-19,2,0,{'default': 'Wild'},{'default': 'Kraken'},2,2,0,0,0,0,2,20,0,0,SEA,0,18:28,2024
2024021077,MIN,H,2025-03-17,0,1,{'default': 'Wild'},{'default': 'Kings'},1,0,0,1,0,0,1,18,0,0,LAK,2,16:52,2024
2024021063,MIN,H,2025-03-15,0,0,{'default': 'Wild'},{'default': 'Blues'},0,-2,0,0,0,0,1,18,0,0,STL,0,18:48,2024
2024021046,MIN,H,2025-03-13,0,0,{'default': 'Wild'},{'default': 'Rangers'},0,-1,0,0,0,0,1,24,0,0,NYR,0,23:19,2024
2024021030,MIN,H,2025-03-11,0,1,{'default': 'Wild'},{'default': 'Avalanche'},1,1,0,0,0,0,5,27,0,0,COL,2,22:55,2024
2024021015,MIN,H,2025-03-09,0,0,{'default': 'Wild'},{'default': 'Penguins'},0,-2,0,0,0,0,6,21,0,0,PIT,0,25:10,2024
2024021000,MIN,R,2025-03-07,0,1,{'default': 'Wild'},{'default': 'Canucks'},1,-1,0,1,0,0,2,18,0,0,VAN,0,20:42,2024
2024020982,MIN,R,2025-03-04,0,1,{'default': 'Wild'},{'default': 'Kraken'},1,-2,0,1,0,0,1,21,0,0,SEA,0,19:49,2024
2024020962,MIN,H,2025-03-02,0,0,{'default': 'Wild'},{'default': 'Bruins'},0,0,0,0,0,0,8,24,0,0,BOS,0,21:42,2024
2024020947,MIN,R,2025-02-28,0,0,{'default': 'Wild'},{'default': 'Avalanche'},0,-2,0,0,0,0,1,23,0,0,COL,0,22:55,2024
2024020942,MIN,R,2025-02-27,0,1,{'default': 'Wild'},"{'default': 'Utah Hockey Club', 'fr': ""Club de hockey de l'Utah""}",1,0,0,0,0,0,4,18,0,0,UTA,0,17:41,2024
2024020928,MIN,H,2025-02-25,0,1,{'default': 'Wild'},{'default': 'Red Wings'},1,0,0,1,0,0,3,20,0,0,DET,0,21:02,2024
2024020894,MIN,R,2025-02-22,1,1,{'default': 'Wild'},{'default': 'Red Wings'},2,2,0,1,0,0,6,21,0,0,DET,4,23:36,2024
2024020886,MIN,H,2025-02-08,2,1,{'default': 'Wild'},{'default': 'Islanders'},3,2,0,0,0,0,4,16,0,0,NYI,0,14:47,2024
2024020867,MIN,H,2025-02-06,0,0,{'default': 'Wild'},{'default': 'Hurricanes'},0,0,0,0,0,0,1,20,0,0,CAR,0,20:19,2024
2024020845,MIN,R,2025-02-04,0,0,{'default': 'Wild'},{'default': 'Bruins'},0,-1,0,0,0,0,6,18,0,0,BOS,0,21:10,2024
2024020828,MIN,R,2025-02-01,0,0,{'default': 'Wild'},"{'default': 'Senators', 'fr': 'Sénateurs'}",0,-1,0,0,0,0,3,16,0,0,OTT,0,18:50,2024
2024020813,MIN,R,2025-01-30,0,0,{'default': 'Wild'},{'default': 'Canadiens'},0,1,0,0,0,0,3,18,0,0,MTL,0,20:10,2024
2024020807,MIN,R,2025-01-29,0,0,{'default': 'Wild'},{'default': 'Maple Leafs'},0,0,0,0,0,0,3,23,0,0,TOR,0,22:29,2024
2024020792,MIN,R,2025-01-26,0,3,{'default': 'Wild'},{'default': 'Blackhawks'},3,1,0,1,0,0,4,15,0,0,CHI,0,14:36,2024
