gameId,teamAbbrev,homeRoadFlag,gameDate,goals,assists,commonName,opponentCommonName,points,plusMinus,powerPlayGoals,powerPlayPoints,gameWinningGoals,otGoals,shots,shifts,shorthandedGoals,shorthandedPoints,opponentAbbrev,toi,pim,season
2025020900,EDM,R,2026-02-04,0,0,{'default': 'Oilers'},{'default': 'Flames'},0,0,0,0,0,0,2,16,0,0,CGY,10:52,0,2025
2025020891,EDM,H,2026-02-03,0,0,{'default': 'Oilers'},{'default': 'Maple Leafs'},0,0,0,0,0,0,1,19,0,0,TOR,13:01,2,2025
2025020871,EDM,H,2026-01-31,0,0,{'default': 'Oilers'},{'default': 'Wild'},0,1,0,0,0,0,2,17,0,0,MIN,14:35,0,2025
2025020854,EDM,H,2026-01-29,0,0,{'default': 'Oilers'},{'default': 'Sharks'},0,-1,0,0,0,0,2,14,0,0,SJS,9:17,0,2025
2025020829,EDM,H,2026-01-26,0,1,{'default': 'Oilers'},{'default': 'Ducks'},1,1,0,0,0,0,2,18,0,0,ANA,10:41,4,2025
2025020818,EDM,H,2026-01-24,0,0,{'default': 'Oilers'},{'default': 'Capitals'},0,-2,0,0,0,0,2,21,0,0,WSH,12:39,0,2025
2025020800,EDM,H,2026-01-22,1,0,{'default': 'Oilers'},{'default': 'Penguins'},1,0,0,0,0,0,1,16,0,0,PIT,13:11,0,2025
2025020786,EDM,H,2026-01-20,1,0,{'default': 'Oilers'},{'default': 'Devils'},1,1,0,0,0,0,2,21,0,0,NJD,16:42,0,2025
2025020769,EDM,H,2026-01-18,0,0,{'default': 'Oilers'},{'default': 'Blues'},0,0,0,0,0,0,0,21,0,0,STL,18:18,0,2025
2025020764,EDM,R,2026-01-17,0,1,{'default': 'Oilers'},{'default': 'Canucks'},1,1,0,0,0,0,1,17,0,0,VAN,13:20,0,2025
2025020747,EDM,H,2026-01-15,0,0,{'default': 'Oilers'},{'default': 'Islanders'},0,0,0,0,0,0,4,15,0,0,NYI,10:30,0,2025
2025020731,EDM,R,2026-01-13,0,0,{'default': 'Oilers'},{'default': 'Predators'},0,-1,0,0,0,0,1,18,0,0,NSH,12:39,0,2025
2025020722,EDM,R,2026-01-12,0,0,{'default': 'Oilers'},{'default': 'Blackhawks'},0,0,0,0,0,0,2,17,0,0,CHI,14:06,0,2025
2025020709,EDM,H,2026-01-10,0,0,{'default': 'Oilers'},{'default': 'Kings'},0,-1,0,0,0,0,0,17,0,0,LAK,11:47,0,2025
2025020690,EDM,R,2026-01-08,0,0,{'default': 'Oilers'},{'default': 'Jets'},0,-2,0,0,0,0,1,17,0,0,WPG,12:47,0,2025
2025020674,EDM,H,2026-01-06,0,1,{'default': 'Oilers'},{'default': 'Predators'},1,1,0,0,0,0,4,18,0,0,NSH,13:32,2,2025
2025020647,EDM,H,2026-01-03,0,0,{'default': 'Oilers'},{'default': 'Flyers'},0,-1,0,0,0,0,0,14,0,0,PHI,10:16,0,2025
2025020631,EDM,H,2025-12-31,0,0,{'default': 'Oilers'},{'default': 'Bruins'},0,0,0,0,0,0,0,15,0,0,BOS,11:17,0,2025
2025020609,EDM,R,2025-12-29,0,1,{'default': 'Oilers'},{'default': 'Jets'},1,0,0,1,0,0,0,17,0,0,WPG,14:18,0,2025
2025020598,EDM,R,2025-12-27,0,0,{'default': 'Oilers'},{'default': 'Flames'},0,0,0,0,0,0,0,19,0,0,CGY,13:04,0,2025
2025020585,EDM,H,2025-12-23,0,0,{'default': 'Oilers'},{'default': 'Flames'},0,0,0,0,0,0,1,23,0,0,CGY,16:39,10,2025
2025020570,EDM,H,2025-12-21,0,0,{'default': 'Oilers'},{'default': 'Golden Knights'},0,0,0,0,0,0,0,16,0,0,VGK,12:29,0,2025
2025020552,EDM,R,2025-12-20,0,0,{'default': 'Oilers'},{'default': 'Wild'},0,-1,0,0,0,0,1,19,0,0,MIN,12:42,0,2025
