gameId,teamAbbrev,homeRoadFlag,gameDate,goals,assists,commonName,opponentCommonName,points,plusMinus,powerPlayGoals,powerPlayPoints,gameWinningGoals,otGoals,shots,shifts,shorthandedGoals,shorthandedPoints,toi,opponentAbbrev,pim,season
2025020754,BUF,H,2026-01-17,0,1,{'default': 'Sabres'},{'default': 'Wild'},1,-1,0,0,0,0,0,28,0,0,26:30,MIN,0,2025
2025020740,BUF,H,2026-01-15,0,0,{'default': 'Sabres'},{'default': 'Canadiens'},0,2,0,0,0,0,4,32,0,0,25:24,MTL,0,2025
2025020736,BUF,H,2026-01-14,1,0,{'default': 'Sabres'},{'default': 'Flyers'},1,2,0,0,0,0,1,24,0,0,24:11,PHI,0,2025
2025020716,BUF,H,2026-01-12,0,0,{'default': 'Sabres'},{'default': 'Panthers'},0,-1,0,0,0,0,2,22,0,0,24:27,FLA,0,2025
2025020701,BUF,H,2026-01-10,0,0,{'default': 'Sabres'},{'default': 'Ducks'},0,0,0,0,0,0,1,28,0,0,23:59,ANA,2,2025
2025020685,BUF,R,2026-01-08,1,1,{'default': 'Sabres'},{'default': 'Rangers'},2,1,0,0,0,0,1,28,1,1,23:56,NYR,0,2025
2025020667,BUF,H,2026-01-06,0,1,{'default': 'Sabres'},{'default': 'Canucks'},1,2,0,0,0,0,1,25,0,1,24:36,VAN,0,2025
2025020646,BUF,R,2026-01-03,0,0,{'default': 'Sabres'},{'default': 'Blue Jackets'},0,0,0,0,0,0,4,25,0,0,20:59,CBJ,0,2025
2025020628,BUF,R,2025-12-31,0,0,{'default': 'Sabres'},{'default': 'Stars'},0,1,0,0,0,0,3,30,0,0,22:56,DAL,0,2025
2025020610,BUF,R,2025-12-29,0,1,{'default': 'Sabres'},{'default': 'Blues'},1,-1,0,0,0,0,2,25,0,0,22:14,STL,0,2025
2025020589,BUF,H,2025-12-27,1,2,{'default': 'Sabres'},{'default': 'Bruins'},3,3,0,0,0,0,2,26,0,0,24:56,BOS,0,2025
2025020578,BUF,R,2025-12-23,0,1,{'default': 'Sabres'},"{'default': 'Senators', 'fr': 'Sénateurs'}",1,0,0,0,0,0,2,32,0,0,26:39,OTT,0,2025
2025020565,BUF,R,2025-12-21,0,0,{'default': 'Sabres'},{'default': 'Devils'},0,1,0,0,0,0,0,29,0,0,26:07,NJD,0,2025
2025020553,BUF,H,2025-12-20,0,0,{'default': 'Sabres'},{'default': 'Islanders'},0,1,0,0,0,0,0,27,0,0,24:12,NYI,0,2025
2025020535,BUF,H,2025-12-18,0,2,{'default': 'Sabres'},{'default': 'Flyers'},2,1,0,0,0,0,1,24,0,0,19:43,PHI,2,2025
2025020513,BUF,R,2025-12-14,0,0,{'default': 'Sabres'},{'default': 'Kraken'},0,2,0,0,0,0,0,28,0,0,26:30,SEA,0,2025
2025020492,BUF,R,2025-12-11,0,0,{'default': 'Sabres'},{'default': 'Canucks'},0,1,0,0,0,0,0,27,0,0,26:32,VAN,0,2025
2025020474,BUF,R,2025-12-09,0,0,{'default': 'Sabres'},{'default': 'Oilers'},0,0,0,0,0,0,1,28,0,0,26:09,EDM,0,2025
2025020463,BUF,R,2025-12-08,0,0,{'default': 'Sabres'},{'default': 'Flames'},0,1,0,0,0,0,0,24,0,0,20:24,CGY,0,2025
2025020437,BUF,R,2025-12-05,0,0,{'default': 'Sabres'},{'default': 'Jets'},0,-1,0,0,0,0,1,27,0,0,23:21,WPG,0,2025
2025020423,BUF,R,2025-12-03,0,0,{'default': 'Sabres'},{'default': 'Flyers'},0,-2,0,0,0,0,3,24,0,0,20:57,PHI,0,2025
2025020408,BUF,H,2025-12-01,0,0,{'default': 'Sabres'},{'default': 'Jets'},0,1,0,0,0,0,4,24,0,0,21:36,WPG,0,2025
