playerId,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts
8482665,2021,Matty Beniers,2021021174,SEA,CGY,AWAY,20220412,C,all,1030.0,22.0,1.205,0.4612,0.4218,0.5417,0.3733,0.5789,0.4259,3.0,1.43,0.054,0.09,0.306,0.045,0.923,0.582,0.054,0.056,0.056,1.0,0.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,2.0,0.0,0.0,5.0,1.0,1.0,0.0,2.0,0.0,0.0,0.054,0.0,0.0,0.0,0.0,0.0,2.032,2.0,2.03,0.0,0.019,0.0,0.0,0.073,0.075,0.075,22.0,5.0,2.0,5.0,10.0,2.0,3.0,4.0,13.0,5.0,7.0,2570.0,0.0,2.0,1.0,0.0,7.995,0.571,0.57,0.606,0.606,7.0,4.0,2.0,13.0,1.0,0.0,0.0,9.0,2.0,0.0,0.312,0.258,0.0,1.0,0.0,0.0,13.752,11.0,11.418,0.116,0.0,0.0,0.687,0.727,0.727,5.759,0.667,0.66,0.658,0.651,6.0,2.0,3.0,11.0,1.0,0.0,0.0,6.0,1.0,1.0,0.116,0.096,0.454,0.0,0.0,1.0,10.76,8.0,7.856,0.06,0.0,0.0,0.726,0.715,0.708,1.809,2.48,28.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0
8482665,2021,Matty Beniers,2021021209,SEA,NJD,HOME,20220416,C,all,1094.0,22.0,0.895,0.6105,0.456,0.5,0.4557,0.5556,0.4464,3.0,3.221,0.75,0.213,0.684,0.206,1.216,0.93,0.602,0.736,0.587,0.0,0.0,3.0,1.0,1.0,5.0,1.0,1.0,0.0,1.0,2.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,6.0,2.0,1.0,2.0,2.0,1.0,1.0,0.082,0.156,0.513,0.0,0.0,1.0,4.745,4.0,3.833,0.0,0.052,0.0,0.513,0.289,0.273,0.266,22.0,3.0,0.0,4.0,15.0,7.0,2.0,3.0,10.0,6.0,4.0,2806.0,0.0,2.0,1.0,1.0,11.163,1.583,1.373,1.561,1.352,13.0,2.0,3.0,18.0,1.0,1.0,1.0,10.0,2.0,3.0,0.225,0.351,1.007,0.0,0.0,1.0,17.366,15.0,14.56,0.197,0.513,0.513,1.267,1.241,1.165,8.367,1.01,0.951,1.079,1.015,7.0,5.0,6.0,18.0,0.0,2.0,0.0,8.0,2.0,2.0,0.123,0.253,0.633,0.0,0.0,0.0,19.172,12.0,12.723,0.115,0.633,0.633,0.491,0.531,0.525,1.094,1.305,36.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0
8482665,2021,Matty Beniers,2021020611,SEA,OTT,HOME,20220418,C,all,1184.0,20.0,0.665,0.7528,0.6646,0.5,0.5862,0.6,0.5682,2.0,1.941,0.238,0.135,0.387,0.078,1.382,0.781,0.22,0.233,0.215,0.0,0.0,3.0,0.0,0.0,3.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,4.0,0.0,0.0,0.0,1.0,2.0,0.0,0.034,0.204,0.0,0.0,1.0,0.0,2.97,3.0,2.971,0.0,0.03,0.349,0.0,0.268,0.263,0.243,20.0,7.0,0.0,4.0,9.0,2.0,4.0,5.0,9.0,4.0,5.0,2416.0,0.0,0.0,0.0,0.0,8.396,1.084,1.054,1.08,1.049,11.0,1.0,2.0,14.0,1.0,1.0,0.0,7.0,4.0,1.0,0.267,0.468,0.349,0.0,1.0,0.0,14.044,12.0,12.087,0.158,0.349,0.349,0.893,0.888,0.866,5.964,0.356,0.345,0.367,0.355,5.0,3.0,6.0,14.0,1.0,1.0,1.0,6.0,2.0,0.0,0.155,0.202,0.0,0.0,1.0,0.0,13.928,8.0,7.984,0.07,0.118,0.118,0.309,0.316,0.312,2.521,1.272,34.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0
8482665,2021,Matty Beniers,2021021232,SEA,COL,HOME,20220420,C,all,785.0,16.0,0.99,0.6405,0.5452,0.5217,0.4286,0.6,0.4746,8.0,1.998,0.093,0.14,0.499,0.061,1.331,0.875,0.083,0.094,0.084,1.0,0.0,2.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,3.0,0.0,0.0,6.0,0.0,2.0,0.0,3.0,0.0,0.0,0.093,0.0,0.0,0.0,0.0,0.0,3.206,3.0,3.101,0.0,0.03,0.0,0.0,0.123,0.124,0.112,16.0,4.0,0.0,2.0,10.0,3.0,1.0,2.0,10.0,6.0,2.0,2815.0,0.0,0.0,0.0,1.0,8.809,0.506,0.493,0.51,0.497,10.0,2.0,0.0,12.0,1.0,0.0,0.0,11.0,1.0,0.0,0.355,0.151,0.0,1.0,0.0,0.0,12.676,12.0,12.441,0.127,0.0,0.0,0.633,0.638,0.621,5.254,0.284,0.279,0.28,0.275,3.0,5.0,3.0,11.0,0.0,1.0,0.0,8.0,0.0,0.0,0.284,0.0,0.0,0.0,0.0,0.0,10.335,8.0,7.644,0.07,0.057,0.057,0.297,0.293,0.29,2.182,1.82,39.0,52.0,0.0,0.0,0.0,0.0,0.0,0.0
8482665,2021,Matty Beniers,2021021245,SEA,MIN,AWAY,20220422,C,all,943.0,20.0,0.715,0.5724,0.2274,0.6364,0.4691,0.5625,0.4516,6.0,1.699,0.884,0.058,0.242,0.032,0.459,0.324,0.879,0.885,0.881,0.0,0.0,1.0,1.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.017,0.0,0.866,0.0,0.0,1.0,2.103,2.0,2.1,0.0,0.016,0.0,0.0,0.9,0.902,0.898,20.0,3.0,0.0,3.0,14.0,2.0,3.0,4.0,11.0,0.0,6.0,2657.0,0.0,0.0,0.0,1.0,6.38,1.063,1.056,1.075,1.068,6.0,3.0,5.0,14.0,1.0,0.0,0.0,7.0,1.0,1.0,0.111,0.086,0.866,0.0,0.0,1.0,14.004,9.0,9.185,0.087,0.0,0.0,1.15,1.164,1.157,5.92,0.794,0.794,0.79,0.79,7.0,0.0,1.0,8.0,1.0,0.0,0.0,3.0,4.0,0.0,0.112,0.681,0.0,1.0,0.0,0.0,8.104,7.0,6.964,0.118,0.0,0.0,0.911,0.906,0.906,1.057,3.592,38.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0
8482665,2021,Matty Beniers,2021021255,SEA,DAL,AWAY,20220423,C,all,1088.0,20.0,-0.27,0.2077,0.5574,0.4412,0.5506,0.4167,0.5882,2.0,2.337,0.03,0.07,0.564,0.067,1.058,1.21,0.03,0.032,0.032,0.0,0.0,2.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0,3.0,0.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,4.258,3.0,3.075,0.0,0.014,0.0,0.0,0.044,0.046,0.046,20.0,3.0,1.0,3.0,13.0,2.0,3.0,2.0,13.0,1.0,8.0,2512.0,0.0,0.0,0.0,0.0,7.519,0.381,0.352,0.418,0.385,8.0,2.0,5.0,15.0,0.0,0.0,0.0,7.0,3.0,0.0,0.077,0.305,0.0,0.0,0.0,0.0,15.57,10.0,10.441,0.088,0.0,0.0,0.469,0.512,0.474,10.709,1.453,1.359,1.381,1.293,9.0,5.0,5.0,19.0,1.0,2.0,0.0,8.0,3.0,3.0,0.256,0.329,0.867,0.0,1.0,0.0,18.374,14.0,13.692,0.145,0.648,0.648,0.95,0.915,0.903,2.063,1.638,49.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0
8482665,2021,Matty Beniers,2021021284,SEA,VAN,AWAY,20220426,C,all,1136.0,20.0,0.305,0.5726,0.6166,0.5789,0.5735,0.5862,0.5577,1.0,2.115,0.197,0.276,0.452,0.114,1.448,0.513,0.195,0.197,0.195,1.0,0.0,3.0,0.0,3.0,6.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,3.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,1.0,0.0,0.043,0.154,0.0,0.0,0.0,0.0,5.975,3.0,2.964,0.0,0.092,0.0,0.028,0.261,0.261,0.256,20.0,5.0,2.0,4.0,9.0,0.0,2.0,5.0,13.0,2.0,9.0,2464.0,0.0,2.0,1.0,0.0,12.416,0.994,0.988,0.993,0.986,15.0,2.0,5.0,22.0,1.0,1.0,0.0,15.0,1.0,1.0,0.292,0.154,0.548,0.0,0.0,1.0,21.676,17.0,16.837,0.355,0.028,0.028,1.321,1.319,1.303,8.587,0.742,0.715,0.747,0.719,8.0,4.0,4.0,16.0,1.0,0.0,0.0,9.0,2.0,1.0,0.237,0.182,0.323,0.0,0.0,1.0,16.812,12.0,12.465,0.118,0.0,0.0,0.86,0.865,0.835,2.174,1.352,39.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0
8482665,2021,Matty Beniers,2021021289,SEA,LAK,HOME,20220427,C,all,1113.0,19.0,1.095,0.6289,0.4638,0.6216,0.5517,0.6129,0.5692,2.0,0.792,0.171,0.103,0.091,0.03,0.425,0.18,0.134,0.171,0.134,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.171,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.039,0.0,0.0,0.21,0.21,0.165,19.0,6.0,0.0,4.0,9.0,1.0,1.0,4.0,13.0,6.0,4.0,2487.0,0.0,0.0,0.0,0.0,14.183,1.395,1.304,1.352,1.265,11.0,8.0,4.0,23.0,2.0,1.0,0.0,11.0,7.0,1.0,0.243,0.852,0.3,0.0,2.0,0.0,22.418,19.0,18.369,0.248,0.3,0.3,1.343,1.317,1.254,8.513,0.823,0.822,0.84,0.84,8.0,4.0,2.0,14.0,2.0,0.0,0.0,8.0,4.0,0.0,0.299,0.524,0.0,1.0,1.0,0.0,13.726,12.0,11.918,0.121,0.0,0.0,0.944,0.964,0.963,2.063,2.385,48.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0
8482665,2021,Matty Beniers,2021021312,SEA,SJS,HOME,20220429,C,all,920.0,16.0,1.04,0.7432,0.5904,0.7,0.5658,0.6667,0.5472,4.0,1.377,0.026,0.071,0.368,0.049,0.888,0.598,0.026,0.026,0.026,0.0,1.0,0.0,2.0,3.0,5.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,6.0,1.0,2.0,0.0,2.0,0.0,0.0,0.026,0.0,0.0,0.0,0.0,0.0,5.1,2.0,2.089,0.0,0.014,0.0,0.0,0.04,0.04,0.04,16.0,3.0,3.0,0.0,10.0,4.0,0.0,4.0,8.0,6.0,2.0,2680.0,0.0,0.0,0.0,1.0,11.417,1.508,1.486,1.507,1.485,11.0,5.0,5.0,21.0,2.0,0.0,0.0,11.0,3.0,2.0,0.314,0.455,0.739,1.0,0.0,1.0,21.562,16.0,16.41,0.18,0.0,0.0,1.688,1.687,1.662,5.798,0.521,0.494,0.517,0.491,7.0,1.0,1.0,9.0,0.0,1.0,0.0,5.0,3.0,0.0,0.113,0.408,0.0,0.0,0.0,0.0,8.776,8.0,7.832,0.094,0.173,0.173,0.441,0.44,0.436,2.048,1.421,43.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0
8482665,2021,Matty Beniers,2021021179,SEA,WPG,AWAY,20220501,C,all,871.0,18.0,0.52,0.5652,0.5282,0.56,0.5132,0.5789,0.5,7.0,2.114,0.062,0.126,0.549,0.061,1.371,0.831,0.062,0.069,0.068,0.0,1.0,2.0,1.0,2.0,5.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0,2.0,3.0,0.0,0.0,3.0,1.0,0.0,3.0,3.0,0.0,0.0,0.062,0.0,0.0,0.0,0.0,0.0,5.34,3.0,3.292,2.0,0.027,0.0,0.0,0.089,0.097,0.097,18.0,5.0,0.0,3.0,10.0,1.0,1.0,4.0,12.0,3.0,6.0,2729.0,0.0,0.0,0.0,0.0,7.764,1.304,1.284,1.339,1.317,7.0,4.0,3.0,14.0,1.0,1.0,0.0,7.0,3.0,1.0,0.205,0.391,0.708,0.0,0.0,1.0,14.751,11.0,11.639,0.131,0.165,0.165,1.27,1.302,1.284,6.232,1.003,0.99,0.964,0.952,6.0,2.0,3.0,11.0,1.0,1.0,0.0,4.0,2.0,2.0,0.167,0.245,0.591,0.0,0.0,1.0,10.861,8.0,7.883,0.106,0.303,0.303,0.806,0.791,0.786,2.417,2.159,39.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0
