gameId,teamAbbrev,homeRoadFlag,gameDate,goals,assists,commonName,opponentCommonName,points,plusMinus,powerPlayGoals,powerPlayPoints,gameWinningGoals,otGoals,shots,shifts,shorthandedGoals,shorthandedPoints,toi,pim,opponentAbbrev,season
2025021060,TOR,R,2026-03-15,0,0,{'default': 'Maple Leafs'},{'default': 'Wild'},0,1,0,0,0,0,0,19,0,0,15:26,0,MIN,2025
2025021047,TOR,R,2026-03-14,1,0,{'default': 'Maple Leafs'},{'default': 'Sabres'},1,1,0,0,0,0,1,20,0,0,16:47,0,BUF,2025
2025021029,TOR,H,2026-03-12,0,0,{'default': 'Maple Leafs'},{'default': 'Ducks'},0,-2,0,0,0,0,2,15,0,0,12:12,14,ANA,2025
2025021014,TOR,R,2026-03-10,0,0,{'default': 'Maple Leafs'},{'default': 'Canadiens'},0,0,0,0,0,0,0,18,0,0,14:37,0,MTL,2025
2025020994,TOR,H,2026-03-07,0,0,{'default': 'Maple Leafs'},{'default': 'Lightning'},0,1,0,0,0,0,1,17,0,0,13:39,5,TBL,2025
2025020975,TOR,R,2026-03-05,0,0,{'default': 'Maple Leafs'},{'default': 'Rangers'},0,-2,0,0,0,0,2,16,0,0,13:09,0,NYR,2025
2025020971,TOR,R,2026-03-04,0,0,{'default': 'Maple Leafs'},{'default': 'Devils'},0,0,0,0,0,0,0,18,0,0,15:25,0,NJD,2025
2025020954,TOR,H,2026-03-02,0,0,{'default': 'Maple Leafs'},{'default': 'Flyers'},0,0,0,0,0,0,3,19,0,0,14:36,0,PHI,2025
2025020939,TOR,H,2026-02-28,0,0,{'default': 'Maple Leafs'},"{'default': 'Senators', 'fr': 'Sénateurs'}",0,-2,0,0,0,0,0,18,0,0,11:57,12,OTT,2025
2025020921,TOR,R,2026-02-26,0,0,{'default': 'Maple Leafs'},{'default': 'Panthers'},0,-2,0,0,0,0,1,18,0,0,13:54,0,FLA,2025
2025020912,TOR,R,2026-02-25,0,0,{'default': 'Maple Leafs'},{'default': 'Lightning'},0,1,0,0,0,0,2,21,0,0,18:31,0,TBL,2025
2025020891,TOR,R,2026-02-03,0,1,{'default': 'Maple Leafs'},{'default': 'Oilers'},1,-1,0,1,0,0,2,20,0,0,17:00,0,EDM,2025
2025020885,TOR,R,2026-02-02,0,0,{'default': 'Maple Leafs'},{'default': 'Flames'},0,0,0,0,0,0,1,18,0,0,14:28,0,CGY,2025
2025020869,TOR,R,2026-01-31,1,0,{'default': 'Maple Leafs'},{'default': 'Canucks'},1,1,0,0,0,0,1,24,0,0,20:08,0,VAN,2025
2025020857,TOR,R,2026-01-29,0,1,{'default': 'Maple Leafs'},{'default': 'Kraken'},1,-1,0,1,0,0,1,22,0,0,19:51,0,SEA,2025
2025020831,TOR,H,2026-01-27,1,2,{'default': 'Maple Leafs'},{'default': 'Sabres'},3,1,0,0,0,0,3,21,0,0,15:55,0,BUF,2025
2025020819,TOR,H,2026-01-25,1,0,{'default': 'Maple Leafs'},{'default': 'Avalanche'},1,-1,1,1,0,0,1,22,0,0,18:07,0,COL,2025
2025020802,TOR,H,2026-01-23,0,1,{'default': 'Maple Leafs'},{'default': 'Golden Knights'},1,-2,0,0,0,0,1,22,0,0,18:48,0,VGK,2025
2025020788,TOR,H,2026-01-21,0,0,{'default': 'Maple Leafs'},{'default': 'Red Wings'},0,-1,0,0,0,0,2,22,0,0,15:21,0,DET,2025
