playerId,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts
8479998,2019,Mikey Anderson,2019021001,L.A,N.J,HOME,20200229,D,all,1139.0,21.0,0.325,0.6799,0.5191,0.5278,0.5568,0.5517,0.5147,4.0,0.66,0.01,0.036,0.191,0.019,0.439,0.305,0.01,0.01,0.01,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3.0,0.0,0.0,1.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.97,1.0,0.971,0.0,0.007,0.0,0.0,0.017,0.016,0.016,21.0,3.0,2.0,3.0,13.0,3.0,1.0,1.0,16.0,0.0,0.0,2579.0,0.0,0.0,0.0,1.0,10.466,0.703,0.696,0.669,0.663,10.0,6.0,3.0,19.0,1.0,0.0,0.0,13.0,3.0,0.0,0.368,0.335,0.0,0.0,1.0,0.0,18.155,16.0,15.375,0.149,0.0,0.0,0.853,0.811,0.804,9.553,0.331,0.33,0.353,0.353,10.0,3.0,4.0,17.0,1.0,0.0,0.0,13.0,0.0,0.0,0.331,0.0,0.0,1.0,0.0,0.0,18.048,13.0,13.755,0.124,0.0,0.0,0.454,0.483,0.482,2.621,2.428,49.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0
8479998,2019,Mikey Anderson,2019021016,L.A,VGK,AWAY,20200301,D,all,1088.0,24.0,-0.45,0.1303,0.3912,0.2188,0.2644,0.2727,0.2344,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,2.0,6.0,3.0,13.0,1.0,4.0,1.0,18.0,0.0,0.0,2512.0,0.0,0.0,0.0,4.0,3.649,0.183,0.183,0.203,0.203,5.0,1.0,1.0,7.0,0.0,0.0,0.0,6.0,0.0,0.0,0.183,0.0,0.0,0.0,0.0,0.0,7.984,6.0,6.729,0.052,0.0,0.0,0.236,0.261,0.261,11.21,1.221,1.191,1.144,1.115,7.0,9.0,9.0,25.0,0.0,0.0,0.0,10.0,5.0,1.0,0.42,0.557,0.244,0.0,0.0,0.0,22.658,16.0,14.68,0.188,0.0,0.0,1.408,1.32,1.287,2.203,3.429,23.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0
8479998,2019,Mikey Anderson,2019021041,L.A,TOR,HOME,20200305,D,all,942.0,21.0,0.35,0.5692,0.3875,0.6087,0.419,0.6316,0.4,5.0,0.684,0.015,0.037,0.252,0.034,0.42,0.242,0.014,0.015,0.014,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.0,0.97,1.0,0.971,0.0,0.007,0.0,0.0,0.022,0.021,0.02,21.0,2.0,3.0,2.0,14.0,5.0,5.0,0.0,11.0,0.0,0.0,2958.0,0.0,0.0,0.0,0.0,8.388,0.432,0.428,0.412,0.409,8.0,4.0,2.0,14.0,0.0,0.0,0.0,11.0,1.0,0.0,0.254,0.177,0.0,0.0,0.0,0.0,13.58,12.0,11.654,0.086,0.0,0.0,0.517,0.494,0.489,5.027,0.327,0.326,0.343,0.342,6.0,1.0,2.0,9.0,0.0,0.0,0.0,5.0,2.0,0.0,0.085,0.243,0.0,0.0,0.0,0.0,9.224,7.0,7.152,0.062,0.0,0.0,0.39,0.407,0.403,2.109,3.333,44.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0
8479998,2019,Mikey Anderson,2019021052,L.A,MIN,HOME,20200307,D,all,1063.0,21.0,0.4,0.4286,0.608,0.4375,0.5488,0.4583,0.5469,4.0,2.676,0.088,0.163,0.66,0.077,1.783,1.23,0.087,0.086,0.085,0.0,0.0,4.0,0.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,4.0,0.0,0.0,0.088,0.0,0.0,0.0,0.0,0.0,5.066,4.0,4.031,0.0,0.032,0.0,0.0,0.12,0.118,0.117,21.0,0.0,2.0,5.0,14.0,1.0,4.0,4.0,12.0,0.0,0.0,2537.0,0.0,0.0,0.0,0.0,7.716,1.267,1.262,1.264,1.259,10.0,1.0,3.0,14.0,2.0,1.0,1.0,9.0,0.0,2.0,0.198,0.0,1.069,0.0,0.0,2.0,14.042,11.0,11.072,0.09,0.372,0.372,0.985,0.981,0.98,10.301,1.689,1.552,1.669,1.534,9.0,4.0,5.0,18.0,0.0,4.0,0.0,7.0,3.0,3.0,0.214,0.441,1.033,0.0,0.0,0.0,17.331,13.0,12.599,0.212,1.224,1.224,0.676,0.667,0.651,2.607,1.681,45.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0
8479998,2019,Mikey Anderson,2019021069,L.A,COL,HOME,20200309,D,all,1132.0,22.0,1.225,0.6173,0.6946,0.4872,0.5507,0.4815,0.58,3.0,2.02,0.04,0.104,0.703,0.071,1.242,0.84,0.038,0.041,0.038,0.0,0.0,3.0,0.0,4.0,7.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0,0.0,3.0,0.0,2.0,3.0,0.0,0.0,0.04,0.0,0.0,1.0,0.0,0.0,7.414,3.0,3.151,1.0,0.021,0.0,0.018,0.043,0.044,0.043,22.0,3.0,1.0,1.0,17.0,3.0,7.0,3.0,9.0,0.0,0.0,2468.0,0.0,0.0,0.0,3.0,9.87,0.992,0.982,1.001,0.991,10.0,3.0,6.0,19.0,2.0,3.0,0.0,8.0,4.0,1.0,0.152,0.517,0.324,1.0,1.0,0.0,19.95,13.0,13.618,0.158,0.507,0.341,0.808,0.819,0.813,10.404,0.615,0.596,0.612,0.594,12.0,2.0,6.0,20.0,1.0,0.0,0.0,11.0,3.0,0.0,0.303,0.312,0.0,1.0,0.0,0.0,19.281,14.0,13.486,0.124,0.0,0.0,0.738,0.736,0.712,2.336,1.027,38.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0
8479998,2019,Mikey Anderson,2019021082,L.A,OTT,HOME,20200311,D,all,1128.0,18.0,-0.625,0.5976,0.732,0.2222,0.6941,0.2174,0.6571,4.0,0.65,0.014,0.022,0.254,0.023,0.379,0.307,0.013,0.014,0.013,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.014,0.0,0.0,0.0,0.0,0.0,1.885,1.0,0.971,0.0,0.005,0.0,0.0,0.019,0.018,0.017,18.0,2.0,2.0,4.0,10.0,0.0,2.0,3.0,13.0,0.0,0.0,2472.0,0.0,0.0,0.0,2.0,3.512,1.065,1.044,1.047,1.027,4.0,1.0,3.0,8.0,1.0,1.0,1.0,2.0,1.0,2.0,0.033,0.09,0.943,0.0,0.0,1.0,7.68,5.0,4.83,0.051,0.221,0.221,0.895,0.884,0.88,12.978,0.717,0.702,0.771,0.755,11.0,7.0,10.0,28.0,0.0,2.0,0.0,17.0,0.0,1.0,0.449,0.0,0.267,0.0,0.0,0.0,29.286,18.0,18.732,0.138,0.307,0.307,0.548,0.581,0.581,4.184,1.532,59.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0
8479998,2020,Mikey Anderson,2020020016,L.A,MIN,HOME,20210114,D,all,1302.0,30.0,0.15,0.8134,0.5626,0.4063,0.5493,0.4,0.6111,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,4.0,4.0,6.0,16.0,5.0,8.0,2.0,15.0,0.0,0.0,2525.0,0.0,0.0,0.0,0.0,9.118,1.473,1.356,1.44,1.324,10.0,2.0,1.0,13.0,2.0,2.0,2.0,9.0,1.0,2.0,0.256,0.102,1.115,0.0,0.0,2.0,12.672,12.0,11.737,0.117,1.115,1.115,0.476,0.457,0.449,12.906,0.338,0.336,0.35,0.348,13.0,5.0,1.0,19.0,1.0,0.0,0.0,18.0,0.0,0.0,0.338,0.0,0.0,1.0,0.0,0.0,19.245,18.0,18.241,0.236,0.0,0.0,0.574,0.589,0.586,1.905,1.481,39.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0
8479998,2020,Mikey Anderson,2020020032,L.A,MIN,HOME,20210116,D,all,1213.0,25.0,-0.55,0.1732,0.4782,0.2391,0.519,0.2432,0.5303,3.0,0.72,0.007,0.029,0.221,0.023,0.446,0.274,0.007,0.007,0.007,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.007,0.0,0.0,0.0,0.0,0.0,0.915,1.0,0.916,0.0,0.005,0.0,0.0,0.013,0.012,0.012,25.0,1.0,5.0,2.0,17.0,6.0,4.0,4.0,11.0,0.0,0.0,2676.0,0.0,0.0,0.0,4.0,6.541,0.22,0.22,0.216,0.216,6.0,3.0,2.0,11.0,0.0,0.0,0.0,9.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,10.745,9.0,8.764,0.064,0.0,0.0,0.285,0.278,0.278,19.594,1.05,1.037,1.087,1.073,19.0,9.0,7.0,35.0,1.0,1.0,0.0,24.0,4.0,0.0,0.628,0.422,0.0,1.0,0.0,0.0,35.891,28.0,28.592,0.29,0.037,0.037,1.303,1.346,1.334,2.384,2.601,41.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0
8479998,2020,Mikey Anderson,2020020054,L.A,COL,HOME,20210119,D,all,1136.0,23.0,0.85,0.2265,0.3499,0.5333,0.5,0.52,0.4889,4.0,0.766,0.008,0.028,0.202,0.019,0.456,0.287,0.008,0.007,0.007,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.008,0.0,0.0,0.0,0.0,0.0,0.915,1.0,0.916,1.0,0.006,0.0,0.0,0.014,0.012,0.012,23.0,0.0,1.0,3.0,19.0,4.0,4.0,2.0,13.0,0.0,0.0,2464.0,2.0,2.0,1.0,1.0,9.234,0.268,0.266,0.246,0.244,11.0,2.0,3.0,16.0,1.0,0.0,0.0,13.0,0.0,0.0,0.268,0.0,0.0,1.0,0.0,0.0,14.627,13.0,11.967,0.097,0.0,0.0,0.365,0.336,0.333,8.761,0.915,0.912,0.964,0.961,9.0,3.0,2.0,14.0,1.0,1.0,0.0,9.0,1.0,2.0,0.168,0.087,0.66,0.0,0.0,1.0,15.874,12.0,13.337,0.121,0.206,0.206,0.83,0.871,0.871,1.785,3.316,33.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0
8479998,2020,Mikey Anderson,2020020066,L.A,COL,HOME,20210121,D,all,1512.0,27.0,0.35,0.4015,0.4582,0.4118,0.4783,0.4054,0.4898,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.94,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0,2.0,3.0,8.0,14.0,5.0,4.0,4.0,14.0,0.0,0.0,2088.0,0.0,0.0,0.0,2.0,10.628,1.199,1.176,1.152,1.131,10.0,5.0,6.0,21.0,2.0,2.0,0.0,10.0,4.0,1.0,0.227,0.521,0.45,0.0,1.0,1.0,19.911,15.0,14.145,0.142,0.163,0.163,1.178,1.135,1.113,15.326,1.787,1.593,1.885,1.673,10.0,12.0,8.0,30.0,0.0,3.0,0.0,15.0,4.0,3.0,0.387,0.525,0.874,0.0,0.0,0.0,31.227,22.0,23.063,0.311,0.874,0.874,1.223,1.281,1.217,1.716,2.029,33.0,36.0,0.0,0.0,0.0,0.0,0.0,0.0
