playerId,season,name,gameId,playerTeam,opposingTeam,home_or_away,gameDate,position,situation,icetime,shifts,gameScore,onIce_xGoalsPercentage,offIce_xGoalsPercentage,onIce_corsiPercentage,offIce_corsiPercentage,onIce_fenwickPercentage,offIce_fenwickPercentage,iceTimeRank,I_F_xOnGoal,I_F_xGoals,I_F_xRebounds,I_F_xFreeze,I_F_xPlayStopped,I_F_xPlayContinuedInZone,I_F_xPlayContinuedOutsideZone,I_F_flurryAdjustedxGoals,I_F_scoreVenueAdjustedxGoals,I_F_flurryScoreVenueAdjustedxGoals,I_F_primaryAssists,I_F_secondaryAssists,I_F_shotsOnGoal,I_F_missedShots,I_F_blockedShotAttempts,I_F_shotAttempts,I_F_points,I_F_goals,I_F_rebounds,I_F_reboundGoals,I_F_freeze,I_F_playStopped,I_F_playContinuedInZone,I_F_playContinuedOutsideZone,I_F_savedShotsOnGoal,I_F_savedUnblockedShotAttempts,penalties,I_F_penalityMinutes,I_F_faceOffsWon,I_F_hits,I_F_takeaways,I_F_giveaways,I_F_lowDangerShots,I_F_mediumDangerShots,I_F_highDangerShots,I_F_lowDangerxGoals,I_F_mediumDangerxGoals,I_F_highDangerxGoals,I_F_lowDangerGoals,I_F_mediumDangerGoals,I_F_highDangerGoals,I_F_scoreAdjustedShotsAttempts,I_F_unblockedShotAttempts,I_F_scoreAdjustedUnblockedShotAttempts,I_F_dZoneGiveaways,I_F_xGoalsFromxReboundsOfShots,I_F_xGoalsFromActualReboundsOfShots,I_F_reboundxGoals,I_F_xGoals_with_earned_rebounds,I_F_xGoals_with_earned_rebounds_scoreAdjusted,I_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,I_F_shifts,I_F_oZoneShiftStarts,I_F_dZoneShiftStarts,I_F_neutralZoneShiftStarts,I_F_flyShiftStarts,I_F_oZoneShiftEnds,I_F_dZoneShiftEnds,I_F_neutralZoneShiftEnds,I_F_flyShiftEnds,faceoffsWon,faceoffsLost,timeOnBench,penalityMinutes,penalityMinutesDrawn,penaltiesDrawn,shotsBlockedByPlayer,OnIce_F_xOnGoal,OnIce_F_xGoals,OnIce_F_flurryAdjustedxGoals,OnIce_F_scoreVenueAdjustedxGoals,OnIce_F_flurryScoreVenueAdjustedxGoals,OnIce_F_shotsOnGoal,OnIce_F_missedShots,OnIce_F_blockedShotAttempts,OnIce_F_shotAttempts,OnIce_F_goals,OnIce_F_rebounds,OnIce_F_reboundGoals,OnIce_F_lowDangerShots,OnIce_F_mediumDangerShots,OnIce_F_highDangerShots,OnIce_F_lowDangerxGoals,OnIce_F_mediumDangerxGoals,OnIce_F_highDangerxGoals,OnIce_F_lowDangerGoals,OnIce_F_mediumDangerGoals,OnIce_F_highDangerGoals,OnIce_F_scoreAdjustedShotsAttempts,OnIce_F_unblockedShotAttempts,OnIce_F_scoreAdjustedUnblockedShotAttempts,OnIce_F_xGoalsFromxReboundsOfShots,OnIce_F_xGoalsFromActualReboundsOfShots,OnIce_F_reboundxGoals,OnIce_F_xGoals_with_earned_rebounds,OnIce_F_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_F_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OnIce_A_xOnGoal,OnIce_A_xGoals,OnIce_A_flurryAdjustedxGoals,OnIce_A_scoreVenueAdjustedxGoals,OnIce_A_flurryScoreVenueAdjustedxGoals,OnIce_A_shotsOnGoal,OnIce_A_missedShots,OnIce_A_blockedShotAttempts,OnIce_A_shotAttempts,OnIce_A_goals,OnIce_A_rebounds,OnIce_A_reboundGoals,OnIce_A_lowDangerShots,OnIce_A_mediumDangerShots,OnIce_A_highDangerShots,OnIce_A_lowDangerxGoals,OnIce_A_mediumDangerxGoals,OnIce_A_highDangerxGoals,OnIce_A_lowDangerGoals,OnIce_A_mediumDangerGoals,OnIce_A_highDangerGoals,OnIce_A_scoreAdjustedShotsAttempts,OnIce_A_unblockedShotAttempts,OnIce_A_scoreAdjustedUnblockedShotAttempts,OnIce_A_xGoalsFromxReboundsOfShots,OnIce_A_xGoalsFromActualReboundsOfShots,OnIce_A_reboundxGoals,OnIce_A_xGoals_with_earned_rebounds,OnIce_A_xGoals_with_earned_rebounds_scoreAdjusted,OnIce_A_xGoals_with_earned_rebounds_scoreFlurryAdjusted,OffIce_F_xGoals,OffIce_A_xGoals,OffIce_F_shotAttempts,OffIce_A_shotAttempts,xGoalsForAfterShifts,xGoalsAgainstAfterShifts,corsiForAfterShifts,corsiAgainstAfterShifts,fenwickForAfterShifts,fenwickAgainstAfterShifts
8478483,2016,Mitchell Marner,2016020001,TOR,OTT,AWAY,20161012,C,all,1056.0,23.0,0.55,0.5646,0.4931,0.6316,0.6064,0.5667,0.5735,2.0,5.784,0.392,0.422,1.36,0.171,3.12,2.535,0.392,0.413,0.413,0.0,0.0,6.0,2.0,3.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,6.0,6.0,8.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,2.0,0.0,0.105,0.287,0.0,0.0,0.0,0.0,11.469,8.0,8.323,0.0,0.103,0.0,0.0,0.495,0.519,0.519,23.0,5.0,0.0,5.0,13.0,6.0,2.0,4.0,11.0,0.0,0.0,2581.0,0.0,2.0,1.0,1.0,11.488,0.603,0.603,0.639,0.639,11.0,6.0,7.0,24.0,0.0,0.0,0.0,15.0,2.0,0.0,0.316,0.287,0.0,0.0,0.0,0.0,24.867,17.0,17.615,0.203,0.0,0.0,0.806,0.848,0.848,9.322,0.465,0.465,0.447,0.447,10.0,3.0,1.0,14.0,2.0,0.0,0.0,11.0,2.0,0.0,0.287,0.178,0.0,2.0,0.0,0.0,13.531,13.0,12.557,0.107,0.0,0.0,0.572,0.55,0.55,1.597,1.642,57.0,37.0,0.0,0.0,0.0,0.0,0.0,0.0
8478483,2016,Mitchell Marner,2016020017,TOR,BOS,HOME,20161015,C,all,925.0,20.0,1.25,0.791,0.5491,0.4583,0.4643,0.5263,0.4655,5.0,3.097,0.764,0.226,0.561,0.092,1.381,0.975,0.764,0.777,0.777,0.0,0.0,4.0,0.0,0.0,4.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,2.0,3.0,3.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,0.0,3.0,0.052,0.0,0.712,1.0,0.0,0.0,4.28,4.0,4.151,0.0,0.054,0.0,0.0,0.819,0.832,0.832,20.0,4.0,3.0,1.0,12.0,4.0,1.0,3.0,12.0,0.0,0.0,2675.0,2.0,2.0,1.0,3.0,7.294,1.143,1.143,1.157,1.157,7.0,3.0,1.0,11.0,2.0,0.0,0.0,5.0,2.0,3.0,0.211,0.219,0.712,2.0,0.0,0.0,11.588,10.0,10.223,0.125,0.0,0.0,1.268,1.283,1.283,6.44,0.302,0.301,0.3,0.298,5.0,4.0,4.0,13.0,0.0,0.0,0.0,8.0,1.0,0.0,0.213,0.09,0.0,0.0,0.0,0.0,12.287,9.0,8.711,0.069,0.0,0.0,0.371,0.369,0.367,2.153,1.768,39.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0
8478483,2016,Mitchell Marner,2016020050,TOR,WPG,AWAY,20161019,C,all,887.0,21.0,0.075,0.486,0.6384,0.4324,0.4444,0.4667,0.4722,8.0,0.83,0.115,0.08,0.126,0.018,0.396,0.264,0.114,0.128,0.127,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.115,0.0,0.0,0.0,0.0,1.154,1.0,1.146,0.0,0.017,0.0,0.0,0.132,0.147,0.146,21.0,6.0,1.0,2.0,12.0,2.0,6.0,3.0,10.0,0.0,0.0,2873.0,2.0,0.0,0.0,1.0,9.686,0.87,0.846,0.942,0.915,10.0,4.0,2.0,16.0,1.0,1.0,1.0,11.0,2.0,1.0,0.309,0.198,0.363,0.0,0.0,1.0,17.37,14.0,15.022,0.202,0.363,0.363,0.709,0.756,0.75,11.262,0.92,0.868,0.83,0.784,11.0,5.0,5.0,21.0,3.0,1.0,0.0,13.0,2.0,1.0,0.339,0.245,0.336,2.0,1.0,0.0,18.625,16.0,14.492,0.149,0.336,0.336,0.733,0.669,0.664,3.465,1.963,48.0,60.0,0.0,0.0,0.0,0.0,0.0,0.0
8478483,2016,Mitchell Marner,2016020057,TOR,MIN,AWAY,20161020,C,all,1048.0,22.0,-0.15,0.3752,0.5735,0.5667,0.4699,0.5833,0.5179,3.0,1.492,0.015,0.091,0.337,0.042,1.004,0.511,0.015,0.015,0.015,0.0,0.0,2.0,0.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.015,0.0,0.0,0.0,0.0,0.0,5.064,2.0,2.0,0.0,0.024,0.0,0.0,0.039,0.039,0.039,22.0,4.0,1.0,3.0,14.0,1.0,3.0,5.0,13.0,0.0,0.0,2552.0,0.0,0.0,0.0,1.0,9.829,0.493,0.493,0.51,0.51,11.0,3.0,3.0,17.0,0.0,0.0,0.0,12.0,2.0,0.0,0.218,0.275,0.0,0.0,0.0,0.0,17.43,14.0,14.353,0.182,0.0,0.0,0.675,0.695,0.695,7.445,0.821,0.77,0.774,0.728,8.0,2.0,3.0,13.0,1.0,1.0,0.0,7.0,2.0,1.0,0.19,0.284,0.346,1.0,0.0,0.0,12.557,10.0,9.682,0.103,0.346,0.346,0.577,0.553,0.549,2.389,1.777,39.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0
8478483,2016,Mitchell Marner,2016020072,TOR,CHI,AWAY,20161022,C,all,993.0,22.0,1.225,0.5856,0.3752,0.5333,0.3789,0.5714,0.4203,4.0,1.587,0.156,0.103,0.323,0.045,0.83,0.543,0.156,0.161,0.161,0.0,1.0,1.0,1.0,2.0,4.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,2.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.046,0.11,0.0,0.0,0.0,0.0,4.258,2.0,2.11,0.0,0.022,0.227,0.0,0.178,0.185,0.185,22.0,4.0,4.0,5.0,9.0,3.0,4.0,5.0,10.0,0.0,0.0,2907.0,2.0,0.0,0.0,3.0,8.642,0.835,0.807,0.869,0.84,10.0,2.0,4.0,16.0,2.0,1.0,1.0,8.0,3.0,1.0,0.254,0.353,0.227,0.0,1.0,1.0,16.613,12.0,12.287,0.116,0.227,0.227,0.724,0.752,0.747,6.181,0.591,0.565,0.587,0.561,6.0,3.0,5.0,14.0,1.0,1.0,1.0,7.0,1.0,1.0,0.213,0.13,0.248,0.0,0.0,1.0,13.527,9.0,9.003,0.119,0.248,0.248,0.463,0.458,0.451,2.349,3.911,36.0,59.0,0.0,0.0,0.0,0.0,0.0,0.0
8478483,2016,Mitchell Marner,2016020087,TOR,T.B,HOME,20161025,C,all,1064.0,23.0,0.135,0.4378,0.4779,0.6047,0.6567,0.6286,0.6604,2.0,2.959,0.206,0.173,0.915,0.094,1.631,0.981,0.193,0.195,0.183,0.0,0.0,3.0,1.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,2.0,3.0,4.0,1.0,4.0,1.0,1.0,0.0,2.0,4.0,0.0,0.0,0.206,0.0,0.0,0.0,0.0,0.0,3.765,4.0,3.795,1.0,0.041,0.0,0.0,0.247,0.234,0.221,23.0,9.0,1.0,4.0,9.0,4.0,2.0,7.0,10.0,1.0,0.0,2536.0,4.0,0.0,0.0,0.0,15.354,1.299,1.252,1.228,1.184,17.0,5.0,4.0,26.0,1.0,0.0,0.0,17.0,4.0,1.0,0.577,0.489,0.233,1.0,0.0,0.0,23.269,22.0,20.06,0.22,0.0,0.0,1.52,1.433,1.382,9.459,1.668,1.593,1.888,1.803,8.0,5.0,4.0,17.0,2.0,2.0,2.0,7.0,4.0,2.0,0.387,0.433,0.848,0.0,0.0,2.0,20.056,13.0,14.911,0.139,0.848,0.848,0.959,1.09,1.068,2.085,2.278,44.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0
8478483,2016,Mitchell Marner,2016020101,TOR,FLA,HOME,20161027,C,all,964.0,22.0,2.65,0.6309,0.4814,0.6129,0.4598,0.6087,0.4706,2.0,1.493,0.092,0.099,0.245,0.042,0.916,0.606,0.092,0.089,0.089,2.0,1.0,2.0,0.0,2.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0,2.0,1.0,2.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.092,0.0,0.0,0.0,0.0,0.0,3.881,2.0,1.955,0.0,0.021,0.0,0.0,0.113,0.109,0.109,22.0,3.0,1.0,4.0,14.0,4.0,6.0,3.0,9.0,1.0,1.0,2636.0,2.0,0.0,0.0,0.0,10.605,1.263,1.247,1.206,1.19,12.0,2.0,5.0,19.0,3.0,0.0,0.0,7.0,5.0,2.0,0.24,0.526,0.497,0.0,1.0,2.0,18.277,14.0,13.544,0.176,0.0,0.0,1.439,1.375,1.356,6.835,0.739,0.725,0.758,0.745,5.0,4.0,3.0,12.0,0.0,0.0,0.0,5.0,4.0,0.0,0.213,0.525,0.0,0.0,0.0,0.0,12.049,9.0,8.983,0.078,0.0,0.0,0.816,0.837,0.822,2.081,2.242,40.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0
8478483,2016,Mitchell Marner,2016020114,TOR,MTL,AWAY,20161029,C,all,1123.0,22.0,0.2,0.6782,0.5945,0.6,0.5376,0.5769,0.5323,2.0,3.722,0.078,0.201,0.925,0.111,2.16,1.526,0.078,0.08,0.079,0.0,0.0,2.0,3.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,1.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,0.0,0.0,0.078,0.0,0.0,0.0,0.0,0.0,5.039,5.0,5.025,1.0,0.05,0.0,0.0,0.128,0.131,0.13,22.0,8.0,2.0,3.0,9.0,2.0,2.0,3.0,15.0,0.0,0.0,2477.0,0.0,0.0,0.0,0.0,11.367,0.9,0.884,0.915,0.899,11.0,4.0,9.0,24.0,0.0,3.0,0.0,12.0,1.0,2.0,0.293,0.122,0.484,0.0,0.0,0.0,24.081,15.0,14.944,0.25,0.311,0.311,0.838,0.844,0.832,7.707,0.427,0.427,0.416,0.415,8.0,3.0,5.0,16.0,0.0,0.0,0.0,10.0,1.0,0.0,0.253,0.174,0.0,0.0,0.0,0.0,16.084,11.0,11.183,0.099,0.0,0.0,0.526,0.513,0.513,2.401,1.638,50.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0
8478483,2016,Mitchell Marner,2016020126,TOR,NYI,AWAY,20161030,C,all,1008.0,21.0,0.175,0.4181,0.4606,0.6579,0.5354,0.5714,0.5,4.0,4.231,0.329,0.268,0.921,0.13,2.571,1.781,0.323,0.328,0.322,0.0,0.0,3.0,3.0,2.0,8.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0,2.0,3.0,6.0,0.0,0.0,1.0,0.0,4.0,1.0,5.0,1.0,0.0,0.14,0.189,0.0,0.0,0.0,0.0,7.678,6.0,5.827,0.0,0.057,0.0,0.0,0.386,0.385,0.376,21.0,8.0,4.0,3.0,6.0,2.0,3.0,3.0,13.0,1.0,1.0,2592.0,0.0,0.0,0.0,0.0,11.477,0.778,0.768,0.771,0.761,8.0,8.0,9.0,25.0,0.0,1.0,0.0,13.0,3.0,0.0,0.347,0.431,0.0,0.0,0.0,0.0,23.803,16.0,15.416,0.157,0.054,0.054,0.881,0.872,0.862,8.635,1.083,1.032,1.1,1.048,9.0,3.0,1.0,13.0,2.0,1.0,1.0,8.0,2.0,2.0,0.158,0.184,0.742,1.0,0.0,1.0,13.992,12.0,12.58,0.116,0.51,0.51,0.69,0.701,0.665,2.402,2.813,53.0,46.0,0.0,0.0,0.0,0.0,0.0,0.0
8478483,2016,Mitchell Marner,2016020134,TOR,EDM,HOME,20161101,C,all,964.0,21.0,-0.985,0.4178,0.6039,0.2778,0.4898,0.2414,0.4667,6.0,0.715,0.214,0.042,0.129,0.016,0.341,0.258,0.214,0.204,0.204,0.0,0.0,1.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.214,0.0,0.0,0.0,1.97,1.0,0.971,0.0,0.009,0.0,0.0,0.222,0.212,0.212,21.0,2.0,5.0,0.0,14.0,1.0,2.0,3.0,15.0,0.0,1.0,2648.0,0.0,0.0,0.0,0.0,5.118,0.643,0.643,0.63,0.63,6.0,1.0,3.0,10.0,0.0,0.0,0.0,4.0,2.0,1.0,0.208,0.221,0.214,0.0,0.0,0.0,10.096,7.0,7.135,0.063,0.0,0.0,0.706,0.692,0.692,15.895,0.896,0.863,0.921,0.888,15.0,7.0,4.0,26.0,1.0,0.0,0.0,21.0,1.0,0.0,0.746,0.151,0.0,0.0,1.0,0.0,25.92,22.0,21.81,0.165,0.0,0.0,1.061,1.089,1.049,3.545,2.325,48.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0
