gameId,teamAbbrev,homeRoadFlag,gameDate,goals,assists,commonName,opponentCommonName,points,plusMinus,powerPlayGoals,powerPlayPoints,gameWinningGoals,otGoals,shots,shifts,shorthandedGoals,shorthandedPoints,opponentAbbrev,pim,toi,season
2025020733,TOR,R,2026-01-13,0,0,{'default': 'Maple Leafs'},{'default': 'Mammoth'},0,-4,0,0,0,0,4,30,0,0,UTA,0,19:37,2025
2025020723,TOR,R,2026-01-12,0,0,{'default': 'Maple Leafs'},{'default': 'Avalanche'},0,2,0,0,0,0,3,30,0,0,COL,2,20:45,2025
2025020702,TOR,H,2026-01-10,0,0,{'default': 'Maple Leafs'},{'default': 'Canucks'},0,1,0,0,0,0,2,27,0,0,VAN,2,18:11,2025
2025020686,TOR,R,2026-01-08,0,0,{'default': 'Maple Leafs'},{'default': 'Flyers'},0,0,0,0,0,0,2,37,0,0,PHI,0,20:11,2025
2025020672,TOR,H,2026-01-06,0,0,{'default': 'Maple Leafs'},{'default': 'Panthers'},0,2,0,0,0,0,0,28,0,0,FLA,2,19:50,2025
2025020651,TOR,R,2026-01-03,0,0,{'default': 'Maple Leafs'},{'default': 'Islanders'},0,-4,0,0,0,0,1,37,0,0,NYI,0,27:31,2025
2025020634,TOR,H,2026-01-01,0,1,{'default': 'Maple Leafs'},{'default': 'Jets'},1,-2,0,1,0,0,1,31,0,0,WPG,0,21:13,2025
2025020617,TOR,H,2025-12-30,0,0,{'default': 'Maple Leafs'},{'default': 'Devils'},0,1,0,0,0,0,0,30,0,0,NJD,0,21:02,2025
2025020601,TOR,R,2025-12-28,0,0,{'default': 'Maple Leafs'},{'default': 'Red Wings'},0,-2,0,0,0,0,1,30,0,0,DET,0,20:35,2025
2025020590,TOR,H,2025-12-27,0,1,{'default': 'Maple Leafs'},"{'default': 'Senators', 'fr': 'Sénateurs'}",1,0,0,0,0,0,2,32,0,0,OTT,0,22:27,2025
2025020575,TOR,H,2025-12-23,0,0,{'default': 'Maple Leafs'},{'default': 'Penguins'},0,-1,0,0,0,0,1,28,0,0,PIT,0,22:36,2025
2025020568,TOR,R,2025-12-21,0,1,{'default': 'Maple Leafs'},{'default': 'Stars'},1,0,0,0,0,0,5,25,0,0,DAL,0,21:38,2025
2025020558,TOR,R,2025-12-20,0,0,{'default': 'Maple Leafs'},{'default': 'Predators'},0,0,0,0,0,0,2,26,0,0,NSH,0,19:19,2025
2025020539,TOR,R,2025-12-18,0,0,{'default': 'Maple Leafs'},{'default': 'Capitals'},0,-3,0,0,0,0,2,23,0,0,WSH,0,19:48,2025
2025020520,TOR,H,2025-12-16,0,0,{'default': 'Maple Leafs'},{'default': 'Blackhawks'},0,0,0,0,0,0,2,29,0,0,CHI,0,22:19,2025
2025020499,TOR,H,2025-12-13,0,0,{'default': 'Maple Leafs'},{'default': 'Oilers'},0,-3,0,0,0,0,3,28,0,0,EDM,0,21:25,2025
2025020480,TOR,H,2025-12-11,0,1,{'default': 'Maple Leafs'},{'default': 'Sharks'},1,-1,0,1,0,0,0,31,0,0,SJS,0,24:14,2025
2025020461,TOR,H,2025-12-08,1,0,{'default': 'Maple Leafs'},{'default': 'Lightning'},1,1,0,0,1,0,3,27,0,0,TBL,0,21:20,2025
2025020444,TOR,H,2025-12-06,0,0,{'default': 'Maple Leafs'},{'default': 'Canadiens'},0,1,0,0,0,0,2,34,0,0,MTL,0,19:30,2025
2025020431,TOR,R,2025-12-04,0,1,{'default': 'Maple Leafs'},{'default': 'Hurricanes'},1,1,0,0,0,0,2,28,0,0,CAR,2,19:52,2025
2025020413,TOR,R,2025-12-02,0,0,{'default': 'Maple Leafs'},{'default': 'Panthers'},0,0,0,0,0,0,3,29,0,0,FLA,0,20:33,2025
2025020396,TOR,R,2025-11-29,0,2,{'default': 'Maple Leafs'},{'default': 'Penguins'},2,3,0,0,0,0,0,36,0,0,PIT,0,21:10,2025
2025020386,TOR,R,2025-11-28,1,0,{'default': 'Maple Leafs'},{'default': 'Capitals'},1,0,0,0,0,0,2,32,0,0,WSH,2,22:44,2025
2025020369,TOR,R,2025-11-26,0,0,{'default': 'Maple Leafs'},{'default': 'Blue Jackets'},0,0,0,0,0,0,2,35,0,0,CBJ,0,24:55,2025
2025020337,TOR,R,2025-11-22,0,1,{'default': 'Maple Leafs'},{'default': 'Canadiens'},1,-2,0,1,0,0,4,30,0,0,MTL,0,22:25,2025
2025020319,TOR,H,2025-11-20,0,0,{'default': 'Maple Leafs'},{'default': 'Blue Jackets'},0,-1,0,0,0,0,1,32,0,0,CBJ,0,24:43,2025
2025020307,TOR,H,2025-11-18,0,1,{'default': 'Maple Leafs'},{'default': 'Blues'},1,1,0,0,0,0,5,29,0,0,STL,0,24:13,2025
2025020291,TOR,R,2025-11-15,1,0,{'default': 'Maple Leafs'},{'default': 'Blackhawks'},1,0,0,0,0,0,4,34,0,0,CHI,0,25:21,2025
2025020269,TOR,H,2025-11-13,0,0,{'default': 'Maple Leafs'},{'default': 'Kings'},0,0,0,0,0,0,0,29,0,0,LAK,0,23:36,2025
2025020256,TOR,R,2025-11-11,0,1,{'default': 'Maple Leafs'},{'default': 'Bruins'},1,0,0,1,0,0,0,28,0,0,BOS,0,22:29,2025
2025020246,TOR,H,2025-11-09,0,1,{'default': 'Maple Leafs'},{'default': 'Hurricanes'},1,-1,0,0,0,0,1,31,0,0,CAR,0,20:31,2025
2025020234,TOR,H,2025-11-08,0,2,{'default': 'Maple Leafs'},{'default': 'Bruins'},2,-1,0,1,0,0,1,32,0,0,BOS,0,24:37,2025
2025020213,TOR,H,2025-11-05,0,1,{'default': 'Maple Leafs'},{'default': 'Mammoth'},1,0,0,0,0,0,3,28,0,0,UTA,0,20:27,2025
2025020199,TOR,H,2025-11-03,0,2,{'default': 'Maple Leafs'},{'default': 'Penguins'},2,2,0,0,0,0,0,28,0,0,PIT,0,20:53,2025
